Date,Open,High,Low,Close,Volume
31-Dec-14,1.88,1.91,1.71,1.73,17150
30-Dec-14,1.70,1.91,1.66,1.91,16915
29-Dec-14,1.68,1.70,1.64,1.70,16159
26-Dec-14,1.64,1.74,1.62,1.70,7659
24-Dec-14,1.86,1.86,1.81,1.81,25207
23-Dec-14,1.92,1.94,1.85,1.87,8925
22-Dec-14,1.95,1.95,1.84,1.84,795
19-Dec-14,1.85,1.88,1.82,1.88,6300
18-Dec-14,1.90,1.90,1.85,1.85,12020
17-Dec-14,1.99,1.99,1.80,1.80,7776
16-Dec-14,1.86,2.00,1.86,1.87,3629
15-Dec-14,1.86,1.88,1.86,1.88,832
12-Dec-14,1.95,1.95,1.78,1.78,32507
11-Dec-14,1.96,2.00,1.95,2.00,13900
10-Dec-14,1.99,2.01,1.96,2.00,15150
9-Dec-14,2.02,2.02,2.02,2.02,6335
8-Dec-14,2.03,2.07,2.02,2.02,5754
5-Dec-14,2.05,2.06,2.03,2.04,6225
4-Dec-14,2.05,2.05,2.03,2.05,10566
3-Dec-14,2.09,2.09,2.03,2.03,2690
2-Dec-14,2.02,2.07,2.02,2.07,19905
1-Dec-14,2.03,2.08,2.01,2.02,5119
28-Nov-14,2.01,2.02,2.01,2.01,400
26-Nov-14,2.05,2.07,1.88,2.00,15039
25-Nov-14,2.24,2.25,2.05,2.08,52447
24-Nov-14,2.26,2.28,2.18,2.20,24639
21-Nov-14,2.27,2.27,2.18,2.26,42742
20-Nov-14,2.28,2.28,2.22,2.27,18361
19-Nov-14,2.27,2.29,2.24,2.27,22687
18-Nov-14,2.30,2.30,2.26,2.29,34464
17-Nov-14,2.22,2.33,2.22,2.28,25215
14-Nov-14,2.28,2.29,2.18,2.25,41619
13-Nov-14,2.25,2.35,2.23,2.27,52158
12-Nov-14,2.20,2.25,2.10,2.18,31121
11-Nov-14,2.24,2.30,2.18,2.25,17075
10-Nov-14,2.25,2.25,2.15,2.24,46730
7-Nov-14,2.25,2.25,2.09,2.19,84388
6-Nov-14,2.27,2.30,2.20,2.28,52800
5-Nov-14,2.32,2.36,2.19,2.23,12723
4-Nov-14,2.38,2.38,2.28,2.34,47151
3-Nov-14,2.40,2.40,2.30,2.39,46775
31-Oct-14,2.39,2.40,2.36,2.40,85383
30-Oct-14,2.40,2.40,2.35,2.36,24916
