Date,Open,High,Low,Close,Volume
31-Dec-14,35.09,35.75,34.77,35.50,125271
30-Dec-14,34.28,35.26,34.07,35.05,134823
29-Dec-14,33.57,34.75,33.49,34.49,106146
26-Dec-14,32.92,33.75,32.92,33.62,65042
24-Dec-14,33.63,33.77,32.45,32.79,78746
23-Dec-14,32.63,33.76,32.43,33.62,124906
22-Dec-14,31.77,32.56,31.42,32.39,84777
19-Dec-14,31.90,32.09,31.61,31.80,365941
18-Dec-14,32.09,32.20,31.37,31.96,159496
17-Dec-14,31.05,31.82,30.90,31.70,180764
16-Dec-14,31.60,31.95,30.91,31.03,184925
15-Dec-14,32.89,33.25,31.73,31.80,146567
12-Dec-14,32.90,33.52,32.35,32.71,181309
11-Dec-14,33.32,33.97,33.27,33.45,127958
10-Dec-14,34.03,34.22,32.90,33.15,82967
9-Dec-14,32.82,34.39,32.60,34.21,105838
8-Dec-14,33.54,33.61,32.84,33.25,124135
5-Dec-14,33.32,33.93,33.10,33.72,147138
4-Dec-14,32.83,33.60,32.73,33.30,311662
3-Dec-14,32.38,33.12,32.38,32.93,170100
2-Dec-14,32.33,33.10,32.21,32.40,90899
1-Dec-14,32.90,33.02,32.24,32.30,120021
28-Nov-14,33.19,33.41,32.94,33.05,53172
26-Nov-14,33.48,33.51,33.20,33.29,84989
25-Nov-14,33.47,33.87,33.12,33.54,153237
24-Nov-14,33.16,33.74,33.16,33.54,146758
21-Nov-14,33.69,33.92,33.02,33.12,171419
20-Nov-14,32.02,33.58,32.02,33.21,178604
19-Nov-14,32.34,32.50,31.72,32.15,87399
18-Nov-14,32.43,32.88,32.29,32.37,192994
17-Nov-14,33.25,33.54,32.25,32.39,91848
14-Nov-14,32.91,33.52,32.91,33.40,106676
13-Nov-14,33.46,33.78,32.65,32.83,289630
12-Nov-14,33.13,33.80,33.04,33.46,210227
11-Nov-14,33.90,34.02,33.16,33.32,140354
10-Nov-14,33.86,34.33,33.69,33.97,119994
7-Nov-14,33.66,34.08,33.53,33.86,110410
6-Nov-14,33.64,33.88,33.05,33.65,162474
5-Nov-14,33.62,33.90,33.23,33.53,95158
4-Nov-14,33.47,33.87,33.20,33.48,92979
3-Nov-14,33.75,34.09,33.33,33.58,149421
31-Oct-14,34.28,34.28,33.52,33.66,136573
30-Oct-14,33.65,33.91,33.06,33.50,138043
29-Oct-14,33.12,33.95,32.78,33.72,174928
28-Oct-14,32.37,33.43,32.37,33.16,162294
27-Oct-14,31.81,32.44,31.20,32.26,177756
24-Oct-14,31.51,32.30,31.32,32.09,182887
23-Oct-14,30.80,32.99,30.11,31.57,508288
22-Oct-14,32.89,32.89,31.13,31.23,354458
21-Oct-14,32.55,33.38,32.01,32.60,261216
20-Oct-14,32.16,32.88,31.74,32.16,211450
17-Oct-14,34.37,34.57,32.13,32.22,175533
16-Oct-14,32.72,34.44,32.58,34.10,157475
15-Oct-14,31.80,33.27,31.50,33.25,152189
14-Oct-14,31.97,32.76,31.61,32.24,152202
13-Oct-14,31.26,32.36,31.08,31.60,171435
10-Oct-14,31.26,31.96,30.93,31.23,127477
9-Oct-14,32.46,32.82,31.22,31.42,110270
8-Oct-14,32.02,32.59,31.41,32.48,154865
7-Oct-14,32.31,32.82,31.90,32.07,127552
6-Oct-14,33.62,33.96,32.42,32.51,112843
3-Oct-14,33.66,33.99,33.24,33.53,95664
2-Oct-14,33.12,33.54,32.36,33.33,117457
1-Oct-14,34.64,34.64,32.28,33.01,304675
30-Sep-14,35.63,35.72,34.77,34.82,115617
29-Sep-14,35.10,35.88,35.10,35.64,106418
26-Sep-14,35.48,35.99,35.00,35.58,86109
25-Sep-14,35.64,35.65,34.72,35.27,122341
24-Sep-14,35.97,36.32,35.35,35.69,137318
23-Sep-14,35.70,36.65,35.70,35.94,111142
22-Sep-14,36.22,36.71,35.75,35.94,100941
19-Sep-14,38.00,38.00,36.20,36.36,170095
18-Sep-14,37.94,38.42,37.56,37.85,101784
17-Sep-14,36.19,37.78,36.19,37.56,177854
16-Sep-14,35.84,36.30,35.69,36.08,133347
15-Sep-14,36.75,36.81,35.85,35.92,136527
12-Sep-14,37.07,37.20,36.41,36.67,98253
11-Sep-14,36.58,37.22,36.44,36.96,102565
10-Sep-14,35.80,36.92,35.58,36.84,126241
9-Sep-14,36.50,36.50,35.67,35.78,132361
8-Sep-14,36.48,36.54,36.16,36.43,202568
5-Sep-14,37.01,37.01,36.40,36.57,143614
4-Sep-14,37.04,37.57,36.88,36.99,147794
3-Sep-14,37.30,37.30,36.66,36.88,113354
2-Sep-14,37.22,37.43,36.89,37.18,117851
29-Aug-14,37.07,37.43,36.84,37.02,90313
28-Aug-14,37.12,37.26,36.37,36.83,161758
27-Aug-14,37.69,37.79,36.88,37.25,132647
26-Aug-14,37.47,38.00,37.21,37.65,105669
25-Aug-14,37.08,38.39,36.86,37.25,237731
22-Aug-14,37.11,37.15,36.72,36.76,101590
21-Aug-14,37.58,37.58,36.78,36.98,87636
20-Aug-14,37.60,37.69,36.72,37.52,112336
19-Aug-14,38.13,38.85,37.53,37.67,192069
18-Aug-14,37.24,38.48,37.11,37.94,220072
15-Aug-14,37.66,38.12,36.46,36.82,141804
14-Aug-14,37.57,37.62,36.70,37.28,198939
13-Aug-14,37.20,37.65,36.75,37.39,212347
12-Aug-14,36.82,37.44,36.52,37.05,150851
11-Aug-14,36.65,36.92,36.29,36.88,137562
8-Aug-14,35.44,36.60,35.22,36.39,156210
7-Aug-14,35.96,36.39,35.24,35.44,66536
6-Aug-14,35.21,36.25,35.21,35.83,139269
5-Aug-14,35.36,36.13,35.06,35.47,137795
4-Aug-14,35.00,35.58,34.98,35.48,158791
1-Aug-14,35.50,35.74,34.54,35.01,142944
31-Jul-14,35.54,35.90,35.37,35.60,320823
30-Jul-14,36.72,36.72,35.87,35.95,202588
29-Jul-14,36.12,36.63,35.65,36.55,190250
