Date,Open,High,Low,Close,Volume
31-Dec-14,22.24,22.42,21.63,21.70,105941
30-Dec-14,22.18,22.38,21.92,22.10,91375
29-Dec-14,22.21,22.39,21.86,22.32,82442
26-Dec-14,21.97,22.39,21.84,22.19,55468
24-Dec-14,22.04,22.04,21.47,21.85,71014
23-Dec-14,21.83,22.19,21.15,21.92,161949
22-Dec-14,21.45,21.65,21.22,21.62,130353
19-Dec-14,21.31,21.67,21.22,21.53,304812
18-Dec-14,21.83,21.83,21.06,21.38,147239
17-Dec-14,20.77,21.62,20.29,21.57,181297
16-Dec-14,21.05,21.20,20.74,20.77,204040
15-Dec-14,21.08,21.30,20.86,21.04,151381
12-Dec-14,20.77,21.30,20.77,21.02,154622
11-Dec-14,21.24,21.39,20.97,21.09,110243
10-Dec-14,22.00,22.09,21.12,21.22,189584
9-Dec-14,21.50,22.10,21.00,22.09,126611
8-Dec-14,21.80,22.21,21.60,21.67,109284
5-Dec-14,22.15,22.40,21.85,21.97,115213
4-Dec-14,21.81,22.19,21.64,22.13,154307
3-Dec-14,21.33,21.90,21.30,21.76,169901
2-Dec-14,20.99,21.57,20.51,21.39,105617
1-Dec-14,20.90,21.17,20.73,20.95,119057
28-Nov-14,21.46,21.53,21.00,21.00,46673
26-Nov-14,21.47,21.47,21.25,21.41,96149
25-Nov-14,21.23,21.73,21.23,21.51,96786
24-Nov-14,21.07,21.29,20.93,21.27,115855
21-Nov-14,21.41,21.41,20.95,21.04,105921
20-Nov-14,20.96,21.30,20.87,21.19,134265
19-Nov-14,21.27,21.31,20.93,21.00,119535
18-Nov-14,21.10,21.45,20.85,21.33,160401
17-Nov-14,21.11,21.34,20.91,21.09,151431
14-Nov-14,21.25,21.38,20.99,21.10,85077
13-Nov-14,21.65,21.74,21.14,21.29,124294
12-Nov-14,21.07,21.61,20.95,21.56,155689
11-Nov-14,21.35,21.66,20.98,21.22,291118
10-Nov-14,20.40,21.43,20.40,21.41,176063
7-Nov-14,21.03,21.20,18.90,21.03,686011
6-Nov-14,22.53,22.53,21.53,22.28,187364
5-Nov-14,23.11,23.11,22.09,22.51,185403
4-Nov-14,23.07,23.23,22.70,22.96,162651
