Date,Open,High,Low,Close,Volume
31-Dec-14,40.67,41.65,40.50,40.87,305596
30-Dec-14,40.86,41.18,40.45,40.64,306013
29-Dec-14,39.74,41.12,39.60,41.07,383678
26-Dec-14,39.12,39.84,38.71,39.66,266076
24-Dec-14,38.47,39.83,38.18,39.14,183377
23-Dec-14,40.33,40.33,37.95,38.40,427273
22-Dec-14,40.03,40.75,39.25,40.05,468750
19-Dec-14,40.24,40.58,38.23,40.06,1532488
18-Dec-14,39.11,40.40,38.57,40.35,518250
17-Dec-14,38.25,39.70,38.08,38.47,640721
16-Dec-14,38.31,39.77,37.94,38.25,462104
15-Dec-14,39.42,39.90,38.02,38.40,669463
12-Dec-14,38.22,39.09,37.96,38.70,324019
11-Dec-14,38.69,39.90,35.96,38.64,362592
10-Dec-14,38.78,39.20,37.67,38.29,418250
9-Dec-14,37.24,39.33,37.21,38.78,590691
8-Dec-14,37.67,38.81,37.30,37.85,663587
5-Dec-14,36.03,37.80,35.85,37.65,422776
4-Dec-14,36.91,37.23,36.21,36.40,361657
3-Dec-14,36.35,37.34,36.26,36.84,416311
2-Dec-14,35.68,36.70,35.15,36.47,376390
1-Dec-14,36.22,36.60,35.27,35.48,523209
28-Nov-14,36.80,37.23,36.23,36.45,236578
26-Nov-14,36.46,36.84,36.12,36.81,370286
25-Nov-14,36.42,36.55,35.90,36.50,415888
24-Nov-14,35.96,36.74,35.96,36.41,546054
21-Nov-14,36.70,36.84,35.80,35.94,465410
20-Nov-14,34.87,36.22,34.82,36.09,483823
19-Nov-14,34.61,35.16,33.67,34.98,494081
18-Nov-14,34.15,34.93,33.78,34.53,276702
17-Nov-14,33.47,34.49,33.23,34.10,317227
14-Nov-14,33.85,33.85,33.11,33.47,364161
13-Nov-14,34.82,34.94,33.65,33.73,548921
12-Nov-14,35.55,35.63,34.73,34.90,516066
11-Nov-14,36.24,36.48,35.68,35.91,406676
10-Nov-14,35.06,36.24,34.72,36.24,382230
7-Nov-14,35.83,35.83,34.71,35.11,536199
6-Nov-14,34.69,35.98,34.11,35.96,401317
5-Nov-14,35.19,35.21,34.32,34.53,416898
4-Nov-14,35.12,35.40,34.66,34.78,364139
