Date,Open,High,Low,Close,Volume
31-Dec-14,43.29,43.37,42.98,43.02,1047326
30-Dec-14,43.38,43.38,43.22,43.23,1355758
29-Dec-14,43.61,43.68,43.51,43.54,981587
26-Dec-14,43.87,43.95,43.72,43.73,1430395
24-Dec-14,43.57,43.65,43.39,43.59,488067
23-Dec-14,43.52,43.56,43.35,43.35,1369976
22-Dec-14,43.62,43.69,43.45,43.58,1697129
19-Dec-14,43.29,43.49,43.12,43.30,2308519
18-Dec-14,43.05,43.35,42.88,43.35,1477336
17-Dec-14,42.12,42.81,42.01,42.51,1055024
16-Dec-14,42.03,42.87,42.00,42.38,1178497
15-Dec-14,42.84,42.98,42.00,42.15,2077598
12-Dec-14,43.39,43.52,42.80,42.80,1163069
11-Dec-14,43.68,43.96,43.56,43.63,980508
10-Dec-14,44.24,44.24,43.69,43.77,678703
9-Dec-14,44.27,44.36,44.05,44.36,716076
8-Dec-14,44.76,44.89,44.51,44.59,575609
5-Dec-14,45.12,45.22,44.97,45.12,428172
4-Dec-14,45.17,45.25,45.00,45.08,574030
3-Dec-14,45.16,45.27,45.05,45.24,769378
2-Dec-14,45.26,45.26,45.09,45.18,858317
1-Dec-14,45.17,45.26,44.99,45.15,813975
28-Nov-14,45.53,45.53,45.30,45.34,119246
26-Nov-14,45.78,45.88,45.70,45.88,172652
25-Nov-14,45.59,45.73,45.55,45.62,398917
24-Nov-14,45.55,45.66,45.48,45.57,463685
21-Nov-14,45.62,45.64,45.36,45.50,476957
20-Nov-14,44.74,45.02,44.74,44.94,377345
19-Nov-14,45.17,45.25,44.90,45.09,432817
18-Nov-14,44.99,45.29,44.99,45.19,364523
17-Nov-14,44.69,44.84,44.64,44.77,288505
14-Nov-14,44.71,45.00,44.68,45.00,254134
13-Nov-14,44.80,45.01,44.70,44.86,329858
12-Nov-14,44.70,44.87,44.66,44.75,247831
11-Nov-14,44.83,45.07,44.79,45.04,467013
10-Nov-14,44.93,44.93,44.74,44.83,801064
7-Nov-14,44.39,44.65,44.38,44.64,318304
6-Nov-14,44.77,44.83,44.49,44.54,313523
5-Nov-14,44.87,44.90,44.65,44.81,208076
4-Nov-14,44.83,44.83,44.54,44.78,168076
3-Nov-14,45.15,45.15,44.89,45.01,568494
