Date,Open,High,Low,Close,Volume
31-Dec-14,28.48,28.48,28.48,28.48,315
30-Dec-14,28.60,28.60,28.36,28.36,1499
29-Dec-14,28.61,28.72,28.60,28.72,1722
26-Dec-14,29.02,29.02,28.67,28.67,2368
24-Dec-14,28.62,28.62,28.40,28.47,1413
23-Dec-14,28.49,28.68,28.49,28.61,2966
22-Dec-14,28.59,28.73,28.58,28.61,865
19-Dec-14,28.65,28.65,28.65,28.65,610
17-Dec-14,27.80,28.11,27.80,28.11,2719
16-Dec-14,27.98,27.98,27.69,27.88,2299
15-Dec-14,28.46,28.46,27.82,27.82,1920
12-Dec-14,28.34,28.41,28.34,28.41,600
11-Dec-14,28.62,28.79,28.46,28.64,735
10-Dec-14,28.82,28.82,28.37,28.47,1835
8-Dec-14,29.35,29.35,29.11,29.11,1118
5-Dec-14,29.36,29.41,29.36,29.41,2000
4-Dec-14,29.39,29.40,29.39,29.40,800
3-Dec-14,29.35,29.35,29.35,29.35,285
2-Dec-14,29.27,29.39,29.27,29.39,1121
1-Dec-14,29.08,29.08,29.08,29.08,505
28-Nov-14,29.55,29.61,29.55,29.55,1127
21-Nov-14,29.50,29.50,29.50,29.50,100
20-Nov-14,29.17,29.18,29.01,29.02,2554
19-Nov-14,29.19,29.20,29.16,29.19,1357
18-Nov-14,29.20,29.20,29.20,29.20,603
17-Nov-14,29.19,29.19,29.19,29.19,458
14-Nov-14,29.29,29.55,29.29,29.55,461
13-Nov-14,29.64,29.64,29.64,29.64,1384
12-Nov-14,29.46,29.46,29.46,29.46,175
11-Nov-14,29.52,29.52,29.52,29.52,101
10-Nov-14,29.36,29.36,29.35,29.35,1627
7-Nov-14,29.19,29.44,29.19,29.39,2197
6-Nov-14,29.23,29.52,29.19,29.25,2967
5-Nov-14,29.61,29.75,29.60,29.60,1658
4-Nov-14,29.76,29.76,29.51,29.55,2864
3-Nov-14,30.11,30.11,29.79,29.79,1630
31-Oct-14,29.66,30.15,29.66,30.10,1592
30-Oct-14,28.94,28.99,28.94,28.99,376
29-Oct-14,29.12,29.40,29.12,29.40,591
28-Oct-14,28.93,28.99,28.82,28.86,1681
27-Oct-14,28.29,28.92,28.28,28.60,880
24-Oct-14,28.72,28.72,28.57,28.57,200
23-Oct-14,28.93,28.93,28.58,28.58,314
22-Oct-14,28.24,28.60,28.24,28.45,3504
21-Oct-14,28.47,28.47,28.47,28.47,151
20-Oct-14,28.46,28.51,28.46,28.48,2350
16-Oct-14,27.89,27.95,27.62,27.95,2730
15-Oct-14,28.00,28.00,27.63,27.74,2343
14-Oct-14,28.05,28.15,28.05,28.15,1166
13-Oct-14,28.34,28.40,28.15,28.15,1111
10-Oct-14,28.01,28.30,27.95,28.01,8904
9-Oct-14,28.53,28.63,28.52,28.55,5688
8-Oct-14,28.63,28.63,28.45,28.50,3847
7-Oct-14,28.69,28.84,28.69,28.69,794
6-Oct-14,28.78,28.78,28.77,28.77,1701
3-Oct-14,28.63,28.77,28.62,28.72,1256
2-Oct-14,28.63,28.64,28.16,28.45,6232
1-Oct-14,28.83,28.86,28.70,28.70,4163
30-Sep-14,28.97,28.97,28.97,28.97,736
