Date,Open,High,Low,Close,Volume
31-Dec-14,35.62,35.71,35.50,35.52,41609
30-Dec-14,35.73,35.73,35.47,35.54,27507
29-Dec-14,35.78,35.94,35.75,35.75,22849
26-Dec-14,35.76,36.19,35.76,35.89,15291
24-Dec-14,35.65,35.76,35.65,35.76,5407
23-Dec-14,35.71,35.82,35.61,35.76,28515
22-Dec-14,35.76,35.94,35.74,35.87,23162
19-Dec-14,35.63,35.82,35.43,35.70,29758
18-Dec-14,35.57,36.10,35.57,35.80,10190
17-Dec-14,34.10,35.23,34.10,35.05,15078
16-Dec-14,34.05,34.66,33.81,34.16,15509
15-Dec-14,35.15,35.15,34.34,34.38,13498
12-Dec-14,35.56,35.56,35.04,35.04,10009
11-Dec-14,35.70,35.95,35.60,35.67,15705
10-Dec-14,36.37,36.37,35.75,35.87,10969
9-Dec-14,36.16,36.61,36.15,36.58,40849
8-Dec-14,37.22,37.46,36.65,36.74,17313
5-Dec-14,37.59,37.66,37.41,37.63,16235
4-Dec-14,37.74,37.80,37.65,37.67,12366
3-Dec-14,37.55,37.86,37.55,37.74,7228
2-Dec-14,37.89,37.92,37.62,37.68,17735
1-Dec-14,38.39,38.39,37.84,37.96,10619
28-Nov-14,39.32,39.32,38.95,38.96,3174
26-Nov-14,39.74,39.94,39.74,39.84,6074
25-Nov-14,39.87,39.91,39.52,39.52,11008
24-Nov-14,40.01,40.01,39.66,39.69,8718
21-Nov-14,39.32,40.08,39.32,40.06,16685
20-Nov-14,38.62,38.66,38.34,38.56,12842
19-Nov-14,38.38,38.52,38.20,38.52,7145
18-Nov-14,38.02,38.26,37.98,38.22,48075
17-Nov-14,38.24,38.24,38.00,38.08,5331
14-Nov-14,38.13,38.59,38.13,38.53,20223
13-Nov-14,38.75,38.75,38.28,38.39,5419
12-Nov-14,38.75,38.97,38.59,38.67,4986
11-Nov-14,38.70,38.80,38.49,38.74,7324
10-Nov-14,38.78,39.00,38.78,38.81,52742
7-Nov-14,38.56,38.83,38.36,38.72,4893
6-Nov-14,39.13,39.13,38.63,38.67,9705
5-Nov-14,39.07,39.18,39.02,39.13,8733
4-Nov-14,39.18,39.38,39.08,39.31,8216
3-Nov-14,39.50,39.50,39.13,39.25,43304
31-Oct-14,39.50,39.69,39.46,39.69,7367
30-Oct-14,39.01,39.22,38.91,39.15,28569
29-Oct-14,39.15,39.15,38.53,38.65,4260
28-Oct-14,38.13,38.88,38.13,38.86,9840
27-Oct-14,37.87,37.89,37.42,37.89,12683
24-Oct-14,37.91,38.75,37.91,38.64,6688
23-Oct-14,38.65,38.65,38.03,38.05,8936
22-Oct-14,38.87,39.07,38.60,38.60,7987
21-Oct-14,38.73,38.88,38.53,38.77,16919
20-Oct-14,38.39,38.89,38.10,38.78,136913
17-Oct-14,38.84,39.13,38.81,38.99,14129
16-Oct-14,37.73,38.80,37.73,38.37,36477
15-Oct-14,38.84,38.84,37.96,38.72,16962
14-Oct-14,39.32,39.75,39.08,39.53,15297
13-Oct-14,39.21,39.84,39.21,39.39,35781
10-Oct-14,39.40,39.40,38.50,38.50,15088
9-Oct-14,40.12,40.18,39.59,39.66,8161
8-Oct-14,39.68,40.07,39.17,40.05,10892
7-Oct-14,39.94,40.06,39.68,39.69,6057
6-Oct-14,39.93,40.12,39.82,39.82,19158
3-Oct-14,38.46,39.01,38.46,38.97,38176
2-Oct-14,38.29,38.64,37.79,38.47,16072
1-Oct-14,38.88,38.92,38.20,38.24,46836
30-Sep-14,39.18,39.31,38.88,39.21,48178
29-Sep-14,39.47,39.58,39.14,39.44,40193
26-Sep-14,40.02,40.60,40.02,40.46,192394
25-Sep-14,40.59,40.61,39.97,40.03,22293
24-Sep-14,40.60,41.11,40.60,41.05,9549
23-Sep-14,40.57,40.87,40.41,40.50,17071
22-Sep-14,40.82,40.90,40.51,40.71,41562
19-Sep-14,42.03,42.03,41.37,41.46,15637
18-Sep-14,42.10,42.33,42.09,42.21,12916
17-Sep-14,42.37,42.46,42.10,42.14,7304
16-Sep-14,41.65,42.61,41.65,42.32,19642
15-Sep-14,41.83,41.94,41.57,41.76,19541
12-Sep-14,42.44,42.44,41.82,42.02,27134
11-Sep-14,42.55,42.83,42.55,42.71,13284
10-Sep-14,42.85,42.85,42.42,42.71,23533
9-Sep-14,43.59,43.59,43.02,43.11,25681
8-Sep-14,44.46,44.46,43.66,43.67,17303
5-Sep-14,44.21,44.25,43.96,44.24,19835
4-Sep-14,44.47,44.61,44.05,44.10,14172
3-Sep-14,44.66,44.66,44.24,44.48,27408
2-Sep-14,43.62,43.94,43.44,43.88,49944
29-Aug-14,43.32,43.52,43.23,43.51,20341
28-Aug-14,43.00,43.18,42.91,43.13,23574
27-Aug-14,43.21,43.47,43.09,43.45,13111
26-Aug-14,42.87,43.10,42.87,43.10,32009
25-Aug-14,42.77,42.77,42.54,42.72,26025
22-Aug-14,42.41,42.55,42.28,42.38,20678
21-Aug-14,42.83,42.83,42.47,42.55,8730
20-Aug-14,42.68,42.82,42.56,42.81,17641
19-Aug-14,42.56,42.76,42.50,42.73,23593
18-Aug-14,42.07,42.48,42.07,42.48,45871
15-Aug-14,41.79,41.92,41.51,41.87,10762
14-Aug-14,41.40,41.59,41.40,41.55,13217
13-Aug-14,41.65,41.65,41.20,41.25,12848
12-Aug-14,41.15,41.42,41.11,41.20,6009
11-Aug-14,40.93,41.33,40.93,41.29,30143
8-Aug-14,40.59,40.69,40.39,40.66,41414
7-Aug-14,41.00,41.17,40.40,40.49,10324
6-Aug-14,40.58,40.98,40.54,40.90,19301
5-Aug-14,41.06,41.06,40.58,40.76,8446
4-Aug-14,41.00,41.32,40.87,41.32,25077
1-Aug-14,40.64,41.07,40.50,40.84,39999
31-Jul-14,41.15,41.22,40.68,40.82,17280
30-Jul-14,41.82,41.84,41.44,41.59,12786
29-Jul-14,41.80,41.97,41.55,41.57,17513
28-Jul-14,41.79,41.80,41.59,41.77,42295
25-Jul-14,41.54,41.66,41.50,41.60,10930
24-Jul-14,41.39,41.60,41.32,41.60,18100
23-Jul-14,41.39,41.39,41.21,41.28,12024
22-Jul-14,41.19,41.38,41.18,41.35,20440
21-Jul-14,40.54,40.86,40.46,40.84,6095
18-Jul-14,40.27,40.68,40.26,40.56,10782
17-Jul-14,40.22,40.22,39.75,39.75,8659
16-Jul-14,40.54,40.58,40.31,40.37,18818
15-Jul-14,40.41,40.47,40.15,40.46,12743
14-Jul-14,40.03,40.41,40.03,40.38,9043
11-Jul-14,39.66,39.84,39.62,39.84,6531
10-Jul-14,39.39,39.79,39.38,39.79,17924
9-Jul-14,39.43,39.76,39.43,39.76,11335
8-Jul-14,39.70,39.70,39.41,39.44,7578
7-Jul-14,39.79,39.80,39.62,39.63,4589
3-Jul-14,39.62,39.89,39.62,39.88,3312
2-Jul-14,39.70,39.73,39.57,39.63,8715
1-Jul-14,39.20,39.52,39.20,39.51,22176
30-Jun-14,39.07,39.12,39.03,39.12,6719
27-Jun-14,38.93,39.11,38.85,39.10,13270
26-Jun-14,38.89,39.00,38.86,38.98,7713
25-Jun-14,38.77,38.89,38.66,38.84,3532
24-Jun-14,38.91,39.18,38.68,38.74,5678
23-Jun-14,38.82,38.94,38.67,38.85,17389
20-Jun-14,39.02,39.03,38.94,38.98,3298
19-Jun-14,39.26,39.32,39.21,39.29,3970
18-Jun-14,38.76,39.34,38.76,39.34,29552
17-Jun-14,38.84,38.84,38.75,38.84,3220
16-Jun-14,39.13,39.13,38.89,38.94,7771
13-Jun-14,39.06,39.20,39.06,39.19,5231
12-Jun-14,39.16,39.21,38.96,39.00,20956
11-Jun-14,39.14,39.25,39.12,39.18,12307
10-Jun-14,38.96,39.20,38.96,39.13,8511
9-Jun-14,38.61,38.96,38.59,38.94,7710
6-Jun-14,38.35,38.62,38.35,38.50,17526
5-Jun-14,37.95,38.08,37.90,37.93,11195
4-Jun-14,37.87,37.87,37.71,37.72,24334
