Date,Open,High,Low,Close,Volume
31-Dec-14,24.01,24.01,23.66,23.70,250986
30-Dec-14,23.90,24.01,23.63,23.95,241419
29-Dec-14,24.19,24.22,23.68,24.07,268907
26-Dec-14,24.18,24.38,23.93,24.19,169589
24-Dec-14,24.28,24.47,23.42,24.18,189650
23-Dec-14,24.20,24.61,23.56,24.19,513913
22-Dec-14,22.70,23.07,22.38,22.89,216771
19-Dec-14,22.88,23.01,22.60,22.70,985074
18-Dec-14,22.65,22.95,22.39,22.87,279331
17-Dec-14,22.14,22.48,21.73,22.48,273558
16-Dec-14,22.06,22.71,22.00,22.18,283909
15-Dec-14,22.53,22.98,22.15,22.21,271538
12-Dec-14,22.14,22.59,21.86,22.47,372217
11-Dec-14,22.06,22.93,22.01,22.52,273006
10-Dec-14,22.54,22.83,21.76,21.78,185916
9-Dec-14,21.92,22.81,21.66,22.70,328890
8-Dec-14,22.56,23.07,22.03,22.31,451905
5-Dec-14,22.06,22.65,21.97,22.60,228522
4-Dec-14,21.91,22.14,21.85,22.05,358654
3-Dec-14,21.60,22.25,21.48,22.00,376171
2-Dec-14,19.99,21.64,19.78,21.60,704841
1-Dec-14,20.31,20.61,19.82,19.99,437346
28-Nov-14,20.97,20.97,20.39,20.43,181061
26-Nov-14,20.51,21.00,20.51,21.00,339969
25-Nov-14,20.64,20.88,20.43,20.46,129556
24-Nov-14,20.13,20.64,20.00,20.60,265875
21-Nov-14,20.37,20.56,20.08,20.09,393001
20-Nov-14,19.04,20.00,19.04,20.00,369598
19-Nov-14,20.35,20.35,19.17,19.46,972050
18-Nov-14,20.35,20.72,20.18,20.53,250611
17-Nov-14,20.54,20.56,20.18,20.22,229266
14-Nov-14,20.51,20.83,20.24,20.64,247733
13-Nov-14,20.65,20.88,20.45,20.53,275655
12-Nov-14,20.54,20.80,20.50,20.69,233364
11-Nov-14,20.72,21.02,20.52,20.65,430534
10-Nov-14,20.41,20.89,20.22,20.79,412958
7-Nov-14,20.36,20.71,20.13,20.41,410606
6-Nov-14,20.90,21.14,20.37,20.42,387704
5-Nov-14,20.68,21.05,20.23,20.96,551692
4-Nov-14,20.97,21.32,20.30,20.53,959417
3-Nov-14,19.80,20.13,19.45,19.99,730351
31-Oct-14,19.49,19.84,19.37,19.78,468864
30-Oct-14,18.89,19.03,18.49,18.97,315801
29-Oct-14,18.98,19.10,18.70,19.02,244947
28-Oct-14,18.05,19.00,18.05,18.97,352037
27-Oct-14,17.75,17.94,17.38,17.89,209132
24-Oct-14,17.83,18.10,17.74,17.83,302079
23-Oct-14,17.39,17.96,17.21,17.88,330363
22-Oct-14,17.48,17.66,17.08,17.14,454507
21-Oct-14,17.27,17.44,16.91,17.44,482424
20-Oct-14,16.64,17.12,16.54,17.10,562306
17-Oct-14,17.38,17.40,16.57,16.72,419858
16-Oct-14,16.73,17.23,16.64,17.08,434735
15-Oct-14,16.57,17.12,16.37,17.01,549185
14-Oct-14,17.21,17.60,16.88,16.89,570269
13-Oct-14,17.33,17.86,16.94,17.05,439773
10-Oct-14,18.16,18.27,17.26,17.31,718529
9-Oct-14,19.17,19.17,18.21,18.26,588912
8-Oct-14,18.95,19.28,18.43,19.25,771840
7-Oct-14,18.91,19.20,18.75,19.00,670844
6-Oct-14,19.03,19.23,18.89,19.05,425039
3-Oct-14,19.28,19.40,18.96,19.00,343427
2-Oct-14,18.81,19.25,18.62,19.05,338556
1-Oct-14,18.82,19.36,18.73,18.77,558337
30-Sep-14,19.15,19.15,18.71,18.79,339894
29-Sep-14,18.73,19.17,18.62,19.14,236295
26-Sep-14,18.85,19.12,18.74,19.03,205961
25-Sep-14,18.83,18.90,18.53,18.72,318618
24-Sep-14,18.47,18.99,18.47,18.91,362695
23-Sep-14,18.62,19.01,18.41,18.43,483295
22-Sep-14,18.75,18.82,18.40,18.76,396727
19-Sep-14,19.57,19.85,18.76,18.82,1168539
18-Sep-14,19.13,19.54,18.89,19.45,292783
17-Sep-14,18.74,19.08,18.74,18.98,550259
16-Sep-14,18.53,18.95,18.43,18.78,252043
15-Sep-14,18.90,18.98,18.25,18.58,502515
12-Sep-14,19.00,19.23,18.72,18.94,439853
11-Sep-14,18.86,19.35,18.86,19.00,443326
10-Sep-14,18.67,19.09,18.48,18.98,306691
