Date,Open,High,Low,Close,Volume
22-Aug-14,331.25,337.50,295.00,317.50,52
21-Aug-14,325.00,325.00,300.00,300.00,105
20-Aug-14,320.00,325.00,305.00,325.00,48
19-Aug-14,317.50,325.00,312.50,320.00,107
18-Aug-14,325.00,325.00,312.50,317.50,81
15-Aug-14,330.00,330.00,320.00,327.50,52
14-Aug-14,320.00,330.00,315.00,330.00,61
13-Aug-14,312.50,327.50,312.50,325.00,67
12-Aug-14,343.75,350.00,318.75,325.00,292
11-Aug-14,321.75,337.50,312.50,337.50,146
8-Aug-14,318.50,325.00,305.00,325.00,131
7-Aug-14,337.50,362.50,310.00,312.50,649
6-Aug-14,322.50,350.00,302.50,312.50,313
5-Aug-14,312.50,325.00,302.50,315.50,110
4-Aug-14,337.50,362.50,312.50,312.50,126
1-Aug-14,337.50,343.75,325.00,337.25,77
31-Jul-14,345.00,345.00,331.75,337.50,137
30-Jul-14,355.00,355.00,330.00,337.50,188
29-Jul-14,350.00,362.50,337.50,337.50,390
28-Jul-14,375.00,375.00,340.00,342.50,253
25-Jul-14,400.00,400.00,355.00,375.00,423
24-Jul-14,403.75,412.50,387.50,393.75,29
23-Jul-14,396.50,412.50,392.50,409.00,14
22-Jul-14,420.00,420.00,375.00,401.75,76
21-Jul-14,412.50,422.50,400.00,400.00,81
18-Jul-14,407.50,425.00,387.75,412.50,64
17-Jul-14,425.00,425.00,405.00,410.00,32
16-Jul-14,425.00,425.00,402.50,425.00,38
15-Jul-14,450.00,450.00,425.00,425.00,54
14-Jul-14,425.00,443.75,405.00,429.75,77
11-Jul-14,412.50,431.25,410.00,410.00,22
10-Jul-14,435.00,435.00,410.00,425.00,27
9-Jul-14,425.00,435.00,400.00,435.00,58
8-Jul-14,412.50,425.00,400.00,425.00,45
7-Jul-14,437.50,437.50,412.50,425.00,48
3-Jul-14,437.50,437.50,432.50,432.50,7
2-Jul-14,445.00,450.00,437.50,437.50,62
1-Jul-14,452.50,462.50,445.00,450.00,113
30-Jun-14,425.00,461.25,400.00,452.50,220
27-Jun-14,450.00,450.00,407.50,425.00,93
26-Jun-14,374.75,425.00,372.25,425.00,236
25-Jun-14,400.00,402.50,362.50,375.00,425
24-Jun-14,412.50,415.00,377.50,391.25,218
23-Jun-14,425.00,425.00,400.00,420.00,268
20-Jun-14,401.25,425.00,400.00,425.00,163
19-Jun-14,436.25,442.50,400.00,400.00,622
18-Jun-14,475.00,487.25,375.00,412.50,1000
17-Jun-14,487.50,487.50,455.25,475.00,126
16-Jun-14,448.75,475.00,448.75,475.00,135
13-Jun-14,462.50,462.50,447.50,452.50,77
12-Jun-14,462.50,468.75,450.00,468.75,91
11-Jun-14,465.50,475.00,458.75,458.75,77
10-Jun-14,462.50,474.75,456.25,462.50,108
9-Jun-14,458.75,475.00,450.00,455.00,117
6-Jun-14,462.50,471.25,460.00,462.50,64
5-Jun-14,475.00,475.00,460.00,461.25,31
4-Jun-14,466.75,475.00,458.75,472.50,31
3-Jun-14,458.75,475.00,458.75,462.50,62
2-Jun-14,475.00,475.00,455.00,467.50,44
30-May-14,471.75,486.25,465.00,475.00,40
29-May-14,471.50,487.50,452.50,478.00,222
28-May-14,495.00,495.00,471.50,475.00,48
27-May-14,512.50,512.50,475.25,495.00,243
23-May-14,515.00,522.50,507.50,512.50,44
22-May-14,525.00,525.00,500.00,515.00,65
21-May-14,500.00,574.75,470.00,512.50,287
20-May-14,462.50,470.00,456.25,460.00,49
19-May-14,462.50,462.50,456.50,460.00,32
16-May-14,456.25,475.00,450.00,462.50,51
15-May-14,465.50,475.00,430.00,462.50,201
14-May-14,462.50,475.00,450.00,475.00,75
13-May-14,455.00,462.50,450.00,450.00,52
12-May-14,465.00,481.25,455.00,455.00,45
9-May-14,462.50,475.00,450.00,455.00,224
8-May-14,475.00,487.50,475.00,475.00,53
7-May-14,475.00,487.50,467.50,475.00,98
6-May-14,475.00,525.00,475.00,480.00,49
5-May-14,525.00,525.00,477.50,497.50,190
2-May-14,525.00,537.25,505.00,525.00,71
1-May-14,537.50,537.50,475.00,510.00,69
30-Apr-14,500.00,537.50,500.00,525.00,94
29-Apr-14,533.75,533.75,500.00,500.00,165
28-Apr-14,538.75,550.00,525.00,531.25,213
25-Apr-14,568.75,575.00,495.00,538.75,142
24-Apr-14,525.00,550.00,525.00,525.00,62
23-Apr-14,537.50,537.50,512.50,525.00,58
22-Apr-14,525.00,550.00,507.50,525.00,106
21-Apr-14,500.00,512.50,500.00,500.00,114
17-Apr-14,512.50,525.00,500.00,502.50,72
16-Apr-14,487.50,512.50,475.00,500.00,78
15-Apr-14,500.00,518.75,467.50,475.00,181
14-Apr-14,500.00,562.50,475.00,505.00,158
11-Apr-14,500.00,507.50,462.50,476.25,72
10-Apr-14,547.50,547.50,475.25,490.75,134
9-Apr-14,508.75,562.50,500.00,537.50,339
8-Apr-14,482.50,512.50,465.00,500.00,129
7-Apr-14,500.00,500.00,475.00,477.50,46
4-Apr-14,462.50,547.50,462.50,490.00,56
3-Apr-14,475.00,500.00,475.00,487.50,78
2-Apr-14,472.50,485.00,462.50,480.00,84
1-Apr-14,485.00,497.50,472.50,472.50,77
31-Mar-14,467.50,485.00,452.50,477.50,63
28-Mar-14,472.50,485.00,450.00,450.00,138
27-Mar-14,487.50,487.50,450.00,471.25,352
26-Mar-14,452.50,500.00,452.50,487.50,170
25-Mar-14,547.50,547.50,465.00,506.25,401
24-Mar-14,595.00,600.00,500.00,512.50,365
21-Mar-14,590.00,600.00,575.00,600.00,71
20-Mar-14,570.00,645.00,570.00,600.00,123
19-Mar-14,548.00,587.50,541.25,581.25,92
18-Mar-14,600.00,600.00,525.00,556.00,102
17-Mar-14,662.50,662.50,500.00,587.50,344
14-Mar-14,562.50,621.75,562.50,600.00,200
13-Mar-14,658.75,675.00,550.00,575.00,399
12-Mar-14,636.25,675.00,625.00,650.00,684
11-Mar-14,565.50,625.00,565.50,620.00,207
10-Mar-14,547.50,587.50,526.25,568.75,239
7-Mar-14,572.50,572.50,512.50,525.00,228
6-Mar-14,625.00,650.00,490.00,545.00,949
5-Mar-14,450.00,496.00,425.00,492.50,368
4-Mar-14,425.00,425.00,412.75,412.75,20
3-Mar-14,425.00,425.00,401.25,415.00,72
28-Feb-14,437.75,443.75,400.00,425.00,140
27-Feb-14,431.75,447.50,412.50,434.75,117
26-Feb-14,425.00,447.50,412.75,419.25,109
25-Feb-14,425.00,425.00,401.50,412.50,58
24-Feb-14,388.75,412.50,387.50,400.00,104
21-Feb-14,424.75,425.00,388.75,389.00,76
20-Feb-14,412.50,425.00,401.25,413.00,32
19-Feb-14,423.75,447.50,412.50,412.50,40
18-Feb-14,431.75,437.50,412.50,423.75,118
14-Feb-14,436.75,447.50,427.50,437.50,61
13-Feb-14,445.00,450.00,427.50,427.50,11
12-Feb-14,450.00,450.00,420.00,426.25,199
11-Feb-14,450.00,452.50,430.00,432.50,50
10-Feb-14,467.50,475.00,430.00,450.00,65
7-Feb-14,462.50,467.50,450.00,450.00,65
6-Feb-14,450.00,467.50,412.50,467.50,154
5-Feb-14,454.25,462.50,446.75,446.75,151
4-Feb-14,467.50,467.50,456.25,462.50,25
3-Feb-14,452.50,467.50,452.50,467.50,91
31-Jan-14,470.00,475.00,450.25,452.50,75
30-Jan-14,462.50,487.25,452.50,467.50,99
29-Jan-14,469.75,475.00,452.50,457.50,117
28-Jan-14,482.50,485.00,462.50,462.50,148
27-Jan-14,475.00,487.25,467.50,480.00,181
24-Jan-14,494.50,494.50,462.50,462.50,127
23-Jan-14,512.50,525.00,487.50,489.25,88
22-Jan-14,525.00,525.00,487.50,501.25,169
21-Jan-14,518.75,522.50,487.50,500.00,79
17-Jan-14,500.00,500.00,475.00,475.00,98
16-Jan-14,495.00,495.00,476.25,487.50,73
15-Jan-14,487.50,500.00,487.50,495.00,68
14-Jan-14,481.25,498.50,475.00,487.50,106
13-Jan-14,485.00,487.50,462.50,487.25,131
10-Jan-14,525.00,525.00,468.75,487.25,163
9-Jan-14,474.75,500.00,468.75,500.00,298
8-Jan-14,487.50,497.50,456.25,468.75,123
7-Jan-14,497.50,525.00,462.50,487.50,242
6-Jan-14,498.75,500.00,451.50,497.50,257
3-Jan-14,451.25,524.75,442.50,475.00,553
2-Jan-14,417.75,450.00,410.50,450.00,461
31-Dec-13,400.00,425.00,390.00,425.00,86
30-Dec-13,406.00,412.50,390.00,394.75,69
27-Dec-13,400.00,422.50,399.75,412.50,236
26-Dec-13,400.00,400.00,376.25,385.25,27
24-Dec-13,400.00,400.00,365.00,399.00,169
23-Dec-13,375.00,400.00,362.50,385.25,182
20-Dec-13,362.50,375.00,362.50,367.50,40
19-Dec-13,375.00,375.00,350.00,350.00,94
18-Dec-13,372.50,372.50,355.00,355.00,53
17-Dec-13,350.00,372.50,340.00,358.75,23
16-Dec-13,372.50,372.50,325.25,350.00,10
13-Dec-13,340.00,340.00,327.50,337.50,24
12-Dec-13,343.75,347.50,340.00,340.00,104
11-Dec-13,355.00,355.00,345.00,347.50,109
10-Dec-13,352.50,352.50,345.00,347.50,50
9-Dec-13,340.00,347.50,340.00,341.25,189
6-Dec-13,342.50,347.50,340.00,341.25,49
5-Dec-13,342.50,372.50,342.50,342.50,210
4-Dec-13,352.50,352.50,343.75,343.75,36
3-Dec-13,345.00,357.50,338.75,352.50,132
2-Dec-13,348.75,362.50,345.00,347.50,61
29-Nov-13,362.50,362.50,346.25,362.50,9
27-Nov-13,350.00,357.50,343.75,357.50,81
26-Nov-13,350.00,362.50,342.50,350.00,165
25-Nov-13,362.50,362.50,326.25,350.00,119
22-Nov-13,337.50,362.50,325.25,362.50,356
21-Nov-13,347.50,347.50,325.25,337.50,32
20-Nov-13,327.50,347.50,325.25,347.50,56
19-Nov-13,360.00,360.00,332.50,347.50,132
18-Nov-13,332.50,360.00,325.00,360.00,69
15-Nov-13,350.00,360.00,332.75,352.50,70
14-Nov-13,350.00,357.50,350.00,350.00,47
13-Nov-13,343.75,350.00,337.50,337.50,15
12-Nov-13,333.25,350.00,332.50,350.00,161
11-Nov-13,345.00,350.00,337.50,342.50,79
8-Nov-13,337.50,350.00,326.25,327.50,33
7-Nov-13,345.00,450.00,343.75,350.00,21
6-Nov-13,343.75,372.50,343.75,343.75,45
5-Nov-13,337.50,372.50,337.50,367.50,130
4-Nov-13,362.50,362.50,337.50,362.50,18
1-Nov-13,335.00,362.50,335.00,362.50,37
31-Oct-13,375.00,375.00,332.50,345.00,66
30-Oct-13,375.00,375.00,362.50,362.50,41
29-Oct-13,375.00,392.25,317.50,375.00,63
28-Oct-13,380.00,380.00,362.50,375.00,148
25-Oct-13,423.75,425.00,363.75,377.50,106
24-Oct-13,324.75,367.50,317.50,362.50,351
23-Oct-13,325.00,325.00,312.50,317.50,106
22-Oct-13,325.00,325.00,317.50,325.00,53
21-Oct-13,325.00,336.25,317.50,317.50,117
18-Oct-13,331.25,349.75,325.00,325.00,263
17-Oct-13,375.00,375.00,337.50,349.75,143
16-Oct-13,385.00,385.00,350.25,375.00,48
15-Oct-13,380.00,385.00,375.00,375.00,98
14-Oct-13,387.50,387.50,375.00,380.00,105
11-Oct-13,378.75,397.50,378.75,387.50,101
10-Oct-13,392.50,400.00,375.00,387.50,92
9-Oct-13,400.00,400.00,375.00,375.00,101
8-Oct-13,400.00,412.25,378.75,411.25,44
7-Oct-13,411.75,412.50,387.50,400.00,160
4-Oct-13,392.75,423.75,387.50,393.75,96
3-Oct-13,423.75,423.75,397.25,397.25,34
2-Oct-13,425.00,425.00,392.50,400.00,221
1-Oct-13,411.75,425.00,406.25,406.25,39
30-Sep-13,392.75,425.00,387.50,412.50,171
27-Sep-13,431.25,437.25,400.25,415.00,19
26-Sep-13,397.50,450.00,397.50,406.25,164
25-Sep-13,462.50,462.50,400.00,422.50,298
24-Sep-13,437.50,437.50,400.00,437.50,250
23-Sep-13,436.25,437.50,400.00,437.50,56
20-Sep-13,402.50,437.50,402.50,425.00,41
19-Sep-13,425.00,432.50,402.50,402.50,91
18-Sep-13,425.00,425.00,400.00,402.50,33
17-Sep-13,425.00,432.50,412.50,412.50,120
16-Sep-13,435.00,437.50,401.25,425.00,27
13-Sep-13,450.00,450.00,415.25,435.00,31
12-Sep-13,405.00,450.00,400.25,450.00,170
11-Sep-13,399.50,450.00,387.50,400.25,125
10-Sep-13,400.00,400.00,387.50,387.50,53
9-Sep-13,400.00,400.00,387.50,400.00,22
6-Sep-13,377.50,412.50,377.50,387.50,118
5-Sep-13,380.25,397.50,380.25,397.50,58
4-Sep-13,387.50,400.00,375.00,390.00,101
3-Sep-13,412.50,437.50,387.50,400.00,96
30-Aug-13,400.00,450.00,376.25,400.00,144
29-Aug-13,400.00,400.00,375.00,375.00,173
28-Aug-13,406.25,412.50,375.00,400.00,106
27-Aug-13,388.75,422.50,388.75,412.50,129
26-Aug-13,437.50,437.50,388.75,388.75,117
23-Aug-13,425.00,437.50,400.00,425.00,221
22-Aug-13,437.50,462.50,415.00,462.50,137
21-Aug-13,417.50,460.00,417.50,437.50,40
20-Aug-13,475.00,475.00,415.00,460.00,130
19-Aug-13,475.00,475.00,452.50,452.50,242
16-Aug-13,487.50,487.50,450.00,475.00,114
15-Aug-13,500.00,512.25,450.00,481.25,227
14-Aug-13,500.00,512.50,452.50,500.00,226
13-Aug-13,446.75,550.00,440.00,487.50,470
12-Aug-13,435.00,460.00,395.00,460.00,365
9-Aug-13,447.50,447.50,404.00,437.50,134
8-Aug-13,450.00,462.50,387.50,450.00,312
7-Aug-13,700.00,732.50,400.00,450.00,2687
6-Aug-13,497.50,672.50,467.50,662.50,1125
5-Aug-13,412.50,500.00,400.00,467.50,781
2-Aug-13,355.00,450.00,350.00,400.00,656
1-Aug-13,337.50,355.00,337.50,350.00,156
31-Jul-13,337.50,337.50,335.00,337.50,43
30-Jul-13,330.00,337.50,319.00,325.00,44
29-Jul-13,337.50,337.50,322.25,325.00,156
26-Jul-13,337.25,337.50,320.00,335.00,224
25-Jul-13,360.00,362.50,317.50,337.25,205
24-Jul-13,317.50,360.00,300.00,300.25,601
23-Jul-13,303.75,322.50,300.00,314.75,93
22-Jul-13,312.50,327.50,287.50,305.00,660
19-Jul-13,287.50,287.50,272.50,280.00,66
18-Jul-13,287.50,287.50,270.00,287.50,87
17-Jul-13,265.00,297.50,265.00,280.00,51
16-Jul-13,325.00,325.00,263.75,285.00,115
15-Jul-13,323.75,325.00,300.00,325.00,46
12-Jul-13,312.50,323.75,300.00,323.75,68
11-Jul-13,300.00,325.00,287.50,305.00,66
10-Jul-13,297.50,300.00,287.50,300.00,78
9-Jul-13,275.00,297.50,275.00,287.50,56
8-Jul-13,275.00,275.00,275.00,275.00,21
5-Jul-13,250.00,280.00,250.00,275.00,117
3-Jul-13,262.50,262.50,255.00,255.00,17
2-Jul-13,262.50,262.50,255.00,262.50,51
1-Jul-13,255.00,255.00,240.00,255.00,90
28-Jun-13,275.00,275.00,240.00,255.00,385
27-Jun-13,300.00,309.75,275.00,275.00,164
26-Jun-13,322.00,327.50,300.50,310.00,786
25-Jun-13,260.00,337.50,257.25,310.00,1139
24-Jun-13,237.50,252.50,237.50,252.50,104
21-Jun-13,250.00,256.25,237.50,256.25,125
20-Jun-13,261.25,261.25,237.50,250.00,35
19-Jun-13,262.50,262.50,232.50,239.00,89
18-Jun-13,270.00,275.00,237.50,237.50,291
17-Jun-13,250.00,275.00,250.00,275.00,308
14-Jun-13,257.50,258.75,237.50,237.50,28
13-Jun-13,250.00,258.75,250.00,258.75,29
12-Jun-13,255.00,262.50,240.00,262.50,193
11-Jun-13,250.00,257.50,237.50,257.50,30
10-Jun-13,237.50,272.50,235.00,247.50,76
7-Jun-13,237.50,237.50,231.25,237.50,15
6-Jun-13,247.50,247.50,230.50,231.25,104
5-Jun-13,247.75,249.75,230.00,247.50,79
4-Jun-13,246.00,249.75,227.50,232.50,60
3-Jun-13,210.00,246.00,210.00,245.00,10
31-May-13,247.25,250.00,225.00,247.25,116
30-May-13,228.75,250.00,215.00,247.50,128
29-May-13,250.00,261.00,250.00,256.25,134
28-May-13,245.00,261.00,231.25,250.00,54
24-May-13,250.00,250.00,250.00,250.00,23
23-May-13,243.75,250.00,240.00,250.00,24
22-May-13,245.00,261.25,240.25,240.25,179
21-May-13,262.50,270.50,250.00,262.50,75
20-May-13,274.50,274.50,250.25,272.00,49
17-May-13,274.50,275.00,250.00,275.00,47
16-May-13,262.50,274.50,250.00,274.50,84
15-May-13,275.00,275.00,255.00,275.00,52
14-May-13,262.50,275.00,250.00,275.00,111
13-May-13,250.00,267.50,250.00,262.50,66
10-May-13,250.00,267.50,250.00,262.50,66
9-May-13,267.50,267.50,255.00,255.00,39
8-May-13,272.25,273.75,250.00,267.50,136
7-May-13,252.75,272.25,240.00,272.25,70
6-May-13,273.75,275.00,252.75,272.50,46
3-May-13,272.50,275.00,252.50,275.00,136
2-May-13,272.50,272.50,250.25,272.50,11
1-May-13,250.00,272.50,250.00,272.50,12
30-Apr-13,250.00,275.00,250.00,262.50,109
29-Apr-13,275.00,287.50,250.00,250.00,126
26-Apr-13,287.50,287.50,280.00,287.50,7
25-Apr-13,286.25,300.00,275.00,275.50,112
24-Apr-13,270.75,298.75,265.00,286.25,19
23-Apr-13,262.50,300.00,262.50,300.00,195
22-Apr-13,275.00,280.00,262.50,262.50,94
19-Apr-13,275.00,275.00,240.00,275.00,36
18-Apr-13,275.00,275.00,257.50,270.00,64
17-Apr-13,267.50,300.00,250.00,270.00,353
16-Apr-13,250.00,257.25,242.50,257.25,105
15-Apr-13,220.00,260.00,218.75,257.50,244
12-Apr-13,247.50,249.75,225.00,226.00,48
11-Apr-13,242.50,247.50,225.00,247.50,14
10-Apr-13,262.50,262.50,225.25,242.50,20
9-Apr-13,232.50,250.00,225.00,247.50,55
8-Apr-13,237.25,250.00,222.50,237.50,116
5-Apr-13,249.50,249.50,225.00,237.50,82
4-Apr-13,250.00,250.00,225.00,249.50,31
3-Apr-13,262.25,262.25,225.00,250.00,111
2-Apr-13,262.50,262.50,262.25,262.25,3
1-Apr-13,262.50,262.50,225.25,262.50,99
28-Mar-13,274.75,274.75,252.75,274.75,65
27-Mar-13,262.50,275.00,250.25,274.75,73
26-Mar-13,262.50,287.50,255.00,275.00,99
25-Mar-13,275.25,292.50,262.50,272.50,165
22-Mar-13,275.00,275.00,262.50,272.50,88
21-Mar-13,272.00,285.00,262.50,275.00,228
20-Mar-13,287.50,287.50,250.00,272.00,169
19-Mar-13,307.50,307.50,265.00,297.00,171
18-Mar-13,340.00,350.00,277.50,302.50,654
15-Mar-13,300.00,375.00,300.00,350.00,696
14-Mar-13,275.00,310.00,262.50,300.00,787
13-Mar-13,240.00,272.50,235.00,270.00,358
12-Mar-13,225.00,242.50,225.00,238.75,40
11-Mar-13,221.75,235.00,221.75,235.00,78
8-Mar-13,235.00,237.50,219.00,225.00,134
7-Mar-13,219.25,235.00,216.25,225.00,99
6-Mar-13,227.50,230.00,216.25,230.00,43
5-Mar-13,205.00,230.00,205.00,227.50,52
4-Mar-13,225.00,230.00,205.00,230.00,51
1-Mar-13,220.00,237.50,212.50,225.00,184
28-Feb-13,200.00,237.50,200.00,220.00,299
27-Feb-13,193.75,200.00,187.50,197.50,190
26-Feb-13,192.50,195.00,184.75,195.00,50
25-Feb-13,192.50,192.50,187.50,192.50,72
22-Feb-13,194.75,194.75,177.50,192.50,74
21-Feb-13,197.50,197.50,185.00,197.25,62
20-Feb-13,190.00,197.50,187.50,197.50,101
19-Feb-13,212.25,212.25,185.00,192.50,190
15-Feb-13,200.00,205.00,190.25,205.00,164
14-Feb-13,206.25,209.75,200.25,200.75,58
13-Feb-13,212.00,217.50,200.00,212.25,39
12-Feb-13,220.00,220.00,200.00,200.00,145
11-Feb-13,206.25,225.00,200.00,220.00,122
8-Feb-13,201.25,206.25,200.00,206.25,161
7-Feb-13,200.00,212.50,200.00,210.00,27
6-Feb-13,200.00,209.75,195.00,195.00,113
5-Feb-13,208.75,208.75,197.50,205.00,103
4-Feb-13,200.00,200.00,192.50,200.00,37
1-Feb-13,192.50,210.00,192.50,200.00,29
31-Jan-13,197.50,210.00,192.50,197.50,178
30-Jan-13,200.00,205.00,195.00,205.00,89
29-Jan-13,195.00,200.00,195.00,200.00,28
28-Jan-13,207.50,211.25,198.25,200.00,98
25-Jan-13,210.75,225.00,193.75,207.50,237
24-Jan-13,212.50,220.00,192.50,202.50,189
23-Jan-13,191.50,217.50,191.50,200.00,149
22-Jan-13,207.50,207.50,191.25,200.00,39
18-Jan-13,182.50,207.50,182.50,207.50,168
17-Jan-13,195.00,199.75,190.00,190.00,17
16-Jan-13,215.00,215.00,187.50,187.50,76
15-Jan-13,198.75,200.00,187.50,199.75,89
14-Jan-13,197.50,198.75,182.50,187.50,84
11-Jan-13,187.50,200.00,177.50,197.50,127
10-Jan-13,181.50,205.00,180.50,187.50,58
9-Jan-13,210.00,210.00,187.50,200.00,329
8-Jan-13,177.50,212.50,177.50,192.50,146
7-Jan-13,190.00,205.00,178.00,178.00,364
4-Jan-13,187.50,187.50,175.00,187.50,47
