Date,Open,High,Low,Close,Volume
31-Dec-14,4.05,4.09,3.93,3.97,452932
30-Dec-14,3.97,4.10,3.96,4.01,397056
29-Dec-14,4.15,4.28,3.96,4.00,754305
26-Dec-14,3.90,4.15,3.85,4.13,754532
24-Dec-14,3.89,3.94,3.81,3.85,266464
23-Dec-14,3.98,4.00,3.78,3.85,596265
22-Dec-14,4.03,4.08,3.86,3.95,851136
19-Dec-14,4.00,4.26,3.92,3.99,2866601
18-Dec-14,3.75,3.96,3.59,3.92,2856975
17-Dec-14,3.26,3.37,3.23,3.35,570360
16-Dec-14,3.24,3.33,3.22,3.26,503684
15-Dec-14,3.27,3.40,3.24,3.27,825834
12-Dec-14,3.08,3.24,3.05,3.22,1091005
11-Dec-14,3.04,3.15,3.00,3.15,481146
10-Dec-14,3.27,3.27,3.02,3.03,548126
9-Dec-14,3.24,3.30,3.17,3.27,624936
8-Dec-14,3.12,3.49,3.11,3.26,1524423
5-Dec-14,2.99,3.13,2.99,3.11,586863
4-Dec-14,3.03,3.06,2.98,2.99,385699
3-Dec-14,2.98,3.07,2.97,3.03,490544
2-Dec-14,2.98,3.01,2.97,3.00,285387
1-Dec-14,2.97,3.02,2.95,2.96,303686
28-Nov-14,3.00,3.04,2.96,2.96,244996
26-Nov-14,2.95,3.01,2.95,3.00,304653
25-Nov-14,2.94,3.00,2.91,2.96,265390
24-Nov-14,2.93,2.96,2.90,2.95,243581
21-Nov-14,3.02,3.02,2.92,2.93,218340
20-Nov-14,2.91,2.98,2.88,2.97,196531
19-Nov-14,2.96,2.97,2.88,2.93,288304
18-Nov-14,3.00,3.00,2.94,2.96,215634
17-Nov-14,2.98,3.00,2.93,2.97,340681
14-Nov-14,2.99,3.00,2.93,2.98,373706
13-Nov-14,2.99,3.08,2.96,2.98,305837
12-Nov-14,3.05,3.10,2.99,3.01,319459
11-Nov-14,3.02,3.16,2.94,3.07,467148
10-Nov-14,3.05,3.05,2.96,3.04,301008
7-Nov-14,3.07,3.07,2.94,3.02,268865
