Date,Open,High,Low,Close,Volume
31-Dec-14,56.87,57.18,55.44,55.47,74754
30-Dec-14,56.21,56.95,56.21,56.78,81269
29-Dec-14,55.82,56.41,55.73,56.35,81348
26-Dec-14,55.41,55.91,55.13,55.69,75311
24-Dec-14,54.69,55.32,54.26,55.18,30003
23-Dec-14,53.81,54.87,53.20,54.63,63361
22-Dec-14,52.38,53.65,52.38,53.60,157741
19-Dec-14,53.75,53.78,52.05,52.44,602984
18-Dec-14,54.38,54.38,53.73,53.85,137612
17-Dec-14,53.19,54.06,52.92,53.80,186704
16-Dec-14,53.61,54.14,53.03,53.19,131283
15-Dec-14,54.53,54.71,53.07,53.74,202298
12-Dec-14,55.61,56.27,54.79,54.97,99744
11-Dec-14,56.34,56.85,55.94,56.23,81129
10-Dec-14,56.98,57.11,56.02,56.06,59430
9-Dec-14,56.90,57.12,56.11,57.03,104294
8-Dec-14,57.19,58.28,56.85,56.99,80503
5-Dec-14,57.08,57.75,56.80,57.18,69730
4-Dec-14,57.20,57.90,57.02,57.15,57876
3-Dec-14,57.34,57.83,57.01,57.47,75530
2-Dec-14,56.27,57.58,56.27,57.49,74353
1-Dec-14,56.54,57.71,56.16,56.29,63994
28-Nov-14,57.25,57.57,56.37,56.44,46267
26-Nov-14,56.49,57.53,56.14,57.35,58174
25-Nov-14,56.24,56.80,55.68,56.53,66425
24-Nov-14,55.47,56.35,54.94,56.26,85758
21-Nov-14,56.64,56.89,55.02,55.06,79442
20-Nov-14,54.62,55.97,54.58,55.91,97468
19-Nov-14,54.47,54.51,53.35,54.15,43881
18-Nov-14,54.51,55.28,54.38,54.46,52394
17-Nov-14,54.26,54.56,53.92,54.34,70173
14-Nov-14,55.03,55.19,53.88,54.48,85505
13-Nov-14,55.37,55.66,54.77,54.98,30160
12-Nov-14,55.41,55.41,54.78,55.26,73116
11-Nov-14,55.59,55.59,55.11,55.57,40302
10-Nov-14,55.56,55.66,54.85,55.64,42798
7-Nov-14,55.59,55.65,54.91,55.39,53307
6-Nov-14,55.16,55.71,54.84,55.60,58720
5-Nov-14,55.59,56.01,54.98,55.29,53409
4-Nov-14,54.96,55.87,54.64,55.32,64007
3-Nov-14,56.13,56.42,54.73,55.14,86806
31-Oct-14,60.58,60.58,54.63,55.80,125598
30-Oct-14,54.11,55.15,54.11,54.58,91579
29-Oct-14,54.55,54.95,54.12,54.42,71554
28-Oct-14,53.35,54.58,53.09,54.33,115198
27-Oct-14,53.17,53.50,53.12,53.14,73506
24-Oct-14,53.01,53.43,52.91,53.27,35933
23-Oct-14,53.13,53.31,52.69,52.85,56014
22-Oct-14,53.12,53.48,52.65,52.66,46718
21-Oct-14,52.17,53.08,51.86,52.93,73198
20-Oct-14,51.30,52.00,50.98,52.00,101641
17-Oct-14,52.27,52.27,51.52,51.55,75241
16-Oct-14,50.88,51.80,50.78,51.58,84540
15-Oct-14,51.34,51.72,50.48,51.37,124183
14-Oct-14,52.39,53.23,51.98,52.09,145110
13-Oct-14,51.27,52.43,50.91,51.94,95601
10-Oct-14,50.55,51.71,50.55,51.16,83122
9-Oct-14,51.80,52.08,50.68,50.84,86002
8-Oct-14,50.54,51.76,50.31,51.67,122103
7-Oct-14,50.64,51.32,50.38,50.59,86119
6-Oct-14,51.85,51.95,50.97,50.99,81939
3-Oct-14,51.31,51.81,50.96,51.69,78153
2-Oct-14,49.83,51.04,49.70,50.78,80990
1-Oct-14,50.24,50.33,49.37,49.87,125746
30-Sep-14,50.88,51.56,50.31,50.31,156717
29-Sep-14,51.39,51.44,50.53,50.94,111113
26-Sep-14,51.49,52.09,51.10,51.70,120126
25-Sep-14,51.76,51.91,51.09,51.50,95766
24-Sep-14,51.49,51.78,51.00,51.76,57591
23-Sep-14,52.77,53.00,51.19,51.25,118388
22-Sep-14,52.46,52.98,52.04,52.79,103671
19-Sep-14,53.11,53.35,52.44,52.65,278393
18-Sep-14,53.40,53.44,52.92,53.18,136713
17-Sep-14,53.16,53.56,52.87,53.07,94198
16-Sep-14,53.01,53.21,52.29,53.01,103003
15-Sep-14,52.45,52.96,52.37,52.80,56541
12-Sep-14,53.16,53.16,52.36,52.52,64274
11-Sep-14,52.31,53.13,52.31,53.00,80919
10-Sep-14,52.05,52.67,52.00,52.53,57571
9-Sep-14,52.69,52.69,51.87,52.16,84718
8-Sep-14,52.67,52.82,52.09,52.69,40190
5-Sep-14,52.62,52.90,52.40,52.57,26144
4-Sep-14,53.03,53.15,52.58,52.84,62861
3-Sep-14,53.25,53.25,52.70,52.83,72716
2-Sep-14,52.88,53.23,52.07,52.98,77364
29-Aug-14,52.42,52.70,52.31,52.64,48177
28-Aug-14,53.12,53.12,52.34,52.43,54338
27-Aug-14,52.88,53.41,52.66,53.18,67976
26-Aug-14,52.53,53.11,52.23,52.83,99216
25-Aug-14,53.77,53.77,52.53,52.60,83070
22-Aug-14,53.48,54.00,52.95,53.38,51647
21-Aug-14,52.14,53.57,51.90,53.37,73792
20-Aug-14,52.43,52.43,52.00,52.11,57362
19-Aug-14,52.74,53.19,52.42,52.68,43561
18-Aug-14,53.23,53.25,52.55,52.83,96895
15-Aug-14,52.92,53.01,52.17,52.76,93738
14-Aug-14,51.53,52.47,51.53,52.41,74990
13-Aug-14,51.00,51.80,50.89,51.38,132010
12-Aug-14,50.92,51.48,50.71,50.99,46749
11-Aug-14,51.03,51.66,50.93,51.31,72167
8-Aug-14,50.50,51.20,50.44,50.81,118845
7-Aug-14,51.51,51.51,50.56,50.61,98066
6-Aug-14,51.22,51.79,51.02,51.37,114902
5-Aug-14,50.70,51.67,49.69,51.55,127489
4-Aug-14,50.41,53.13,49.78,50.19,97160
1-Aug-14,50.01,50.38,49.33,50.06,96393
31-Jul-14,49.88,50.30,49.76,49.81,118423
30-Jul-14,51.25,51.25,50.06,50.17,144753
29-Jul-14,52.08,52.27,50.80,50.86,154163
28-Jul-14,51.48,52.01,50.75,51.91,77398
25-Jul-14,51.75,52.05,50.96,51.36,83861
24-Jul-14,53.07,53.21,52.08,52.15,148242
23-Jul-14,52.20,53.05,51.92,52.99,124453
22-Jul-14,52.05,52.40,51.95,52.08,101605
21-Jul-14,51.62,52.25,51.62,52.05,102816
18-Jul-14,50.77,52.07,50.77,51.92,127715
17-Jul-14,51.44,51.56,50.84,50.96,85610
16-Jul-14,52.50,52.67,51.19,51.60,101609
15-Jul-14,52.61,52.96,52.02,52.38,227564
14-Jul-14,53.47,53.47,52.85,53.04,150989
11-Jul-14,51.28,52.98,51.28,52.81,172011
10-Jul-14,50.72,52.27,49.88,51.51,218982
9-Jul-14,52.00,52.42,51.36,51.55,163688
8-Jul-14,50.99,52.26,50.83,51.76,240004
7-Jul-14,51.18,51.45,50.64,51.05,76686
3-Jul-14,51.49,51.75,50.94,51.31,52864
2-Jul-14,51.55,51.95,51.09,51.21,76928
1-Jul-14,51.33,52.38,51.33,51.56,140991
30-Jun-14,50.76,51.45,50.58,51.11,143706
27-Jun-14,49.97,51.02,49.97,50.94,582883
26-Jun-14,50.28,50.34,49.53,50.27,119998
25-Jun-14,49.63,50.26,49.63,50.18,87154
24-Jun-14,49.90,50.20,49.53,49.71,100599
23-Jun-14,50.34,50.45,49.55,49.78,155462
20-Jun-14,51.05,51.05,50.25,50.52,240634
19-Jun-14,50.92,51.15,50.25,51.06,114789
18-Jun-14,50.81,50.94,50.00,50.67,240897
17-Jun-14,50.10,51.00,49.59,50.89,138801
16-Jun-14,49.82,49.92,49.26,49.85,156839
13-Jun-14,49.47,50.12,49.11,49.92,119017
12-Jun-14,48.80,49.33,48.65,49.17,176071
11-Jun-14,49.12,49.87,49.09,49.10,139265
10-Jun-14,49.70,49.92,49.00,49.33,103173
9-Jun-14,49.48,50.26,49.21,50.00,120345
6-Jun-14,49.89,50.31,49.41,49.63,149750
5-Jun-14,48.02,49.57,47.62,49.57,186713
4-Jun-14,46.61,47.94,46.61,47.87,136975
3-Jun-14,47.39,47.72,46.68,46.75,222007
2-Jun-14,48.49,48.64,47.43,47.71,86218
30-May-14,48.53,48.69,48.32,48.45,132003
29-May-14,47.84,48.64,47.48,48.42,124201
28-May-14,48.10,48.39,47.77,48.12,127892
27-May-14,47.46,48.19,47.08,48.09,150415
23-May-14,46.83,47.17,46.53,47.02,213717
22-May-14,46.38,46.94,45.98,46.70,128872
21-May-14,46.07,46.40,45.32,46.13,82210
20-May-14,46.07,46.29,45.27,45.77,117264
19-May-14,46.01,46.76,46.01,46.32,95514
16-May-14,45.75,46.41,45.55,46.25,94331
15-May-14,46.04,46.37,45.40,45.85,95325
14-May-14,47.10,47.59,46.11,46.12,114957
13-May-14,47.29,47.59,47.02,47.25,161024
12-May-14,46.20,47.56,46.20,47.29,138283
9-May-14,45.09,46.51,45.09,46.45,147260
8-May-14,45.94,46.76,45.31,45.43,131838
7-May-14,45.14,46.01,45.11,45.82,206954
6-May-14,45.60,47.15,44.91,44.91,194350
5-May-14,44.77,45.47,44.61,45.21,130192
2-May-14,45.23,45.50,45.12,45.17,99576
1-May-14,44.22,45.23,43.73,45.02,111568
30-Apr-14,44.95,45.00,44.17,44.42,187172
29-Apr-14,45.70,45.90,44.88,44.99,85996
28-Apr-14,46.15,46.48,45.20,45.42,79659
25-Apr-14,46.08,46.53,45.84,45.90,148016
24-Apr-14,46.69,46.69,46.15,46.33,80646
23-Apr-14,46.36,46.75,46.25,46.38,76508
22-Apr-14,46.09,46.65,46.04,46.35,91526
21-Apr-14,46.43,46.50,46.00,46.16,101052
17-Apr-14,45.91,46.50,45.91,46.25,91757
16-Apr-14,46.34,46.35,45.75,45.92,104868
15-Apr-14,46.02,46.15,45.43,45.96,181828
14-Apr-14,46.02,46.61,45.81,45.86,229780
11-Apr-14,45.25,46.08,45.25,45.72,147551
10-Apr-14,46.47,46.81,45.65,45.74,117461
9-Apr-14,46.52,46.55,45.95,46.41,106401
8-Apr-14,45.59,46.63,45.54,46.24,124640
7-Apr-14,45.66,45.99,45.31,45.64,110509
4-Apr-14,46.86,47.08,45.66,45.82,125752
3-Apr-14,46.21,47.00,45.88,46.47,134633
2-Apr-14,46.16,46.48,45.88,46.07,79185
1-Apr-14,45.88,46.23,45.56,46.02,117522
31-Mar-14,44.99,46.06,44.85,45.85,140096
28-Mar-14,44.75,45.39,44.57,44.69,133902
27-Mar-14,45.36,45.78,44.78,44.85,116609
26-Mar-14,46.61,46.68,45.21,45.35,135995
25-Mar-14,45.91,46.34,45.76,46.24,204264
24-Mar-14,46.56,46.56,45.71,45.91,125837
21-Mar-14,46.31,46.84,45.86,46.39,152980
20-Mar-14,46.15,46.84,45.91,46.02,91589
19-Mar-14,46.46,46.92,45.99,46.12,136467
18-Mar-14,46.00,46.89,46.00,46.46,179668
17-Mar-14,44.76,46.32,44.71,45.95,226901
14-Mar-14,44.57,45.27,44.12,44.42,112463
13-Mar-14,44.25,44.81,44.08,44.60,101946
12-Mar-14,43.54,44.40,43.54,44.25,98974
11-Mar-14,44.19,44.55,43.52,43.92,113526
10-Mar-14,44.07,44.58,43.74,44.53,82997
7-Mar-14,44.93,45.16,44.14,44.26,94285
6-Mar-14,44.26,44.78,44.06,44.55,88764
5-Mar-14,44.36,44.39,43.87,44.18,87565
4-Mar-14,44.02,44.95,44.02,44.56,158943
3-Mar-14,43.74,43.80,42.94,43.49,70038
28-Feb-14,43.91,44.60,43.64,44.14,127968
27-Feb-14,43.80,44.00,43.47,43.80,99235
26-Feb-14,44.32,44.79,43.85,44.09,101625
25-Feb-14,44.94,44.95,44.19,44.34,69665
24-Feb-14,44.51,45.09,43.84,44.79,137905
21-Feb-14,44.49,45.03,44.20,44.54,146174
20-Feb-14,44.30,44.67,43.93,44.55,88612
19-Feb-14,45.01,45.62,44.24,44.38,87485
18-Feb-14,44.89,45.51,44.80,45.26,124902
14-Feb-14,44.24,45.04,44.01,44.92,93623
13-Feb-14,43.36,44.50,43.36,44.25,96574
12-Feb-14,44.02,44.08,43.25,43.61,149502
11-Feb-14,43.90,44.23,43.69,43.94,135760
10-Feb-14,44.06,44.37,43.26,44.07,112451
7-Feb-14,44.11,45.01,43.85,44.25,101614
6-Feb-14,43.34,44.13,43.25,44.12,110965
5-Feb-14,43.32,43.66,43.06,43.35,76496
4-Feb-14,44.00,44.11,43.22,43.44,91224
3-Feb-14,45.00,45.01,43.62,43.89,153462
31-Jan-14,44.90,45.81,44.62,44.99,209484
30-Jan-14,45.44,46.18,45.06,45.68,73283
29-Jan-14,45.01,45.97,44.85,45.17,87920
28-Jan-14,45.64,46.36,45.46,45.82,195716
27-Jan-14,47.05,47.05,45.09,45.13,85964
24-Jan-14,46.06,46.13,45.20,45.51,124686
23-Jan-14,46.52,46.71,46.09,46.47,110744
22-Jan-14,46.93,46.93,46.63,46.77,100609
21-Jan-14,47.15,47.59,46.78,46.99,130153
17-Jan-14,46.75,47.25,46.11,46.52,62337
16-Jan-14,46.74,47.27,46.59,46.84,99755
15-Jan-14,46.97,47.12,46.71,46.96,98348
14-Jan-14,46.50,46.96,46.13,46.73,101701
13-Jan-14,46.12,46.69,45.89,46.18,159615
10-Jan-14,46.28,46.67,45.63,46.26,108837
9-Jan-14,46.62,46.96,45.89,46.18,165493
8-Jan-14,46.36,46.75,46.14,46.33,218194
7-Jan-14,46.52,46.92,45.99,46.47,141704
6-Jan-14,45.99,46.64,45.66,46.46,222428
3-Jan-14,45.26,46.10,45.26,45.71,182597
2-Jan-14,46.44,46.44,44.84,45.23,195501
31-Dec-13,46.47,46.93,46.38,46.49,99758
30-Dec-13,46.61,46.89,46.15,46.37,106838
27-Dec-13,47.18,47.18,46.19,46.55,121977
26-Dec-13,46.65,46.97,46.25,46.86,107690
24-Dec-13,46.29,46.77,46.01,46.36,39091
23-Dec-13,47.06,47.12,46.17,46.37,148898
20-Dec-13,46.44,47.19,46.26,46.72,231408
19-Dec-13,46.37,46.63,46.01,46.23,51702
18-Dec-13,45.87,46.57,45.38,46.56,115375
17-Dec-13,45.85,45.89,45.34,45.71,113061
16-Dec-13,46.38,46.38,45.77,46.00,161845
13-Dec-13,46.57,46.70,45.98,46.38,157165
12-Dec-13,47.31,47.68,46.39,46.58,105167
11-Dec-13,48.08,48.12,47.17,47.23,157445
10-Dec-13,48.13,48.75,47.78,47.98,385120
9-Dec-13,47.90,48.39,47.30,48.34,162487
6-Dec-13,46.83,48.04,46.66,48.01,135352
5-Dec-13,46.17,46.80,46.14,46.56,222503
4-Dec-13,46.61,47.00,45.88,46.17,142573
3-Dec-13,46.52,47.44,46.52,46.94,116522
2-Dec-13,47.03,47.16,46.47,46.71,143812
29-Nov-13,47.49,47.49,47.08,47.29,50708
27-Nov-13,46.40,47.24,46.33,47.16,44154
26-Nov-13,46.48,46.86,46.22,46.61,69176
25-Nov-13,45.61,46.44,45.61,46.41,75231
22-Nov-13,45.32,45.81,44.84,45.61,207990
21-Nov-13,44.56,45.28,44.54,45.20,75133
20-Nov-13,44.44,44.44,43.95,44.26,134139
19-Nov-13,43.65,44.64,43.58,44.21,143149
18-Nov-13,43.24,43.82,43.11,43.76,138805
15-Nov-13,42.63,43.13,41.50,43.09,110234
14-Nov-13,42.70,42.99,42.38,42.69,43861
13-Nov-13,41.96,42.85,41.88,42.77,152464
12-Nov-13,41.87,42.52,41.76,42.42,92120
11-Nov-13,42.05,42.16,41.69,41.89,90471
8-Nov-13,40.85,42.16,40.59,42.09,147349
7-Nov-13,41.40,41.46,40.56,40.88,81398
6-Nov-13,41.48,41.55,40.98,41.10,66989
5-Nov-13,41.81,42.46,40.43,40.97,67115
4-Nov-13,41.66,42.04,41.50,41.86,111699
1-Nov-13,41.78,42.16,41.18,41.38,103606
31-Oct-13,42.61,42.86,41.97,41.98,78925
30-Oct-13,42.98,42.98,42.29,42.50,73771
29-Oct-13,42.90,43.25,42.64,42.84,80116
28-Oct-13,42.34,42.91,42.25,42.90,163080
25-Oct-13,42.93,42.93,42.32,42.45,134590
24-Oct-13,42.98,42.98,42.63,42.87,117034
23-Oct-13,42.79,43.52,42.03,42.82,68272
22-Oct-13,43.31,43.31,42.19,43.14,217423
21-Oct-13,43.29,43.56,42.96,43.01,153313
18-Oct-13,44.09,44.09,42.71,43.43,196501
17-Oct-13,43.28,44.30,43.26,43.67,67729
16-Oct-13,42.85,43.71,34.57,43.37,118904
15-Oct-13,43.37,43.92,43.01,43.06,91521
14-Oct-13,43.37,43.67,43.23,43.53,98421
11-Oct-13,43.18,43.64,42.72,43.50,118825
10-Oct-13,43.00,43.60,42.05,43.42,73637
9-Oct-13,42.74,42.85,42.10,42.47,132250
8-Oct-13,43.12,43.20,42.53,42.70,201691
7-Oct-13,42.71,43.03,42.50,42.63,198680
4-Oct-13,42.78,43.50,42.67,43.01,94987
3-Oct-13,43.09,43.18,42.62,42.89,80320
2-Oct-13,43.03,43.33,42.88,43.09,42519
1-Oct-13,42.77,43.27,42.59,43.01,83591
30-Sep-13,42.66,43.38,42.49,42.90,104797
27-Sep-13,42.53,43.43,42.53,43.03,99236
26-Sep-13,42.84,42.93,42.06,42.91,64862
25-Sep-13,42.78,42.85,41.88,42.61,141607
24-Sep-13,42.45,42.90,41.92,42.60,134620
23-Sep-13,42.29,42.68,41.72,42.41,74936
20-Sep-13,42.89,43.99,42.00,42.20,297715
19-Sep-13,42.84,43.72,42.51,42.88,132840
18-Sep-13,42.60,43.54,42.28,42.86,81788
17-Sep-13,42.24,43.06,41.97,42.82,48072
