Date,Open,High,Low,Close,Volume
31-Dec-14,24.78,25.00,24.78,24.95,10100
30-Dec-14,24.84,24.84,24.70,24.78,10577
29-Dec-14,24.80,25.07,24.60,24.76,35703
26-Dec-14,25.20,25.20,25.01,25.10,30728
24-Dec-14,25.05,25.07,24.94,25.07,9025
23-Dec-14,25.00,25.11,24.93,25.04,53021
22-Dec-14,24.95,25.05,24.86,25.05,19704
19-Dec-14,24.85,24.90,24.74,24.88,12902
18-Dec-14,24.79,24.85,24.79,24.85,5621
17-Dec-14,24.63,24.81,24.63,24.72,17995
16-Dec-14,24.68,24.75,24.63,24.63,48794
15-Dec-14,24.79,24.80,24.65,24.68,42704
12-Dec-14,24.68,24.83,24.68,24.83,26919
11-Dec-14,24.81,24.89,24.80,24.87,119299
10-Dec-14,24.71,24.81,24.68,24.81,34950
9-Dec-14,24.75,24.82,24.68,24.70,50437
8-Dec-14,24.80,24.89,24.75,24.77,46522
5-Dec-14,24.85,24.86,24.78,24.86,109403
4-Dec-14,24.75,24.87,24.70,24.85,142206
3-Dec-14,24.78,24.85,24.76,24.76,21231
2-Dec-14,24.72,24.77,24.63,24.77,23729
1-Dec-14,24.70,24.74,24.60,24.61,34486
28-Nov-14,24.64,24.70,24.53,24.70,29980
26-Nov-14,24.61,24.68,24.60,24.64,10792
25-Nov-14,24.56,24.60,24.42,24.58,22503
24-Nov-14,24.52,24.56,24.51,24.55,5889
21-Nov-14,24.50,24.63,24.50,24.60,9578
20-Nov-14,24.36,24.50,24.36,24.50,17442
19-Nov-14,24.45,24.49,24.38,24.42,16182
18-Nov-14,24.42,24.50,24.42,24.44,19806
17-Nov-14,24.37,24.54,24.37,24.48,12267
14-Nov-14,24.43,24.45,24.34,24.40,32806
13-Nov-14,24.60,24.60,24.45,24.49,12082
12-Nov-14,24.46,24.55,24.46,24.54,12978
11-Nov-14,24.46,24.50,24.40,24.50,20272
10-Nov-14,24.47,24.47,24.32,24.46,19131
7-Nov-14,24.49,24.50,24.30,24.39,16649
6-Nov-14,24.58,24.58,24.31,24.38,19278
5-Nov-14,24.55,24.59,24.47,24.48,9468
4-Nov-14,24.50,24.55,24.45,24.50,15044
3-Nov-14,24.40,24.70,24.33,24.55,22493
31-Oct-14,24.58,24.67,24.40,24.40,59496
30-Oct-14,24.46,24.65,24.25,24.58,69583
29-Oct-14,24.19,24.36,24.19,24.36,6277
28-Oct-14,24.28,24.39,24.18,24.39,15939
27-Oct-14,24.28,24.28,24.18,24.25,46917
24-Oct-14,24.13,24.25,24.12,24.25,27969
23-Oct-14,24.25,24.25,24.06,24.08,22724
22-Oct-14,24.35,24.35,24.13,24.18,26029
21-Oct-14,24.27,24.27,24.15,24.21,181035
20-Oct-14,24.29,24.29,24.05,24.19,25116
17-Oct-14,24.18,24.34,23.95,24.04,23387
16-Oct-14,23.95,24.02,23.86,23.99,39791
15-Oct-14,23.90,24.01,23.90,23.99,48840
14-Oct-14,24.10,24.10,23.93,23.98,76234
13-Oct-14,24.04,24.10,23.90,23.98,28043
10-Oct-14,24.05,24.11,24.02,24.03,10881
9-Oct-14,24.01,24.15,24.01,24.09,18362
8-Oct-14,24.10,24.20,24.08,24.09,16429
7-Oct-14,24.14,24.25,24.11,24.13,21088
6-Oct-14,24.13,24.35,24.13,24.26,18752
3-Oct-14,24.35,24.35,24.17,24.20,28363
2-Oct-14,24.35,24.35,24.29,24.29,5785
1-Oct-14,24.43,24.43,24.31,24.32,4114
30-Sep-14,24.27,24.45,24.27,24.43,46534
29-Sep-14,24.27,24.40,24.20,24.40,13453
26-Sep-14,24.54,24.62,24.45,24.62,37125
25-Sep-14,24.49,24.56,24.49,24.54,7329
24-Sep-14,24.59,24.64,24.40,24.56,19035
23-Sep-14,24.61,24.66,24.40,24.54,33886
22-Sep-14,24.42,24.56,24.35,24.56,20524
19-Sep-14,24.52,24.57,24.44,24.48,18024
18-Sep-14,24.48,24.59,24.42,24.48,20057
17-Sep-14,24.30,24.52,24.30,24.41,46597
16-Sep-14,24.40,24.56,24.36,24.44,19959
15-Sep-14,24.40,24.49,24.36,24.39,46184
12-Sep-14,24.59,24.59,24.39,24.41,51759
11-Sep-14,24.61,24.65,24.56,24.63,14624
10-Sep-14,24.64,24.69,24.52,24.60,30457
9-Sep-14,24.71,24.75,24.64,24.70,15219
8-Sep-14,24.74,24.94,24.69,24.75,35350
5-Sep-14,24.65,24.73,24.53,24.63,21777
4-Sep-14,24.81,24.85,24.60,24.61,21182
3-Sep-14,24.97,24.97,24.83,24.85,28616
2-Sep-14,24.90,24.99,24.62,24.99,39789
29-Aug-14,25.09,25.09,24.82,24.86,23465
28-Aug-14,25.00,25.06,24.93,24.96,75169
27-Aug-14,24.89,25.00,24.87,25.00,116550
26-Aug-14,24.79,24.86,24.76,24.86,7458
25-Aug-14,24.77,24.90,24.76,24.86,50387
22-Aug-14,24.72,24.84,24.66,24.77,13566
21-Aug-14,24.75,24.85,24.75,24.79,11510
20-Aug-14,24.74,24.79,24.63,24.75,22535
19-Aug-14,24.66,24.75,24.62,24.74,25257
18-Aug-14,24.75,24.75,24.56,24.57,41658
15-Aug-14,24.75,24.75,24.57,24.65,16688
14-Aug-14,24.64,24.75,24.64,24.66,9491
13-Aug-14,24.70,24.70,24.57,24.59,12368
12-Aug-14,24.68,24.69,24.54,24.60,26315
11-Aug-14,24.59,24.70,24.50,24.69,21165
8-Aug-14,24.44,24.50,24.42,24.47,15060
7-Aug-14,24.25,24.44,24.25,24.43,29242
6-Aug-14,24.18,24.72,24.18,24.33,93403
5-Aug-14,24.19,24.38,24.19,24.30,61563
4-Aug-14,24.50,24.50,24.20,24.25,45433
1-Aug-14,24.28,24.68,24.07,24.23,81980
31-Jul-14,24.54,24.60,24.20,24.39,88560
30-Jul-14,24.70,24.76,24.56,24.64,54124
29-Jul-14,24.72,24.79,24.66,24.79,34660
28-Jul-14,24.68,24.76,24.64,24.70,68105
25-Jul-14,24.50,24.63,24.50,24.63,26692
24-Jul-14,24.68,24.68,24.48,24.55,172649
23-Jul-14,24.73,24.78,24.59,24.59,193151
22-Jul-14,24.73,24.74,24.66,24.69,69443
21-Jul-14,24.86,24.93,24.73,24.75,59620
18-Jul-14,24.93,24.96,24.76,24.88,371947
17-Jul-14,24.99,25.06,24.88,24.92,63639
16-Jul-14,25.00,25.04,24.93,24.97,217507
15-Jul-14,24.92,25.00,24.86,24.93,61376
14-Jul-14,25.07,25.12,24.97,25.01,98801
11-Jul-14,25.02,25.09,25.00,25.04,110431
10-Jul-14,24.93,25.03,24.92,24.98,311036
9-Jul-14,24.89,24.98,24.89,24.97,150105
8-Jul-14,24.94,24.97,24.85,24.90,22905
7-Jul-14,24.95,24.98,24.91,24.94,202278
3-Jul-14,24.86,24.90,24.76,24.89,17800
2-Jul-14,24.90,24.92,24.81,24.87,86104
1-Jul-14,24.90,24.90,24.85,24.88,99178
30-Jun-14,24.79,24.91,24.79,24.88,81617
27-Jun-14,24.74,24.90,24.73,24.79,115785
26-Jun-14,24.96,25.00,24.90,24.99,114809
25-Jun-14,24.85,24.98,24.82,24.97,131809
24-Jun-14,24.80,24.89,24.80,24.89,33950
23-Jun-14,24.85,24.88,24.79,24.84,49091
20-Jun-14,24.72,24.88,24.70,24.84,47901
19-Jun-14,24.70,24.82,24.70,24.80,56370
18-Jun-14,24.72,24.79,24.70,24.77,31342
17-Jun-14,24.69,24.72,24.65,24.69,56533
16-Jun-14,24.60,24.69,24.60,24.68,101695
13-Jun-14,24.59,24.67,24.54,24.66,37122
12-Jun-14,24.65,24.70,24.63,24.68,16611
11-Jun-14,24.66,24.75,24.66,24.67,22398
10-Jun-14,24.75,24.79,24.65,24.72,49455
9-Jun-14,24.70,24.78,24.66,24.73,68730
6-Jun-14,24.55,24.75,24.55,24.72,33860
5-Jun-14,24.66,24.69,24.58,24.69,54400
4-Jun-14,24.67,24.69,24.50,24.65,156432
3-Jun-14,24.82,24.82,24.67,24.68,83719
2-Jun-14,24.79,24.83,24.78,24.80,44208
30-May-14,24.85,24.85,24.75,24.81,66065
29-May-14,24.83,24.85,24.79,24.82,52240
28-May-14,24.84,24.84,24.76,24.82,85687
27-May-14,24.85,24.85,24.79,24.83,85000
23-May-14,24.90,24.90,24.85,24.87,30685
22-May-14,24.87,24.90,24.83,24.88,119025
21-May-14,24.87,24.88,24.83,24.86,77820
20-May-14,24.84,24.85,24.81,24.82,37901
19-May-14,24.85,24.90,24.84,24.84,94293
16-May-14,24.82,24.90,24.81,24.87,242817
15-May-14,24.85,24.90,24.73,24.76,210243
14-May-14,24.76,24.88,24.63,24.86,379856
13-May-14,24.70,24.80,24.53,24.71,394874
12-May-14,24.70,24.79,24.65,24.74,725735
9-May-14,24.70,24.75,24.61,24.64,595585
8-May-14,24.75,24.75,24.63,24.63,712049
7-May-14,24.70,24.75,24.56,24.73,480300
