Date,Open,High,Low,Close,Volume
31-Dec-14,11.37,11.41,11.20,11.21,53169
30-Dec-14,11.29,11.39,11.29,11.30,42239
29-Dec-14,10.95,11.10,10.91,11.04,69937
26-Dec-14,11.03,11.14,10.98,11.10,32250
24-Dec-14,11.06,11.14,10.99,10.99,34788
23-Dec-14,10.89,11.07,10.87,11.03,40526
22-Dec-14,11.09,11.17,11.02,11.15,87988
19-Dec-14,11.34,11.36,11.21,11.27,52657
18-Dec-14,11.33,11.46,11.31,11.43,51453
17-Dec-14,11.08,11.20,11.04,11.15,114471
16-Dec-14,11.01,11.07,10.80,10.90,91583
15-Dec-14,11.31,11.34,11.00,11.00,132471
12-Dec-14,11.30,11.30,11.07,11.10,135018
11-Dec-14,11.18,11.36,11.15,11.24,117134
10-Dec-14,11.26,11.32,11.17,11.24,128500
9-Dec-14,11.17,11.18,11.09,11.17,114702
8-Dec-14,11.44,11.44,11.22,11.25,86297
5-Dec-14,11.36,11.43,11.30,11.37,133891
4-Dec-14,11.44,11.48,11.38,11.40,97473
3-Dec-14,11.41,11.60,11.41,11.56,127648
2-Dec-14,11.36,11.39,11.28,11.37,60403
1-Dec-14,11.82,11.86,11.56,11.65,119225
28-Nov-14,11.84,11.87,11.75,11.76,41005
26-Nov-14,12.06,12.24,12.06,12.17,60595
25-Nov-14,12.19,12.33,12.13,12.20,153577
24-Nov-14,11.96,11.98,11.89,11.93,124550
21-Nov-14,11.83,11.84,11.70,11.76,117405
20-Nov-14,11.63,11.76,11.62,11.75,126352
19-Nov-14,11.63,11.69,11.57,11.62,271185
18-Nov-14,11.54,11.65,11.52,11.58,349435
17-Nov-14,11.32,11.32,11.23,11.29,106305
14-Nov-14,11.19,11.30,11.12,11.21,145087
13-Nov-14,11.38,11.41,11.23,11.28,157347
12-Nov-14,11.52,11.55,11.32,11.42,141717
11-Nov-14,11.68,11.69,11.43,11.47,176257
10-Nov-14,11.73,11.73,11.65,11.68,70850
7-Nov-14,12.32,12.36,11.93,11.96,186596
6-Nov-14,11.76,11.93,11.73,11.86,78867
5-Nov-14,11.76,11.77,11.60,11.68,123756
4-Nov-14,11.76,11.77,11.56,11.65,84563
3-Nov-14,12.23,12.26,12.08,12.08,44237
31-Oct-14,12.01,12.18,11.96,12.13,114570
30-Oct-14,11.74,12.02,11.49,11.91,154503
29-Oct-14,12.21,12.22,11.95,12.03,120194
28-Oct-14,12.78,12.80,12.58,12.71,89091
27-Oct-14,12.82,13.03,12.76,13.01,46495
24-Oct-14,13.01,13.06,12.95,13.04,90336
23-Oct-14,13.12,13.23,13.09,13.14,75590
22-Oct-14,13.29,13.33,13.05,13.06,47606
21-Oct-14,13.29,13.54,13.27,13.46,58635
20-Oct-14,13.18,13.45,13.17,13.45,47997
17-Oct-14,13.60,13.60,13.38,13.43,68315
16-Oct-14,12.67,13.18,12.66,13.07,77873
15-Oct-14,12.98,13.19,12.80,13.15,71007
14-Oct-14,13.20,13.27,13.06,13.11,83393
13-Oct-14,13.58,13.65,13.27,13.32,89214
10-Oct-14,13.46,13.53,13.24,13.26,56530
9-Oct-14,14.00,14.08,13.50,13.51,57436
8-Oct-14,13.98,14.20,13.85,14.18,84784
7-Oct-14,13.91,13.97,13.76,13.78,30203
6-Oct-14,14.02,14.18,14.02,14.13,50437
3-Oct-14,14.23,14.29,14.15,14.19,31021
2-Oct-14,14.34,14.38,14.16,14.23,101169
1-Oct-14,15.16,15.19,14.92,14.94,58086
30-Sep-14,15.04,15.29,15.00,15.13,81572
29-Sep-14,15.34,15.67,15.28,15.62,106630
26-Sep-14,15.23,15.69,15.12,15.67,275524
25-Sep-14,14.52,14.55,14.15,14.38,370843
24-Sep-14,12.53,12.60,12.48,12.60,25817
23-Sep-14,12.45,12.58,12.39,12.44,40662
22-Sep-14,12.71,12.71,12.54,12.61,26571
19-Sep-14,13.36,13.36,13.10,13.10,52534
18-Sep-14,13.21,13.25,13.14,13.20,28642
17-Sep-14,13.27,13.30,13.18,13.23,10245
16-Sep-14,13.18,13.33,13.14,13.31,28604
15-Sep-14,13.66,13.69,13.58,13.59,24568
12-Sep-14,13.62,13.62,13.45,13.49,59179
11-Sep-14,13.29,13.53,13.27,13.45,136840
10-Sep-14,12.36,12.54,12.36,12.50,13203
9-Sep-14,12.59,12.65,12.48,12.49,24957
8-Sep-14,12.71,12.78,12.63,12.65,22534
5-Sep-14,12.71,12.78,12.66,12.78,20909
4-Sep-14,12.91,13.03,12.81,12.83,50050
3-Sep-14,13.61,13.62,13.41,13.42,70250
2-Sep-14,13.50,13.52,13.32,13.36,64096
29-Aug-14,13.04,13.10,13.04,13.08,9563
28-Aug-14,13.01,13.12,13.01,13.08,15694
27-Aug-14,13.27,13.31,13.19,13.23,38334
26-Aug-14,13.14,13.14,13.08,13.11,14247
25-Aug-14,13.13,13.18,13.05,13.07,32900
22-Aug-14,13.04,13.08,12.99,13.01,30757
21-Aug-14,12.98,13.06,12.87,13.02,79592
20-Aug-14,12.99,13.08,12.92,12.98,53381
19-Aug-14,13.08,13.08,12.93,13.01,60931
18-Aug-14,12.56,12.70,12.56,12.68,15339
15-Aug-14,12.60,12.69,12.45,12.50,27133
14-Aug-14,12.70,12.72,12.61,12.62,33116
13-Aug-14,12.36,12.47,12.30,12.39,33569
12-Aug-14,12.38,12.41,12.34,12.40,28454
11-Aug-14,12.50,12.55,12.45,12.46,49434
8-Aug-14,12.34,12.64,12.29,12.63,50645
7-Aug-14,12.53,12.58,12.31,12.39,78868
6-Aug-14,12.27,12.57,12.25,12.48,56509
5-Aug-14,12.52,12.65,12.43,12.47,114535
4-Aug-14,12.70,12.81,12.64,12.79,71204
1-Aug-14,12.96,12.97,12.70,12.77,108660
31-Jul-14,13.72,13.72,13.48,13.49,29368
30-Jul-14,14.62,14.65,14.41,14.50,115753
29-Jul-14,14.31,14.35,14.11,14.12,86581
28-Jul-14,13.35,13.57,13.24,13.50,39255
25-Jul-14,13.64,13.75,13.58,13.67,19783
24-Jul-14,13.78,13.84,13.72,13.75,30651
23-Jul-14,14.12,14.12,13.98,13.99,17994
22-Jul-14,14.10,14.26,14.10,14.13,71744
21-Jul-14,14.11,14.18,14.06,14.16,17094
