Date,Open,High,Low,Close,Volume
31-Dec-14,50.51,50.51,48.97,50.03,10971
30-Dec-14,50.46,50.65,49.93,50.65,18457
29-Dec-14,50.60,50.60,49.91,50.48,9478
26-Dec-14,50.42,50.57,50.03,50.54,9170
24-Dec-14,50.81,50.84,49.61,49.88,7607
23-Dec-14,50.67,51.83,49.61,50.38,28594
22-Dec-14,48.03,50.06,47.91,50.06,31753
19-Dec-14,46.77,48.36,45.60,48.00,66503
18-Dec-14,44.88,46.96,44.87,46.88,24305
17-Dec-14,43.44,44.94,43.44,44.88,23369
16-Dec-14,43.15,43.48,43.13,43.44,15846
15-Dec-14,42.55,43.25,42.25,43.03,17436
12-Dec-14,41.81,42.50,40.51,42.15,25475
11-Dec-14,42.33,43.75,42.33,42.68,7143
10-Dec-14,42.86,45.00,42.45,42.45,12616
9-Dec-14,42.45,43.23,42.01,42.99,19661
8-Dec-14,40.24,42.84,40.24,42.33,55937
5-Dec-14,40.26,41.80,40.00,41.29,81612
4-Dec-14,40.06,41.00,39.57,40.47,35794
3-Dec-14,37.97,42.43,37.97,40.90,147785
2-Dec-14,35.09,35.94,35.09,35.84,4787
1-Dec-14,35.75,35.75,35.07,35.12,5590
28-Nov-14,36.49,36.49,35.75,35.75,11200
26-Nov-14,36.75,36.75,36.29,36.49,5103
25-Nov-14,36.97,37.14,36.66,36.78,5964
24-Nov-14,36.55,36.56,36.35,36.56,3282
21-Nov-14,36.99,36.99,36.19,36.53,11442
20-Nov-14,36.74,36.84,36.34,36.57,7608
19-Nov-14,37.60,37.60,36.75,36.76,7333
18-Nov-14,37.77,37.91,37.39,37.88,10067
17-Nov-14,37.70,37.98,37.56,37.90,9551
14-Nov-14,37.35,37.90,37.28,37.62,12597
13-Nov-14,37.42,38.03,36.44,37.50,6981
12-Nov-14,37.34,37.98,36.97,37.98,5945
11-Nov-14,37.00,37.95,36.80,37.79,7129
10-Nov-14,36.88,37.00,36.67,36.99,5253
7-Nov-14,36.37,37.15,36.37,37.15,5817
6-Nov-14,36.40,36.83,36.01,36.55,11010
5-Nov-14,37.00,37.00,36.43,36.43,8951
4-Nov-14,37.00,37.00,36.60,36.84,8939
3-Nov-14,36.57,37.17,36.57,37.11,4214
31-Oct-14,37.03,37.03,36.90,36.90,6785
30-Oct-14,36.57,37.00,36.07,36.82,13646
29-Oct-14,36.07,36.84,36.04,36.55,12864
