Date,Open,High,Low,Close,Volume
31-Dec-14,7.08,7.49,7.00,7.22,23633
30-Dec-14,6.90,7.49,6.79,7.01,9908
29-Dec-14,7.09,7.34,6.97,7.10,11839
26-Dec-14,7.89,7.90,6.53,6.65,37307
24-Dec-14,7.57,7.64,7.29,7.52,16182
23-Dec-14,7.90,7.90,7.24,7.32,18157
22-Dec-14,7.86,7.90,7.29,7.83,5629
19-Dec-14,7.29,7.90,7.29,7.44,3723
18-Dec-14,7.00,7.90,6.90,7.46,12728
17-Dec-14,7.27,7.73,6.72,6.74,8020
16-Dec-14,7.59,7.59,7.02,7.05,9380
15-Dec-14,7.70,7.70,7.50,7.60,2860
12-Dec-14,8.38,8.93,7.70,7.80,70812
11-Dec-14,7.90,7.90,7.75,7.90,6531
10-Dec-14,7.85,7.95,7.80,7.85,7707
9-Dec-14,7.80,7.90,7.71,7.71,4187
8-Dec-14,7.34,7.90,7.25,7.80,46337
5-Dec-14,7.50,7.51,7.18,7.19,3350
4-Dec-14,7.34,7.59,7.33,7.39,3606
3-Dec-14,7.64,7.64,7.32,7.55,4415
2-Dec-14,7.15,7.26,7.15,7.26,3000
1-Dec-14,7.08,7.45,7.03,7.34,12260
28-Nov-14,7.13,7.35,7.05,7.22,1995
25-Nov-14,7.20,7.36,7.20,7.35,2705
24-Nov-14,7.43,7.57,7.04,7.51,1610
21-Nov-14,7.11,7.54,7.11,7.53,3385
20-Nov-14,7.57,7.67,7.03,7.25,6961
19-Nov-14,7.20,7.44,7.14,7.33,2178
18-Nov-14,7.46,7.71,7.08,7.22,6919
17-Nov-14,7.60,7.77,7.47,7.65,6848
14-Nov-14,7.76,7.79,7.14,7.47,4450
13-Nov-14,7.86,7.91,7.86,7.91,351
12-Nov-14,7.65,7.91,7.30,7.52,11796
11-Nov-14,7.70,7.95,7.34,7.51,56593
10-Nov-14,7.04,7.92,7.02,7.91,35265
7-Nov-14,7.73,7.73,6.85,7.12,45115
6-Nov-14,7.15,7.77,6.81,7.72,8860
5-Nov-14,7.90,7.93,7.30,7.38,16771
4-Nov-14,6.75,7.99,6.75,7.89,25983
3-Nov-14,6.65,6.90,6.10,6.71,33342
31-Oct-14,7.90,7.91,6.84,6.90,31095
30-Oct-14,7.90,9.00,7.50,7.50,123503
29-Oct-14,8.95,11.99,8.95,9.76,46375
28-Oct-14,8.37,9.60,7.81,8.99,11463
27-Oct-14,7.96,8.24,7.51,8.24,5271
24-Oct-14,7.63,8.10,7.62,7.81,12719
23-Oct-14,6.82,8.20,6.54,7.85,18454
22-Oct-14,7.95,7.95,7.01,7.19,20378
21-Oct-14,5.92,7.99,5.71,7.95,29968
20-Oct-14,5.86,5.89,5.70,5.89,5753
17-Oct-14,5.54,5.88,5.52,5.75,15876
16-Oct-14,5.99,6.00,5.56,5.79,16355
15-Oct-14,5.78,5.98,5.78,5.98,4363
14-Oct-14,5.58,5.99,5.47,5.99,13760
13-Oct-14,5.84,5.99,5.72,5.77,7291
10-Oct-14,5.55,6.01,5.55,5.88,7439
9-Oct-14,5.83,5.90,5.55,5.90,9297
8-Oct-14,5.85,6.04,5.58,5.86,12387
7-Oct-14,5.72,5.87,5.39,5.74,5539
6-Oct-14,5.54,6.00,5.54,5.96,1843
3-Oct-14,6.01,6.05,5.72,6.00,6704
2-Oct-14,5.97,6.00,5.50,6.00,4241
1-Oct-14,5.98,6.00,5.47,5.99,8406
30-Sep-14,5.85,6.12,5.85,5.92,4543
29-Sep-14,5.99,6.15,5.77,5.77,7036
26-Sep-14,5.88,6.11,5.77,6.10,4407
25-Sep-14,6.50,6.50,5.66,6.14,14911
24-Sep-14,6.72,6.72,5.81,6.54,21798
23-Sep-14,6.84,7.15,6.83,6.84,8404
22-Sep-14,7.49,7.63,6.86,7.30,20273
19-Sep-14,7.22,7.40,6.92,7.40,74113
18-Sep-14,7.05,7.10,6.51,6.90,10950
17-Sep-14,6.63,7.27,5.80,6.95,17887
16-Sep-14,6.40,7.25,5.45,6.88,65696
15-Sep-14,5.28,7.40,5.27,6.56,174070
12-Sep-14,4.05,5.04,4.05,5.03,20139
11-Sep-14,4.10,4.15,4.10,4.15,1046
10-Sep-14,4.24,4.25,4.08,4.08,2945
9-Sep-14,4.25,4.25,4.01,4.17,4365
8-Sep-14,4.38,4.38,4.05,4.05,1135
5-Sep-14,4.30,4.49,3.82,4.21,12401
4-Sep-14,3.90,4.18,3.60,3.89,19726
3-Sep-14,3.73,3.73,3.58,3.60,3545
2-Sep-14,4.18,4.18,3.60,3.63,3065
29-Aug-14,3.47,3.47,3.45,3.46,607
28-Aug-14,3.43,3.55,3.31,3.35,1825
27-Aug-14,3.59,3.66,3.40,3.40,10887
26-Aug-14,3.77,3.97,3.59,3.60,24444
25-Aug-14,3.87,3.90,3.82,3.86,6566
22-Aug-14,3.82,3.91,3.82,3.82,6563
21-Aug-14,3.86,4.00,3.80,3.89,4087
20-Aug-14,3.84,4.17,3.84,4.01,7965
19-Aug-14,4.26,4.27,3.76,4.14,6943
18-Aug-14,4.05,4.21,4.00,4.12,16749
15-Aug-14,4.15,4.15,4.02,4.02,1603
14-Aug-14,4.15,4.43,4.00,4.20,9253
13-Aug-14,3.82,4.58,3.77,4.04,8462
12-Aug-14,4.41,4.41,3.90,3.97,5226
11-Aug-14,4.40,4.47,4.22,4.32,11083
8-Aug-14,3.96,4.15,3.85,4.15,5084
7-Aug-14,4.74,4.74,3.82,3.84,14209
6-Aug-14,3.64,3.88,3.28,3.61,13633
5-Aug-14,3.45,3.50,3.25,3.28,12019
4-Aug-14,3.50,3.50,3.00,3.34,20521
1-Aug-14,3.58,3.58,3.11,3.50,6354
31-Jul-14,3.65,3.65,3.28,3.57,19538
30-Jul-14,3.90,3.94,3.65,3.70,7114
29-Jul-14,3.64,4.10,3.64,3.84,42160
28-Jul-14,4.26,4.26,3.54,3.63,55586
25-Jul-14,4.25,4.37,4.25,4.27,9504
24-Jul-14,4.67,4.67,4.25,4.29,13925
23-Jul-14,4.64,4.74,4.45,4.50,17026
22-Jul-14,4.94,4.95,4.71,4.75,5710
21-Jul-14,4.86,5.18,4.75,4.99,14575
18-Jul-14,4.60,5.00,4.60,4.83,12640
