Date,Open,High,Low,Close,Volume
31-Dec-14,16.38,16.50,16.02,16.50,9086
30-Dec-14,16.48,16.50,15.63,16.50,8949
29-Dec-14,16.42,16.50,15.45,16.48,6781
26-Dec-14,15.50,16.44,15.50,16.44,4124
24-Dec-14,14.76,15.21,14.76,15.21,4050
23-Dec-14,14.44,15.00,14.44,14.92,6100
22-Dec-14,14.48,14.91,14.46,14.90,5723
19-Dec-14,14.50,15.00,14.45,14.91,33628
18-Dec-14,14.60,14.77,14.57,14.77,12410
17-Dec-14,14.42,14.60,14.41,14.60,3225
15-Dec-14,14.26,14.50,14.26,14.41,12102
12-Dec-14,14.32,14.51,14.32,14.51,3031
11-Dec-14,14.50,14.50,14.40,14.47,2995
10-Dec-14,14.50,14.50,14.23,14.23,4453
9-Dec-14,14.42,14.50,14.42,14.50,1061
8-Dec-14,14.18,14.49,14.18,14.49,723
5-Dec-14,14.25,14.59,14.11,14.13,2243
4-Dec-14,14.06,14.24,14.04,14.24,735
3-Dec-14,14.23,14.48,14.05,14.05,1343
2-Dec-14,14.16,14.50,13.90,14.10,11794
1-Dec-14,14.50,14.50,13.84,13.84,2573
28-Nov-14,14.49,14.50,13.53,14.49,7803
26-Nov-14,14.05,14.88,13.11,14.50,28844
25-Nov-14,14.30,14.30,14.05,14.05,5683
24-Nov-14,14.04,14.15,14.01,14.15,7265
21-Nov-14,14.06,14.10,14.02,14.04,1700
20-Nov-14,13.95,14.22,13.95,13.95,9349
19-Nov-14,14.00,14.00,13.85,13.99,2162
18-Nov-14,13.75,14.10,13.65,14.00,26826
17-Nov-14,13.98,13.98,13.50,13.75,73163
14-Nov-14,13.60,13.60,13.51,13.59,4687
13-Nov-14,13.53,13.65,13.47,13.65,10255
12-Nov-14,13.74,13.80,13.42,13.51,1311
10-Nov-14,14.08,14.08,13.70,13.70,12462
7-Nov-14,13.83,13.84,13.73,13.79,1626
6-Nov-14,13.32,13.91,13.25,13.72,23552
5-Nov-14,13.40,13.93,13.22,13.24,27434
4-Nov-14,13.30,13.65,13.30,13.55,18836
3-Nov-14,13.27,13.59,13.27,13.52,18600
31-Oct-14,13.24,13.53,13.00,13.27,5951
30-Oct-14,13.38,13.50,13.24,13.24,3488
29-Oct-14,13.44,13.44,13.26,13.38,2417
28-Oct-14,13.26,13.40,13.25,13.36,2041
27-Oct-14,13.01,13.27,13.01,13.26,1148
24-Oct-14,13.55,13.55,13.15,13.15,1775
23-Oct-14,12.85,13.55,12.80,13.33,4282
22-Oct-14,12.86,13.42,12.86,13.42,1899
21-Oct-14,12.78,13.00,12.78,12.93,1505
20-Oct-14,13.38,13.38,12.75,12.75,7694
17-Oct-14,12.88,13.50,12.88,13.49,5919
16-Oct-14,12.74,12.93,12.74,12.90,1504
15-Oct-14,13.02,13.02,12.78,12.79,1927
14-Oct-14,12.72,12.98,12.72,12.98,1683
13-Oct-14,13.00,13.01,12.85,13.01,2434
10-Oct-14,12.88,13.08,12.88,13.02,14525
8-Oct-14,12.96,13.01,12.96,12.99,1040
7-Oct-14,12.88,12.90,12.88,12.88,3023
3-Oct-14,13.26,13.26,12.93,13.11,2386
2-Oct-14,12.80,13.30,12.77,13.30,4327
1-Oct-14,13.05,13.20,12.71,13.20,4479
30-Sep-14,13.18,13.19,13.05,13.19,620
29-Sep-14,13.54,13.54,13.15,13.19,4476
26-Sep-14,13.49,13.64,13.05,13.11,5664
25-Sep-14,13.21,13.40,13.21,13.40,499
24-Sep-14,13.14,13.48,13.14,13.26,2400
23-Sep-14,13.00,13.11,13.00,13.11,3964
22-Sep-14,13.25,13.29,12.84,12.99,13594
19-Sep-14,13.72,13.73,13.25,13.25,7005
18-Sep-14,13.72,13.74,13.72,13.74,1371
17-Sep-14,13.75,13.83,13.55,13.64,13349
16-Sep-14,13.96,13.96,13.56,13.75,2573
15-Sep-14,13.83,13.98,13.39,13.58,6076
12-Sep-14,13.70,14.00,13.69,13.73,5470
11-Sep-14,13.67,13.74,13.58,13.58,4792
10-Sep-14,13.66,13.83,13.59,13.78,5668
9-Sep-14,13.85,13.85,13.70,13.78,1808
8-Sep-14,13.95,13.99,13.65,13.65,3025
5-Sep-14,13.94,13.94,13.66,13.85,1890
4-Sep-14,13.76,13.80,13.60,13.71,7031
3-Sep-14,13.70,13.74,13.50,13.53,17605
2-Sep-14,13.46,13.75,13.37,13.58,4015
29-Aug-14,13.18,13.71,13.12,13.28,14929
28-Aug-14,13.25,13.25,13.10,13.14,1182
27-Aug-14,13.00,13.50,13.00,13.11,79276
26-Aug-14,13.04,13.14,12.92,12.96,2625
25-Aug-14,13.24,13.53,12.82,13.01,6422
22-Aug-14,13.28,13.48,13.11,13.11,2261
21-Aug-14,13.37,13.60,13.05,13.12,6067
20-Aug-14,13.00,14.00,13.00,13.57,16505
19-Aug-14,13.50,13.50,12.02,12.35,8811
18-Aug-14,14.03,14.11,13.46,13.46,1301
15-Aug-14,12.20,12.71,12.19,12.68,5462
14-Aug-14,12.09,12.45,12.05,12.24,9821
13-Aug-14,12.72,12.72,12.02,12.14,22426
12-Aug-14,12.64,12.90,12.50,12.50,6148
11-Aug-14,12.51,12.75,12.51,12.63,3074
8-Aug-14,13.15,13.15,12.50,12.53,1841
7-Aug-14,13.01,13.10,12.94,12.94,4854
6-Aug-14,12.70,13.42,12.70,13.16,4964
5-Aug-14,13.12,13.25,12.14,12.94,3215
4-Aug-14,13.09,13.20,13.00,13.10,4100
1-Aug-14,13.28,13.28,13.01,13.11,2425
31-Jul-14,13.36,13.75,13.28,13.44,9934
29-Jul-14,13.50,13.73,13.50,13.69,2543
28-Jul-14,13.98,13.98,13.36,13.56,3612
25-Jul-14,13.94,13.94,13.67,13.67,1043
24-Jul-14,13.87,13.89,13.76,13.76,604
23-Jul-14,13.73,13.76,13.73,13.76,3167
