Date,Open,High,Low,Close,Volume
31-Dec-14,24.78,24.85,24.20,24.81,13161
30-Dec-14,24.66,24.95,24.61,24.77,2789
29-Dec-14,24.84,25.00,24.76,24.97,10823
26-Dec-14,24.72,24.88,24.50,24.84,5753
24-Dec-14,24.86,24.86,24.82,24.82,1601
23-Dec-14,23.81,24.96,23.81,24.60,16218
22-Dec-14,24.40,24.76,23.89,24.64,9282
19-Dec-14,24.67,24.99,24.17,24.24,55306
18-Dec-14,24.39,24.78,23.72,24.78,19930
17-Dec-14,23.25,24.25,23.25,24.24,13787
16-Dec-14,23.30,23.46,23.25,23.25,14620
15-Dec-14,23.40,23.49,23.25,23.26,12986
12-Dec-14,23.11,23.50,22.81,23.25,19726
11-Dec-14,23.40,23.54,23.25,23.33,16050
10-Dec-14,23.15,23.49,23.01,23.35,15284
9-Dec-14,22.50,23.56,22.03,23.44,23894
8-Dec-14,23.01,23.27,22.50,22.58,15777
5-Dec-14,23.05,23.40,22.83,23.15,15101
4-Dec-14,23.24,23.38,23.06,23.07,10017
3-Dec-14,23.32,23.67,23.05,23.25,15504
2-Dec-14,23.67,23.67,23.17,23.55,24305
1-Dec-14,23.66,23.66,23.05,23.46,23853
28-Nov-14,24.08,24.19,23.40,23.55,17547
26-Nov-14,23.66,24.28,23.54,24.19,23029
25-Nov-14,24.14,24.23,23.70,23.94,16316
24-Nov-14,23.42,24.73,23.37,24.26,29131
21-Nov-14,24.01,24.01,23.26,23.28,11855
20-Nov-14,23.32,23.71,23.25,23.71,14220
19-Nov-14,23.62,23.62,23.03,23.32,7884
18-Nov-14,24.05,24.30,23.53,23.75,17029
17-Nov-14,24.55,24.60,23.99,24.02,15098
14-Nov-14,24.61,24.69,24.30,24.50,11341
13-Nov-14,24.70,24.92,24.40,24.47,10123
12-Nov-14,24.32,24.65,24.20,24.65,17463
11-Nov-14,24.49,24.64,24.21,24.46,16015
10-Nov-14,24.08,24.94,24.07,24.50,26293
7-Nov-14,24.44,24.86,24.13,24.31,27670
6-Nov-14,24.45,24.74,24.20,24.69,17846
5-Nov-14,24.00,24.68,23.76,24.56,13435
4-Nov-14,24.19,24.50,23.95,24.23,11486
3-Nov-14,24.09,24.70,23.92,24.49,23309
31-Oct-14,24.08,24.24,22.93,24.20,37616
30-Oct-14,23.26,23.96,22.96,23.70,19533
29-Oct-14,22.99,23.55,22.90,23.27,13770
28-Oct-14,22.96,23.23,22.02,23.23,17477
27-Oct-14,23.00,23.15,22.70,22.90,7483
24-Oct-14,23.10,23.21,22.83,22.83,7982
23-Oct-14,23.40,23.40,22.78,22.99,14807
22-Oct-14,22.46,23.76,22.46,23.18,43769
21-Oct-14,22.03,22.86,22.03,22.49,25484
20-Oct-14,22.73,22.83,22.04,22.51,14188
17-Oct-14,23.12,23.12,22.32,22.61,17371
16-Oct-14,22.92,23.00,22.27,22.76,22740
15-Oct-14,22.80,23.15,21.84,22.72,24950
14-Oct-14,23.08,23.08,22.78,22.99,17186
13-Oct-14,22.17,23.00,21.89,22.99,13123
10-Oct-14,21.85,22.35,21.69,22.00,12324
9-Oct-14,22.21,22.24,21.76,22.00,9989
8-Oct-14,22.00,22.67,21.69,22.52,11371
7-Oct-14,22.18,22.49,21.85,21.95,8578
6-Oct-14,22.18,22.27,21.80,22.24,9151
3-Oct-14,22.28,22.28,21.93,22.09,8131
2-Oct-14,22.45,23.26,21.82,22.07,9526
1-Oct-14,22.80,23.08,21.89,22.10,26204
30-Sep-14,22.44,22.89,22.44,22.75,21571
29-Sep-14,22.67,22.80,22.33,22.80,10109
26-Sep-14,22.97,22.97,22.79,22.92,10540
25-Sep-14,23.21,23.37,22.91,22.95,20404
24-Sep-14,23.38,23.53,22.98,23.35,14654
23-Sep-14,22.78,23.19,22.76,23.01,25053
22-Sep-14,22.95,23.09,22.74,22.76,16036
19-Sep-14,22.50,22.97,22.50,22.97,37481
18-Sep-14,22.04,22.69,22.04,22.46,16803
17-Sep-14,22.00,22.24,22.00,22.11,7436
16-Sep-14,22.20,22.30,22.06,22.20,7012
15-Sep-14,22.20,22.29,22.15,22.20,11425
12-Sep-14,22.22,22.31,21.91,22.13,13935
11-Sep-14,22.10,22.23,22.10,22.22,9648
10-Sep-14,22.11,22.21,22.10,22.21,4268
9-Sep-14,22.21,22.25,22.09,22.09,21673
8-Sep-14,22.10,22.25,22.05,22.11,7077
5-Sep-14,22.10,22.20,22.10,22.15,12300
4-Sep-14,22.18,22.24,22.10,22.10,12825
3-Sep-14,22.09,22.27,21.91,21.99,37484
2-Sep-14,22.25,22.50,22.01,22.30,24808
29-Aug-14,21.92,22.29,21.92,22.14,7839
28-Aug-14,21.99,22.27,21.89,21.91,13009
27-Aug-14,22.08,22.10,21.81,22.00,12265
26-Aug-14,22.03,22.10,22.00,22.08,11077
25-Aug-14,21.97,22.10,21.83,21.99,11980
22-Aug-14,21.92,21.99,21.83,21.97,11218
21-Aug-14,21.63,21.92,21.63,21.92,11233
20-Aug-14,21.94,21.94,21.52,21.73,9689
19-Aug-14,21.59,21.81,21.51,21.79,11382
18-Aug-14,21.36,21.50,21.20,21.49,7663
15-Aug-14,21.26,21.47,21.00,21.20,32446
14-Aug-14,21.71,21.71,20.90,20.99,28347
13-Aug-14,21.75,21.75,21.37,21.57,6068
12-Aug-14,21.75,21.75,21.40,21.43,7212
11-Aug-14,21.41,21.84,21.41,21.73,6584
8-Aug-14,21.08,21.37,21.08,21.36,18827
7-Aug-14,21.40,21.40,21.02,21.11,11333
6-Aug-14,21.25,21.50,21.25,21.45,5693
5-Aug-14,21.47,21.58,21.21,21.36,8114
4-Aug-14,21.65,21.70,21.50,21.60,12138
1-Aug-14,21.58,21.69,21.39,21.53,15089
31-Jul-14,21.50,21.53,21.40,21.51,11252
30-Jul-14,21.55,21.74,21.55,21.58,6568
29-Jul-14,21.57,21.64,21.35,21.51,9398
28-Jul-14,21.48,21.60,21.46,21.47,6664
25-Jul-14,21.40,21.51,21.40,21.51,11934
24-Jul-14,21.55,21.65,21.50,21.51,8144
