Date,Open,High,Low,Close,Volume
31-Dec-14,15.88,16.47,15.73,16.28,1006502
30-Dec-14,15.62,15.97,15.45,15.87,277651
29-Dec-14,15.69,15.78,15.53,15.70,275628
26-Dec-14,15.32,15.81,15.20,15.63,249004
24-Dec-14,15.11,15.58,15.11,15.19,124258
23-Dec-14,15.45,15.45,14.97,15.14,344841
22-Dec-14,14.83,15.54,14.44,15.42,379992
19-Dec-14,15.10,15.13,14.73,14.89,743907
18-Dec-14,15.00,15.16,14.55,15.04,548954
17-Dec-14,14.15,14.85,13.73,14.79,1074550
16-Dec-14,14.85,14.96,13.97,14.19,1028468
15-Dec-14,15.89,15.95,14.51,14.94,1074485
12-Dec-14,15.91,16.37,15.75,15.84,624672
11-Dec-14,16.24,16.40,15.94,15.98,318844
10-Dec-14,16.60,16.76,15.86,16.11,591468
9-Dec-14,16.00,16.76,15.60,16.67,434061
8-Dec-14,16.18,16.59,16.00,16.18,461679
5-Dec-14,15.80,16.25,15.79,16.21,330596
4-Dec-14,15.90,16.02,15.63,15.77,232714
3-Dec-14,15.90,16.02,15.70,15.87,218669
2-Dec-14,15.50,15.96,15.31,15.86,343475
1-Dec-14,16.18,16.24,15.34,15.46,384279
28-Nov-14,15.84,16.31,15.52,16.27,265056
26-Nov-14,15.56,15.90,15.48,15.85,287234
25-Nov-14,15.78,15.99,15.33,15.50,387732
24-Nov-14,15.70,16.01,15.66,15.79,579171
21-Nov-14,16.49,16.49,15.63,15.69,529409
20-Nov-14,16.13,16.68,15.96,16.35,548785
19-Nov-14,16.20,16.29,15.65,16.24,675442
18-Nov-14,15.91,16.36,15.91,16.24,318967
17-Nov-14,16.05,16.21,15.84,15.90,856105
14-Nov-14,16.62,16.62,16.03,16.13,394463
13-Nov-14,16.68,16.94,16.42,16.71,443675
12-Nov-14,17.34,17.36,16.76,16.83,544425
11-Nov-14,17.57,18.08,17.27,17.55,801101
10-Nov-14,16.77,17.36,16.45,17.10,1264809
7-Nov-14,15.90,16.88,15.41,16.84,1027181
6-Nov-14,16.10,16.51,14.83,16.09,1778751
5-Nov-14,18.91,18.91,16.40,16.59,4427732
4-Nov-14,22.71,22.95,22.44,22.67,318675
3-Nov-14,23.29,23.95,22.50,22.89,498742
31-Oct-14,23.28,23.84,22.56,23.26,574209
30-Oct-14,22.94,23.00,22.38,22.73,240278
29-Oct-14,22.62,23.44,22.54,22.90,424981
28-Oct-14,23.07,23.36,22.65,22.73,360147
27-Oct-14,22.98,23.36,22.55,22.84,184165
24-Oct-14,22.82,23.56,22.82,22.99,329744
23-Oct-14,22.36,22.97,22.36,22.65,227791
22-Oct-14,22.56,23.18,22.12,22.21,264348
21-Oct-14,21.97,22.52,21.78,22.45,166591
20-Oct-14,21.58,21.98,21.56,21.86,339374
17-Oct-14,21.85,21.86,21.12,21.55,590315
16-Oct-14,20.73,21.78,20.57,21.56,402497
15-Oct-14,20.47,21.07,19.81,21.01,299463
14-Oct-14,21.08,21.42,20.42,20.72,382700
13-Oct-14,21.45,22.15,20.86,20.95,377599
10-Oct-14,21.42,22.22,21.20,21.55,338323
9-Oct-14,22.08,22.36,21.43,21.48,345550
8-Oct-14,22.05,22.24,21.40,22.09,355067
7-Oct-14,22.43,22.62,22.03,22.07,274993
6-Oct-14,22.54,22.89,22.20,22.53,238053
3-Oct-14,22.02,22.86,21.83,22.54,234098
2-Oct-14,21.82,22.36,21.40,21.75,227668
1-Oct-14,22.13,22.13,21.40,21.87,309430
30-Sep-14,22.10,22.39,22.00,22.07,294374
29-Sep-14,21.79,22.10,21.79,22.10,148438
26-Sep-14,22.30,22.39,22.03,22.17,168828
25-Sep-14,22.57,22.74,21.92,22.17,215002
24-Sep-14,21.82,22.62,21.72,22.55,248782
23-Sep-14,21.70,21.95,21.46,21.77,220422
22-Sep-14,22.14,22.14,21.50,21.85,226046
19-Sep-14,23.10,23.11,21.81,22.18,886903
18-Sep-14,22.78,23.31,22.60,22.89,391251
17-Sep-14,22.01,22.90,21.86,22.76,482372
16-Sep-14,21.71,22.00,21.45,21.96,294354
15-Sep-14,21.87,22.27,21.42,21.72,324771
12-Sep-14,21.74,21.87,21.40,21.83,363837
11-Sep-14,20.07,22.06,20.00,21.87,803169
10-Sep-14,20.11,20.26,19.86,20.18,219555
9-Sep-14,20.49,20.66,19.96,20.13,630786
8-Sep-14,19.46,20.23,19.22,20.14,299794
5-Sep-14,19.08,19.50,19.00,19.47,145260
4-Sep-14,19.32,19.71,19.07,19.14,159228
3-Sep-14,19.34,19.35,18.90,19.33,335433
2-Sep-14,19.94,20.00,19.06,19.31,534928
29-Aug-14,19.90,19.90,19.50,19.80,146018
28-Aug-14,19.85,20.05,19.52,19.81,146754
27-Aug-14,20.08,20.13,19.48,19.87,119843
26-Aug-14,19.61,20.10,19.57,19.96,143248
25-Aug-14,19.71,20.00,19.47,19.63,135071
22-Aug-14,19.60,19.68,19.07,19.65,211243
21-Aug-14,20.07,20.18,19.36,19.57,387549
20-Aug-14,20.12,20.44,19.55,20.07,224851
19-Aug-14,20.05,20.40,19.92,20.24,137673
18-Aug-14,20.14,20.27,19.92,20.09,118545
15-Aug-14,20.32,20.56,19.88,20.00,250029
14-Aug-14,19.02,20.21,19.02,20.14,492791
13-Aug-14,19.18,19.38,19.00,19.36,196688
12-Aug-14,19.02,19.21,18.85,19.12,270631
11-Aug-14,19.14,19.14,18.81,19.04,219212
8-Aug-14,19.27,19.27,18.82,19.02,202744
