Date,Open,High,Low,Close,Volume
31-Dec-14,7.50,7.70,7.31,7.41,167812
30-Dec-14,7.75,7.75,7.31,7.50,207167
29-Dec-14,7.90,8.00,7.40,7.57,130665
26-Dec-14,8.40,8.40,7.80,8.00,71918
24-Dec-14,8.15,8.20,7.95,8.20,81214
23-Dec-14,7.90,8.50,7.90,8.11,194067
22-Dec-14,7.70,8.30,7.60,7.70,148857
19-Dec-14,7.20,7.50,7.20,7.34,120141
18-Dec-14,7.32,7.50,7.20,7.20,80620
17-Dec-14,7.21,7.60,6.98,7.25,105470
16-Dec-14,7.20,7.98,7.02,7.40,89470
15-Dec-14,7.70,7.80,7.20,7.20,102009
12-Dec-14,7.90,8.00,7.70,7.71,26132
11-Dec-14,7.80,8.30,7.70,7.90,50685
10-Dec-14,8.00,8.30,7.80,7.90,29236
9-Dec-14,8.05,8.40,7.70,8.25,30005
8-Dec-14,8.70,9.05,7.97,8.21,88467
5-Dec-14,9.20,9.40,8.50,8.67,52321
4-Dec-14,9.50,9.60,9.00,9.42,44059
3-Dec-14,9.10,9.60,9.00,9.40,27180
2-Dec-14,9.30,9.30,8.90,9.00,20904
1-Dec-14,9.85,10.00,8.40,9.30,69768
28-Nov-14,10.20,10.40,9.85,9.85,30852
26-Nov-14,10.60,10.70,10.20,10.20,21631
25-Nov-14,10.20,10.50,10.10,10.50,21656
24-Nov-14,10.10,10.80,10.10,10.40,37384
21-Nov-14,10.30,10.60,10.00,10.00,38353
20-Nov-14,10.30,10.60,10.20,10.40,28137
19-Nov-14,10.50,10.80,10.20,10.60,43507
18-Nov-14,10.00,10.50,9.85,10.50,65764
17-Nov-14,10.20,10.30,9.70,9.85,62265
14-Nov-14,9.64,10.40,9.64,10.30,77556
13-Nov-14,10.60,11.00,9.20,9.63,212099
12-Nov-14,11.20,11.20,10.70,10.80,98947
11-Nov-14,11.70,11.90,11.20,11.40,71250
10-Nov-14,12.00,12.00,11.50,11.80,58554
7-Nov-14,13.70,14.00,11.60,11.70,180872
6-Nov-14,13.30,14.00,13.20,13.60,74263
5-Nov-14,13.00,13.40,12.30,13.20,36103
4-Nov-14,12.70,12.90,11.90,12.80,36056
3-Nov-14,13.30,13.40,12.50,12.50,33631
31-Oct-14,12.10,13.40,12.00,13.10,61668
30-Oct-14,11.90,12.30,11.85,12.00,18408
29-Oct-14,12.20,12.20,11.60,11.90,44043
28-Oct-14,11.70,12.20,11.70,11.90,59088
27-Oct-14,11.70,12.30,11.70,11.80,27137
24-Oct-14,12.00,12.17,11.70,11.90,41049
23-Oct-14,12.00,12.30,11.90,12.00,36544
22-Oct-14,12.50,12.50,12.00,12.10,31972
21-Oct-14,12.00,12.40,11.90,12.20,45822
20-Oct-14,12.00,12.30,11.90,12.10,28187
17-Oct-14,12.40,12.95,12.10,12.20,40292
16-Oct-14,11.70,12.41,11.70,12.20,38364
15-Oct-14,12.00,12.70,11.54,12.10,51952
14-Oct-14,12.30,12.90,11.70,12.30,66623
13-Oct-14,12.30,12.50,12.20,12.20,40493
10-Oct-14,12.50,12.80,12.50,12.60,38938
9-Oct-14,13.10,13.30,12.60,12.75,50462
8-Oct-14,13.60,13.60,13.00,13.20,22886
7-Oct-14,13.30,13.70,13.20,13.60,20343
