Date,Open,High,Low,Close,Volume
31-Dec-14,115.70,115.76,113.36,114.26,7123
30-Dec-14,113.58,115.41,113.58,115.00,8940
29-Dec-14,114.92,115.85,113.00,115.00,15216
26-Dec-14,113.95,115.12,113.95,114.55,2701
24-Dec-14,115.00,115.40,114.30,114.30,1439
23-Dec-14,115.00,115.90,114.50,114.80,14866
22-Dec-14,115.00,115.19,113.89,114.70,18268
19-Dec-14,115.00,115.00,112.50,115.00,48009
18-Dec-14,114.34,116.00,113.19,115.12,9575
17-Dec-14,112.85,113.99,112.01,113.71,18681
16-Dec-14,112.32,112.80,110.67,111.92,10551
15-Dec-14,112.25,112.26,110.20,111.97,13930
12-Dec-14,115.24,115.85,112.60,112.67,9229
11-Dec-14,114.98,115.40,114.10,115.40,15506
10-Dec-14,115.66,115.94,113.61,114.46,5821
9-Dec-14,113.05,116.49,112.16,115.06,26983
8-Dec-14,110.97,116.50,110.97,114.36,60228
5-Dec-14,114.44,114.99,111.10,111.66,18631
4-Dec-14,110.94,114.70,109.89,114.70,14661
3-Dec-14,111.45,112.91,111.35,112.51,5480
2-Dec-14,109.00,111.93,109.00,111.50,9042
1-Dec-14,114.73,114.73,109.42,109.42,17925
28-Nov-14,114.68,115.00,113.64,114.78,7024
26-Nov-14,115.10,115.24,114.25,114.39,2928
25-Nov-14,114.89,115.08,114.15,114.15,5071
24-Nov-14,115.25,115.25,114.19,114.50,5800
21-Nov-14,114.72,115.86,114.05,114.80,6103
20-Nov-14,115.10,115.10,113.58,113.58,5514
19-Nov-14,114.71,115.36,113.44,114.11,5605
18-Nov-14,115.08,115.36,113.98,114.89,5646
17-Nov-14,114.54,115.03,113.45,114.60,3813
14-Nov-14,115.28,115.28,114.30,114.30,2764
13-Nov-14,114.71,115.23,112.91,115.00,6773
12-Nov-14,115.00,115.36,114.16,115.05,7530
11-Nov-14,114.43,116.18,114.06,114.94,5331
10-Nov-14,115.33,115.33,113.70,113.98,10763
7-Nov-14,115.00,115.12,114.30,115.05,6857
6-Nov-14,114.55,115.48,112.14,114.62,6548
5-Nov-14,116.23,116.23,114.43,115.50,9792
4-Nov-14,115.29,116.23,114.53,116.20,8301
3-Nov-14,114.42,115.99,113.35,115.07,22425
31-Oct-14,114.80,114.80,113.13,114.08,14033
30-Oct-14,114.59,115.22,112.90,114.49,13406
29-Oct-14,114.73,115.74,112.33,114.59,26990
28-Oct-14,113.10,114.50,113.10,114.50,6382
27-Oct-14,112.98,113.80,109.46,113.70,6316
24-Oct-14,108.35,112.98,108.35,112.97,14689
23-Oct-14,113.06,113.06,110.54,111.22,12881
22-Oct-14,109.89,112.09,109.00,111.95,18381
21-Oct-14,106.54,109.89,106.54,109.83,14106
20-Oct-14,111.80,112.15,105.26,107.36,70721
17-Oct-14,108.69,113.45,105.01,112.57,34343
16-Oct-14,109.61,112.01,108.52,109.89,18150
15-Oct-14,113.93,113.93,109.23,110.68,13287
14-Oct-14,113.76,114.95,111.70,114.95,7003
13-Oct-14,113.19,114.51,112.62,114.15,7306
10-Oct-14,113.15,115.07,111.17,112.75,8331
9-Oct-14,113.92,114.49,113.15,113.19,6301
8-Oct-14,111.85,114.82,111.85,114.82,5269
7-Oct-14,114.17,114.50,112.20,113.42,4691
6-Oct-14,114.04,114.34,112.05,113.15,5123
3-Oct-14,113.87,114.40,112.51,114.04,4934
2-Oct-14,112.67,114.50,112.50,112.91,9651
1-Oct-14,111.76,113.95,111.76,113.50,18238
30-Sep-14,111.75,113.83,111.75,112.40,7399
29-Sep-14,113.16,113.94,111.94,113.07,8707
26-Sep-14,112.85,113.88,110.82,113.60,8237
25-Sep-14,112.22,113.90,111.15,112.00,6744
24-Sep-14,113.13,113.95,112.01,112.81,10768
23-Sep-14,113.21,114.33,112.06,112.42,8073
22-Sep-14,113.97,114.43,112.59,114.01,36120
19-Sep-14,116.00,116.23,112.92,113.43,84237
18-Sep-14,115.00,116.00,115.00,115.56,16779
17-Sep-14,115.75,116.23,114.27,115.78,12079
16-Sep-14,116.01,116.01,115.17,115.50,7761
15-Sep-14,115.87,116.22,114.58,116.01,9016
12-Sep-14,115.12,116.00,115.12,115.91,9258
11-Sep-14,116.55,116.55,113.88,115.88,18416
10-Sep-14,114.80,116.70,114.80,116.20,14604
9-Sep-14,114.84,116.16,114.00,115.09,23931
8-Sep-14,112.50,114.84,112.50,114.49,13694
5-Sep-14,112.28,113.59,111.67,112.52,9432
4-Sep-14,113.65,114.12,112.83,113.50,4624
3-Sep-14,114.98,114.98,112.80,114.22,10609
2-Sep-14,113.74,114.99,113.74,114.93,5490
29-Aug-14,113.90,114.82,113.80,113.84,14330
28-Aug-14,113.37,114.99,113.37,114.87,24548
27-Aug-14,113.39,115.00,112.30,114.56,31835
26-Aug-14,114.30,114.30,113.44,113.64,3745
25-Aug-14,114.10,114.80,113.45,114.20,9081
22-Aug-14,113.30,114.31,112.70,113.49,12445
21-Aug-14,114.63,115.00,112.34,114.31,41861
20-Aug-14,111.52,114.89,111.52,114.53,29810
19-Aug-14,112.52,113.68,110.00,113.68,52311
18-Aug-14,111.83,112.76,110.06,111.76,25867
15-Aug-14,111.92,111.92,110.02,110.50,9505
14-Aug-14,110.40,111.60,108.50,111.24,14294
13-Aug-14,109.91,110.99,109.24,109.97,4307
12-Aug-14,110.06,112.88,109.02,109.02,7825
11-Aug-14,111.18,111.25,109.57,109.57,3561
8-Aug-14,110.40,110.89,109.50,110.75,2801
7-Aug-14,110.30,111.01,109.50,109.54,3048
6-Aug-14,109.55,112.41,109.47,110.72,5045
5-Aug-14,111.17,112.65,108.96,109.17,10795
4-Aug-14,108.75,113.67,108.75,110.70,33385
1-Aug-14,108.44,110.49,108.44,108.75,12271
31-Jul-14,110.05,110.05,108.00,109.00,15943
30-Jul-14,114.60,114.60,110.00,110.26,7375
29-Jul-14,111.66,111.66,109.94,109.94,6438
28-Jul-14,110.81,112.68,109.99,112.39,6043
25-Jul-14,112.22,113.51,110.23,111.28,8927
24-Jul-14,113.62,113.62,111.86,111.86,3626
23-Jul-14,113.18,113.83,112.04,112.69,9036
22-Jul-14,113.19,113.19,112.34,112.78,4260
21-Jul-14,113.73,114.38,112.50,113.02,6842
18-Jul-14,113.00,114.23,113.00,114.14,3267
17-Jul-14,114.24,115.23,112.62,112.99,9350
16-Jul-14,115.50,115.80,114.04,114.37,8404
15-Jul-14,116.15,117.17,114.32,115.12,10391
14-Jul-14,114.29,116.39,113.20,116.15,9937
11-Jul-14,114.18,114.72,113.44,114.33,6014
10-Jul-14,113.04,113.85,112.35,113.75,4362
9-Jul-14,114.25,114.32,113.52,114.32,2320
8-Jul-14,117.43,118.11,114.16,115.02,12653
7-Jul-14,115.58,118.38,114.80,118.38,32893
3-Jul-14,113.76,115.39,113.49,115.36,14743
2-Jul-14,115.85,115.85,113.26,113.76,15229
1-Jul-14,114.44,115.78,113.80,115.33,16399
30-Jun-14,113.78,114.96,113.31,114.20,7623
27-Jun-14,113.72,115.17,112.73,114.28,36724
26-Jun-14,113.01,114.43,111.89,114.07,11043
25-Jun-14,114.54,115.89,112.85,113.59,13882
24-Jun-14,115.42,116.24,114.09,114.45,16247
23-Jun-14,116.27,116.92,114.32,115.84,23693
20-Jun-14,117.13,117.46,115.43,115.74,32025
19-Jun-14,115.41,116.81,115.30,116.77,5327
18-Jun-14,116.25,116.25,114.51,115.40,13538
17-Jun-14,115.85,116.71,115.10,116.08,6260
16-Jun-14,115.75,116.59,114.36,115.70,9478
13-Jun-14,114.13,117.50,114.13,115.30,12286
12-Jun-14,117.32,117.32,115.35,115.86,7383
11-Jun-14,116.58,117.30,115.67,116.10,12526
10-Jun-14,116.66,117.64,114.44,116.60,15319
9-Jun-14,115.61,117.63,115.08,116.81,13854
6-Jun-14,114.87,117.17,114.60,116.12,22712
5-Jun-14,115.16,116.92,114.03,114.60,14402
4-Jun-14,112.82,114.87,112.82,114.46,12620
3-Jun-14,113.02,114.87,112.35,113.88,14964
2-Jun-14,113.99,114.25,112.14,113.02,17898
30-May-14,113.10,114.83,112.90,114.50,16642
29-May-14,112.80,113.48,111.72,113.30,11342
28-May-14,114.60,114.60,112.10,112.50,51677
27-May-14,114.25,114.25,112.52,114.11,33967
23-May-14,112.00,113.91,112.00,113.70,9929
22-May-14,111.91,113.28,111.11,112.20,12053
21-May-14,111.79,112.60,111.10,111.80,14296
20-May-14,111.99,113.21,110.78,111.26,10002
19-May-14,111.76,112.00,110.24,111.63,11451
16-May-14,111.50,113.80,110.79,111.72,17791
15-May-14,113.97,113.97,110.50,111.01,16936
14-May-14,115.09,115.82,113.20,113.53,15058
13-May-14,116.73,116.80,114.50,115.39,18827
12-May-14,116.00,118.00,116.00,117.21,24457
9-May-14,115.10,115.98,114.00,115.98,12756
8-May-14,114.70,115.50,113.94,115.50,12738
7-May-14,114.55,115.49,113.67,114.90,11591
6-May-14,113.58,115.28,113.57,114.48,16861
5-May-14,114.89,115.50,111.27,114.28,9720
2-May-14,113.54,115.77,113.54,115.31,14794
1-May-14,113.00,114.41,112.11,114.41,24415
30-Apr-14,111.99,113.50,111.97,112.41,18515
29-Apr-14,112.06,114.38,111.15,112.28,9873
28-Apr-14,113.91,114.10,110.30,111.47,24736
25-Apr-14,113.30,114.74,112.95,113.34,9248
24-Apr-14,114.40,114.57,113.30,113.99,7021
23-Apr-14,113.63,114.14,112.00,113.64,12796
22-Apr-14,112.38,113.50,111.63,112.90,14027
21-Apr-14,111.74,113.06,111.25,111.82,8603
17-Apr-14,109.67,112.16,108.49,111.42,13822
16-Apr-14,107.78,109.65,106.51,108.57,17598
15-Apr-14,105.45,106.51,101.75,106.48,202747
14-Apr-14,112.18,112.26,103.81,105.40,48966
11-Apr-14,111.20,112.34,110.72,110.90,12174
10-Apr-14,111.25,111.95,110.40,111.22,7764
9-Apr-14,111.85,113.75,111.23,112.70,11524
8-Apr-14,110.85,112.27,108.40,111.76,20956
7-Apr-14,111.99,112.52,110.30,110.63,10096
4-Apr-14,116.00,116.00,111.84,111.84,8659
3-Apr-14,114.11,115.96,112.71,115.15,26190
2-Apr-14,115.17,115.98,113.91,114.40,4804
1-Apr-14,114.16,115.34,113.05,114.69,32087
31-Mar-14,111.70,113.85,111.53,113.05,20587
28-Mar-14,111.83,112.95,110.63,111.12,6669
27-Mar-14,113.62,113.62,110.98,110.98,22101
26-Mar-14,113.03,114.89,112.54,113.20,8503
25-Mar-14,114.19,117.50,113.86,114.13,5134
24-Mar-14,113.80,114.90,112.11,113.85,18617
21-Mar-14,116.00,116.83,112.85,112.85,62854
20-Mar-14,117.21,117.80,114.40,115.20,29060
19-Mar-14,117.06,119.09,115.37,116.71,36733
18-Mar-14,115.42,117.95,114.82,116.46,18817
17-Mar-14,114.86,116.58,112.57,115.91,8021
14-Mar-14,113.21,114.97,111.63,113.70,16045
13-Mar-14,113.32,114.95,112.27,112.64,9344
12-Mar-14,113.07,113.98,112.00,112.99,7039
11-Mar-14,114.65,115.86,112.49,113.10,19796
10-Mar-14,114.59,115.53,112.80,114.50,9356
7-Mar-14,113.20,114.83,112.60,114.55,11856
6-Mar-14,114.00,114.20,113.23,113.23,8161
5-Mar-14,114.26,115.45,113.53,114.30,16519
4-Mar-14,113.53,115.74,113.53,114.33,12968
3-Mar-14,111.73,114.67,111.00,113.16,16972
28-Feb-14,113.78,114.17,113.32,113.49,10178
27-Feb-14,112.60,113.80,112.50,113.54,6434
26-Feb-14,112.10,113.47,111.50,112.64,7002
25-Feb-14,111.59,112.18,111.05,111.84,8059
24-Feb-14,115.17,117.36,111.47,111.67,26520
21-Feb-14,113.15,116.71,112.33,115.84,19926
20-Feb-14,111.32,113.21,110.21,112.15,9605
19-Feb-14,111.37,112.90,110.30,110.30,8917
18-Feb-14,117.00,117.50,111.85,111.85,35004
14-Feb-14,107.50,119.70,107.48,117.31,45029
13-Feb-14,107.00,107.50,106.60,107.50,6191
12-Feb-14,108.37,109.83,107.53,107.53,4951
11-Feb-14,106.98,109.48,106.94,107.90,9157
10-Feb-14,105.47,107.00,104.52,106.59,15069
7-Feb-14,107.69,108.58,104.58,104.59,9504
6-Feb-14,104.24,107.35,104.24,107.35,11851
5-Feb-14,103.50,104.74,103.04,104.46,10337
4-Feb-14,103.78,104.97,102.52,103.80,15299
3-Feb-14,104.38,107.40,102.17,102.66,15395
31-Jan-14,105.43,105.43,102.25,104.00,17277
30-Jan-14,104.89,107.25,104.89,106.70,8242
29-Jan-14,106.41,107.39,105.58,105.80,8830
28-Jan-14,105.15,107.44,105.15,107.44,9467
27-Jan-14,107.46,108.55,106.03,106.03,6916
24-Jan-14,110.50,110.77,106.55,107.50,10129
23-Jan-14,110.11,111.53,109.38,109.78,6447
22-Jan-14,110.99,111.69,109.94,109.94,6357
21-Jan-14,110.96,111.43,109.94,110.50,6029
17-Jan-14,110.00,111.00,109.68,109.95,17188
16-Jan-14,111.08,111.17,109.30,109.30,7034
15-Jan-14,109.26,112.51,109.26,110.81,12107
14-Jan-14,111.00,111.60,109.00,110.60,9756
13-Jan-14,110.25,110.99,110.01,110.10,3779
10-Jan-14,110.39,111.00,109.78,110.95,8568
9-Jan-14,112.00,112.55,109.51,109.51,18339
8-Jan-14,110.51,111.93,110.35,111.70,6737
7-Jan-14,109.87,111.28,109.87,111.28,6100
6-Jan-14,111.38,112.12,108.51,109.07,42654
3-Jan-14,113.22,113.62,110.46,110.99,22291
2-Jan-14,114.48,114.48,108.21,113.34,25887
31-Dec-13,113.23,115.66,112.66,114.54,10129
30-Dec-13,112.65,113.84,111.36,113.26,6811
27-Dec-13,110.74,112.32,110.74,112.24,3700
26-Dec-13,113.00,114.10,111.26,111.26,10279
24-Dec-13,111.74,112.91,110.71,112.12,1624
23-Dec-13,111.98,113.40,110.16,111.27,11385
20-Dec-13,112.04,114.30,110.35,110.35,52265
19-Dec-13,112.93,115.06,111.74,111.74,16131
18-Dec-13,110.72,114.39,109.21,113.99,16733
17-Dec-13,111.10,112.33,109.84,110.00,11022
16-Dec-13,111.01,111.83,109.55,111.01,13656
13-Dec-13,111.88,111.99,106.56,110.98,15146
12-Dec-13,113.71,113.71,109.10,110.98,12780
11-Dec-13,115.49,116.62,112.51,112.61,4828
10-Dec-13,116.04,117.05,114.09,114.82,7221
9-Dec-13,115.05,117.59,115.05,116.00,6213
6-Dec-13,116.25,117.75,113.75,115.00,8936
5-Dec-13,114.25,115.75,113.80,114.32,3808
4-Dec-13,118.10,119.44,114.84,115.08,8143
3-Dec-13,117.74,119.61,113.11,118.50,12565
2-Dec-13,115.04,119.27,115.04,117.88,11091
29-Nov-13,116.30,116.91,115.55,115.55,2096
27-Nov-13,117.00,117.25,114.62,114.99,4820
26-Nov-13,118.20,118.20,115.34,116.98,4759
25-Nov-13,118.67,119.67,117.18,117.47,4587
22-Nov-13,115.98,119.70,115.98,118.90,16588
21-Nov-13,110.46,119.22,110.46,118.31,15959
20-Nov-13,113.77,115.99,113.04,114.53,16952
19-Nov-13,111.39,114.63,111.39,114.15,16634
18-Nov-13,111.77,112.99,111.14,112.15,9474
15-Nov-13,111.06,112.25,110.15,110.89,5941
14-Nov-13,109.05,111.64,108.50,111.07,7688
13-Nov-13,105.04,108.98,104.99,108.54,12782
12-Nov-13,103.02,106.75,103.02,106.10,9685
11-Nov-13,107.95,108.51,106.34,106.49,5273
8-Nov-13,104.48,108.86,104.34,107.71,14680
7-Nov-13,104.00,104.32,102.67,103.69,16688
6-Nov-13,103.00,103.88,102.24,103.29,11191
5-Nov-13,102.26,103.51,100.56,102.73,17430
4-Nov-13,102.00,104.00,101.00,103.08,11304
1-Nov-13,100.94,102.75,100.01,100.69,10142
31-Oct-13,100.50,103.29,100.00,101.07,17706
30-Oct-13,103.00,103.00,102.00,102.20,6169
