Date,Open,High,Low,Close,Volume
31-Dec-14,54.63,57.97,54.44,56.39,197845
30-Dec-14,53.58,56.17,53.40,54.36,129771
29-Dec-14,54.54,55.16,53.40,53.96,158414
26-Dec-14,55.31,55.94,53.93,54.54,116834
24-Dec-14,53.48,55.80,52.05,55.24,113853
23-Dec-14,56.10,56.17,52.00,53.45,247398
22-Dec-14,54.09,56.27,53.53,55.82,166971
19-Dec-14,55.68,56.34,53.20,54.16,1150592
18-Dec-14,57.20,57.20,53.79,55.80,360155
17-Dec-14,55.14,57.34,55.08,56.13,351515
16-Dec-14,53.28,56.03,53.00,55.08,359704
15-Dec-14,55.90,57.36,53.42,53.76,453867
12-Dec-14,51.54,55.32,51.50,54.28,314066
11-Dec-14,51.40,53.77,51.21,51.95,235358
10-Dec-14,52.81,53.70,50.59,51.38,363478
9-Dec-14,51.74,54.68,51.38,52.85,299683
8-Dec-14,53.45,56.00,52.01,52.77,392540
5-Dec-14,53.99,55.92,53.01,53.29,464851
4-Dec-14,58.94,58.94,50.50,53.45,1221150
3-Dec-14,59.36,61.43,57.55,60.21,260732
2-Dec-14,52.51,60.00,52.51,58.51,378562
1-Dec-14,53.60,54.12,50.72,53.50,296323
28-Nov-14,55.66,56.24,53.82,54.11,70932
26-Nov-14,55.16,55.66,53.90,55.41,186600
25-Nov-14,55.03,56.24,54.59,55.18,184485
24-Nov-14,55.05,55.49,54.17,55.00,263574
21-Nov-14,56.64,56.64,54.22,55.05,182488
20-Nov-14,55.23,56.69,54.81,55.74,176217
19-Nov-14,55.42,56.96,54.74,55.26,187052
18-Nov-14,53.00,56.99,52.94,55.66,259664
17-Nov-14,54.29,56.74,52.65,52.87,387709
14-Nov-14,51.49,54.24,50.55,53.95,225898
13-Nov-14,52.85,53.20,50.70,51.47,387185
12-Nov-14,48.25,53.72,48.25,52.70,557259
11-Nov-14,48.25,49.13,47.09,48.35,306219
10-Nov-14,46.28,49.75,46.11,48.21,531079
7-Nov-14,44.87,46.03,44.13,46.00,329039
6-Nov-14,44.99,45.50,43.27,44.79,402999
5-Nov-14,43.17,45.86,43.17,44.88,430665
4-Nov-14,40.98,44.00,40.50,43.16,819263
3-Nov-14,37.00,41.43,37.00,41.20,1543533
31-Oct-14,33.84,34.66,32.66,33.96,295019
30-Oct-14,31.81,33.40,30.40,33.05,204035
29-Oct-14,30.23,32.87,29.87,32.27,416718
28-Oct-14,30.09,30.81,29.81,30.23,234851
27-Oct-14,30.10,30.38,28.76,29.85,168075
24-Oct-14,28.44,30.10,28.44,30.08,154095
23-Oct-14,28.00,28.68,27.93,28.40,143795
22-Oct-14,28.11,28.44,27.61,27.93,115907
21-Oct-14,28.00,28.84,27.45,28.09,381187
20-Oct-14,27.26,28.20,27.14,27.79,222556
17-Oct-14,28.35,28.42,26.87,27.42,192290
16-Oct-14,25.02,28.04,25.02,27.85,86437
15-Oct-14,24.79,26.19,24.24,25.97,127429
14-Oct-14,26.49,26.69,25.02,25.42,164692
13-Oct-14,26.38,27.37,25.58,26.08,101033
10-Oct-14,26.81,27.55,25.96,26.24,331803
9-Oct-14,27.80,28.15,26.38,26.74,132641
8-Oct-14,26.61,27.96,25.45,27.87,103642
7-Oct-14,26.95,27.44,26.51,26.61,76642
6-Oct-14,28.00,28.24,26.90,27.24,105459
3-Oct-14,27.99,28.41,27.23,27.93,73518
2-Oct-14,27.18,27.87,26.77,27.61,95483
1-Oct-14,28.16,28.30,26.80,27.14,236060
30-Sep-14,28.51,29.74,27.77,28.28,321430
29-Sep-14,28.08,29.21,27.70,28.54,85449
26-Sep-14,28.34,28.69,27.83,28.59,66774
25-Sep-14,28.53,28.85,27.76,28.09,155203
24-Sep-14,28.04,28.77,27.76,28.67,56344
23-Sep-14,28.01,29.07,27.85,28.02,92296
22-Sep-14,29.00,29.41,27.67,28.06,57322
19-Sep-14,30.13,30.24,28.82,29.30,216007
18-Sep-14,30.01,30.04,29.09,29.81,131154
17-Sep-14,28.21,30.36,28.21,29.88,196191
16-Sep-14,27.33,27.88,26.98,27.81,116291
15-Sep-14,26.96,27.87,26.51,27.50,224410
12-Sep-14,27.68,27.70,26.83,27.00,86663
11-Sep-14,27.72,28.18,27.15,27.66,264910
10-Sep-14,26.74,28.50,26.74,28.45,229009
9-Sep-14,27.59,27.59,26.07,26.25,431926
8-Sep-14,27.90,28.16,26.60,27.74,149731
5-Sep-14,28.42,28.58,27.63,28.07,168428
4-Sep-14,28.10,28.63,27.35,28.51,197616
3-Sep-14,28.99,29.36,27.86,28.05,265008
2-Sep-14,29.33,29.35,28.20,28.89,149203
29-Aug-14,29.60,29.74,29.02,29.33,95084
28-Aug-14,29.54,29.98,28.70,29.61,119220
27-Aug-14,30.07,30.42,29.51,29.85,124885
26-Aug-14,30.17,30.32,29.10,30.10,136217
25-Aug-14,28.62,30.45,28.53,30.12,152194
22-Aug-14,28.80,28.80,27.88,28.22,194958
21-Aug-14,28.71,29.13,27.62,28.82,248334
20-Aug-14,29.20,29.50,28.58,28.76,166364
19-Aug-14,29.32,29.75,29.06,29.33,78663
18-Aug-14,29.05,29.76,28.65,29.20,144970
15-Aug-14,29.36,29.80,28.26,28.98,103136
14-Aug-14,29.51,30.15,28.88,29.08,142509
13-Aug-14,28.41,30.07,28.00,29.48,220803
12-Aug-14,28.83,29.11,27.91,28.22,128901
11-Aug-14,28.48,29.50,27.94,28.92,135230
8-Aug-14,27.79,28.55,26.82,28.19,136038
7-Aug-14,29.11,29.11,27.72,27.90,104183
6-Aug-14,29.26,29.58,28.65,28.89,93622
5-Aug-14,29.84,30.49,28.70,29.33,204224
4-Aug-14,27.44,31.88,27.40,29.69,551760
1-Aug-14,25.40,27.36,25.17,26.74,342160
31-Jul-14,27.50,27.72,25.55,25.62,347838
30-Jul-14,28.36,29.16,27.71,28.03,198656
29-Jul-14,28.58,29.40,27.63,27.86,258361
