Date,Open,High,Low,Close,Volume
31-Dec-14,83.08,83.48,81.91,82.00,304718
30-Dec-14,83.60,83.80,82.62,82.79,295132
29-Dec-14,84.04,84.64,83.55,83.73,217526
26-Dec-14,84.66,84.87,83.84,84.27,150026
24-Dec-14,83.90,84.87,83.73,84.31,178758
23-Dec-14,83.56,84.16,82.74,83.95,266164
22-Dec-14,83.24,83.90,82.61,83.16,261613
19-Dec-14,83.41,84.19,83.06,83.24,711633
18-Dec-14,82.87,83.38,82.10,83.34,339992
17-Dec-14,80.40,81.90,79.62,81.66,457620
16-Dec-14,80.14,81.36,79.27,80.40,599261
15-Dec-14,80.44,81.06,79.46,80.11,445010
12-Dec-14,80.99,81.49,80.29,80.32,281300
11-Dec-14,81.99,83.14,81.50,81.65,239363
10-Dec-14,82.86,83.85,81.91,81.97,486142
9-Dec-14,83.13,83.50,82.28,83.21,485555
8-Dec-14,83.30,84.28,83.05,83.28,377726
5-Dec-14,83.13,83.72,82.83,83.65,318402
4-Dec-14,83.00,83.25,82.37,83.11,475796
3-Dec-14,83.31,83.57,82.90,83.13,486605
2-Dec-14,83.14,83.58,82.68,83.27,290861
1-Dec-14,83.06,83.37,82.77,83.06,337301
28-Nov-14,83.06,84.08,83.00,83.52,229679
26-Nov-14,82.31,83.18,82.31,83.05,446763
25-Nov-14,82.10,82.62,82.04,82.20,532478
24-Nov-14,81.93,82.09,81.50,81.88,492699
21-Nov-14,80.25,81.92,80.25,81.85,752522
20-Nov-14,79.10,79.87,78.91,79.78,324722
19-Nov-14,79.94,79.98,79.31,79.76,569932
18-Nov-14,79.67,80.71,79.67,79.93,390676
17-Nov-14,79.73,80.00,79.28,79.73,342358
14-Nov-14,79.19,79.93,78.70,79.79,309984
13-Nov-14,79.90,80.33,78.41,79.29,388571
12-Nov-14,79.67,79.99,79.53,79.90,174234
11-Nov-14,79.50,80.20,79.18,80.06,336775
10-Nov-14,79.61,80.00,79.07,79.30,363598
7-Nov-14,78.17,79.84,78.00,79.55,451236
6-Nov-14,76.11,78.46,76.11,78.40,516665
5-Nov-14,76.00,77.61,74.54,77.06,585923
4-Nov-14,78.01,78.40,77.39,77.45,470486
3-Nov-14,78.46,79.00,77.81,78.05,341895
31-Oct-14,78.43,78.79,77.93,78.56,382261
30-Oct-14,76.29,77.65,76.29,77.26,360383
29-Oct-14,77.12,77.32,76.31,76.63,389683
28-Oct-14,75.93,77.12,75.79,77.12,229541
27-Oct-14,75.36,75.89,74.86,75.81,200870
24-Oct-14,74.93,75.51,74.58,75.37,415670
23-Oct-14,75.25,75.52,74.70,75.00,458813
22-Oct-14,75.95,76.07,74.48,74.50,316544
21-Oct-14,74.68,76.08,74.27,75.87,461758
20-Oct-14,72.95,74.14,72.39,74.12,325720
17-Oct-14,73.25,73.50,72.44,72.99,485373
16-Oct-14,71.62,72.63,71.09,72.42,728401
15-Oct-14,71.71,72.63,71.15,72.21,739389
14-Oct-14,73.47,73.65,72.12,72.68,1045828
13-Oct-14,74.63,74.92,73.29,73.37,551332
10-Oct-14,75.59,76.35,74.91,74.96,898191
9-Oct-14,76.87,76.91,75.80,75.95,409517
8-Oct-14,75.86,76.94,75.32,76.85,402885
7-Oct-14,75.74,75.98,75.49,75.80,415529
6-Oct-14,76.89,77.36,75.94,76.19,258957
3-Oct-14,76.76,77.77,76.69,76.72,286910
2-Oct-14,75.15,76.74,74.83,76.37,414446
1-Oct-14,75.37,76.27,74.93,75.17,772728
30-Sep-14,75.59,76.04,75.13,75.67,307571
29-Sep-14,75.03,75.96,75.00,75.72,453749
26-Sep-14,75.49,75.98,75.14,75.80,465787
25-Sep-14,76.92,77.09,75.27,75.43,499492
24-Sep-14,76.63,77.43,76.42,76.95,349961
23-Sep-14,77.16,77.60,76.78,76.78,323187
22-Sep-14,79.51,79.66,77.17,77.64,709004
19-Sep-14,80.17,80.32,79.36,79.57,658750
18-Sep-14,79.82,80.50,79.59,80.23,141400
17-Sep-14,79.61,80.06,79.12,79.63,342513
16-Sep-14,79.84,80.35,78.94,79.74,382869
15-Sep-14,80.37,80.44,79.23,79.79,229123
12-Sep-14,81.10,81.40,80.00,80.20,234093
11-Sep-14,80.00,80.98,80.00,80.95,226399
10-Sep-14,80.28,80.74,79.93,80.47,224935
9-Sep-14,81.23,81.86,80.28,80.39,275928
8-Sep-14,81.13,81.61,80.57,81.55,273890
5-Sep-14,81.32,81.71,80.86,81.15,244093
