Date,Open,High,Low,Close,Volume
31-Dec-14,2.82,2.95,2.75,2.89,190354
30-Dec-14,2.81,2.94,2.81,2.86,32295
29-Dec-14,2.87,2.95,2.80,2.88,95675
26-Dec-14,2.99,2.99,2.85,2.86,39549
24-Dec-14,3.00,3.04,2.85,3.01,34872
23-Dec-14,2.85,3.00,2.72,3.00,120790
22-Dec-14,3.01,3.01,2.85,2.86,55018
19-Dec-14,3.05,3.08,2.70,2.70,219303
18-Dec-14,2.73,3.10,2.61,3.05,172519
17-Dec-14,2.94,2.94,2.55,2.81,102591
16-Dec-14,2.90,2.94,2.58,2.94,72892
15-Dec-14,2.60,2.93,2.57,2.93,89141
12-Dec-14,2.73,2.82,2.60,2.67,151713
11-Dec-14,2.84,2.88,2.62,2.71,36818
10-Dec-14,2.85,2.95,2.70,2.74,58624
9-Dec-14,2.77,2.93,2.70,2.85,54269
8-Dec-14,2.97,2.97,2.81,2.94,91832
5-Dec-14,2.90,2.97,2.75,2.95,80479
4-Dec-14,2.88,3.18,2.73,2.89,339233
3-Dec-14,2.45,2.75,2.30,2.72,147798
2-Dec-14,2.05,2.54,2.02,2.47,211295
1-Dec-14,2.28,2.28,2.06,2.08,150321
28-Nov-14,2.27,2.49,2.25,2.30,55410
26-Nov-14,2.50,2.50,2.23,2.31,110810
25-Nov-14,2.51,2.57,2.29,2.50,135877
24-Nov-14,2.55,2.62,2.46,2.52,161819
21-Nov-14,2.61,2.68,2.58,2.58,111330
20-Nov-14,2.72,2.72,2.65,2.69,165701
19-Nov-14,2.60,2.80,2.60,2.72,139439
18-Nov-14,2.61,2.77,2.61,2.75,222171
14-Nov-14,4.18,4.48,3.75,3.86,95523
13-Nov-14,5.31,5.31,3.01,4.35,162834
12-Nov-14,5.80,5.90,5.30,5.42,21297
11-Nov-14,5.75,5.87,5.51,5.87,12463
10-Nov-14,5.60,5.90,5.60,5.88,17467
7-Nov-14,5.20,5.95,5.20,5.90,16462
6-Nov-14,5.35,5.35,4.98,5.15,24151
5-Nov-14,5.75,5.99,5.25,5.25,12547
4-Nov-14,5.00,5.50,5.00,5.11,13176
3-Nov-14,7.00,7.00,5.25,5.25,23006
31-Oct-14,5.99,5.99,5.93,5.99,22884
30-Oct-14,6.31,7.70,5.70,5.99,20609
29-Oct-14,5.70,5.70,5.32,5.69,966
28-Oct-14,5.82,6.00,5.59,5.70,8631
27-Oct-14,7.14,7.14,5.55,5.59,34439
24-Oct-14,6.30,6.66,6.01,6.60,16953
23-Oct-14,6.29,6.36,5.74,6.36,27148
22-Oct-14,5.70,6.36,5.70,6.30,14735
21-Oct-14,5.94,6.00,5.70,5.70,26422
20-Oct-14,5.64,5.88,5.64,5.88,10744
17-Oct-14,5.52,5.76,5.40,5.70,17709
16-Oct-14,5.16,5.70,5.10,5.52,26840
15-Oct-14,5.52,5.52,5.10,5.40,15907
14-Oct-14,5.40,5.58,5.34,5.46,19916
13-Oct-14,5.34,5.76,5.23,5.40,43418
10-Oct-14,5.52,5.64,5.16,5.40,16352
9-Oct-14,5.52,5.76,5.13,5.52,41014
8-Oct-14,5.40,5.64,5.16,5.64,29256
7-Oct-14,5.52,5.52,5.28,5.46,15949
6-Oct-14,5.46,5.70,5.40,5.64,10274
3-Oct-14,5.40,5.70,5.40,5.46,8708
2-Oct-14,5.61,5.82,5.41,5.44,8886
1-Oct-14,5.43,5.67,5.40,5.67,9826
30-Sep-14,5.46,5.76,5.40,5.46,12482
29-Sep-14,5.40,5.82,5.40,5.47,9501
26-Sep-14,5.70,5.82,5.40,5.52,11461
25-Sep-14,5.49,5.76,5.25,5.76,15406
24-Sep-14,5.55,5.70,5.46,5.52,13048
23-Sep-14,5.62,6.00,5.46,5.84,8405
22-Sep-14,5.79,6.00,5.40,5.70,36626
19-Sep-14,5.82,6.24,5.52,6.00,32779
18-Sep-14,5.76,6.00,5.41,5.94,33628
17-Sep-14,5.82,6.00,5.70,5.82,15646
16-Sep-14,5.90,5.93,5.79,5.82,7213
15-Sep-14,6.00,6.00,5.82,6.00,21329
12-Sep-14,6.42,6.42,5.86,6.00,18943
11-Sep-14,6.12,6.24,5.86,6.06,10031
10-Sep-14,6.13,6.24,5.71,6.12,23111
9-Sep-14,6.06,6.48,6.00,6.06,8679
8-Sep-14,6.42,6.48,6.00,6.12,21544
5-Sep-14,6.24,6.54,6.06,6.36,18848
4-Sep-14,6.18,6.54,6.06,6.12,7678
3-Sep-14,6.42,6.60,6.06,6.18,18699
2-Sep-14,6.74,6.74,6.30,6.42,5020
