Date,Open,High,Low,Close,Volume
31-Dec-14,5.70,5.95,5.60,5.95,11725
30-Dec-14,5.90,5.90,5.69,5.75,28679
29-Dec-14,5.75,5.92,5.75,5.86,38381
26-Dec-14,5.69,5.73,5.68,5.68,4055
24-Dec-14,5.75,5.75,5.65,5.65,15304
23-Dec-14,5.85,5.85,5.68,5.69,8798
22-Dec-14,6.00,6.05,5.65,5.66,19374
19-Dec-14,5.76,6.11,5.70,5.71,8165
18-Dec-14,7.40,7.40,5.60,5.76,42186
17-Dec-14,5.62,5.71,5.62,5.71,1467
16-Dec-14,5.83,5.83,5.62,5.63,2632
15-Dec-14,6.48,6.48,5.77,5.83,13275
12-Dec-14,6.63,6.63,6.25,6.46,11198
11-Dec-14,6.94,6.94,6.63,6.63,3673
10-Dec-14,7.00,7.00,6.55,6.55,11558
9-Dec-14,7.40,7.40,6.74,6.74,18726
8-Dec-14,7.11,7.31,6.90,6.90,10630
5-Dec-14,7.35,7.45,7.04,7.08,13141
4-Dec-14,7.40,7.40,7.09,7.15,5840
3-Dec-14,7.20,7.31,7.20,7.29,6721
2-Dec-14,7.40,7.40,7.00,7.20,13951
1-Dec-14,7.40,7.40,7.15,7.20,13667
28-Nov-14,7.50,7.50,7.20,7.26,11794
26-Nov-14,7.45,7.49,7.30,7.40,27202
25-Nov-14,7.30,7.30,7.06,7.18,12035
24-Nov-14,6.84,7.39,6.84,7.18,4029
21-Nov-14,6.54,6.89,5.87,6.65,47075
20-Nov-14,6.81,6.81,6.37,6.51,17568
19-Nov-14,6.94,6.94,6.71,6.71,3857
18-Nov-14,6.90,6.90,6.76,6.76,2214
17-Nov-14,6.63,6.63,6.63,6.63,215
14-Nov-14,7.18,7.22,6.70,6.70,2688
13-Nov-14,6.57,7.16,6.57,6.98,3843
12-Nov-14,7.00,7.00,6.45,6.73,8636
11-Nov-14,7.02,7.02,6.84,6.99,13150
10-Nov-14,7.45,7.45,7.05,7.25,4447
7-Nov-14,7.45,7.45,7.40,7.40,3356
6-Nov-14,7.20,7.25,7.20,7.25,287
5-Nov-14,6.81,7.20,6.63,7.20,4943
4-Nov-14,7.06,7.06,6.85,6.93,1668
3-Nov-14,7.58,7.58,6.99,7.01,3131
31-Oct-14,7.40,7.55,7.20,7.40,9506
30-Oct-14,7.75,7.78,7.55,7.56,23713
29-Oct-14,8.19,8.80,7.00,7.75,65914
28-Oct-14,7.10,7.25,7.10,7.16,6405
27-Oct-14,6.75,6.75,6.67,6.67,2487
24-Oct-14,6.60,7.00,6.24,7.00,3955
23-Oct-14,6.55,6.55,6.55,6.55,587
22-Oct-14,6.25,6.71,6.25,6.71,9558
21-Oct-14,5.63,6.25,5.63,6.25,507
20-Oct-14,5.52,5.52,5.52,5.52,633
17-Oct-14,5.43,5.45,5.43,5.45,302
16-Oct-14,5.41,5.41,5.41,5.41,121
15-Oct-14,4.71,5.00,4.71,5.00,411
14-Oct-14,5.43,5.43,5.06,5.06,1182
8-Oct-14,6.00,6.00,6.00,6.00,516
7-Oct-14,6.23,6.23,6.23,6.23,1000
3-Oct-14,6.64,6.64,6.54,6.54,380
1-Oct-14,5.65,5.65,5.65,5.65,42
29-Sep-14,5.77,5.77,5.77,5.77,83
25-Sep-14,5.27,5.27,5.27,5.27,41
24-Sep-14,5.59,5.59,5.59,5.59,85
23-Sep-14,5.17,5.17,5.17,5.17,35
18-Sep-14,5.35,5.35,5.35,5.35,42
17-Sep-14,5.40,5.40,5.40,5.40,1250
16-Sep-14,5.10,5.10,4.99,4.99,2142
15-Sep-14,5.27,5.27,4.92,4.92,1401
12-Sep-14,5.35,5.35,5.35,5.35,17
11-Sep-14,5.52,5.62,5.52,5.52,192
9-Sep-14,6.03,6.14,5.93,6.06,1725
8-Sep-14,5.74,6.08,5.74,6.08,6700
5-Sep-14,6.18,6.18,6.04,6.07,783
4-Sep-14,5.98,6.13,5.98,6.13,625
3-Sep-14,5.56,5.56,5.56,5.56,208
27-Aug-14,5.00,5.00,4.99,4.99,1042
26-Aug-14,4.92,4.92,4.92,4.92,250
25-Aug-14,4.76,4.76,4.76,4.76,483
22-Aug-14,4.73,5.03,4.73,5.00,3441
21-Aug-14,4.92,4.92,4.92,4.92,31
19-Aug-14,4.76,4.76,4.76,4.76,333
