Date,Open,High,Low,Close,Volume
31-Dec-14,46.46,46.98,46.10,46.37,399781
30-Dec-14,46.14,46.84,45.90,46.29,184473
29-Dec-14,47.19,47.44,46.15,46.21,215091
26-Dec-14,46.55,47.52,46.29,47.33,130080
24-Dec-14,46.68,47.27,46.21,46.21,199098
23-Dec-14,45.61,46.42,45.42,46.30,184036
22-Dec-14,44.09,45.42,44.09,45.40,215056
19-Dec-14,44.48,44.86,43.86,44.09,1209961
18-Dec-14,44.08,44.88,43.56,44.55,190411
17-Dec-14,43.21,43.39,41.15,43.31,476690
16-Dec-14,43.87,44.55,43.08,43.10,344623
15-Dec-14,44.20,44.60,43.62,44.12,254685
12-Dec-14,43.34,44.35,43.34,44.00,298692
11-Dec-14,43.86,44.74,43.02,43.79,340309
10-Dec-14,44.28,44.60,43.48,43.51,499883
9-Dec-14,43.51,44.54,43.04,44.33,378152
8-Dec-14,44.41,44.85,43.79,44.16,392740
5-Dec-14,44.22,44.94,44.14,44.42,242868
4-Dec-14,43.91,44.83,43.64,44.32,307219
3-Dec-14,43.95,44.68,43.23,43.97,233641
2-Dec-14,42.36,43.82,42.36,43.71,290694
1-Dec-14,43.04,44.31,41.67,42.15,349398
28-Nov-14,43.04,44.32,42.00,43.42,186573
26-Nov-14,43.48,44.03,42.44,42.78,364865
25-Nov-14,43.65,44.66,43.30,43.55,417603
24-Nov-14,43.32,44.26,43.16,43.63,245920
21-Nov-14,43.42,43.50,42.48,43.12,203323
20-Nov-14,41.60,42.89,41.17,42.78,178892
19-Nov-14,42.32,42.74,41.25,41.68,345679
18-Nov-14,42.35,43.28,41.97,42.56,405640
17-Nov-14,42.48,43.00,42.04,42.33,332746
14-Nov-14,42.53,43.13,42.10,42.61,183381
13-Nov-14,43.42,43.42,42.07,42.63,225787
12-Nov-14,43.11,43.82,42.87,43.38,236079
11-Nov-14,43.00,43.38,42.51,43.21,312975
10-Nov-14,42.50,43.14,42.02,43.00,359906
7-Nov-14,42.89,43.32,42.11,42.40,273866
6-Nov-14,41.81,42.95,40.96,42.88,269273
5-Nov-14,41.97,42.35,41.24,41.95,333891
4-Nov-14,41.25,43.71,41.25,41.99,481688
3-Nov-14,43.46,44.00,39.45,41.32,1054410
31-Oct-14,39.00,39.12,38.10,38.70,535105
30-Oct-14,38.09,38.39,36.96,37.78,374942
29-Oct-14,38.04,38.72,37.59,38.43,249628
28-Oct-14,37.95,38.60,37.70,37.80,436391
27-Oct-14,36.11,37.66,35.49,37.57,328968
24-Oct-14,35.79,36.10,35.29,35.75,204623
23-Oct-14,35.39,36.30,35.04,35.64,311925
22-Oct-14,36.16,36.18,34.80,34.84,240760
21-Oct-14,34.50,36.13,34.37,35.92,293080
20-Oct-14,33.64,34.22,33.53,34.16,414559
17-Oct-14,32.92,33.91,32.69,33.77,383214
16-Oct-14,31.43,33.11,31.36,32.47,558738
15-Oct-14,30.70,32.21,30.14,32.13,529234
14-Oct-14,30.94,31.86,30.42,31.38,537166
13-Oct-14,32.36,32.82,30.49,30.54,513915
10-Oct-14,33.11,33.34,32.09,32.19,637967
9-Oct-14,35.08,35.78,33.25,33.28,351830
8-Oct-14,34.40,35.28,33.75,35.23,692857
7-Oct-14,35.78,35.87,34.28,34.34,458194
6-Oct-14,35.93,36.36,35.82,36.00,315755
3-Oct-14,35.83,36.48,35.37,35.93,295928
2-Oct-14,35.50,35.82,35.11,35.45,386560
1-Oct-14,37.25,37.49,35.35,35.41,739323
30-Sep-14,37.57,37.99,37.02,37.30,609540
29-Sep-14,37.41,37.82,37.11,37.68,261793
26-Sep-14,37.78,38.95,37.70,37.83,316794
25-Sep-14,37.54,38.05,37.04,37.81,417975
24-Sep-14,37.50,37.98,37.41,37.77,434452
23-Sep-14,37.19,38.02,37.13,37.67,457809
22-Sep-14,37.29,37.49,36.78,37.34,436888
19-Sep-14,38.05,38.54,36.85,37.47,716947
18-Sep-14,37.71,38.30,36.67,37.65,650719
17-Sep-14,35.08,36.52,34.60,35.91,528084
16-Sep-14,34.16,35.14,33.98,34.87,616910
15-Sep-14,33.63,34.50,33.13,34.21,701329
