Date,Open,High,Low,Close,Volume
31-Dec-14,10.10,10.50,9.99,10.14,37689
30-Dec-14,10.53,10.53,10.02,10.16,23512
29-Dec-14,10.37,10.55,10.35,10.47,29734
26-Dec-14,10.50,10.55,10.35,10.42,17969
24-Dec-14,10.58,10.58,10.32,10.54,7831
23-Dec-14,10.49,10.72,10.30,10.55,16085
22-Dec-14,10.61,10.98,10.25,10.57,21030
19-Dec-14,11.32,11.32,10.63,10.63,47971
18-Dec-14,11.29,11.45,11.25,11.29,21039
17-Dec-14,10.79,11.28,10.79,11.19,33753
16-Dec-14,10.71,11.28,10.71,10.94,17810
15-Dec-14,11.36,11.45,10.55,11.10,56750
12-Dec-14,10.98,11.47,10.13,11.23,87286
11-Dec-14,11.38,11.52,11.00,11.05,13582
10-Dec-14,11.35,11.35,11.10,11.21,27464
9-Dec-14,11.44,11.66,11.23,11.42,30249
8-Dec-14,11.79,12.15,11.40,11.54,30719
5-Dec-14,11.47,11.90,11.19,11.74,26332
4-Dec-14,11.19,11.19,10.90,11.05,12418
3-Dec-14,10.93,11.44,10.89,11.20,49059
2-Dec-14,12.10,12.45,10.85,10.90,49108
1-Dec-14,13.00,13.00,11.92,12.02,46306
28-Nov-14,12.06,12.23,11.87,11.95,16356
26-Nov-14,11.96,12.25,11.62,12.17,31393
25-Nov-14,12.30,12.34,11.88,12.18,32506
24-Nov-14,12.13,12.26,12.00,12.12,29179
21-Nov-14,12.23,12.24,11.85,12.10,36936
20-Nov-14,11.85,12.37,11.50,12.17,32384
19-Nov-14,12.98,12.98,12.06,12.23,40157
18-Nov-14,14.47,14.47,12.30,12.71,71020
17-Nov-14,12.14,13.26,12.14,12.88,35545
14-Nov-14,12.55,13.14,12.00,12.12,41349
13-Nov-14,14.14,14.39,12.53,12.53,52798
12-Nov-14,13.91,14.16,13.39,13.65,36481
11-Nov-14,13.15,14.33,12.01,14.31,50697
10-Nov-14,12.76,13.47,12.76,13.37,44420
7-Nov-14,13.12,13.29,12.38,12.71,49186
6-Nov-14,12.87,13.67,12.87,13.32,28640
5-Nov-14,13.00,13.46,12.51,12.86,85495
4-Nov-14,14.20,14.55,12.90,12.94,73816
3-Nov-14,14.00,14.50,13.80,14.18,87644
31-Oct-14,11.73,14.55,11.73,13.64,226045
30-Oct-14,11.26,11.67,11.04,11.61,69139
29-Oct-14,10.54,10.89,10.50,10.71,67331
28-Oct-14,9.37,10.86,9.28,10.57,108968
27-Oct-14,9.65,9.65,9.14,9.37,76992
24-Oct-14,10.23,11.10,9.67,9.75,70309
23-Oct-14,9.82,10.71,9.82,10.46,90640
22-Oct-14,9.20,10.28,9.10,9.81,72229
21-Oct-14,8.84,9.19,8.67,9.01,116284
20-Oct-14,8.88,8.95,8.50,8.80,95928
17-Oct-14,9.12,9.99,8.64,8.88,146555
16-Oct-14,8.20,9.30,8.20,8.99,169400
15-Oct-14,8.24,8.36,7.91,8.21,119944
14-Oct-14,9.20,9.20,8.28,8.37,221694
13-Oct-14,10.11,10.46,8.38,9.18,163457
10-Oct-14,12.58,12.88,9.82,10.01,233570
9-Oct-14,13.60,13.90,11.29,12.77,554723
8-Oct-14,16.83,18.22,16.00,16.88,153279
7-Oct-14,17.06,17.37,16.79,17.07,35446
6-Oct-14,17.05,17.72,16.50,17.09,53371
3-Oct-14,16.60,17.87,16.52,16.89,45151
2-Oct-14,16.21,17.14,16.20,16.67,50625
1-Oct-14,15.51,16.50,15.50,16.21,56056
30-Sep-14,16.18,16.20,15.30,15.62,100371
29-Sep-14,16.63,16.92,15.88,16.23,42206
26-Sep-14,16.94,17.10,16.06,16.94,79409
25-Sep-14,18.20,18.53,16.75,17.08,108546
24-Sep-14,18.10,18.94,17.74,18.52,66982
23-Sep-14,17.62,17.94,17.54,17.63,64990
22-Sep-14,18.80,18.80,17.51,17.79,78269
19-Sep-14,20.28,20.69,18.75,19.16,139948
18-Sep-14,21.00,21.11,20.11,20.24,74289
17-Sep-14,20.78,21.27,20.63,21.01,47365
16-Sep-14,20.39,21.62,20.23,20.94,77201
15-Sep-14,22.78,22.95,20.41,20.60,100626
12-Sep-14,23.31,23.35,22.83,23.00,29618
11-Sep-14,23.74,23.74,22.50,23.11,122849
10-Sep-14,22.70,23.42,22.00,23.25,41292
9-Sep-14,23.41,23.67,20.01,22.25,171739
8-Sep-14,23.90,24.13,22.91,23.22,92719
5-Sep-14,25.00,25.00,23.15,23.74,79021
4-Sep-14,22.25,23.47,22.20,23.10,107285
3-Sep-14,22.58,22.58,21.80,22.04,116484
2-Sep-14,21.00,21.88,20.05,21.70,113245
29-Aug-14,19.75,20.72,19.25,19.96,90360
28-Aug-14,18.90,20.71,18.67,19.04,82253
27-Aug-14,19.30,19.74,18.65,18.82,57135
26-Aug-14,18.82,19.45,18.72,19.18,78668
25-Aug-14,18.64,18.95,18.48,18.89,37243
22-Aug-14,18.12,18.68,18.12,18.44,34787
21-Aug-14,18.62,18.72,18.20,18.51,26083
20-Aug-14,18.28,18.55,18.14,18.55,17408
19-Aug-14,18.64,18.75,18.06,18.29,37552
18-Aug-14,18.46,18.91,18.12,18.71,51071
15-Aug-14,17.92,18.45,17.75,18.12,91641
14-Aug-14,17.05,17.75,16.92,17.63,36270
13-Aug-14,16.61,17.40,16.61,17.04,31417
12-Aug-14,16.17,16.37,16.00,16.34,147049
11-Aug-14,15.10,16.29,15.10,16.14,61463
8-Aug-14,14.14,15.08,14.14,14.95,26935
7-Aug-14,13.66,14.48,13.66,13.99,39196
6-Aug-14,13.43,13.83,12.50,13.64,28948
5-Aug-14,14.01,14.30,13.49,13.63,40656
4-Aug-14,13.92,14.44,13.89,14.01,29423
1-Aug-14,14.83,14.91,13.48,13.67,50536
31-Jul-14,14.36,15.24,14.06,14.87,75963
30-Jul-14,14.51,14.62,14.02,14.58,16217
29-Jul-14,14.55,14.79,14.26,14.54,14932
28-Jul-14,14.79,15.04,13.86,14.59,42150
25-Jul-14,15.09,15.11,14.68,14.84,23257
24-Jul-14,15.32,15.32,14.91,15.16,23875
23-Jul-14,15.09,15.46,14.85,15.36,25115
22-Jul-14,15.34,15.65,14.54,15.06,51175
21-Jul-14,15.70,15.70,15.10,15.33,26923
18-Jul-14,15.87,15.87,15.38,15.51,26185
17-Jul-14,14.96,15.93,14.90,15.85,64016
16-Jul-14,14.80,15.65,14.80,15.10,43782
15-Jul-14,14.73,15.02,14.61,14.73,33656
14-Jul-14,14.96,15.05,14.62,14.73,20580
11-Jul-14,14.96,15.01,14.44,14.77,29472
10-Jul-14,14.52,15.10,14.25,15.04,83551
9-Jul-14,14.77,15.13,14.35,14.87,52235
8-Jul-14,14.94,14.99,14.26,14.78,48581
7-Jul-14,15.30,15.80,14.76,15.07,118740
3-Jul-14,15.45,15.82,15.20,15.50,48241
2-Jul-14,15.46,16.82,15.35,15.38,131654
1-Jul-14,15.48,16.61,15.41,15.60,458006
30-Jun-14,16.23,16.66,15.05,15.20,144022
27-Jun-14,16.89,17.29,16.18,16.18,516266
26-Jun-14,17.56,17.79,16.87,17.02,60479
25-Jun-14,17.42,17.85,16.75,17.07,51219
24-Jun-14,17.11,17.99,16.72,17.54,101390
23-Jun-14,17.62,17.62,16.60,17.23,94729
20-Jun-14,17.25,17.73,16.32,17.12,90652
19-Jun-14,17.62,17.62,16.97,17.08,43473
18-Jun-14,17.77,18.26,16.67,17.35,96924
17-Jun-14,16.16,16.53,15.75,16.31,92943
16-Jun-14,15.39,16.22,15.32,16.08,90757
13-Jun-14,14.86,15.50,14.65,15.24,59412
12-Jun-14,15.23,15.23,14.55,14.86,58865
11-Jun-14,15.00,15.17,14.60,15.00,28414
10-Jun-14,15.00,15.00,14.70,14.95,29355
9-Jun-14,14.47,14.99,14.47,14.88,85045
6-Jun-14,13.80,14.80,13.50,14.39,123313
5-Jun-14,13.11,13.80,13.00,13.74,72620
4-Jun-14,12.80,13.15,12.53,13.13,41853
3-Jun-14,13.02,13.10,12.50,12.78,28535
2-Jun-14,12.66,13.21,12.51,13.00,50795
30-May-14,12.76,12.95,12.31,12.47,47196
29-May-14,12.55,12.95,12.20,12.75,29795
28-May-14,12.89,13.06,12.40,12.55,100777
27-May-14,12.94,13.53,12.63,12.90,46751
23-May-14,12.80,12.96,12.52,12.80,27366
22-May-14,12.21,12.84,12.18,12.74,85709
21-May-14,12.25,12.49,12.05,12.12,36951
20-May-14,12.59,12.59,12.06,12.23,24995
19-May-14,13.08,13.50,12.53,12.68,49193
16-May-14,12.69,13.10,12.68,13.00,40890
15-May-14,14.12,14.12,12.76,12.96,75476
14-May-14,12.53,14.77,12.08,13.63,142187
13-May-14,13.05,13.05,12.27,12.33,62980
12-May-14,13.00,13.14,12.58,12.82,56507
9-May-14,13.59,13.98,12.53,12.90,98363
8-May-14,13.90,14.38,13.27,13.80,50610
7-May-14,15.38,15.49,13.90,14.22,55765
6-May-14,15.98,16.03,15.34,15.34,44341
5-May-14,15.66,17.53,15.20,15.96,49887
2-May-14,17.15,17.15,15.62,15.81,121000
1-May-14,16.37,16.95,16.37,16.60,76230
30-Apr-14,16.28,16.60,15.93,16.60,58988
29-Apr-14,16.56,16.60,15.88,16.40,112512
28-Apr-14,16.23,16.89,16.18,16.60,114508
25-Apr-14,18.12,18.12,15.46,16.17,170182
24-Apr-14,17.86,18.91,17.20,18.42,176972
23-Apr-14,16.92,17.99,16.62,17.66,92945
22-Apr-14,16.80,17.18,16.15,17.04,75310
21-Apr-14,17.04,17.49,16.45,16.85,78132
17-Apr-14,16.60,17.86,16.48,16.81,128570
16-Apr-14,16.25,16.78,15.90,16.66,110295
15-Apr-14,15.46,16.36,15.20,15.78,148095
14-Apr-14,14.58,15.16,14.51,15.16,48472
11-Apr-14,14.40,15.00,14.22,14.52,46625
10-Apr-14,15.00,15.40,14.00,14.64,230610
9-Apr-14,14.48,14.97,14.28,14.86,102542
8-Apr-14,13.90,14.68,13.84,14.59,115220
7-Apr-14,13.95,14.11,13.54,13.82,99380
4-Apr-14,14.75,14.80,14.00,14.01,38065
3-Apr-14,15.18,15.18,14.30,14.67,78872
2-Apr-14,14.62,15.16,14.62,15.03,53305
1-Apr-14,13.94,14.80,13.81,14.60,67160
31-Mar-14,13.24,13.84,13.24,13.79,48980
28-Mar-14,13.42,13.64,13.02,13.25,62405
27-Mar-14,13.29,13.48,13.10,13.43,26815
26-Mar-14,13.70,13.92,13.05,13.49,60092
25-Mar-14,13.67,13.95,13.02,13.80,109930
24-Mar-14,13.60,13.96,13.40,13.85,112322
21-Mar-14,12.78,13.49,12.78,13.49,163022
20-Mar-14,12.80,12.80,11.67,12.52,92842
19-Mar-14,12.52,13.01,12.26,12.56,159132
18-Mar-14,12.40,13.55,12.25,12.60,139850
17-Mar-14,11.50,12.00,11.11,11.91,97612
14-Mar-14,11.30,11.73,11.05,11.39,50768
13-Mar-14,11.03,11.52,11.03,11.23,39702
12-Mar-14,11.13,11.20,10.82,11.08,33032
11-Mar-14,11.41,11.41,10.96,10.96,41150
10-Mar-14,11.50,11.84,10.80,11.16,107525
7-Mar-14,12.32,12.32,11.34,11.59,63320
6-Mar-14,12.28,12.32,11.92,12.19,39250
5-Mar-14,11.99,12.30,11.92,12.27,73972
4-Mar-14,11.70,12.04,10.86,11.94,80848
3-Mar-14,11.28,11.80,10.80,11.51,115145
28-Feb-14,11.16,11.35,10.62,10.96,64868
27-Feb-14,10.38,11.20,10.38,11.20,42172
26-Feb-14,10.74,10.86,10.35,10.46,53850
25-Feb-14,11.16,11.62,10.38,10.64,87320
24-Feb-14,11.22,11.24,10.87,11.03,59952
21-Feb-14,10.72,11.14,10.70,11.02,65742
20-Feb-14,10.22,10.51,10.10,10.51,174562
19-Feb-14,10.28,10.40,10.01,10.30,152358
18-Feb-14,11.32,11.34,10.29,10.40,159635
14-Feb-14,12.60,12.60,10.50,11.35,146805
