Date,Open,High,Low,Close,Volume
31-Dec-14,7.61,7.77,7.57,7.60,4403
30-Dec-14,7.64,7.84,7.48,7.53,6573
29-Dec-14,7.75,7.98,7.60,7.64,4416
26-Dec-14,7.98,7.98,7.62,7.95,1334
24-Dec-14,7.59,7.97,7.49,7.97,3226
23-Dec-14,7.92,7.92,7.41,7.50,9841
22-Dec-14,7.70,7.74,7.52,7.60,12907
19-Dec-14,7.60,7.86,7.50,7.60,11761
18-Dec-14,7.95,7.95,7.36,7.57,5008
17-Dec-14,7.57,7.75,7.32,7.59,9425
16-Dec-14,7.55,7.78,7.32,7.32,4500
15-Dec-14,7.66,8.22,7.52,7.64,29042
12-Dec-14,7.57,7.75,7.50,7.55,4332
11-Dec-14,7.61,7.69,7.51,7.68,9080
10-Dec-14,7.86,8.09,7.52,7.52,67416
9-Dec-14,7.50,7.76,7.50,7.66,1172
8-Dec-14,7.52,7.75,7.52,7.66,880
5-Dec-14,7.54,7.79,7.54,7.62,2028
4-Dec-14,7.41,7.61,7.41,7.60,4653
3-Dec-14,7.40,7.55,7.40,7.50,6875
2-Dec-14,7.59,7.71,7.40,7.67,11550
1-Dec-14,7.57,7.57,7.37,7.46,4708
28-Nov-14,7.35,7.69,7.33,7.50,4662
26-Nov-14,7.23,7.70,7.21,7.49,14960
25-Nov-14,7.53,7.53,7.25,7.43,2706
24-Nov-14,7.25,7.49,7.25,7.46,4589
21-Nov-14,7.53,7.53,7.13,7.24,9506
20-Nov-14,7.12,7.24,6.85,7.00,16088
19-Nov-14,6.67,7.10,6.67,6.82,9646
18-Nov-14,6.98,6.98,6.43,6.89,18297
17-Nov-14,7.35,7.92,6.84,6.84,35726
14-Nov-14,7.50,7.50,7.40,7.40,5167
13-Nov-14,7.52,7.52,7.40,7.40,2175
12-Nov-14,7.30,7.65,7.30,7.50,12757
11-Nov-14,7.60,7.60,7.39,7.50,8303
10-Nov-14,7.60,7.79,7.60,7.65,3047
7-Nov-14,7.80,7.90,7.54,7.60,3854
6-Nov-14,7.63,7.89,7.62,7.62,3476
5-Nov-14,7.95,7.95,7.25,7.71,9481
4-Nov-14,7.80,7.94,7.80,7.80,1801
3-Nov-14,7.81,7.83,7.70,7.75,7602
31-Oct-14,7.72,7.94,7.72,7.81,1279
30-Oct-14,7.69,7.69,7.69,7.69,770
29-Oct-14,7.62,7.65,7.60,7.65,1139
28-Oct-14,8.00,8.16,7.67,7.72,6143
27-Oct-14,8.18,8.54,7.66,7.99,3499
24-Oct-14,8.32,8.43,8.30,8.30,3465
23-Oct-14,8.27,8.40,8.02,8.30,2985
22-Oct-14,8.81,8.81,7.73,8.13,15930
21-Oct-14,8.80,8.93,8.30,8.32,8838
20-Oct-14,8.05,8.50,8.05,8.30,7517
17-Oct-14,8.04,8.28,7.81,8.18,15836
16-Oct-14,8.00,8.10,7.81,7.89,12060
15-Oct-14,8.07,8.21,8.00,8.03,8281
14-Oct-14,8.26,8.42,8.08,8.14,4934
13-Oct-14,8.55,8.56,8.20,8.21,10285
10-Oct-14,8.00,8.58,8.00,8.54,4125
9-Oct-14,8.72,8.72,8.36,8.40,4395
8-Oct-14,8.82,8.84,8.05,8.84,31902
7-Oct-14,8.69,8.89,8.69,8.82,2877
6-Oct-14,9.05,9.05,7.65,8.95,19024
3-Oct-14,8.88,9.15,8.88,9.14,3740
2-Oct-14,8.90,9.00,8.55,8.78,8174
1-Oct-14,9.27,9.27,8.85,9.09,15864
30-Sep-14,9.60,9.60,9.45,9.59,20302
29-Sep-14,9.42,9.90,9.10,9.82,10450
26-Sep-14,10.54,10.54,9.17,9.66,7651
25-Sep-14,9.28,9.72,9.28,9.65,5431
24-Sep-14,9.13,9.40,9.11,9.27,5744
23-Sep-14,9.27,9.47,8.90,9.15,13914
22-Sep-14,9.93,9.93,9.10,9.25,30891
19-Sep-14,10.75,11.00,9.76,9.76,70503
18-Sep-14,10.16,10.87,10.16,10.52,23082
17-Sep-14,10.34,10.99,10.30,10.31,27534
16-Sep-14,10.59,10.59,10.06,10.43,14576
15-Sep-14,10.57,10.57,10.00,10.08,16688
12-Sep-14,10.49,10.78,10.32,10.56,16627
11-Sep-14,10.30,10.74,10.22,10.46,29633
10-Sep-14,9.45,11.41,9.45,10.34,45833
9-Sep-14,9.32,9.45,9.08,9.43,31224
8-Sep-14,9.15,9.49,8.91,9.20,48962
5-Sep-14,9.10,9.20,8.91,9.17,21237
4-Sep-14,9.61,9.99,9.03,9.20,135745
3-Sep-14,8.97,9.02,8.85,8.89,13495
2-Sep-14,9.02,9.05,8.86,9.04,25113
29-Aug-14,9.00,9.35,8.90,9.35,5495
28-Aug-14,8.74,9.08,8.74,9.08,5230
27-Aug-14,8.73,8.96,8.72,8.96,796
26-Aug-14,9.19,9.19,8.54,8.97,5598
25-Aug-14,8.91,8.94,8.86,8.94,1464
22-Aug-14,8.80,9.19,8.80,9.02,1814
20-Aug-14,8.56,8.90,8.56,8.90,9965
19-Aug-14,8.42,8.90,8.40,8.65,9978
18-Aug-14,8.75,8.75,8.35,8.56,6441
15-Aug-14,8.40,9.25,8.02,8.13,62170
14-Aug-14,8.32,8.50,8.32,8.49,6990
13-Aug-14,8.30,8.42,8.30,8.32,3957
12-Aug-14,8.35,8.46,8.15,8.30,4987
11-Aug-14,8.75,8.75,8.40,8.46,7568
8-Aug-14,8.62,9.15,8.20,8.46,89442
7-Aug-14,8.67,8.68,8.40,8.45,24575
6-Aug-14,8.42,8.50,8.35,8.50,11716
5-Aug-14,8.52,8.52,8.40,8.40,1578
4-Aug-14,8.40,8.67,8.39,8.43,14480
1-Aug-14,8.40,8.49,8.40,8.40,512
31-Jul-14,8.52,8.52,8.43,8.43,1690
30-Jul-14,8.72,8.72,8.52,8.52,413
29-Jul-14,8.57,8.84,8.47,8.50,7259
28-Jul-14,8.51,8.52,8.51,8.51,1067
25-Jul-14,8.60,8.60,8.55,8.60,600
24-Jul-14,8.51,8.85,8.50,8.64,3595
23-Jul-14,8.85,8.85,8.85,8.85,305
22-Jul-14,8.39,8.89,8.30,8.89,879
21-Jul-14,8.35,8.56,8.00,8.30,3752
18-Jul-14,8.87,8.90,7.76,8.38,17172
17-Jul-14,8.50,8.97,8.50,8.96,3757
16-Jul-14,8.83,9.09,8.60,8.60,9938
15-Jul-14,9.04,9.10,9.04,9.10,1521
14-Jul-14,9.06,9.06,8.66,8.95,4365
11-Jul-14,9.00,9.20,9.00,9.20,4856
10-Jul-14,9.08,9.08,9.00,9.08,1103
9-Jul-14,8.97,9.08,8.73,9.08,3185
8-Jul-14,8.40,8.77,8.40,8.61,4153
7-Jul-14,8.61,9.16,8.50,8.50,11412
3-Jul-14,9.15,9.25,8.56,8.60,3136
2-Jul-14,8.97,9.00,8.70,8.77,7743
1-Jul-14,9.00,9.00,8.80,8.85,8487
30-Jun-14,9.00,9.04,8.85,8.85,5925
27-Jun-14,9.10,9.29,8.95,9.04,2974
26-Jun-14,9.04,9.04,8.90,8.90,1905
25-Jun-14,9.01,9.27,9.00,9.10,7686
24-Jun-14,9.00,9.14,8.95,9.00,5433
23-Jun-14,9.11,9.20,8.95,8.95,7123
20-Jun-14,9.01,9.15,8.75,9.02,12511
19-Jun-14,9.00,9.10,8.80,9.00,10654
18-Jun-14,9.01,9.15,8.90,9.03,14488
17-Jun-14,9.00,9.50,9.00,9.15,11631
16-Jun-14,8.92,9.00,8.79,8.79,12999
13-Jun-14,9.00,9.35,8.95,8.95,6131
12-Jun-14,8.10,9.45,8.10,9.15,5933
11-Jun-14,9.26,10.00,9.26,9.52,2708
10-Jun-14,9.01,9.15,8.75,9.15,4358
9-Jun-14,8.00,15.00,8.00,9.00,5243
6-Jun-14,7.50,7.65,7.45,7.65,6949
5-Jun-14,7.43,7.45,7.43,7.45,437
3-Jun-14,7.15,7.40,7.15,7.30,6192
2-Jun-14,7.15,7.15,7.15,7.15,4319
30-May-14,7.11,7.11,7.00,7.08,3102
29-May-14,7.15,7.15,7.06,7.15,3438
28-May-14,7.20,7.69,7.11,7.20,8028
27-May-14,7.85,7.85,7.10,7.11,7973
18-Sep-13,7.67,7.92,7.60,7.75,5397
17-Sep-13,8.00,8.00,7.40,7.40,3674
16-Sep-13,7.64,7.64,7.56,7.60,1468
13-Sep-13,7.92,7.92,7.64,7.92,1280
12-Sep-13,7.56,7.92,7.56,7.92,16596
11-Sep-13,7.88,7.88,7.58,7.60,3739
10-Sep-13,8.00,8.00,7.72,7.92,2788
9-Sep-13,7.87,8.00,7.84,8.00,2584
6-Sep-13,7.96,8.00,7.82,7.84,6654
5-Sep-13,8.00,8.00,7.80,7.93,4888
4-Sep-13,7.96,8.00,7.80,7.80,2065
3-Sep-13,8.08,8.20,7.60,7.84,2384
30-Aug-13,7.44,8.20,7.44,8.20,1866
29-Aug-13,7.71,7.84,7.51,7.73,1401
28-Aug-13,7.90,8.00,7.64,7.64,3361
27-Aug-13,7.64,8.00,7.60,7.80,7693
26-Aug-13,7.80,7.80,7.64,7.64,4286
23-Aug-13,7.80,8.00,7.64,7.82,1032
22-Aug-13,8.00,8.00,7.68,8.00,2069
21-Aug-13,7.88,8.00,7.88,7.98,670
20-Aug-13,7.89,8.00,7.88,8.00,8219
19-Aug-13,8.12,8.12,7.88,7.88,1130
16-Aug-13,8.10,8.12,7.92,8.00,5552
15-Aug-13,8.00,8.20,7.92,8.12,8497
14-Aug-13,8.00,8.04,7.80,7.80,5492
13-Aug-13,7.90,8.00,7.60,7.80,2538
12-Aug-13,8.00,8.00,7.88,7.92,3651
9-Aug-13,7.84,8.20,7.84,8.00,13253
8-Aug-13,8.16,8.20,7.80,8.00,2444
7-Aug-13,8.20,8.32,7.80,8.20,22148
6-Aug-13,7.80,7.96,7.80,7.92,225
5-Aug-13,8.00,8.06,7.60,7.98,10604
2-Aug-13,7.60,7.96,7.60,7.92,2824
1-Aug-13,7.40,8.00,7.40,7.64,19464
31-Jul-13,7.24,7.60,7.00,7.38,2199
30-Jul-13,6.80,7.60,6.80,7.60,5137
29-Jul-13,7.10,7.18,7.10,7.18,635
26-Jul-13,7.14,7.18,6.80,7.10,1952
25-Jul-13,7.18,7.18,6.84,6.84,800
24-Jul-13,7.00,7.18,6.71,7.18,5330
23-Jul-13,6.80,6.89,6.44,6.89,112
22-Jul-13,6.40,7.16,6.21,6.80,959
19-Jul-13,6.60,7.20,6.20,7.20,3355
18-Jul-13,6.50,6.56,6.20,6.36,7436
17-Jul-13,6.00,6.36,5.84,6.36,6582
16-Jul-13,5.98,6.00,5.76,5.92,6937
15-Jul-13,5.93,5.98,5.92,5.98,1490
12-Jul-13,6.20,6.20,6.00,6.06,1314
11-Jul-13,6.20,6.20,6.04,6.16,2788
10-Jul-13,6.40,6.40,6.20,6.27,505
9-Jul-13,6.16,6.40,6.16,6.40,320
8-Jul-13,6.36,6.36,6.16,6.16,2380
5-Jul-13,6.20,6.40,6.20,6.40,1082
3-Jul-13,6.17,6.36,6.12,6.20,2042
2-Jul-13,6.20,6.31,6.20,6.31,549
1-Jul-13,6.00,6.40,6.00,6.16,812
28-Jun-13,6.60,6.60,6.48,6.48,4268
27-Jun-13,6.60,6.60,6.40,6.60,4565
26-Jun-13,6.60,6.76,6.60,6.76,156
25-Jun-13,6.80,6.80,6.62,6.76,225
24-Jun-13,6.80,6.80,6.60,6.80,721
21-Jun-13,6.76,6.80,6.60,6.64,2459
20-Jun-13,7.06,7.06,6.76,6.95,1108
19-Jun-13,7.20,7.20,6.60,7.06,1095
18-Jun-13,7.00,7.16,6.79,6.80,5419
17-Jun-13,7.32,7.40,6.52,7.03,899
14-Jun-13,7.52,7.52,7.00,7.00,529
13-Jun-13,6.95,7.40,6.95,7.20,1041
12-Jun-13,6.80,7.00,6.80,7.00,2785
11-Jun-13,7.60,7.74,6.80,7.42,11383
10-Jun-13,7.20,7.40,7.20,7.40,1304
7-Jun-13,7.12,7.18,7.12,7.18,1050
6-Jun-13,7.00,7.20,7.00,7.20,918
5-Jun-13,7.60,7.60,7.13,7.13,4198
4-Jun-13,6.88,7.76,6.88,7.20,4649
3-Jun-13,7.96,8.00,6.88,7.40,11227
31-May-13,7.20,8.00,7.20,7.76,47615
30-May-13,7.70,7.80,6.84,6.90,4168
29-May-13,6.32,7.80,6.20,7.80,21638
28-May-13,6.24,6.24,6.00,6.24,17068
24-May-13,6.08,6.32,5.80,6.00,2862
23-May-13,5.80,6.40,5.20,6.30,45157
22-May-13,5.54,5.88,5.08,5.80,19875
21-May-13,4.60,6.32,4.40,5.20,29649
20-May-13,3.60,4.16,3.60,4.16,451
17-May-13,3.64,4.16,3.64,4.00,1525
16-May-13,3.96,4.00,3.64,3.64,2632
15-May-13,4.29,4.29,3.84,3.92,1736
14-May-13,4.12,4.12,3.80,3.80,6896
13-May-13,4.24,4.36,4.24,4.34,1587
10-May-13,4.25,4.32,4.24,4.24,699
9-May-13,4.24,4.24,4.24,4.24,50
7-May-13,4.80,5.00,4.80,4.80,275
6-May-13,4.40,4.40,4.40,4.40,50
3-May-13,4.08,4.40,4.08,4.40,140
2-May-13,4.60,4.60,4.60,4.60,668
1-May-13,4.40,4.60,4.40,4.60,185
30-Apr-13,4.40,4.40,4.40,4.40,408
29-Apr-13,4.40,4.40,4.40,4.40,250
26-Apr-13,4.40,4.40,4.40,4.40,25
25-Apr-13,4.16,4.66,4.16,4.44,3095
24-Apr-13,4.44,4.52,4.16,4.26,10369
23-Apr-13,4.44,4.60,4.44,4.60,240
22-Apr-13,4.40,4.72,4.40,4.44,1008
19-Apr-13,4.40,4.40,4.40,4.40,25
17-Apr-13,4.60,4.76,4.60,4.76,189
16-Apr-13,4.60,4.76,4.40,4.76,385
15-Apr-13,4.80,4.80,4.60,4.76,223
12-Apr-13,4.60,4.72,4.60,4.60,1175
11-Apr-13,4.60,4.64,4.60,4.64,928
10-Apr-13,4.62,4.76,4.60,4.73,612
9-Apr-13,4.62,4.76,4.62,4.76,132
8-Apr-13,5.00,5.00,5.00,5.00,5
4-Apr-13,5.00,5.00,4.62,5.00,2782
3-Apr-13,5.00,5.00,5.00,5.00,5
1-Apr-13,4.64,5.04,4.64,5.00,1200
28-Mar-13,5.00,5.00,5.00,5.00,250
27-Mar-13,4.84,5.00,4.84,5.00,779
26-Mar-13,4.84,4.84,4.84,4.84,152
25-Mar-13,4.84,5.11,4.64,5.00,1978
22-Mar-13,4.84,5.16,4.84,5.16,28
21-Mar-13,4.84,5.20,4.84,5.20,188
20-Mar-13,5.12,5.20,4.84,5.20,491
19-Mar-13,4.84,5.12,4.84,5.12,32
18-Mar-13,4.84,4.84,4.84,4.84,125
15-Mar-13,4.85,5.12,4.85,5.12,258
14-Mar-13,4.84,5.12,4.84,5.12,676
13-Mar-13,4.80,5.12,4.80,4.80,466
12-Mar-13,4.80,5.12,4.80,5.12,508
11-Mar-13,4.60,5.16,4.60,5.12,1825
8-Mar-13,4.60,4.96,4.60,4.96,29
7-Mar-13,4.80,5.16,4.60,5.00,8108
6-Mar-13,4.72,4.80,4.48,4.80,2695
5-Mar-13,4.80,5.16,4.72,5.12,633
4-Mar-13,4.78,4.80,4.60,4.80,276
1-Mar-13,4.80,4.80,4.48,4.60,908
28-Feb-13,4.64,5.20,4.44,4.44,860
27-Feb-13,4.64,4.80,4.64,4.80,153
26-Feb-13,4.76,4.80,4.64,4.80,3736
25-Feb-13,4.80,4.80,4.60,4.80,2652
22-Feb-13,4.80,4.94,4.60,4.60,646
21-Feb-13,4.80,5.00,4.80,5.00,448
20-Feb-13,4.96,5.00,4.80,4.96,552
19-Feb-13,5.20,5.20,4.96,5.20,62
15-Feb-13,5.20,5.20,5.20,5.20,100
14-Feb-13,4.88,5.20,4.88,5.16,2947
13-Feb-13,4.60,4.88,4.60,4.88,3170
12-Feb-13,4.80,4.80,4.60,4.80,172
11-Feb-13,4.60,4.88,4.60,4.80,268
8-Feb-13,4.60,5.20,4.60,5.20,302
6-Feb-13,4.60,4.60,4.60,4.60,3818
5-Feb-13,4.60,4.88,4.60,4.64,370
4-Feb-13,4.80,4.96,4.60,4.96,883
1-Feb-13,4.80,4.80,4.60,4.80,3106
31-Jan-13,4.84,4.84,4.60,4.80,2252
30-Jan-13,4.92,5.00,4.84,4.84,1032
29-Jan-13,4.92,5.12,4.92,5.12,3885
28-Jan-13,4.84,4.96,4.84,4.96,1137
25-Jan-13,4.84,4.96,4.84,4.96,52
24-Jan-13,4.80,5.00,4.80,5.00,900
23-Jan-13,4.88,5.00,4.88,4.92,1141
22-Jan-13,5.00,5.08,5.00,5.00,1348
18-Jan-13,5.00,5.04,5.00,5.00,3902
17-Jan-13,5.08,5.08,5.04,5.08,365
16-Jan-13,5.20,5.20,5.00,5.16,341
15-Jan-13,4.96,5.20,4.88,5.20,490
14-Jan-13,5.00,5.00,5.00,5.00,793
11-Jan-13,5.20,5.32,5.00,5.00,665
10-Jan-13,4.92,5.32,4.92,5.32,1420
9-Jan-13,4.92,4.92,4.92,4.92,259
8-Jan-13,5.32,5.32,4.92,5.16,1602
7-Jan-13,5.36,5.36,5.36,5.36,20
4-Jan-13,5.20,5.40,5.20,5.20,1871
3-Jan-13,5.00,5.20,5.00,5.20,1045
2-Jan-13,5.00,5.04,4.82,5.00,4582
31-Dec-12,5.08,5.12,5.00,5.12,2075
28-Dec-12,5.12,5.20,5.00,5.20,2692
27-Dec-12,5.36,5.36,5.00,5.12,2462
26-Dec-12,5.40,5.40,5.08,5.08,365
24-Dec-12,5.00,5.40,5.00,5.40,1781
21-Dec-12,5.20,5.20,5.00,5.20,396
20-Dec-12,4.88,5.32,4.88,5.32,5233
19-Dec-12,5.00,5.12,4.44,5.00,5320
18-Dec-12,5.00,5.12,5.00,5.12,1196
17-Dec-12,4.88,5.12,4.88,5.12,1058
14-Dec-12,4.80,5.12,4.80,5.12,3087
13-Dec-12,4.84,5.12,4.84,5.12,1059
12-Dec-12,4.84,5.12,4.40,5.12,3009
11-Dec-12,4.40,4.40,4.04,4.40,1502
7-Dec-12,4.28,4.44,4.28,4.44,125
6-Dec-12,4.24,4.60,4.24,4.60,957
5-Dec-12,4.48,4.88,4.20,4.80,5292
4-Dec-12,4.48,4.80,4.48,4.80,995
3-Dec-12,4.80,4.80,4.80,4.80,300
30-Nov-12,4.80,4.80,4.80,4.80,64
29-Nov-12,4.60,4.60,4.60,4.60,3452
28-Nov-12,4.60,4.60,4.60,4.60,61
27-Nov-12,4.96,4.96,4.72,4.72,5582
26-Nov-12,4.44,4.60,4.44,4.60,2284
23-Nov-12,4.44,4.44,4.44,4.44,100
21-Nov-12,4.80,4.80,4.44,4.60,1025
20-Nov-12,4.44,4.68,4.44,4.68,30
19-Nov-12,4.60,4.60,4.60,4.60,325
16-Nov-12,4.76,4.76,4.64,4.76,1358
15-Nov-12,4.88,4.88,4.80,4.80,580
13-Nov-12,4.88,5.20,4.88,5.20,664
12-Nov-12,4.88,5.20,4.88,5.20,645
9-Nov-12,4.88,5.20,4.88,4.88,1128
8-Nov-12,4.88,5.20,4.88,5.20,22
7-Nov-12,4.88,4.88,4.88,4.88,51
6-Nov-12,5.12,5.12,4.88,4.88,588
5-Nov-12,5.20,5.20,5.12,5.12,188
1-Nov-12,5.12,5.60,5.12,5.60,15
31-Oct-12,5.12,5.12,5.12,5.12,176
26-Oct-12,5.48,5.48,5.48,5.48,12
25-Oct-12,5.12,5.12,5.12,5.12,332
24-Oct-12,5.12,5.56,5.12,5.12,475
23-Oct-12,5.12,5.40,5.12,5.40,424
22-Oct-12,5.40,5.40,5.12,5.12,445
19-Oct-12,5.20,5.40,5.20,5.40,112
18-Oct-12,5.40,5.40,5.20,5.40,1548
17-Oct-12,5.24,5.36,5.24,5.36,114
16-Oct-12,5.30,5.48,5.20,5.48,2159
15-Oct-12,5.20,5.58,5.00,5.20,4666
12-Oct-12,5.00,5.20,5.00,5.20,366
11-Oct-12,5.20,5.20,5.00,5.00,238
10-Oct-12,5.00,5.00,5.00,5.00,262
9-Oct-12,5.00,5.20,5.00,5.00,508
8-Oct-12,5.20,5.20,5.00,5.00,38
5-Oct-12,5.00,5.00,5.00,5.00,12
4-Oct-12,5.00,5.00,5.00,5.00,124
3-Oct-12,5.00,5.00,5.00,5.00,705
2-Oct-12,5.16,5.16,5.00,5.00,282
1-Oct-12,5.20,5.20,5.16,5.16,2038
28-Sep-12,5.20,5.20,5.16,5.16,1845
27-Sep-12,5.16,5.16,5.16,5.16,33
26-Sep-12,5.20,5.20,5.20,5.20,124
25-Sep-12,5.04,5.20,5.04,5.20,302
24-Sep-12,5.00,5.20,5.00,5.20,660
21-Sep-12,5.20,5.20,5.00,5.20,2210
20-Sep-12,5.20,5.20,5.00,5.20,1589
19-Sep-12,5.00,5.20,5.00,5.20,350
18-Sep-12,5.20,5.40,5.00,5.40,778
17-Sep-12,5.20,5.40,5.20,5.40,1100
14-Sep-12,5.24,5.60,5.24,5.40,750
13-Sep-12,4.80,5.96,4.80,5.20,17175
12-Sep-12,4.80,4.80,4.80,4.80,2550
11-Sep-12,4.48,4.80,4.48,4.80,980
10-Sep-12,4.52,5.16,4.52,5.00,285
7-Sep-12,5.20,5.20,4.60,4.80,1868
6-Sep-12,4.48,5.20,4.48,5.20,2200
5-Sep-12,4.40,4.76,4.40,4.76,616
4-Sep-12,4.72,4.72,4.72,4.72,181
31-Aug-12,4.48,4.64,4.24,4.64,1348
30-Aug-12,4.48,4.72,4.48,4.72,32
29-Aug-12,4.48,4.48,4.48,4.48,1482
28-Aug-12,4.48,4.48,4.34,4.48,1376
27-Aug-12,4.60,4.60,4.34,4.40,331
24-Aug-12,4.24,4.60,4.24,4.60,790
23-Aug-12,4.24,4.24,4.24,4.24,5
22-Aug-12,4.04,4.20,4.04,4.20,2050
21-Aug-12,4.08,4.36,4.04,4.08,1462
20-Aug-12,4.80,4.80,4.08,4.08,170
17-Aug-12,4.00,4.80,3.84,4.80,3272
16-Aug-12,4.20,4.24,4.04,4.12,1717
15-Aug-12,4.20,4.20,4.20,4.20,350
14-Aug-12,4.20,4.24,4.20,4.24,14
13-Aug-12,4.40,4.40,4.20,4.20,475
10-Aug-12,4.20,4.40,4.08,4.40,1319
8-Aug-12,4.08,4.08,4.08,4.08,175
