Date,Open,High,Low,Close,Volume
31-Dec-14,46.59,46.89,46.30,46.30,594351
30-Dec-14,46.23,46.40,45.83,46.29,1121843
29-Dec-14,46.39,46.94,46.33,46.86,1144933
26-Dec-14,46.95,47.08,46.29,46.46,588779
24-Dec-14,46.67,47.25,46.50,46.80,761003
23-Dec-14,46.50,46.76,46.32,46.34,1642734
22-Dec-14,45.99,46.79,45.66,46.77,1944409
19-Dec-14,45.81,46.11,45.38,45.85,1459101
18-Dec-14,45.56,46.38,45.51,46.26,2514356
17-Dec-14,43.58,45.26,43.33,45.15,2617703
16-Dec-14,43.33,44.70,43.18,43.68,1685786
15-Dec-14,43.96,44.13,42.81,43.06,1053267
12-Dec-14,44.65,44.68,43.75,43.75,1480628
11-Dec-14,45.00,45.54,44.97,45.14,1407990
10-Dec-14,45.29,45.62,44.79,45.02,2318679
9-Dec-14,44.46,45.19,44.34,45.14,2144841
8-Dec-14,45.00,45.42,44.95,45.15,2399595
5-Dec-14,44.00,44.66,43.99,44.64,1474308
4-Dec-14,43.47,43.81,43.38,43.47,1007023
3-Dec-14,42.73,43.75,42.64,43.69,1954457
2-Dec-14,42.48,42.51,41.75,41.83,1567075
1-Dec-14,43.61,43.69,42.79,43.07,2028534
28-Nov-14,43.05,43.26,42.75,42.84,510608
26-Nov-14,42.50,43.05,42.36,42.98,1175414
25-Nov-14,42.46,42.77,42.24,42.33,1211350
24-Nov-14,42.76,42.86,42.22,42.53,1076385
21-Nov-14,42.58,42.72,42.34,42.54,1535977
20-Nov-14,41.88,42.38,41.80,42.34,917552
19-Nov-14,41.97,42.23,41.53,41.91,1019441
18-Nov-14,41.48,41.96,41.42,41.67,1205848
17-Nov-14,41.90,42.11,41.73,42.07,1613904
14-Nov-14,40.80,41.73,40.76,41.69,1808743
13-Nov-14,41.37,41.58,40.96,41.26,1389543
12-Nov-14,41.41,41.46,41.21,41.39,1524909
11-Nov-14,41.80,41.94,41.59,41.74,874940
10-Nov-14,41.86,42.16,41.73,42.01,1604288
7-Nov-14,41.95,42.04,41.38,41.44,3165803
6-Nov-14,42.51,42.80,42.19,42.38,1817752
5-Nov-14,42.36,42.71,41.97,42.50,1830335
4-Nov-14,42.27,42.42,41.87,42.10,952381
3-Nov-14,42.34,42.52,42.10,42.25,1474248
31-Oct-14,41.80,42.75,41.78,42.71,4795193
30-Oct-14,40.21,40.88,39.93,40.65,2414562
29-Oct-14,40.57,40.62,39.71,40.06,2343936
28-Oct-14,39.85,40.89,39.79,40.79,2113677
27-Oct-14,39.18,39.77,38.86,39.37,1916391
24-Oct-14,39.40,39.93,39.34,39.61,1394933
23-Oct-14,39.55,39.98,39.41,39.53,1688318
22-Oct-14,39.66,40.32,39.26,39.28,3609157
21-Oct-14,38.97,39.66,37.75,39.57,7363557
20-Oct-14,41.21,41.63,40.97,41.56,1786044
17-Oct-14,42.24,42.67,41.74,41.98,1361381
16-Oct-14,40.06,41.98,39.96,41.47,1675501
15-Oct-14,40.15,40.92,39.37,40.71,2252983
14-Oct-14,40.32,41.37,40.11,40.49,2234434
13-Oct-14,39.80,40.25,38.89,39.50,2487258
10-Oct-14,41.06,41.19,40.01,40.02,2214606
9-Oct-14,42.48,42.61,41.48,41.70,2044763
8-Oct-14,41.20,42.48,41.03,42.43,2208818
7-Oct-14,42.17,42.17,41.47,41.55,1613245
6-Oct-14,42.72,42.82,42.22,42.60,958902
3-Oct-14,42.31,42.75,42.05,42.55,1611759
2-Oct-14,42.89,42.93,42.10,42.76,1340681
1-Oct-14,43.35,43.50,42.41,42.68,1686611
30-Sep-14,44.06,44.21,43.68,43.69,1445959
29-Sep-14,44.60,45.26,44.39,44.94,707491
26-Sep-14,44.87,45.01,44.53,44.98,1079155
25-Sep-14,45.01,45.22,43.80,44.11,1730010
24-Sep-14,45.13,45.77,45.13,45.54,1101909
23-Sep-14,45.19,45.35,44.86,44.97,1404453
22-Sep-14,46.14,46.19,45.66,45.96,1376689
19-Sep-14,47.10,47.17,46.04,46.16,2078397
18-Sep-14,46.65,47.02,46.53,46.75,1545707
17-Sep-14,46.09,46.49,46.03,46.09,2054922
16-Sep-14,44.74,45.74,44.61,45.43,3125200
15-Sep-14,46.18,46.22,45.30,45.38,1446850
12-Sep-14,46.82,46.84,46.06,46.24,1389037
11-Sep-14,46.26,46.59,46.11,46.56,1089119
10-Sep-14,46.50,46.61,46.04,46.45,1577911
9-Sep-14,47.41,47.55,46.85,47.02,668075
8-Sep-14,47.06,47.77,47.02,47.53,867469
5-Sep-14,47.04,47.65,46.97,47.48,1356366
4-Sep-14,47.72,48.12,47.58,47.84,1792933
3-Sep-14,49.15,49.15,48.02,48.28,1890690
2-Sep-14,48.90,49.32,48.77,49.24,2467141
29-Aug-14,48.29,48.57,48.19,48.53,2247299
28-Aug-14,47.81,48.23,47.70,48.16,741700
27-Aug-14,47.91,48.00,47.64,47.93,1109602
26-Aug-14,47.51,47.66,47.33,47.35,1606595
25-Aug-14,47.67,47.90,47.31,47.38,923839
22-Aug-14,47.14,47.50,47.01,47.40,1131846
21-Aug-14,46.86,47.22,46.78,47.15,1256752
20-Aug-14,46.68,47.23,46.63,47.12,1205869
19-Aug-14,46.78,47.02,46.62,46.90,1282031
18-Aug-14,46.79,47.05,46.46,47.02,1439066
15-Aug-14,45.66,45.96,45.07,45.86,1111276
14-Aug-14,45.32,45.48,45.21,45.40,822270
