Date,Open,High,Low,Close,Volume
31-Dec-14,5.00,5.44,5.00,5.21,14800
30-Dec-14,5.49,5.49,4.90,4.95,20372
29-Dec-14,5.01,5.06,5.00,5.01,1785
26-Dec-14,4.91,5.36,4.91,5.00,6452
24-Dec-14,4.91,4.97,4.91,4.97,6250
23-Dec-14,4.90,4.99,4.90,4.95,3601
22-Dec-14,4.90,5.00,4.90,5.00,3604
19-Dec-14,4.98,4.99,4.90,4.95,5323
18-Dec-14,4.98,5.02,4.95,4.96,407
17-Dec-14,4.93,5.01,4.91,5.01,2201
16-Dec-14,4.91,4.98,4.91,4.91,3905
15-Dec-14,4.98,4.98,4.90,4.96,4488
12-Dec-14,4.99,5.02,4.99,5.00,2301
11-Dec-14,5.00,5.00,4.95,4.95,13630
10-Dec-14,4.97,5.00,4.96,4.96,5313
9-Dec-14,5.16,5.16,5.01,5.01,11801
8-Dec-14,5.12,5.12,5.10,5.10,4400
5-Dec-14,5.16,5.18,5.14,5.15,9647
4-Dec-14,5.16,5.25,5.16,5.20,5905
3-Dec-14,5.16,5.24,5.16,5.18,2764
2-Dec-14,5.25,5.25,5.17,5.17,1550
1-Dec-14,5.39,5.40,5.25,5.25,5344
28-Nov-14,5.38,5.38,5.25,5.29,9630
26-Nov-14,5.39,5.51,5.38,5.40,6986
25-Nov-14,5.33,5.41,5.33,5.41,445
24-Nov-14,5.53,5.53,5.26,5.27,23156
21-Nov-14,5.45,5.54,5.45,5.48,6373
20-Nov-14,5.41,5.54,5.32,5.54,9172
19-Nov-14,5.41,5.54,5.41,5.42,1720
18-Nov-14,5.50,5.52,5.50,5.51,1850
17-Nov-14,5.42,5.50,5.38,5.50,1063
14-Nov-14,5.39,5.53,5.39,5.46,1200
13-Nov-14,5.52,5.54,5.41,5.44,4631
12-Nov-14,5.55,5.55,5.50,5.51,1970
11-Nov-14,5.61,5.62,5.47,5.61,7750
10-Nov-14,5.42,5.62,5.41,5.48,3620
7-Nov-14,5.41,5.50,5.41,5.41,3400
6-Nov-14,5.54,5.56,5.35,5.46,3500
5-Nov-14,5.48,5.60,5.48,5.60,3487
4-Nov-14,5.50,5.62,5.46,5.51,5562
3-Nov-14,5.61,5.64,5.53,5.56,5154
31-Oct-14,5.48,5.62,5.48,5.62,7266
30-Oct-14,5.38,5.58,5.38,5.58,3161
29-Oct-14,5.48,5.48,5.28,5.34,12802
28-Oct-14,5.45,5.51,5.28,5.46,9851
27-Oct-14,5.38,5.51,5.28,5.44,21227
24-Oct-14,5.43,5.51,5.32,5.43,17462
23-Oct-14,5.11,5.76,5.10,5.30,88128
22-Oct-14,5.38,5.42,5.11,5.11,10265
21-Oct-14,5.55,5.58,5.27,5.29,5380
20-Oct-14,5.37,5.57,5.30,5.40,5200
17-Oct-14,5.30,5.56,5.27,5.29,30796
16-Oct-14,5.32,5.65,5.05,5.25,13697
15-Oct-14,5.86,7.08,5.32,5.67,212251
14-Oct-14,5.95,5.95,5.26,5.78,23063
13-Oct-14,5.12,5.92,5.12,5.74,33824
10-Oct-14,5.10,5.10,4.92,5.04,11575
9-Oct-14,4.95,5.22,4.81,4.87,18485
8-Oct-14,5.10,5.11,4.80,4.90,27253
7-Oct-14,4.87,5.49,4.87,5.11,20547
6-Oct-14,4.87,4.87,4.87,4.87,161
3-Oct-14,4.81,4.81,4.81,4.81,236
2-Oct-14,4.91,4.91,4.82,4.85,2884
1-Oct-14,4.93,5.00,4.82,5.00,4104
30-Sep-14,5.00,5.00,4.95,5.00,2730
29-Sep-14,5.00,5.00,4.92,4.95,13146
26-Sep-14,4.96,5.12,4.84,4.99,12334
25-Sep-14,4.92,5.15,4.80,5.15,7002
24-Sep-14,4.85,4.90,4.85,4.89,4368
23-Sep-14,4.76,4.90,4.76,4.85,11308
22-Sep-14,4.99,5.00,4.76,4.76,14385
19-Sep-14,4.99,5.00,4.92,5.00,4165
18-Sep-14,4.96,5.03,4.93,5.03,1510
17-Sep-14,5.04,5.04,4.91,4.96,5597
16-Sep-14,5.00,5.04,5.00,5.03,1410
15-Sep-14,5.07,5.11,5.02,5.04,4110
12-Sep-14,5.05,5.13,5.05,5.12,5775
11-Sep-14,5.02,5.20,5.02,5.10,1315
10-Sep-14,5.13,5.25,5.00,5.01,9787
9-Sep-14,5.17,5.29,5.15,5.15,5807
8-Sep-14,5.17,5.28,5.15,5.23,1175
5-Sep-14,5.20,5.23,5.15,5.23,1530
4-Sep-14,6.03,6.03,5.15,5.18,6255
3-Sep-14,5.52,5.52,5.20,5.23,2775
2-Sep-14,5.33,5.47,5.18,5.47,8934
29-Aug-14,5.24,5.48,5.16,5.33,12005
28-Aug-14,5.34,5.35,5.19,5.34,2150
27-Aug-14,5.17,5.35,5.17,5.30,3200
26-Aug-14,5.26,5.36,5.15,5.30,8935
25-Aug-14,5.31,5.31,5.26,5.26,6058
22-Aug-14,5.26,5.32,5.26,5.28,2575
21-Aug-14,5.40,5.57,5.26,5.31,2765
20-Aug-14,5.29,5.65,5.29,5.41,1577
19-Aug-14,5.60,5.61,5.26,5.26,8057
18-Aug-14,5.72,5.73,5.49,5.49,2618
15-Aug-14,5.48,5.52,5.48,5.52,390
14-Aug-14,5.46,5.46,5.46,5.46,258
13-Aug-14,5.60,5.72,5.50,5.50,69488
12-Aug-14,5.60,5.65,5.49,5.50,5555
11-Aug-14,5.54,5.64,5.48,5.51,3825
8-Aug-14,5.51,5.67,5.50,5.50,56072
7-Aug-14,5.53,5.67,5.50,5.60,30601
6-Aug-14,5.51,5.76,5.50,5.66,38213
5-Aug-14,5.66,5.90,5.51,5.60,64823
4-Aug-14,5.66,5.66,5.66,5.66,118
1-Aug-14,5.69,5.70,5.65,5.70,1604
31-Jul-14,5.71,5.75,5.71,5.72,2023
30-Jul-14,5.71,5.71,5.71,5.71,300
29-Jul-14,5.71,5.71,5.71,5.71,151
28-Jul-14,5.71,5.71,5.71,5.71,100
25-Jul-14,5.72,5.73,5.71,5.73,665
24-Jul-14,5.71,5.82,5.70,5.71,4285
23-Jul-14,5.71,5.73,5.71,5.73,1726
22-Jul-14,5.71,5.71,5.71,5.71,225
21-Jul-14,5.71,5.71,5.71,5.71,114
18-Jul-14,5.76,5.78,5.71,5.77,550
17-Jul-14,5.71,5.85,5.68,5.85,1115
