Date,Open,High,Low,Close,Volume
31-Dec-14,7.91,8.15,7.23,7.38,4636797
30-Dec-14,6.58,8.55,6.53,7.57,11695453
29-Dec-14,6.48,6.75,6.48,6.62,1414824
26-Dec-14,6.35,6.61,6.35,6.52,795960
24-Dec-14,6.27,6.55,6.20,6.35,727184
23-Dec-14,6.57,6.57,6.08,6.28,1758260
22-Dec-14,6.30,6.75,6.11,6.55,2199080
19-Dec-14,6.14,6.40,6.02,6.39,4914268
18-Dec-14,6.12,6.15,5.95,6.11,1455954
17-Dec-14,5.91,6.18,5.80,6.09,2369411
16-Dec-14,5.55,6.19,5.42,5.86,2798442
15-Dec-14,5.77,6.01,5.34,5.45,1857470
12-Dec-14,5.90,6.03,5.63,5.76,2329664
11-Dec-14,5.54,6.07,5.48,5.93,3775553
10-Dec-14,5.65,5.72,5.43,5.45,1509410
9-Dec-14,5.01,5.73,5.00,5.71,1965492
8-Dec-14,5.68,5.71,5.10,5.14,1880063
5-Dec-14,5.07,5.77,4.97,5.73,3584918
4-Dec-14,5.36,5.37,4.95,5.00,1922431
3-Dec-14,5.24,5.38,5.17,5.35,1430594
2-Dec-14,5.41,5.48,5.16,5.22,2189858
1-Dec-14,5.76,5.78,5.32,5.39,2997121
28-Nov-14,5.78,5.89,5.65,5.82,1554774
26-Nov-14,5.80,5.93,5.73,5.78,1881177
25-Nov-14,6.20,6.20,5.71,5.84,4667797
24-Nov-14,5.90,6.18,5.90,6.16,2278561
21-Nov-14,5.85,5.98,5.72,5.90,1841337
20-Nov-14,5.60,5.82,5.55,5.74,2138238
19-Nov-14,5.93,6.00,5.52,5.55,3097243
18-Nov-14,5.92,6.06,5.88,5.95,1603037
17-Nov-14,6.02,6.12,5.85,5.94,1449087
14-Nov-14,6.20,6.25,5.82,6.04,2585232
13-Nov-14,6.52,6.60,6.20,6.22,1892932
12-Nov-14,6.40,6.79,6.38,6.53,2255558
11-Nov-14,6.36,6.57,6.23,6.50,3240971
10-Nov-14,6.40,6.50,6.13,6.21,5049816
7-Nov-14,6.25,6.25,5.84,6.06,6273313
6-Nov-14,6.18,6.45,6.18,6.30,1737076
5-Nov-14,6.48,6.53,6.16,6.19,1765633
4-Nov-14,6.51,6.55,6.17,6.41,1473422
3-Nov-14,6.52,6.72,6.42,6.52,1320081
31-Oct-14,6.96,6.98,6.32,6.52,2972294
30-Oct-14,6.61,6.84,6.59,6.73,1491526
29-Oct-14,6.87,6.88,6.55,6.70,1922560
28-Oct-14,7.02,7.13,6.82,6.87,2135145
27-Oct-14,7.11,7.20,6.76,6.96,1437472
24-Oct-14,6.97,7.22,6.92,7.16,3215619
23-Oct-14,6.86,7.31,6.76,6.92,3334296
22-Oct-14,6.91,7.12,6.72,6.75,1772528
21-Oct-14,6.57,6.95,6.46,6.80,1977219
20-Oct-14,6.42,6.73,6.27,6.57,1776508
17-Oct-14,7.20,7.32,6.25,6.45,5254032
16-Oct-14,6.32,7.14,6.27,7.02,6943337
15-Oct-14,5.70,6.54,5.67,6.47,4839465
14-Oct-14,6.05,6.17,5.50,5.88,5475298
13-Oct-14,6.45,6.45,5.76,6.03,5853104
10-Oct-14,6.85,6.93,6.25,6.37,5571611
9-Oct-14,7.35,7.80,6.75,6.92,19885945
8-Oct-14,11.92,12.52,5.47,7.03,54778072
7-Oct-14,13.42,13.50,12.50,12.51,3050292
6-Oct-14,14.12,14.15,13.18,13.49,2533360
3-Oct-14,14.08,14.52,13.91,14.03,2177730
2-Oct-14,13.69,14.11,13.01,13.92,3392427
1-Oct-14,14.69,14.80,13.55,13.76,3416882
30-Sep-14,15.03,15.16,14.59,14.77,1890268
29-Sep-14,14.52,15.35,14.51,15.05,2171652
26-Sep-14,15.27,15.50,14.95,15.11,1712379
25-Sep-14,15.64,15.88,14.87,14.97,2530519
24-Sep-14,15.08,15.88,15.06,15.69,2513268
23-Sep-14,14.78,15.49,14.53,14.95,2181462
22-Sep-14,15.00,15.60,14.35,15.04,4431553
19-Sep-14,15.80,15.85,15.03,15.25,3625709
18-Sep-14,16.17,16.48,15.56,15.71,2435292
17-Sep-14,16.26,16.61,15.85,16.07,4156075
16-Sep-14,15.01,15.71,14.76,15.56,2158306
15-Sep-14,16.36,16.42,14.55,15.22,4940837
