Date,Open,High,Low,Close,Volume
26-Dec-14,17.49,18.50,17.49,18.50,377
24-Dec-14,17.49,17.49,17.49,17.49,100
23-Dec-14,17.43,17.49,17.25,17.49,717
22-Dec-14,17.48,17.48,16.61,16.61,725
17-Dec-14,16.50,17.00,16.50,17.00,6182
16-Dec-14,16.95,16.95,16.95,16.95,111
15-Dec-14,16.95,17.00,16.50,16.94,19639
11-Dec-14,16.60,16.78,16.60,16.78,1005
10-Dec-14,17.00,17.00,16.75,16.75,904
8-Dec-14,17.45,17.45,16.60,16.90,4808
5-Dec-14,17.31,17.48,17.31,17.48,200
4-Dec-14,16.92,17.52,16.54,16.54,7174
3-Dec-14,16.55,16.55,16.55,16.55,150
2-Dec-14,16.51,16.51,16.50,16.50,400
1-Dec-14,16.50,16.51,16.50,16.51,990
25-Nov-14,16.40,16.91,16.40,16.91,2300
24-Nov-14,16.59,16.96,16.40,16.40,2333
21-Nov-14,16.99,16.99,16.50,16.60,3584
20-Nov-14,16.70,16.70,16.70,16.70,220
19-Nov-14,17.00,18.25,16.41,16.65,3748
18-Nov-14,16.59,16.99,16.55,16.99,7957
14-Nov-14,16.53,16.53,16.21,16.48,5632
10-Nov-14,16.48,16.49,16.27,16.27,440
7-Nov-14,16.25,16.25,16.25,16.25,560
6-Nov-14,16.75,16.75,16.75,16.75,920
5-Nov-14,15.90,16.20,15.80,15.90,5833
4-Nov-14,15.80,16.20,15.69,16.10,4814
3-Nov-14,16.06,16.12,16.06,16.10,2000
31-Oct-14,16.00,16.90,15.95,16.90,5183
29-Oct-14,16.00,16.00,16.00,16.00,5500
28-Oct-14,16.25,16.80,16.25,16.80,12839
27-Oct-14,15.77,16.49,15.20,16.49,12819
24-Oct-14,15.73,16.33,15.70,16.16,2766
23-Oct-14,16.60,16.60,15.99,16.00,4578
22-Oct-14,16.33,16.60,16.09,16.60,9454
21-Oct-14,16.55,16.55,16.55,16.55,959
20-Oct-14,16.38,16.55,16.13,16.33,5660
17-Oct-14,16.10,16.90,16.10,16.54,6922
16-Oct-14,15.57,16.80,15.57,16.12,5312
15-Oct-14,16.04,16.08,15.70,16.07,10159
14-Oct-14,16.23,16.23,15.97,15.97,629
13-Oct-14,16.31,16.56,15.40,15.71,10147
10-Oct-14,16.25,16.43,15.48,15.88,717
9-Oct-14,16.65,16.66,16.00,16.01,2947
8-Oct-14,17.50,17.50,15.60,16.55,14076
7-Oct-14,16.12,17.10,15.80,16.28,19810
6-Oct-14,16.20,16.20,15.61,16.06,13645
3-Oct-14,14.84,15.94,14.83,15.94,9863
2-Oct-14,14.84,15.30,14.41,14.41,6076
1-Oct-14,15.13,16.20,14.38,14.65,8419
30-Sep-14,15.10,15.65,14.62,15.25,6767
29-Sep-14,16.16,16.16,15.03,15.90,868
26-Sep-14,14.48,20.00,14.48,16.36,7057
25-Sep-14,14.30,14.50,14.30,14.50,1724
22-Sep-14,14.28,14.52,14.28,14.30,1690
19-Sep-14,14.30,14.49,14.30,14.49,29095
18-Sep-14,14.37,14.45,14.37,14.45,426
17-Sep-14,14.30,14.30,14.30,14.30,1225
16-Sep-14,14.31,14.38,14.30,14.30,5541
15-Sep-14,14.30,14.52,14.30,14.50,2839
12-Sep-14,14.50,14.50,14.40,14.50,6401
11-Sep-14,14.31,14.40,14.16,14.40,3033
10-Sep-14,14.10,14.34,14.10,14.13,1570
9-Sep-14,14.10,14.39,13.93,14.16,6892
8-Sep-14,14.18,14.18,14.10,14.14,1520
5-Sep-14,14.50,14.50,14.10,14.10,8909
4-Sep-14,14.15,14.49,14.15,14.36,5110
3-Sep-14,14.51,14.51,14.18,14.34,6812
2-Sep-14,14.25,14.46,14.11,14.24,6983
29-Aug-14,14.32,14.52,14.24,14.45,7328
28-Aug-14,14.47,14.47,14.15,14.33,5218
27-Aug-14,14.41,14.49,14.13,14.35,7208
26-Aug-14,13.87,14.60,13.87,14.43,16173
25-Aug-14,14.20,14.35,13.60,13.60,15473
22-Aug-14,14.17,14.31,14.05,14.28,8095
21-Aug-14,14.07,14.29,13.60,14.10,20847
20-Aug-14,14.32,14.32,14.01,14.11,7808
19-Aug-14,14.31,14.35,14.09,14.10,6860
18-Aug-14,14.09,14.60,14.07,14.13,26129
15-Aug-14,14.21,14.60,14.15,14.48,12392
14-Aug-14,14.09,14.46,14.05,14.32,9846
13-Aug-14,14.15,14.60,14.01,14.32,36122
12-Aug-14,14.38,14.38,14.15,14.20,1475
11-Aug-14,14.04,14.20,13.53,13.88,24990
8-Aug-14,13.75,14.20,13.15,14.19,20839
7-Aug-14,13.90,14.20,13.75,13.98,11750
6-Aug-14,14.19,14.19,13.48,13.88,20073
5-Aug-14,13.88,14.18,13.48,13.81,15602
4-Aug-14,13.90,14.20,13.55,14.00,27740
1-Aug-14,14.38,14.40,13.69,13.69,26081
31-Jul-14,14.50,14.50,14.30,14.30,1662
30-Jul-14,14.39,14.44,14.30,14.30,4415
29-Jul-14,14.81,14.90,14.48,14.50,15129
28-Jul-14,14.53,14.95,14.53,14.80,42131
25-Jul-14,15.03,15.05,14.68,14.69,20206
24-Jul-14,14.92,15.60,14.54,14.99,27217
23-Jul-14,15.03,15.04,14.49,15.00,15889
22-Jul-14,15.02,15.15,14.75,14.89,13193
21-Jul-14,15.05,15.18,14.78,15.18,7595
18-Jul-14,15.09,15.70,14.48,15.02,24749
17-Jul-14,15.70,15.70,14.55,15.28,16720
16-Jul-14,14.60,15.20,14.60,14.90,16717
15-Jul-14,14.88,14.95,14.75,14.75,1308
14-Jul-14,14.83,15.00,14.54,15.00,4546
11-Jul-14,14.96,15.17,14.84,15.17,2849
10-Jul-14,14.95,15.03,14.91,15.03,505
9-Jul-14,14.98,15.20,14.84,15.20,1424
8-Jul-14,15.18,15.20,14.85,14.99,8985
7-Jul-14,15.20,15.20,15.20,15.20,450
3-Jul-14,14.87,15.30,14.87,15.30,2200
2-Jul-14,14.85,15.02,14.85,14.90,1812
1-Jul-14,15.00,15.20,14.76,15.16,3456
30-Jun-14,15.04,15.20,14.85,14.85,1570
27-Jun-14,16.30,16.30,15.27,15.27,1851
26-Jun-14,15.06,15.06,14.82,14.96,1107
25-Jun-14,14.89,15.21,14.79,15.05,11788
24-Jun-14,15.02,15.06,14.75,14.91,8250
23-Jun-14,14.93,15.17,14.93,15.14,3373
20-Jun-14,15.37,16.73,14.97,15.21,14869
19-Jun-14,14.90,16.09,14.66,14.93,25165
18-Jun-14,14.75,14.80,14.59,14.73,2120
17-Jun-14,14.53,14.84,14.53,14.84,8275
16-Jun-14,14.41,14.95,14.41,14.52,11107
13-Jun-14,14.39,14.58,14.33,14.49,7894
12-Jun-14,14.77,14.77,14.49,14.49,2904
11-Jun-14,14.96,14.96,14.75,14.75,520
10-Jun-14,14.95,14.95,14.95,14.95,100
9-Jun-14,15.03,15.03,14.70,14.80,2794
6-Jun-14,14.58,15.58,14.29,15.25,8952
5-Jun-14,14.48,15.00,14.48,14.98,8004
4-Jun-14,13.90,14.10,13.90,14.10,3694
2-Jun-14,13.80,13.85,13.62,13.85,1375
30-May-14,13.50,13.92,13.50,13.70,14857
28-May-14,13.50,13.78,13.50,13.50,9374
27-May-14,13.74,13.86,13.55,13.55,606
23-May-14,13.53,13.86,13.53,13.86,314
22-May-14,14.00,14.00,13.90,14.00,2906
