Date,Open,High,Low,Close,Volume
31-Dec-14,8.78,8.80,8.67,8.75,8906
30-Dec-14,8.75,8.88,8.62,8.78,9618
29-Dec-14,8.68,8.84,8.68,8.75,8598
26-Dec-14,8.89,8.90,8.70,8.73,9235
24-Dec-14,8.79,8.99,8.65,8.85,7065
23-Dec-14,8.71,8.91,8.71,8.85,4465
22-Dec-14,8.78,8.90,8.55,8.76,21528
19-Dec-14,9.01,9.09,8.66,8.72,18976
18-Dec-14,9.10,9.10,8.80,8.90,12891
17-Dec-14,9.11,9.23,8.28,9.05,15651
16-Dec-14,9.23,9.23,9.12,9.16,3246
15-Dec-14,9.24,9.45,9.11,9.17,5514
12-Dec-14,9.00,9.35,9.00,9.08,16374
11-Dec-14,9.42,9.50,9.24,9.34,8378
10-Dec-14,9.46,9.50,9.32,9.38,16720
9-Dec-14,9.31,9.45,9.31,9.42,10325
8-Dec-14,9.15,9.50,9.15,9.31,25965
5-Dec-14,9.00,9.23,9.00,9.07,18954
4-Dec-14,8.78,8.99,8.78,8.95,6472
3-Dec-14,8.58,8.92,8.58,8.89,16494
2-Dec-14,8.55,8.58,8.45,8.58,2843
1-Dec-14,8.46,8.53,8.45,8.53,4985
28-Nov-14,8.54,8.56,8.38,8.54,13003
26-Nov-14,8.44,8.55,8.39,8.52,11461
25-Nov-14,8.40,8.50,8.36,8.36,4649
24-Nov-14,8.35,8.41,8.35,8.39,1808
21-Nov-14,8.42,8.45,8.28,8.33,25388
20-Nov-14,8.35,8.45,8.35,8.45,1880
19-Nov-14,8.45,8.45,8.42,8.45,1052
18-Nov-14,8.46,8.46,8.45,8.45,480
17-Nov-14,8.42,8.47,8.34,8.47,3541
14-Nov-14,8.43,8.43,8.35,8.41,1552
13-Nov-14,8.46,8.46,8.38,8.40,1702
12-Nov-14,8.45,8.47,8.30,8.45,3499
11-Nov-14,8.44,8.50,8.33,8.47,7760
10-Nov-14,8.50,8.50,8.40,8.40,521
7-Nov-14,8.50,8.50,8.45,8.48,2426
6-Nov-14,8.48,8.50,8.37,8.44,4930
5-Nov-14,8.47,8.47,8.34,8.47,2881
4-Nov-14,8.40,8.48,8.33,8.33,85266
3-Nov-14,8.37,8.43,8.36,8.42,51292
