Date,Open,High,Low,Close,Volume
31-Dec-14,40.25,40.25,39.15,39.31,36957
30-Dec-14,40.05,40.42,39.45,40.05,44162
29-Dec-14,40.02,40.44,39.72,40.06,34024
26-Dec-14,39.63,40.32,39.58,39.93,57416
24-Dec-14,39.35,39.63,39.21,39.37,25213
23-Dec-14,38.67,39.27,38.21,39.19,75620
22-Dec-14,38.45,38.59,38.02,38.38,57137
19-Dec-14,38.58,38.95,37.81,38.33,219366
18-Dec-14,38.61,38.80,37.57,38.66,57648
17-Dec-14,36.45,38.12,36.21,38.07,67040
16-Dec-14,36.37,37.53,36.37,36.49,86411
15-Dec-14,37.14,37.24,36.28,36.40,56984
12-Dec-14,36.69,37.20,36.47,36.57,52606
11-Dec-14,37.80,38.13,37.11,37.16,51658
10-Dec-14,38.66,39.14,37.32,37.51,56914
9-Dec-14,37.86,39.20,37.48,38.93,76906
8-Dec-14,38.70,39.49,37.96,38.03,87850
5-Dec-14,38.53,39.15,38.46,38.88,101744
4-Dec-14,38.87,39.07,38.08,38.55,74217
3-Dec-14,38.34,39.33,38.34,38.84,69444
2-Dec-14,37.98,39.07,37.88,38.44,69169
1-Dec-14,39.09,39.09,37.79,37.82,71279
28-Nov-14,40.27,40.63,39.04,39.27,102808
26-Nov-14,39.68,40.45,39.30,40.40,71186
25-Nov-14,40.15,40.45,39.65,39.86,67620
24-Nov-14,40.41,41.09,39.88,39.95,106287
21-Nov-14,39.93,40.68,39.67,40.34,130394
20-Nov-14,37.77,39.42,37.77,39.25,78103
19-Nov-14,38.07,38.35,37.58,37.98,67975
18-Nov-14,38.08,38.69,37.83,38.07,57976
17-Nov-14,37.98,38.28,37.66,38.00,70071
14-Nov-14,38.25,38.47,37.90,38.02,69265
13-Nov-14,39.41,39.80,38.11,38.22,128624
12-Nov-14,39.02,39.75,38.51,39.50,39971
11-Nov-14,39.44,39.74,39.01,39.28,71942
10-Nov-14,38.96,39.56,38.96,39.55,86438
7-Nov-14,38.28,38.97,38.26,38.90,81748
6-Nov-14,38.11,38.44,37.93,38.37,76859
5-Nov-14,37.90,38.28,37.66,38.08,79481
4-Nov-14,37.50,37.72,36.96,37.58,216077
3-Nov-14,38.08,38.42,37.41,37.67,63424
31-Oct-14,38.47,38.78,37.83,37.91,98020
30-Oct-14,37.45,38.44,37.14,37.57,67007
29-Oct-14,38.15,38.74,37.61,37.70,80014
28-Oct-14,36.37,38.20,36.37,38.08,107962
27-Oct-14,36.07,36.20,35.44,36.06,52250
24-Oct-14,36.43,36.60,36.06,36.30,61431
23-Oct-14,35.38,36.68,34.81,36.37,94478
22-Oct-14,36.76,36.83,34.74,34.90,261035
21-Oct-14,35.00,37.59,35.00,36.69,201123
20-Oct-14,36.58,37.04,36.15,36.94,86014
17-Oct-14,37.79,37.79,36.59,36.72,97840
16-Oct-14,35.97,37.59,35.97,37.30,87892
15-Oct-14,35.22,36.95,35.01,36.55,83771
14-Oct-14,35.24,36.67,34.99,35.67,68274
13-Oct-14,34.83,35.70,34.47,34.84,84300
10-Oct-14,34.82,35.75,34.28,34.78,110445
9-Oct-14,36.17,36.18,34.59,35.00,102890
8-Oct-14,35.16,36.42,34.94,36.28,85127
7-Oct-14,36.10,36.28,35.14,35.20,108852
6-Oct-14,36.72,36.97,36.24,36.28,56990
3-Oct-14,36.83,37.20,36.48,36.64,66381
2-Oct-14,36.01,36.73,35.86,36.48,31338
1-Oct-14,36.42,37.69,35.78,36.02,73771
30-Sep-14,37.37,37.47,36.45,36.47,91475
29-Sep-14,36.84,37.50,36.78,37.43,46302
26-Sep-14,36.78,37.45,36.59,37.29,96450
25-Sep-14,37.28,37.38,36.46,36.75,59661
24-Sep-14,37.87,37.87,37.13,37.43,63843
23-Sep-14,38.23,38.66,37.77,37.89,87448
22-Sep-14,38.79,38.79,37.25,38.42,63268
19-Sep-14,40.40,40.40,38.93,39.13,134349
18-Sep-14,40.73,40.73,40.05,40.30,64479
17-Sep-14,40.33,40.76,40.10,40.52,61420
16-Sep-14,39.95,40.56,39.33,40.33,69208
15-Sep-14,40.31,40.50,39.59,39.93,57174
12-Sep-14,40.95,41.50,40.35,40.49,55404
11-Sep-14,40.45,41.16,40.45,40.97,28107
10-Sep-14,40.61,40.76,40.14,40.67,27389
9-Sep-14,40.88,41.29,40.31,40.53,49142
8-Sep-14,42.41,42.41,40.71,40.83,43553
5-Sep-14,41.27,41.33,40.85,41.16,28831
4-Sep-14,41.77,42.00,41.21,41.42,36564
3-Sep-14,42.19,42.19,41.40,41.83,55704
2-Sep-14,41.75,42.77,41.55,41.99,58454
29-Aug-14,41.65,41.65,41.43,41.54,45249
28-Aug-14,41.47,41.99,41.18,41.64,56011
27-Aug-14,41.79,41.80,41.06,41.53,47938
26-Aug-14,41.40,41.76,41.05,41.58,108470
25-Aug-14,41.54,41.54,41.06,41.22,65061
22-Aug-14,41.30,41.56,40.61,41.17,67574
