Date,Open,High,Low,Close,Volume
31-Dec-14,1.05,1.09,1.02,1.07,205025
30-Dec-14,1.07,1.10,1.01,1.04,285777
29-Dec-14,1.16,1.16,1.06,1.10,243651
26-Dec-14,1.13,1.19,1.11,1.15,202021
24-Dec-14,1.15,1.17,1.13,1.13,48021
23-Dec-14,1.16,1.25,1.12,1.16,213785
22-Dec-14,1.16,1.30,1.13,1.19,344474
19-Dec-14,1.09,1.19,1.08,1.13,246674
18-Dec-14,1.18,1.19,1.06,1.11,264495
17-Dec-14,1.05,1.20,1.05,1.12,257768
16-Dec-14,1.10,1.20,1.03,1.05,424561
15-Dec-14,1.23,1.28,1.11,1.11,282741
12-Dec-14,1.22,1.24,1.16,1.20,246856
11-Dec-14,1.32,1.33,1.20,1.23,548547
10-Dec-14,1.35,1.40,1.32,1.33,190571
9-Dec-14,1.39,1.40,1.35,1.35,205415
8-Dec-14,1.48,1.49,1.32,1.36,336976
5-Dec-14,1.48,1.53,1.47,1.48,152883
4-Dec-14,1.48,1.53,1.47,1.50,185659
3-Dec-14,1.50,1.53,1.47,1.52,173743
2-Dec-14,1.58,1.60,1.50,1.53,328422
1-Dec-14,1.70,1.70,1.58,1.59,205738
28-Nov-14,1.72,1.77,1.68,1.68,224373
26-Nov-14,1.87,2.05,1.70,1.72,2080575
25-Nov-14,1.86,1.89,1.83,1.84,218535
24-Nov-14,1.76,1.83,1.76,1.83,162346
21-Nov-14,1.78,1.80,1.74,1.76,166948
20-Nov-14,1.72,1.83,1.72,1.80,163086
19-Nov-14,1.87,1.87,1.72,1.73,372523
18-Nov-14,1.78,2.00,1.78,1.82,534253
17-Nov-14,2.20,2.20,1.75,1.75,637714
14-Nov-14,2.20,2.21,2.00,2.00,348133
13-Nov-14,2.19,2.49,2.05,2.11,1644097
12-Nov-14,2.10,2.10,1.95,2.02,165514
11-Nov-14,1.95,2.16,1.90,2.07,427704
10-Nov-14,1.98,2.10,1.81,1.94,299270
7-Nov-14,1.86,2.07,1.84,1.98,482923
6-Nov-14,1.65,1.97,1.65,1.88,1353964
5-Nov-14,1.60,1.65,1.54,1.57,141903
4-Nov-14,1.62,1.70,1.59,1.61,135322
3-Nov-14,1.78,1.83,1.61,1.61,237353
31-Oct-14,1.71,1.79,1.68,1.76,192241
30-Oct-14,1.85,1.88,1.63,1.75,477982
29-Oct-14,1.99,2.03,1.85,1.88,386830
28-Oct-14,2.06,2.39,1.95,2.01,6217873
27-Oct-14,1.81,1.83,1.71,1.77,93782
24-Oct-14,1.82,1.83,1.69,1.83,67163
23-Oct-14,1.78,1.81,1.71,1.74,98268
22-Oct-14,1.95,1.99,1.73,1.78,280595
21-Oct-14,1.64,2.03,1.64,1.83,363635
20-Oct-14,1.55,1.76,1.53,1.63,153851
17-Oct-14,1.68,1.73,1.53,1.53,349378
16-Oct-14,1.43,1.67,1.42,1.60,344036
15-Oct-14,1.53,1.59,1.44,1.46,114635
14-Oct-14,1.45,1.53,1.42,1.48,42601
13-Oct-14,1.51,1.56,1.43,1.46,108677
10-Oct-14,1.50,1.60,1.41,1.48,260211
9-Oct-14,1.71,1.74,1.48,1.49,312251
8-Oct-14,1.81,1.84,1.72,1.72,315565
7-Oct-14,1.81,1.92,1.77,1.86,252862
6-Oct-14,1.85,2.00,1.80,1.83,450844
3-Oct-14,1.93,2.00,1.85,1.85,360466
2-Oct-14,2.03,2.08,1.90,1.94,368505
1-Oct-14,2.17,2.20,1.98,2.00,282719
30-Sep-14,2.03,2.27,1.93,2.21,1196312
29-Sep-14,1.93,2.05,1.89,2.01,192814
26-Sep-14,2.04,2.04,1.84,1.92,285154
25-Sep-14,2.07,2.13,2.01,2.04,342311
24-Sep-14,2.22,2.27,2.09,2.13,162458
23-Sep-14,2.41,2.41,2.20,2.22,443477
22-Sep-14,2.52,2.52,2.38,2.40,151250
19-Sep-14,2.68,2.68,2.43,2.55,265343
18-Sep-14,2.61,2.68,2.51,2.60,234471
17-Sep-14,2.88,2.92,2.61,2.61,483173
16-Sep-14,3.06,3.08,2.85,2.88,388489
15-Sep-14,3.26,3.44,3.07,3.09,492587
12-Sep-14,3.60,3.68,3.25,3.43,3034025
11-Sep-14,2.70,3.40,2.61,3.31,1440545
10-Sep-14,2.80,2.80,2.61,2.72,236726
9-Sep-14,2.74,2.99,2.61,2.79,559902
8-Sep-14,2.66,2.85,2.60,2.74,496214
5-Sep-14,2.63,2.71,2.43,2.66,369813
4-Sep-14,2.65,2.96,2.47,2.61,577968
3-Sep-14,2.79,2.79,2.43,2.61,812104
2-Sep-14,3.48,3.85,2.87,2.94,4374287
29-Aug-14,1.83,2.96,1.83,2.83,2086933
28-Aug-14,2.09,2.09,1.82,1.82,354265
27-Aug-14,2.21,2.44,2.03,2.08,230647
26-Aug-14,2.35,2.40,2.00,2.19,465362
25-Aug-14,2.90,2.95,2.63,2.63,86956
22-Aug-14,2.98,3.00,2.78,2.86,60522
21-Aug-14,2.90,3.10,2.86,2.86,28001
20-Aug-14,2.85,3.09,2.85,2.90,63147
19-Aug-14,3.00,3.05,2.80,2.90,71092
18-Aug-14,3.10,3.15,2.90,3.00,34701
15-Aug-14,3.00,3.20,2.78,3.06,97079
14-Aug-14,3.33,3.33,2.92,2.99,129514
13-Aug-14,2.80,3.25,2.62,3.19,296331
12-Aug-14,2.90,3.00,2.60,2.70,97364
11-Aug-14,3.20,3.20,2.90,2.90,89164
8-Aug-14,3.16,3.35,3.00,3.01,101219
7-Aug-14,3.34,3.40,3.05,3.16,64814
6-Aug-14,3.45,3.45,3.12,3.40,60784
5-Aug-14,3.30,3.49,3.16,3.40,109098
4-Aug-14,3.50,3.50,3.25,3.35,110131
1-Aug-14,3.55,3.55,3.40,3.50,29580
31-Jul-14,3.40,3.55,3.35,3.55,94628
30-Jul-14,3.65,3.65,3.45,3.60,70635
29-Jul-14,3.65,3.65,3.45,3.55,128690
28-Jul-14,3.70,3.70,3.45,3.65,79925
25-Jul-14,3.70,3.70,3.55,3.70,110257
24-Jul-14,3.90,3.90,3.53,3.60,85914
23-Jul-14,3.80,3.99,3.60,3.60,77964
22-Jul-14,4.10,4.20,3.75,3.80,75368
21-Jul-14,4.40,4.40,3.76,4.00,119509
18-Jul-14,4.22,4.40,4.00,4.20,135585
17-Jul-14,4.10,4.30,4.00,4.22,129198
16-Jul-14,3.91,4.10,3.90,3.90,74551
15-Jul-14,4.10,4.29,4.10,4.13,47634
14-Jul-14,4.30,4.50,4.00,4.20,89120
11-Jul-14,4.40,4.60,4.24,4.35,33154
10-Jul-14,4.30,4.60,4.14,4.35,128933
9-Jul-14,4.75,4.75,4.33,4.44,72302
8-Jul-14,4.80,4.80,4.50,4.68,65611
7-Jul-14,4.55,4.80,4.50,4.74,105662
3-Jul-14,4.70,4.70,4.40,4.54,27828
2-Jul-14,4.70,4.70,4.40,4.50,45476
1-Jul-14,4.20,4.42,4.20,4.39,9410
30-Jun-14,4.30,4.49,4.20,4.20,10888
27-Jun-14,4.12,4.40,4.12,4.25,58973
26-Jun-14,4.50,4.50,4.21,4.40,35514
25-Jun-14,4.40,4.50,4.30,4.33,31661
24-Jun-14,4.50,4.79,4.40,4.50,96428
23-Jun-14,4.80,4.80,4.50,4.59,61262
20-Jun-14,4.80,4.80,4.55,4.55,45486
19-Jun-14,4.95,4.95,4.61,4.79,57905
18-Jun-14,4.70,5.00,4.32,4.60,109365
17-Jun-14,4.70,4.99,4.50,4.60,340328
16-Jun-14,4.19,4.60,4.10,4.50,223360
13-Jun-14,4.00,4.09,3.91,4.09,42944
12-Jun-14,4.00,4.05,3.88,3.95,32030
11-Jun-14,4.20,4.20,3.90,3.95,41661
10-Jun-14,4.18,4.18,3.95,4.00,29051
9-Jun-14,4.30,4.30,4.00,4.10,45850
6-Jun-14,3.78,4.37,3.78,3.99,139410
5-Jun-14,3.85,3.85,3.70,3.78,14739
4-Jun-14,3.80,3.90,3.69,3.70,31768
3-Jun-14,4.00,4.10,3.70,3.80,79557
2-Jun-14,4.10,4.10,3.85,4.00,38018
30-May-14,4.00,4.05,3.90,4.00,15103
29-May-14,4.20,4.20,3.90,3.95,78818
28-May-14,4.20,4.20,3.90,4.00,67830
27-May-14,3.80,4.04,3.70,4.00,126452
23-May-14,3.80,3.80,3.60,3.60,44368
22-May-14,3.80,3.80,3.55,3.55,128317
21-May-14,3.77,4.00,3.60,3.60,113660
20-May-14,3.60,3.88,3.51,3.55,102228
19-May-14,3.50,3.60,3.41,3.50,63121
16-May-14,3.65,3.70,3.30,3.45,92267
15-May-14,4.00,4.00,3.55,3.62,74829
14-May-14,3.90,4.29,3.70,3.70,103106
13-May-14,4.01,4.20,3.80,3.90,81929
12-May-14,4.50,4.50,4.00,4.11,31821
9-May-14,3.90,4.40,3.90,4.30,129935
8-May-14,4.10,4.25,3.60,3.80,146667
7-May-14,4.70,4.70,4.10,4.10,67820
6-May-14,4.50,4.70,4.30,4.40,28901
