Date,Open,High,Low,Close,Volume
31-Dec-14,5.50,5.63,5.50,5.63,2732
30-Dec-14,5.28,5.39,5.27,5.28,3231
29-Dec-14,5.25,5.32,5.25,5.32,585
26-Dec-14,5.45,5.49,5.25,5.49,6021
24-Dec-14,5.49,5.59,5.30,5.49,4053
23-Dec-14,5.34,5.61,5.33,5.61,807
22-Dec-14,5.52,5.69,5.25,5.25,6796
19-Dec-14,5.65,5.65,5.52,5.52,3424
18-Dec-14,5.66,5.66,5.59,5.65,14407
17-Dec-14,5.67,5.70,5.60,5.61,1350
16-Dec-14,5.73,5.73,5.68,5.73,420
15-Dec-14,5.74,5.74,5.74,5.74,894
12-Dec-14,5.73,5.74,5.50,5.74,5014
11-Dec-14,5.41,5.74,5.41,5.58,3940
10-Dec-14,5.41,5.65,5.41,5.50,2965
9-Dec-14,5.53,5.93,5.50,5.61,44717
8-Dec-14,5.67,5.67,5.26,5.46,9631
5-Dec-14,5.56,5.69,5.46,5.51,4610
4-Dec-14,5.29,5.64,5.25,5.44,65608
3-Dec-14,5.11,5.23,5.11,5.23,5653
2-Dec-14,5.08,5.08,5.06,5.06,1138
1-Dec-14,5.08,5.20,4.94,5.03,39426
28-Nov-14,5.22,5.23,5.22,5.23,901
26-Nov-14,5.21,5.22,5.15,5.22,3374
25-Nov-14,5.22,5.25,5.15,5.15,22540
24-Nov-14,5.12,5.21,5.11,5.11,787
21-Nov-14,5.23,5.23,5.15,5.15,3482
20-Nov-14,5.12,5.23,4.94,5.10,2825
19-Nov-14,5.10,5.23,5.10,5.23,4130
18-Nov-14,5.10,5.21,5.10,5.14,3251
17-Nov-14,5.21,5.21,5.01,5.01,11665
14-Nov-14,4.87,5.14,4.87,5.05,2400
13-Nov-14,5.08,5.09,5.05,5.05,5128
12-Nov-14,4.79,4.91,4.75,4.90,16009
11-Nov-14,5.05,5.05,5.05,5.05,100
10-Nov-14,5.06,5.06,5.06,5.06,100
7-Nov-14,5.07,5.07,5.07,5.07,297
6-Nov-14,5.23,5.24,5.05,5.15,5957
4-Nov-14,5.05,5.18,5.05,5.18,2127
3-Nov-14,5.03,5.19,5.02,5.19,2068
31-Oct-14,5.25,5.25,5.15,5.22,26395
30-Oct-14,5.15,5.25,5.15,5.25,7282
29-Oct-14,5.08,5.19,5.08,5.10,3299
28-Oct-14,5.08,5.14,5.07,5.14,7201
27-Oct-14,4.92,5.08,4.91,5.05,4365
24-Oct-14,5.04,5.15,5.04,5.15,1280
23-Oct-14,5.13,5.19,5.05,5.14,67157
