Date,Open,High,Low,Close,Volume
31-Dec-14,1.38,1.42,1.34,1.41,256149
30-Dec-14,1.29,1.36,1.27,1.33,148875
29-Dec-14,1.29,1.34,1.28,1.29,118191
26-Dec-14,1.28,1.35,1.28,1.30,303575
24-Dec-14,1.30,1.35,1.27,1.27,250687
23-Dec-14,1.36,1.38,1.33,1.33,113527
22-Dec-14,1.34,1.41,1.34,1.38,148183
19-Dec-14,1.31,1.41,1.31,1.34,258353
18-Dec-14,1.32,1.38,1.30,1.38,149655
17-Dec-14,1.29,1.35,1.29,1.30,63962
16-Dec-14,1.28,1.32,1.28,1.31,304337
15-Dec-14,1.30,1.33,1.27,1.31,198207
12-Dec-14,1.27,1.31,1.27,1.28,88227
11-Dec-14,1.32,1.34,1.26,1.29,406223
10-Dec-14,1.32,1.33,1.30,1.30,58546
9-Dec-14,1.32,1.35,1.30,1.33,131317
8-Dec-14,1.36,1.42,1.30,1.30,236073
5-Dec-14,1.31,1.41,1.31,1.41,206596
4-Dec-14,1.32,1.33,1.30,1.30,97133
3-Dec-14,1.30,1.33,1.29,1.32,109201
2-Dec-14,1.28,1.30,1.27,1.29,64004
1-Dec-14,1.29,1.31,1.23,1.28,360674
28-Nov-14,1.28,1.34,1.25,1.28,410328
26-Nov-14,1.40,1.41,1.27,1.30,280740
25-Nov-14,1.41,1.42,1.35,1.39,197447
24-Nov-14,1.40,1.43,1.36,1.40,169793
21-Nov-14,1.40,1.42,1.38,1.38,84452
20-Nov-14,1.37,1.38,1.37,1.37,103790
19-Nov-14,1.40,1.40,1.37,1.37,54468
18-Nov-14,1.40,1.40,1.36,1.40,168224
17-Nov-14,1.40,1.42,1.36,1.38,84843
14-Nov-14,1.37,1.40,1.35,1.40,117322
13-Nov-14,1.41,1.45,1.36,1.36,81952
12-Nov-14,1.43,1.46,1.42,1.42,91050
11-Nov-14,1.43,1.45,1.41,1.42,81782
10-Nov-14,1.40,1.47,1.40,1.42,91235
7-Nov-14,1.46,1.48,1.39,1.39,212856
6-Nov-14,1.45,1.49,1.45,1.45,82463
5-Nov-14,1.46,1.48,1.41,1.41,111750
4-Nov-14,1.50,1.51,1.45,1.46,132070
3-Nov-14,1.55,1.55,1.49,1.53,131275
31-Oct-14,1.63,1.63,1.41,1.52,298713
30-Oct-14,1.54,1.57,1.49,1.57,226657
29-Oct-14,1.54,1.54,1.47,1.53,142032
28-Oct-14,1.46,1.53,1.46,1.53,152217
27-Oct-14,1.46,1.48,1.44,1.46,214327
24-Oct-14,1.46,1.50,1.41,1.46,195323
23-Oct-14,1.48,1.49,1.46,1.47,133204
22-Oct-14,1.48,1.51,1.46,1.46,82080
21-Oct-14,1.50,1.52,1.48,1.49,204289
20-Oct-14,1.45,1.50,1.45,1.49,226248
17-Oct-14,1.48,1.50,1.45,1.45,257341
16-Oct-14,1.46,1.50,1.45,1.47,171851
15-Oct-14,1.51,1.56,1.47,1.49,206464
14-Oct-14,1.60,1.60,1.51,1.51,72005
13-Oct-14,1.55,1.60,1.50,1.57,573958
10-Oct-14,1.57,1.57,1.50,1.54,202655
9-Oct-14,1.58,1.60,1.53,1.58,203345
8-Oct-14,1.63,1.65,1.53,1.60,288377
7-Oct-14,1.60,1.62,1.59,1.62,239220
6-Oct-14,1.64,1.64,1.56,1.61,207159
3-Oct-14,1.58,1.64,1.57,1.64,114261
2-Oct-14,1.59,1.66,1.50,1.60,280082
1-Oct-14,1.70,1.70,1.55,1.57,191924
30-Sep-14,1.71,1.72,1.66,1.70,63592
29-Sep-14,1.69,1.73,1.68,1.72,134222
26-Sep-14,1.73,1.79,1.73,1.73,137316
25-Sep-14,1.77,1.79,1.72,1.72,253225
24-Sep-14,1.75,1.80,1.73,1.75,227379
23-Sep-14,1.70,1.79,1.70,1.72,155281
22-Sep-14,1.70,1.76,1.68,1.71,193768
19-Sep-14,1.82,1.82,1.70,1.70,256724
18-Sep-14,1.89,1.89,1.77,1.80,313373
17-Sep-14,1.82,1.92,1.82,1.87,915052
16-Sep-14,1.72,1.85,1.71,1.83,905975
