Date,Open,High,Low,Close,Volume
31-Dec-14,8.44,8.52,8.38,8.40,2059465
30-Dec-14,8.40,8.48,8.38,8.40,959950
29-Dec-14,8.48,8.50,8.42,8.45,1110534
26-Dec-14,8.45,8.55,8.41,8.47,1795940
24-Dec-14,8.41,8.47,8.37,8.43,710931
23-Dec-14,8.55,8.68,8.35,8.37,2683382
22-Dec-14,8.30,8.53,8.24,8.50,3249334
19-Dec-14,8.08,8.30,8.00,8.28,6039299
18-Dec-14,8.17,8.22,8.08,8.21,3721198
17-Dec-14,7.86,8.04,7.74,8.03,2976401
16-Dec-14,7.93,8.07,7.81,7.84,2779241
15-Dec-14,8.08,8.17,7.89,7.98,5379937
12-Dec-14,7.96,8.09,7.91,7.98,5228724
11-Dec-14,7.95,8.12,7.95,8.06,4245395
10-Dec-14,8.10,8.15,7.85,7.85,2690431
9-Dec-14,7.91,8.17,7.81,8.15,4437828
8-Dec-14,8.18,8.25,7.95,8.01,3790751
5-Dec-14,8.25,8.26,8.15,8.23,3184233
4-Dec-14,8.31,8.33,8.17,8.20,3649965
3-Dec-14,8.01,8.34,7.97,8.29,10206411
2-Dec-14,7.89,8.07,7.78,7.96,4948470
1-Dec-14,7.89,7.97,7.76,7.81,3559913
28-Nov-14,7.89,7.95,7.84,7.91,2785971
26-Nov-14,7.74,7.93,7.74,7.93,4229514
25-Nov-14,7.76,7.85,7.68,7.73,3317902
24-Nov-14,7.41,7.81,7.41,7.74,5715165
21-Nov-14,7.78,7.86,7.71,7.78,5598392
20-Nov-14,7.48,7.71,7.44,7.66,5093546
19-Nov-14,7.53,7.60,7.40,7.54,3673123
18-Nov-14,7.48,7.65,7.47,7.57,4036132
17-Nov-14,7.51,7.56,7.36,7.47,3354988
14-Nov-14,7.46,7.59,7.38,7.56,2358761
13-Nov-14,7.59,7.62,7.44,7.47,2064113
12-Nov-14,7.53,7.62,7.52,7.56,2636840
11-Nov-14,7.60,7.67,7.54,7.57,2921697
10-Nov-14,7.44,7.62,7.44,7.60,4548774
7-Nov-14,7.30,7.44,7.24,7.44,6950764
6-Nov-14,7.35,7.42,7.26,7.29,4107212
5-Nov-14,7.40,7.43,7.26,7.34,4805679
4-Nov-14,7.43,7.48,7.26,7.32,6307192
3-Nov-14,7.44,7.54,7.35,7.46,7875690
31-Oct-14,7.46,7.68,7.24,7.42,14501204
30-Oct-14,7.00,7.07,6.57,6.95,17668190
29-Oct-14,7.35,7.35,7.04,7.23,8189257
28-Oct-14,7.15,7.34,7.15,7.33,4642405
