Date,Open,High,Low,Close,Volume
31-Dec-14,1.29,1.63,1.29,1.43,2490517
30-Dec-14,1.58,1.60,1.27,1.29,2261306
29-Dec-14,1.89,2.04,1.65,1.67,2418956
26-Dec-14,1.58,2.10,1.52,1.88,10487078
24-Dec-14,1.08,1.53,1.08,1.43,1480868
23-Dec-14,0.99,1.08,0.98,1.06,143010
22-Dec-14,1.00,1.03,0.96,1.00,69161
19-Dec-14,0.98,1.01,0.93,0.96,102598
18-Dec-14,0.95,1.08,0.95,0.95,261180
17-Dec-14,0.93,1.03,0.93,1.01,345701
16-Dec-14,0.92,0.98,0.90,0.94,143384
15-Dec-14,0.94,0.97,0.92,0.96,64462
12-Dec-14,1.00,1.00,0.90,0.98,60715
11-Dec-14,0.88,1.02,0.87,0.97,156049
10-Dec-14,0.88,0.90,0.82,0.86,39434
9-Dec-14,0.84,0.91,0.83,0.90,19278
8-Dec-14,0.96,0.98,0.84,0.86,84513
5-Dec-14,0.90,1.05,0.89,0.96,360917
4-Dec-14,0.86,0.88,0.82,0.83,66756
3-Dec-14,0.90,0.90,0.86,0.86,21076
2-Dec-14,0.89,0.90,0.84,0.90,15537
1-Dec-14,0.90,0.91,0.83,0.90,20051
28-Nov-14,0.92,0.92,0.87,0.90,39950
26-Nov-14,0.88,0.92,0.85,0.92,52635
25-Nov-14,0.85,0.90,0.83,0.86,123962
24-Nov-14,0.94,0.94,0.83,0.90,132500
21-Nov-14,0.90,0.94,0.83,0.91,81448
20-Nov-14,0.91,0.94,0.80,0.85,209954
19-Nov-14,0.92,0.95,0.88,0.94,29053
18-Nov-14,0.95,1.08,0.85,0.90,175972
17-Nov-14,0.94,0.98,0.90,0.95,88094
14-Nov-14,1.01,1.05,0.92,0.98,188590
13-Nov-14,1.06,1.09,1.00,1.00,148839
12-Nov-14,1.04,1.09,1.01,1.09,42649
11-Nov-14,1.02,1.09,1.01,1.03,58861
10-Nov-14,1.02,1.07,0.98,1.03,30101
7-Nov-14,1.00,1.06,0.97,0.98,101467
6-Nov-14,1.03,1.11,0.99,1.01,63706
5-Nov-14,1.08,1.08,1.03,1.03,21518
4-Nov-14,1.09,1.10,1.01,1.04,146194
3-Nov-14,1.10,1.16,1.07,1.09,51092
31-Oct-14,1.20,1.25,1.06,1.09,106857
30-Oct-14,1.11,1.22,1.06,1.19,108751
29-Oct-14,1.15,1.17,1.08,1.13,63666
28-Oct-14,1.13,1.17,1.13,1.17,53025
27-Oct-14,1.16,1.17,1.12,1.16,27387
24-Oct-14,1.16,1.17,1.14,1.15,25055
