Date,Open,High,Low,Close,Volume
31-Dec-14,19.38,20.09,19.38,19.96,437980
30-Dec-14,19.09,19.27,18.85,19.21,54192
29-Dec-14,19.20,19.38,18.94,19.13,111580
26-Dec-14,18.82,19.38,18.76,19.18,39053
24-Dec-14,18.66,18.85,18.53,18.76,66875
23-Dec-14,18.73,18.94,18.54,18.63,147876
22-Dec-14,19.19,19.19,18.87,19.04,122604
19-Dec-14,19.22,19.50,19.00,19.24,151579
18-Dec-14,19.18,19.46,18.82,19.27,113585
17-Dec-14,17.59,18.97,17.37,18.94,175277
16-Dec-14,17.58,17.95,17.40,17.59,168804
15-Dec-14,18.26,18.44,17.24,17.60,130787
12-Dec-14,18.32,18.90,18.11,18.11,129289
11-Dec-14,18.65,18.99,18.45,18.57,260067
10-Dec-14,19.30,19.34,18.41,18.55,166708
9-Dec-14,18.39,19.47,18.33,19.41,219981
8-Dec-14,19.25,19.44,18.75,18.95,180288
5-Dec-14,18.47,19.41,18.43,19.27,185032
4-Dec-14,18.11,18.75,18.08,18.35,298000
3-Dec-14,18.60,18.71,18.13,18.17,109389
2-Dec-14,18.45,18.88,18.14,18.64,122884
1-Dec-14,18.64,18.64,18.25,18.37,125425
28-Nov-14,18.86,19.08,18.63,18.73,76570
26-Nov-14,18.55,19.00,18.55,18.86,94909
25-Nov-14,18.47,18.66,18.32,18.54,121260
24-Nov-14,17.80,18.43,17.80,18.41,123316
21-Nov-14,17.61,17.89,17.05,17.77,111461
20-Nov-14,17.10,17.35,16.80,17.33,78528
19-Nov-14,17.91,18.00,16.79,17.28,151898
18-Nov-14,18.18,18.50,17.89,17.95,152766
17-Nov-14,18.37,18.78,17.91,18.15,140117
14-Nov-14,18.01,18.51,17.86,18.46,166365
13-Nov-14,18.24,18.71,17.94,18.05,168570
12-Nov-14,17.82,18.30,17.73,18.24,196585
11-Nov-14,17.64,17.95,17.26,17.90,106830
10-Nov-14,16.84,17.70,16.70,17.69,143478
7-Nov-14,16.87,16.89,16.44,16.86,100345
6-Nov-14,16.72,16.90,16.47,16.85,85848
5-Nov-14,17.11,17.16,16.40,16.67,135988
4-Nov-14,16.74,17.23,16.52,16.97,98329
3-Nov-14,17.41,17.73,16.77,16.81,188186
31-Oct-14,18.84,18.84,17.06,17.44,366039
30-Oct-14,16.05,16.66,15.89,16.36,111720
29-Oct-14,15.42,16.25,15.29,16.20,152490
28-Oct-14,15.17,15.49,15.05,15.41,105015
27-Oct-14,15.15,15.37,14.92,15.07,68538
24-Oct-14,15.29,15.54,15.14,15.26,54729
23-Oct-14,15.19,15.68,15.05,15.25,97566
22-Oct-14,15.53,15.53,14.83,15.04,161113
21-Oct-14,15.31,15.66,14.87,15.44,110468
20-Oct-14,14.62,15.29,14.62,15.25,104292
17-Oct-14,15.64,15.76,14.65,14.67,178622
16-Oct-14,15.54,16.19,15.27,15.41,345669
15-Oct-14,15.03,15.87,14.90,15.79,140587
14-Oct-14,15.54,15.95,15.20,15.32,170256
13-Oct-14,15.37,15.64,15.05,15.35,245032
10-Oct-14,14.10,15.47,13.86,15.40,482825
9-Oct-14,14.08,14.49,13.78,14.14,348482
8-Oct-14,13.59,14.14,13.18,14.06,200251
7-Oct-14,13.91,13.99,13.61,13.64,74713
6-Oct-14,14.55,14.79,14.00,14.02,116196
3-Oct-14,14.75,15.01,14.31,14.54,80136
2-Oct-14,14.25,14.65,13.92,14.58,247927
