Date,Open,High,Low,Close,Volume
31-Dec-14,55.35,56.64,55.04,55.31,310321
30-Dec-14,54.16,55.41,53.75,54.92,144774
29-Dec-14,54.15,54.64,53.43,54.02,154170
26-Dec-14,52.44,54.00,52.34,53.84,113496
24-Dec-14,51.54,52.59,51.10,52.37,84242
23-Dec-14,50.69,52.02,49.25,51.06,140972
22-Dec-14,48.82,50.97,48.16,50.66,153679
19-Dec-14,48.48,49.03,47.67,48.60,168176
18-Dec-14,47.65,48.81,46.93,48.58,112742
17-Dec-14,45.19,47.09,44.35,46.89,131792
16-Dec-14,45.30,46.18,44.80,45.02,133382
15-Dec-14,46.64,46.97,45.22,45.27,155107
12-Dec-14,46.44,47.23,46.09,46.52,165755
11-Dec-14,45.77,47.59,45.30,46.89,101202
10-Dec-14,46.58,47.95,45.48,45.48,157892
9-Dec-14,45.17,47.05,44.86,46.91,145894
8-Dec-14,46.40,47.00,45.74,45.75,195154
5-Dec-14,46.87,47.65,46.12,46.75,200047
4-Dec-14,46.31,47.49,46.27,47.18,273524
3-Dec-14,46.94,47.14,45.00,46.28,253654
2-Dec-14,47.04,47.93,46.61,46.77,191326
1-Dec-14,47.92,48.00,45.20,46.79,254286
28-Nov-14,49.98,50.23,48.87,49.02,60962
26-Nov-14,50.00,51.03,49.71,50.00,174093
25-Nov-14,49.88,50.20,49.11,49.98,154151
24-Nov-14,49.21,50.10,49.02,49.89,137945
21-Nov-14,48.46,49.90,48.32,49.22,354220
20-Nov-14,47.39,47.67,46.73,47.62,222273
19-Nov-14,49.16,49.16,47.34,47.84,159055
18-Nov-14,48.92,49.91,48.92,49.39,125440
17-Nov-14,50.76,50.85,48.59,48.70,133005
14-Nov-14,50.62,51.55,50.42,50.72,93541
13-Nov-14,51.64,52.29,50.75,50.88,109927
12-Nov-14,52.85,52.96,51.51,51.68,180075
11-Nov-14,53.68,54.32,52.95,53.20,122529
10-Nov-14,52.50,53.84,52.06,53.76,139595
7-Nov-14,53.97,53.97,52.14,52.92,121104
6-Nov-14,52.67,53.99,51.65,53.95,179586
5-Nov-14,50.76,53.29,50.71,52.48,265419
4-Nov-14,48.73,53.40,48.52,50.48,291906
3-Nov-14,51.16,51.16,48.10,49.31,224893
31-Oct-14,52.33,53.24,51.01,51.81,240521
30-Oct-14,50.13,52.26,49.08,52.18,193459
29-Oct-14,49.41,50.48,48.39,50.28,187390
28-Oct-14,47.50,49.20,47.50,49.17,135557
27-Oct-14,45.49,47.12,45.30,47.02,143308
24-Oct-14,45.10,45.86,44.85,45.68,134056
23-Oct-14,44.95,45.55,44.45,45.10,134103
22-Oct-14,45.13,45.25,44.22,44.31,119249
21-Oct-14,44.72,45.15,43.71,44.80,127273
20-Oct-14,44.78,45.00,43.44,44.51,115006
