Date,Open,High,Low,Close,Volume
31-Dec-14,19.28,19.66,18.83,19.19,176350
30-Dec-14,18.81,19.47,18.81,19.28,71161
29-Dec-14,18.68,19.26,18.44,18.92,173800
26-Dec-14,18.49,18.80,18.30,18.72,85062
24-Dec-14,18.44,19.09,18.08,18.47,67589
23-Dec-14,19.34,19.34,18.26,18.44,133028
22-Dec-14,17.85,19.80,17.81,19.35,355522
19-Dec-14,18.19,18.19,17.26,17.94,244861
18-Dec-14,18.12,18.39,17.76,18.25,121443
17-Dec-14,17.37,18.18,17.26,17.94,152882
16-Dec-14,17.13,18.49,17.00,17.29,127451
15-Dec-14,17.87,18.66,17.27,17.28,137545
12-Dec-14,17.04,18.00,17.04,17.73,142015
11-Dec-14,17.30,17.70,17.11,17.25,176712
10-Dec-14,18.55,18.97,17.39,17.47,180761
9-Dec-14,18.50,18.92,18.02,18.68,174778
8-Dec-14,19.24,19.63,18.69,18.71,166636
5-Dec-14,18.31,19.55,18.22,19.27,183737
4-Dec-14,18.65,19.24,18.13,18.30,127797
3-Dec-14,18.68,19.73,18.51,18.70,183863
2-Dec-14,18.28,19.37,18.25,18.88,104635
1-Dec-14,20.17,20.17,18.12,18.18,249268
28-Nov-14,20.34,21.18,20.17,20.22,59061
26-Nov-14,19.79,20.34,19.69,20.28,180674
25-Nov-14,19.95,20.30,19.66,19.72,140428
24-Nov-14,20.00,20.12,19.67,19.85,105204
21-Nov-14,20.48,20.63,19.66,20.01,64488
20-Nov-14,20.21,20.27,19.89,20.11,82552
19-Nov-14,21.41,21.47,20.21,20.28,69386
18-Nov-14,20.89,21.86,20.60,21.39,81955
17-Nov-14,20.71,21.11,20.56,20.79,78747
14-Nov-14,20.81,21.02,20.45,20.69,71457
13-Nov-14,20.42,21.27,20.24,20.73,102081
12-Nov-14,20.34,20.68,20.06,20.40,143036
11-Nov-14,20.48,20.56,19.80,20.45,156159
10-Nov-14,20.35,20.55,20.12,20.51,165545
7-Nov-14,20.75,20.75,19.77,20.35,140611
6-Nov-14,21.38,21.38,20.44,20.80,78404
5-Nov-14,22.50,22.78,20.77,21.27,127896
4-Nov-14,22.85,22.88,22.13,22.27,140410
3-Nov-14,21.85,23.96,21.23,22.89,187243
31-Oct-14,21.13,22.40,20.66,21.72,193152
30-Oct-14,21.53,21.80,20.56,20.99,184600
29-Oct-14,22.61,22.65,21.34,21.71,150062
28-Oct-14,22.81,23.01,21.96,22.63,161107
27-Oct-14,22.34,22.86,22.08,22.58,130295
24-Oct-14,24.01,24.01,22.15,22.76,137645
23-Oct-14,23.64,24.60,23.41,23.96,149153
22-Oct-14,24.13,24.38,23.28,23.39,95510
21-Oct-14,24.15,24.52,23.75,24.38,75896
20-Oct-14,23.00,25.00,23.00,24.14,199677
17-Oct-14,25.79,26.53,23.48,23.54,187296
16-Oct-14,24.01,25.64,23.60,25.39,133802
15-Oct-14,24.00,24.66,22.28,24.66,394665
14-Oct-14,27.66,27.77,24.32,24.53,736606
13-Oct-14,27.35,29.37,26.71,27.38,254426
10-Oct-14,28.57,29.46,27.23,27.36,207325
9-Oct-14,29.13,30.00,28.65,28.78,228426
8-Oct-14,28.48,29.46,27.71,29.22,166815
7-Oct-14,28.00,28.84,27.06,28.46,303356
6-Oct-14,30.00,30.00,26.03,28.52,370666
3-Oct-14,25.94,30.49,25.94,28.78,834598
2-Oct-14,21.90,26.66,21.57,25.94,460278
1-Oct-14,21.38,22.40,20.68,21.76,267787
30-Sep-14,20.17,21.84,20.01,21.48,297380
29-Sep-14,18.57,20.32,18.10,20.30,223109
26-Sep-14,17.52,18.81,17.02,18.79,147034
25-Sep-14,18.13,18.13,16.87,17.52,120524
24-Sep-14,16.83,17.50,16.70,17.48,199274
23-Sep-14,17.15,17.48,16.76,16.86,136943
22-Sep-14,16.65,17.35,16.31,17.29,207808
19-Sep-14,17.06,17.45,16.41,16.70,395307
18-Sep-14,17.28,17.28,16.74,16.96,101487
17-Sep-14,17.10,17.68,16.92,17.23,91764
16-Sep-14,16.93,17.42,16.70,17.13,246791
15-Sep-14,17.78,17.96,16.78,16.94,185923
12-Sep-14,18.14,18.32,17.37,17.98,152880
11-Sep-14,18.34,18.81,17.61,18.08,150952
10-Sep-14,18.04,18.78,17.87,18.56,98985
9-Sep-14,18.82,18.91,17.85,18.07,158144
8-Sep-14,17.96,18.92,17.91,18.91,158307
5-Sep-14,18.50,18.71,17.80,17.96,231319
4-Sep-14,19.54,19.75,18.50,18.58,168641
3-Sep-14,20.18,20.44,19.15,19.50,294286
2-Sep-14,20.34,20.39,19.76,20.03,221679
29-Aug-14,20.34,20.47,20.01,20.26,112475
28-Aug-14,20.89,20.89,20.11,20.33,112755
27-Aug-14,20.50,21.35,19.83,20.82,232689
26-Aug-14,20.84,21.55,19.97,20.16,286556
25-Aug-14,18.59,21.09,18.22,20.72,589470
22-Aug-14,17.19,18.71,16.97,18.42,290973
21-Aug-14,16.70,17.21,16.70,17.16,155129
20-Aug-14,17.33,17.33,16.54,16.79,208380
19-Aug-14,17.84,17.84,17.22,17.48,119831
18-Aug-14,17.26,18.23,16.90,17.90,179171
15-Aug-14,17.63,17.63,17.00,17.14,131530
14-Aug-14,17.68,17.88,17.36,17.49,164763
13-Aug-14,17.29,17.76,17.10,17.69,239550
12-Aug-14,17.21,17.33,16.87,17.29,149129
11-Aug-14,17.10,17.75,16.91,17.26,209141
8-Aug-14,17.13,17.47,16.50,17.01,191975
7-Aug-14,17.16,17.31,16.51,17.00,187114
6-Aug-14,16.32,17.38,16.17,17.05,289270
5-Aug-14,16.05,16.09,15.56,15.94,189869
4-Aug-14,17.34,17.80,15.37,16.24,578492
1-Aug-14,18.09,18.58,17.25,17.29,323204
31-Jul-14,19.44,19.59,18.12,18.18,303345
30-Jul-14,19.28,19.90,19.03,19.67,152760
29-Jul-14,19.54,19.54,19.01,19.14,193083
28-Jul-14,19.99,20.07,19.12,19.52,147619
25-Jul-14,20.00,20.28,19.58,20.01,137564
24-Jul-14,20.13,20.52,19.60,20.03,147747
23-Jul-14,20.36,21.27,20.28,20.35,103624
22-Jul-14,20.50,21.42,20.10,20.50,190465
21-Jul-14,19.58,20.55,19.53,20.33,212727
18-Jul-14,19.03,20.61,19.03,19.78,324441
17-Jul-14,19.39,20.22,18.71,19.09,287146
16-Jul-14,20.70,20.72,19.26,19.59,356363
15-Jul-14,23.00,23.03,20.25,20.50,554489
14-Jul-14,23.88,24.21,23.05,23.09,239339
11-Jul-14,24.85,25.00,23.37,23.80,258208
10-Jul-14,25.25,25.67,24.66,24.98,127194
9-Jul-14,25.40,26.17,25.03,25.81,139222
8-Jul-14,25.66,25.77,24.76,25.31,185659
7-Jul-14,26.30,26.32,24.05,25.86,296607
3-Jul-14,26.45,26.94,26.01,26.38,57679
2-Jul-14,26.56,27.04,26.05,26.26,180255
1-Jul-14,25.98,27.21,25.28,26.48,485132
30-Jun-14,30.17,30.24,25.00,26.00,1430396
27-Jun-14,30.58,31.86,29.72,30.08,2003161
26-Jun-14,29.31,30.76,29.16,30.54,159333
25-Jun-14,29.89,30.64,28.35,29.14,343348
24-Jun-14,30.62,31.51,29.57,30.14,280115
23-Jun-14,29.19,30.89,28.72,30.56,352922
20-Jun-14,29.00,29.50,28.40,29.33,276069
19-Jun-14,28.50,29.00,28.00,28.98,137886
18-Jun-14,28.48,28.77,26.80,28.64,223105
17-Jun-14,27.83,28.13,26.82,28.13,212357
16-Jun-14,25.00,28.30,24.44,27.99,351284
13-Jun-14,24.18,25.86,24.01,25.11,133092
12-Jun-14,24.05,24.96,23.90,24.09,85169
11-Jun-14,23.47,24.34,23.30,24.14,97756
10-Jun-14,23.50,24.19,23.15,23.48,122058
9-Jun-14,24.97,24.97,23.30,23.62,167776
6-Jun-14,24.72,24.99,23.50,24.89,88259
5-Jun-14,23.91,24.97,23.50,24.53,115809
4-Jun-14,23.80,25.00,23.45,23.85,88481
3-Jun-14,24.46,24.63,23.72,23.90,101479
2-Jun-14,23.57,26.03,23.09,24.50,183811
30-May-14,24.56,25.00,23.70,23.83,273198
29-May-14,23.01,24.54,22.80,24.44,196285
28-May-14,22.37,23.39,21.80,22.89,111035
27-May-14,22.64,22.64,22.16,22.49,45922
23-May-14,22.54,22.99,21.80,22.55,69156
22-May-14,22.68,22.84,20.79,22.51,134847
21-May-14,22.86,24.30,22.19,22.61,138452
20-May-14,22.11,22.99,21.88,22.71,125551
19-May-14,21.24,22.93,20.68,22.27,161067
16-May-14,19.92,21.48,19.69,21.25,118862
15-May-14,19.18,20.32,19.02,19.93,121581
14-May-14,18.82,19.69,18.67,19.08,92288
13-May-14,20.10,20.57,18.88,18.95,136552
12-May-14,17.44,20.50,17.44,20.04,196624
9-May-14,16.82,17.38,16.53,17.25,79377
8-May-14,17.37,17.99,16.83,16.87,88944
7-May-14,17.13,17.50,16.53,17.30,80831
6-May-14,17.67,17.92,17.01,17.13,207791
5-May-14,17.50,18.00,17.28,17.73,69113
2-May-14,17.77,17.97,17.39,17.56,57697
1-May-14,18.45,18.45,17.25,17.88,85828
30-Apr-14,17.71,18.48,17.51,18.43,84327
29-Apr-14,17.64,18.48,17.29,17.83,111847
28-Apr-14,17.25,17.77,16.80,17.54,118937
25-Apr-14,17.97,18.29,17.15,17.24,87607
24-Apr-14,18.31,18.31,17.73,18.03,57997
23-Apr-14,18.21,18.55,17.65,18.16,77078
22-Apr-14,17.86,18.58,17.86,18.20,79199
21-Apr-14,18.00,18.17,17.51,17.84,55614
17-Apr-14,17.66,18.30,17.26,17.84,47556
16-Apr-14,18.10,18.27,17.50,17.64,78415
15-Apr-14,17.66,18.00,16.61,17.82,98936
14-Apr-14,18.27,18.89,17.16,17.54,137284
11-Apr-14,17.50,18.23,17.17,18.06,124543
10-Apr-14,18.69,18.92,17.50,17.59,123927
9-Apr-14,18.09,18.97,17.71,18.80,105853
8-Apr-14,17.64,18.65,17.35,17.94,131648
7-Apr-14,18.48,18.49,17.00,17.64,279178
4-Apr-14,20.00,20.69,18.37,18.67,220195
3-Apr-14,21.40,21.68,19.76,19.97,225696
2-Apr-14,22.21,23.00,21.00,21.31,227796
1-Apr-14,21.95,22.99,21.70,22.11,376012
31-Mar-14,20.00,21.95,19.70,21.81,982230
28-Mar-14,19.80,21.75,19.80,20.02,472992
27-Mar-14,18.00,20.05,17.69,19.77,385820
26-Mar-14,17.90,18.50,17.15,17.91,157925
25-Mar-14,17.18,17.81,16.92,17.60,73335
24-Mar-14,17.53,17.53,16.19,17.12,68013
21-Mar-14,18.12,18.30,16.99,17.38,159099
20-Mar-14,17.25,18.31,17.13,18.10,119255
19-Mar-14,17.14,17.30,17.03,17.22,42558
18-Mar-14,16.44,17.14,16.26,17.08,112916
17-Mar-14,16.23,16.48,15.96,16.38,44314
14-Mar-14,15.63,16.20,15.40,16.07,133037
13-Mar-14,15.92,17.24,15.06,15.74,147700
12-Mar-14,15.50,16.50,15.46,15.94,98178
11-Mar-14,15.61,15.69,15.29,15.58,68412
10-Mar-14,15.38,15.69,15.00,15.65,39021
7-Mar-14,15.40,15.40,14.94,15.33,20766
6-Mar-14,15.50,15.58,15.17,15.29,57348
5-Mar-14,15.43,15.63,15.15,15.54,37966
4-Mar-14,14.93,15.69,14.79,15.38,141446
3-Mar-14,14.69,15.00,14.51,14.80,112776
28-Feb-14,15.17,15.60,14.60,14.78,76874
27-Feb-14,15.07,15.47,14.84,15.11,63981
26-Feb-14,15.00,15.31,14.75,15.10,48468
25-Feb-14,15.01,15.33,14.81,14.92,31340
24-Feb-14,14.79,15.68,14.79,15.04,66200
21-Feb-14,14.85,15.00,13.87,14.76,53315
20-Feb-14,14.61,15.00,13.89,14.94,47325
19-Feb-14,14.67,14.88,14.58,14.61,33694
18-Feb-14,13.96,14.75,13.96,14.70,59327
14-Feb-14,14.09,14.25,13.65,13.93,42576
13-Feb-14,14.33,14.58,13.82,14.21,45663
12-Feb-14,14.92,15.27,14.23,14.34,55638
11-Feb-14,14.12,14.98,14.12,14.84,130053
10-Feb-14,13.76,14.10,13.68,14.06,54217
7-Feb-14,13.24,14.10,13.20,13.70,74358
6-Feb-14,13.00,13.79,13.00,13.25,44909
5-Feb-14,13.23,13.40,12.50,12.98,85273
4-Feb-14,13.52,13.61,13.10,13.32,30555
3-Feb-14,13.80,14.49,13.04,13.49,59736
31-Jan-14,13.78,14.00,13.69,13.79,45652
30-Jan-14,13.83,14.50,13.45,13.93,92186
29-Jan-14,13.32,13.97,13.32,13.77,91939
28-Jan-14,13.03,13.35,13.02,13.35,34996
27-Jan-14,13.18,13.50,13.00,13.07,40095
24-Jan-14,13.49,13.62,12.90,13.19,62778
23-Jan-14,13.31,13.76,13.23,13.62,77581
22-Jan-14,13.50,13.50,13.16,13.42,32672
21-Jan-14,13.46,13.63,13.37,13.48,46746
17-Jan-14,13.60,13.70,13.15,13.42,36541
16-Jan-14,13.74,13.74,13.46,13.59,21380
15-Jan-14,13.59,13.80,13.28,13.69,38532
14-Jan-14,13.34,13.98,13.07,13.71,87871
13-Jan-14,13.22,13.56,13.08,13.23,47766
10-Jan-14,13.02,13.21,12.90,13.21,86298
9-Jan-14,12.71,13.04,12.35,13.00,65452
8-Jan-14,12.77,12.80,12.11,12.71,122931
7-Jan-14,12.38,13.14,12.18,12.82,102921
6-Jan-14,11.77,12.89,11.77,12.28,160994
3-Jan-14,11.35,12.46,11.26,11.59,116502
2-Jan-14,12.23,13.17,11.01,11.29,265898
31-Dec-13,13.37,13.43,12.08,12.20,1221199
30-Dec-13,13.80,13.80,13.20,13.51,59326
27-Dec-13,14.45,14.45,13.75,13.90,46953
26-Dec-13,14.10,14.10,13.69,13.93,45910
24-Dec-13,14.48,14.48,13.46,13.78,77980
23-Dec-13,13.73,14.27,13.62,13.81,78355
20-Dec-13,13.59,14.05,13.27,13.74,100573
19-Dec-13,13.97,14.26,13.36,13.47,36949
18-Dec-13,13.48,14.60,13.06,14.02,87196
17-Dec-13,14.15,14.33,13.99,14.22,65965
16-Dec-13,13.88,14.92,13.75,14.30,103564
13-Dec-13,13.87,13.90,13.25,13.85,35209
12-Dec-13,13.91,13.94,12.72,13.81,25608
11-Dec-13,13.81,13.89,13.65,13.86,42711
10-Dec-13,13.76,14.00,13.31,13.66,61177
9-Dec-13,12.87,13.84,12.50,13.70,46424
6-Dec-13,12.79,12.98,12.54,12.83,20198
5-Dec-13,12.78,12.87,12.42,12.60,29362
4-Dec-13,13.44,13.44,12.67,12.81,55152
3-Dec-13,13.75,13.85,13.28,13.37,53039
2-Dec-13,13.75,13.85,13.55,13.76,58564
29-Nov-13,13.32,13.75,13.17,13.54,43914
27-Nov-13,12.42,13.24,12.41,13.20,69103
26-Nov-13,12.27,12.38,12.02,12.38,66335
25-Nov-13,12.63,12.63,12.26,12.28,23467
22-Nov-13,12.45,12.61,12.26,12.51,39520
21-Nov-13,13.03,13.03,12.39,12.49,67602
20-Nov-13,12.53,12.60,12.26,12.49,67390
19-Nov-13,12.60,12.62,12.20,12.39,87265
18-Nov-13,12.58,12.93,12.30,12.60,72720
15-Nov-13,12.36,12.90,12.15,12.51,60015
14-Nov-13,12.37,12.45,12.00,12.42,46145
13-Nov-13,12.01,12.58,12.01,12.35,65679
12-Nov-13,12.28,13.20,12.01,12.10,65899
11-Nov-13,12.44,12.44,12.05,12.28,52487
8-Nov-13,12.76,12.91,12.00,12.37,80011
7-Nov-13,13.26,13.37,12.76,12.77,130921
6-Nov-13,13.71,13.85,13.10,13.21,71475
5-Nov-13,13.24,13.66,13.00,13.58,54308
4-Nov-13,13.28,13.53,12.87,13.30,85104
1-Nov-13,12.83,13.80,12.62,13.28,61522
31-Oct-13,12.85,13.06,12.30,12.82,47958
30-Oct-13,13.04,13.20,12.50,12.85,45017
29-Oct-13,13.49,14.17,12.66,13.05,88111
28-Oct-13,12.62,13.20,11.91,13.11,243910
25-Oct-13,14.79,14.90,12.60,13.00,156685
24-Oct-13,15.35,15.66,14.67,14.77,56318
23-Oct-13,15.53,15.89,15.30,15.41,134950
22-Oct-13,15.71,16.24,15.31,15.62,114022
21-Oct-13,15.95,16.45,15.31,15.66,262015
18-Oct-13,14.96,16.33,14.86,15.69,159544
17-Oct-13,14.34,14.94,14.01,14.80,97249
16-Oct-13,13.87,14.50,13.81,14.41,72132
15-Oct-13,13.51,13.95,13.45,13.56,36870
14-Oct-13,14.36,14.39,13.34,13.47,111083
11-Oct-13,13.08,14.44,12.52,14.43,91698
10-Oct-13,12.60,13.24,12.50,13.09,47888
9-Oct-13,12.62,12.75,12.18,12.44,40618
8-Oct-13,11.81,13.49,11.81,12.59,88920
7-Oct-13,13.51,14.00,13.28,13.41,55888
4-Oct-13,12.64,13.80,12.50,13.63,135201
3-Oct-13,12.91,12.91,12.20,12.67,88503
2-Oct-13,12.89,12.99,12.41,12.79,92756
1-Oct-13,13.35,13.91,12.15,13.00,319762
30-Sep-13,11.10,13.94,10.77,13.41,979094
27-Sep-13,11.10,11.89,10.94,11.06,70161
26-Sep-13,9.86,11.18,9.86,11.10,153630
25-Sep-13,9.65,9.90,9.52,9.82,34286
24-Sep-13,9.82,9.82,9.55,9.66,26631
23-Sep-13,9.89,9.98,9.40,9.82,53627
20-Sep-13,9.88,9.91,9.55,9.89,111614
19-Sep-13,9.94,9.95,9.63,9.86,20512
18-Sep-13,9.65,9.98,9.53,9.93,55371
17-Sep-13,9.62,9.76,9.50,9.64,32413
16-Sep-13,9.69,9.72,9.51,9.63,24600
13-Sep-13,9.70,9.80,9.55,9.63,26456
12-Sep-13,9.92,9.92,9.56,9.65,41065
11-Sep-13,9.96,9.96,9.66,9.91,36632
10-Sep-13,9.86,9.97,9.56,9.86,51066
9-Sep-13,9.42,10.00,9.42,9.83,52871
