Date,Open,High,Low,Close,Volume
31-Dec-14,2.78,2.88,2.78,2.80,81649
30-Dec-14,2.76,2.82,2.72,2.80,333938
29-Dec-14,2.73,2.80,2.68,2.76,73292
26-Dec-14,2.68,2.76,2.68,2.70,21911
24-Dec-14,2.72,2.75,2.65,2.65,9427
23-Dec-14,2.68,2.78,2.66,2.74,120432
22-Dec-14,2.64,2.68,2.64,2.66,58465
19-Dec-14,2.65,2.70,2.65,2.65,44737
18-Dec-14,2.65,2.78,2.65,2.65,101852
17-Dec-14,2.67,2.68,2.63,2.65,27110
16-Dec-14,2.65,2.70,2.62,2.67,86124
15-Dec-14,2.65,2.69,2.64,2.64,41327
12-Dec-14,2.64,2.68,2.60,2.65,30002
11-Dec-14,2.62,2.76,2.62,2.68,60199
10-Dec-14,2.72,2.75,2.64,2.64,48521
9-Dec-14,2.66,2.75,2.59,2.71,61325
8-Dec-14,2.84,2.86,2.62,2.66,152046
5-Dec-14,2.75,2.83,2.72,2.77,125958
4-Dec-14,2.72,2.80,2.69,2.76,88253
3-Dec-14,2.57,2.72,2.53,2.70,137934
2-Dec-14,2.58,2.64,2.55,2.60,112417
1-Dec-14,2.55,2.58,2.52,2.55,165270
28-Nov-14,2.55,2.57,2.53,2.54,35438
26-Nov-14,2.57,2.59,2.54,2.57,25907
25-Nov-14,2.60,2.60,2.55,2.57,18229
24-Nov-14,2.52,2.60,2.48,2.57,83327
21-Nov-14,2.58,2.59,2.51,2.58,107249
20-Nov-14,2.51,2.57,2.47,2.56,55630
19-Nov-14,2.50,2.56,2.47,2.50,240210
18-Nov-14,2.42,2.49,2.42,2.45,73475
17-Nov-14,2.40,2.45,2.39,2.41,100612
14-Nov-14,2.42,2.45,2.36,2.45,34726
13-Nov-14,2.42,2.45,2.39,2.43,43800
12-Nov-14,2.38,2.44,2.35,2.40,88817
11-Nov-14,2.41,2.41,2.35,2.41,109986
10-Nov-14,2.37,2.40,2.34,2.36,94796
7-Nov-14,2.40,2.42,2.25,2.37,436640
6-Nov-14,2.43,2.45,2.38,2.38,86422
5-Nov-14,2.47,2.47,2.39,2.46,171472
4-Nov-14,2.51,2.51,2.41,2.45,167759
3-Nov-14,2.46,2.55,2.44,2.47,416419
31-Oct-14,2.36,2.48,2.33,2.36,625973
30-Oct-14,2.18,2.19,2.13,2.18,144152
29-Oct-14,2.18,2.19,2.15,2.19,135315
28-Oct-14,2.09,2.16,2.09,2.16,193346
27-Oct-14,2.10,2.14,2.08,2.10,95033
24-Oct-14,2.13,2.17,2.11,2.15,97484
23-Oct-14,2.17,2.19,2.15,2.15,117868
22-Oct-14,2.20,2.20,2.13,2.16,71643
21-Oct-14,2.17,2.20,2.14,2.15,196996
20-Oct-14,2.16,2.20,2.14,2.16,120685
17-Oct-14,2.16,2.22,2.16,2.17,117054
16-Oct-14,2.15,2.18,2.14,2.16,77026
15-Oct-14,2.21,2.21,2.12,2.16,295777
14-Oct-14,2.23,2.26,2.19,2.23,62479
13-Oct-14,2.33,2.38,2.16,2.20,160571
10-Oct-14,2.33,2.39,2.33,2.34,104692
9-Oct-14,2.33,2.40,2.33,2.33,57517
8-Oct-14,2.37,2.37,2.33,2.33,44546
7-Oct-14,2.36,2.39,2.35,2.35,36318
6-Oct-14,2.43,2.43,2.35,2.38,47097
3-Oct-14,2.39,2.45,2.39,2.40,25783
2-Oct-14,2.39,2.45,2.38,2.40,23793
1-Oct-14,2.41,2.45,2.33,2.42,122931
30-Sep-14,2.48,2.55,2.42,2.44,55339
29-Sep-14,2.48,2.52,2.42,2.49,46429
26-Sep-14,2.50,2.54,2.42,2.48,104142
25-Sep-14,2.54,2.59,2.46,2.53,84663
24-Sep-14,2.59,2.59,2.51,2.58,40182
23-Sep-14,2.56,2.62,2.49,2.57,45623
22-Sep-14,2.68,2.69,2.56,2.57,73106
19-Sep-14,2.75,2.75,2.66,2.66,99486
18-Sep-14,2.66,2.72,2.59,2.72,163310
17-Sep-14,2.58,2.66,2.57,2.61,44292
16-Sep-14,2.44,2.63,2.43,2.57,176083
15-Sep-14,2.58,2.60,2.50,2.50,59155
12-Sep-14,2.60,2.70,2.55,2.58,97139
11-Sep-14,2.59,2.64,2.56,2.58,52562
10-Sep-14,2.65,2.75,2.58,2.65,80867
9-Sep-14,2.74,2.75,2.67,2.67,42694
8-Sep-14,2.80,2.83,2.73,2.77,130912
5-Sep-14,2.80,2.87,2.67,2.76,87563
4-Sep-14,3.04,3.04,2.78,2.80,374192
3-Sep-14,2.64,2.79,2.63,2.76,429255
2-Sep-14,2.45,2.63,2.44,2.62,147640
29-Aug-14,2.42,2.49,2.40,2.43,77962
28-Aug-14,2.41,2.41,2.39,2.40,18469
27-Aug-14,2.44,2.44,2.38,2.41,37518
26-Aug-14,2.48,2.52,2.41,2.42,83966
25-Aug-14,2.45,2.50,2.43,2.48,64045
22-Aug-14,2.44,2.50,2.42,2.44,46974
21-Aug-14,2.64,2.64,2.41,2.49,180557
20-Aug-14,2.61,2.66,2.53,2.61,70827
19-Aug-14,2.57,2.68,2.53,2.61,168707
18-Aug-14,2.43,2.54,2.42,2.51,64527
15-Aug-14,2.48,2.48,2.39,2.43,71185
14-Aug-14,2.41,2.49,2.39,2.47,78179
13-Aug-14,2.53,2.53,2.38,2.44,122136
12-Aug-14,2.50,2.59,2.46,2.50,215390
11-Aug-14,2.50,2.57,2.45,2.47,120838
8-Aug-14,2.38,2.49,2.36,2.48,161838
7-Aug-14,2.39,2.39,2.33,2.34,41163
6-Aug-14,2.36,2.38,2.33,2.37,98192
5-Aug-14,2.31,2.39,2.31,2.34,85473
4-Aug-14,2.33,2.39,2.23,2.29,83363
1-Aug-14,2.31,2.39,2.26,2.30,207541
31-Jul-14,2.16,2.19,2.12,2.15,85330
30-Jul-14,2.14,2.23,2.14,2.21,27234
29-Jul-14,2.25,2.25,2.13,2.14,86331
28-Jul-14,2.22,2.31,2.18,2.25,199678
25-Jul-14,2.10,2.27,2.08,2.22,186820
24-Jul-14,2.08,2.11,2.08,2.11,67080
23-Jul-14,2.07,2.10,2.06,2.10,44333
22-Jul-14,2.07,2.12,2.07,2.07,17223
21-Jul-14,2.12,2.12,2.08,2.09,22758
18-Jul-14,2.05,2.12,2.05,2.10,58322
17-Jul-14,2.08,2.10,2.06,2.07,23154
16-Jul-14,2.05,2.13,2.05,2.11,93049
15-Jul-14,2.05,2.09,2.04,2.04,73181
14-Jul-14,2.08,2.10,2.04,2.08,104164
11-Jul-14,2.08,2.11,2.05,2.05,57257
10-Jul-14,2.07,2.10,2.04,2.08,35721
9-Jul-14,2.11,2.12,2.05,2.08,67975
8-Jul-14,2.15,2.18,2.10,2.13,52450
7-Jul-14,2.20,2.20,2.15,2.17,90927
3-Jul-14,2.14,2.25,2.13,2.23,162290
2-Jul-14,2.11,2.17,2.11,2.14,22511
1-Jul-14,2.10,2.18,2.10,2.17,53597
30-Jun-14,2.10,2.17,2.09,2.14,33031
27-Jun-14,2.13,2.20,2.12,2.16,38524
26-Jun-14,2.20,2.20,2.12,2.16,44697
25-Jun-14,2.06,2.20,2.06,2.18,124116
24-Jun-14,2.08,2.13,2.06,2.07,54572
23-Jun-14,2.10,2.14,2.09,2.09,61813
20-Jun-14,2.10,2.14,2.09,2.12,122615
19-Jun-14,2.11,2.13,2.10,2.10,40725
18-Jun-14,2.12,2.15,2.10,2.11,78590
17-Jun-14,2.14,2.17,2.10,2.11,42748
16-Jun-14,2.11,2.18,2.11,2.13,32766
13-Jun-14,2.13,2.15,2.12,2.14,31982
12-Jun-14,2.11,2.19,2.11,2.13,28528
11-Jun-14,2.12,2.15,2.12,2.14,29905
10-Jun-14,2.15,2.16,2.13,2.13,38894
9-Jun-14,2.15,2.16,2.13,2.14,69887
6-Jun-14,2.15,2.18,2.14,2.15,43566
5-Jun-14,2.19,2.21,2.15,2.16,42127
4-Jun-14,2.15,2.22,2.14,2.22,43339
3-Jun-14,2.18,2.19,2.15,2.16,28075
2-Jun-14,2.19,2.22,2.16,2.19,28918
30-May-14,2.22,2.24,2.19,2.20,45363
29-May-14,2.19,2.24,2.18,2.24,49063
28-May-14,2.20,2.22,2.16,2.20,45627
27-May-14,2.17,2.22,2.15,2.20,21811
23-May-14,2.16,2.19,2.13,2.16,164914
22-May-14,2.20,2.20,2.15,2.15,16532
21-May-14,2.16,2.20,2.16,2.16,22982
20-May-14,2.19,2.20,2.16,2.18,23470
19-May-14,2.16,2.19,2.15,2.17,23596
16-May-14,2.16,2.18,2.15,2.15,36169
15-May-14,2.16,2.20,2.16,2.17,52273
14-May-14,2.21,2.21,2.16,2.17,30164
13-May-14,2.22,2.26,2.16,2.18,20230
12-May-14,2.19,2.26,2.19,2.25,31749
9-May-14,2.16,2.28,2.16,2.23,136523
8-May-14,2.17,2.21,2.14,2.17,108675
7-May-14,2.19,2.21,2.16,2.20,28028
6-May-14,2.16,2.22,2.16,2.19,121768
5-May-14,2.14,2.19,2.14,2.16,73667
2-May-14,2.13,2.17,2.11,2.14,29640
1-May-14,2.20,2.21,2.13,2.15,75819
30-Apr-14,2.12,2.18,2.11,2.16,56519
29-Apr-14,2.16,2.18,2.15,2.17,16249
28-Apr-14,2.18,2.18,2.13,2.16,77476
25-Apr-14,2.22,2.22,2.18,2.19,15288
24-Apr-14,2.22,2.22,2.18,2.22,23782
23-Apr-14,2.24,2.24,2.19,2.21,10281
22-Apr-14,2.16,2.25,2.15,2.22,36520
21-Apr-14,2.22,2.22,2.15,2.16,127537
17-Apr-14,2.26,2.29,2.24,2.27,82705
16-Apr-14,2.22,2.29,2.21,2.27,34724
15-Apr-14,2.23,2.25,2.21,2.25,21013
14-Apr-14,2.28,2.31,2.25,2.27,32134
11-Apr-14,2.29,2.31,2.24,2.28,8818
10-Apr-14,2.26,2.30,2.21,2.29,50368
9-Apr-14,2.30,2.32,2.27,2.30,19591
8-Apr-14,2.24,2.31,2.24,2.30,45313
7-Apr-14,2.22,2.28,2.22,2.28,33743
4-Apr-14,2.27,2.27,2.21,2.24,40459
3-Apr-14,2.21,2.27,2.21,2.27,20666
2-Apr-14,2.26,2.26,2.16,2.24,38242
1-Apr-14,2.20,2.22,2.15,2.22,83297
31-Mar-14,2.20,2.24,2.20,2.20,23502
28-Mar-14,2.21,2.25,2.20,2.20,30078
27-Mar-14,2.22,2.27,2.21,2.21,40633
26-Mar-14,2.24,2.28,2.22,2.25,58874
25-Mar-14,2.26,2.29,2.25,2.27,44275
24-Mar-14,2.29,2.31,2.26,2.28,64515
21-Mar-14,2.31,2.32,2.25,2.25,185604
20-Mar-14,2.30,2.33,2.28,2.28,27878
19-Mar-14,2.29,2.33,2.27,2.28,45819
18-Mar-14,2.27,2.34,2.27,2.31,22667
17-Mar-14,2.27,2.31,2.27,2.27,30839
14-Mar-14,2.29,2.31,2.27,2.27,11950
13-Mar-14,2.34,2.35,2.27,2.28,34991
12-Mar-14,2.30,2.37,2.27,2.35,67064
11-Mar-14,2.37,2.37,2.30,2.33,38574
10-Mar-14,2.27,2.35,2.26,2.34,107218
7-Mar-14,2.26,2.29,2.25,2.26,59669
6-Mar-14,2.30,2.30,2.26,2.27,52113
5-Mar-14,2.28,2.30,2.26,2.29,78127
4-Mar-14,2.36,2.37,2.30,2.30,54876
3-Mar-14,2.26,2.33,2.25,2.31,206262
28-Feb-14,2.34,2.34,2.28,2.29,111041
27-Feb-14,2.35,2.39,2.33,2.34,83928
26-Feb-14,2.35,2.41,2.35,2.37,97912
25-Feb-14,2.37,2.42,2.35,2.35,72567
24-Feb-14,2.35,2.40,2.35,2.39,60968
21-Feb-14,2.42,2.42,2.35,2.36,78543
20-Feb-14,2.37,2.44,2.36,2.39,56215
19-Feb-14,2.39,2.44,2.38,2.40,67221
18-Feb-14,2.45,2.45,2.41,2.44,69915
14-Feb-14,2.47,2.48,2.39,2.42,46494
13-Feb-14,2.43,2.49,2.43,2.45,19410
12-Feb-14,2.48,2.48,2.44,2.44,63199
11-Feb-14,2.44,2.51,2.43,2.43,33595
10-Feb-14,2.43,2.50,2.38,2.43,74169
7-Feb-14,2.43,2.49,2.37,2.41,17739
6-Feb-14,2.35,2.48,2.35,2.44,66572
5-Feb-14,2.39,2.39,2.32,2.34,36252
4-Feb-14,2.41,2.45,2.33,2.38,58753
3-Feb-14,2.44,2.49,2.35,2.42,86169
31-Jan-14,2.41,2.50,2.40,2.44,43164
30-Jan-14,2.38,2.53,2.38,2.45,83052
29-Jan-14,2.32,2.36,2.32,2.35,28249
28-Jan-14,2.33,2.35,2.32,2.34,55695
27-Jan-14,2.32,2.34,2.32,2.32,27539
24-Jan-14,2.38,2.41,2.31,2.33,50017
23-Jan-14,2.41,2.41,2.38,2.38,20422
22-Jan-14,2.40,2.46,2.38,2.42,39541
21-Jan-14,2.42,2.43,2.37,2.38,44562
17-Jan-14,2.46,2.50,2.41,2.42,38053
16-Jan-14,2.44,2.50,2.43,2.48,46959
15-Jan-14,2.44,2.50,2.40,2.46,80532
14-Jan-14,2.43,2.46,2.38,2.46,57839
13-Jan-14,2.38,2.41,2.36,2.40,57147
10-Jan-14,2.42,2.43,2.36,2.38,78488
9-Jan-14,2.47,2.51,2.41,2.44,62701
8-Jan-14,2.53,2.54,2.48,2.48,31276
7-Jan-14,2.51,2.60,2.51,2.52,45406
6-Jan-14,2.56,2.56,2.52,2.53,27422
3-Jan-14,2.64,2.67,2.58,2.58,42353
2-Jan-14,2.63,2.63,2.48,2.62,62848
31-Dec-13,2.60,2.64,2.57,2.61,110815
30-Dec-13,2.52,2.59,2.52,2.56,33191
27-Dec-13,2.50,2.59,2.49,2.55,140413
26-Dec-13,2.52,2.56,2.49,2.52,108006
24-Dec-13,2.47,2.56,2.47,2.55,75946
23-Dec-13,2.46,2.50,2.44,2.49,98562
20-Dec-13,2.36,2.45,2.35,2.45,106511
19-Dec-13,2.38,2.43,2.35,2.40,69950
18-Dec-13,2.38,2.46,2.34,2.39,98359
17-Dec-13,2.31,2.37,2.31,2.35,114849
16-Dec-13,2.31,2.37,2.30,2.33,51814
13-Dec-13,2.34,2.34,2.27,2.30,96639
12-Dec-13,2.23,2.34,2.23,2.30,33052
11-Dec-13,2.29,2.32,2.21,2.30,63499
10-Dec-13,2.27,2.31,2.25,2.31,65207
9-Dec-13,2.26,2.33,2.20,2.29,46583
6-Dec-13,2.28,2.31,2.21,2.28,378427
5-Dec-13,2.29,2.32,2.26,2.28,28506
4-Dec-13,2.31,2.31,2.25,2.28,48996
3-Dec-13,2.31,2.33,2.29,2.29,15536
2-Dec-13,2.35,2.35,2.28,2.31,45324
29-Nov-13,2.29,2.40,2.29,2.36,61095
27-Nov-13,2.28,2.34,2.28,2.30,42300
26-Nov-13,2.30,2.38,2.29,2.30,58587
25-Nov-13,2.37,2.38,2.30,2.30,63455
22-Nov-13,2.36,2.39,2.33,2.34,39153
21-Nov-13,2.26,2.36,2.25,2.34,67809
20-Nov-13,2.25,2.32,2.25,2.27,49850
19-Nov-13,2.32,2.36,2.26,2.27,61693
18-Nov-13,2.40,2.41,2.32,2.32,49210
15-Nov-13,2.37,2.41,2.37,2.39,28075
14-Nov-13,2.40,2.41,2.38,2.39,42349
13-Nov-13,2.35,2.44,2.33,2.38,27230
12-Nov-13,2.36,2.40,2.35,2.37,23026
11-Nov-13,2.37,2.40,2.35,2.37,32383
8-Nov-13,2.42,2.45,2.41,2.41,27911
7-Nov-13,2.45,2.45,2.38,2.44,82252
6-Nov-13,2.47,2.50,2.44,2.46,67799
5-Nov-13,2.37,2.49,2.35,2.47,157271
4-Nov-13,2.30,2.38,2.30,2.36,125808
1-Nov-13,2.25,2.30,2.20,2.30,76290
31-Oct-13,2.22,2.27,2.10,2.26,307775
30-Oct-13,2.22,2.22,2.17,2.20,89896
29-Oct-13,2.16,2.23,2.16,2.23,97805
28-Oct-13,2.21,2.23,2.17,2.18,90344
25-Oct-13,2.22,2.23,2.18,2.22,95710
24-Oct-13,2.22,2.25,2.19,2.23,136418
23-Oct-13,2.22,2.27,2.21,2.23,107970
22-Oct-13,2.27,2.27,2.20,2.23,86944
21-Oct-13,2.27,2.29,2.26,2.27,32222
18-Oct-13,2.30,2.30,2.25,2.29,27338
17-Oct-13,2.22,2.31,2.19,2.30,560003
16-Oct-13,2.22,2.28,2.22,2.24,25976
15-Oct-13,2.28,2.33,2.21,2.22,143473
14-Oct-13,2.29,2.29,2.25,2.29,16892
11-Oct-13,2.29,2.30,2.28,2.29,19060
10-Oct-13,2.32,2.32,2.25,2.27,55639
9-Oct-13,2.33,2.35,2.27,2.30,178129
8-Oct-13,2.35,2.35,2.32,2.34,20607
7-Oct-13,2.37,2.37,2.32,2.36,71464
4-Oct-13,2.38,2.44,2.37,2.41,24064
3-Oct-13,2.40,2.44,2.37,2.39,39884
2-Oct-13,2.45,2.46,2.39,2.43,47208
1-Oct-13,2.33,2.49,2.31,2.48,116324
30-Sep-13,2.33,2.34,2.30,2.34,153016
27-Sep-13,2.34,2.36,2.31,2.35,13859
26-Sep-13,2.34,2.40,2.32,2.37,62955
25-Sep-13,2.37,2.40,2.32,2.35,42634
24-Sep-13,2.30,2.39,2.30,2.34,71854
23-Sep-13,2.31,2.34,2.30,2.31,45905
20-Sep-13,2.33,2.35,2.31,2.33,62994
19-Sep-13,2.35,2.36,2.33,2.33,30214
18-Sep-13,2.36,2.38,2.34,2.36,43245
17-Sep-13,2.35,2.42,2.33,2.38,65640
16-Sep-13,2.40,2.41,2.33,2.34,29033
13-Sep-13,2.41,2.43,2.38,2.40,15443
12-Sep-13,2.42,2.44,2.40,2.42,43835
11-Sep-13,2.43,2.44,2.40,2.42,22641
10-Sep-13,2.38,2.46,2.36,2.43,70862
9-Sep-13,2.29,2.38,2.29,2.38,76385
6-Sep-13,2.33,2.33,2.28,2.33,63975
5-Sep-13,2.33,2.36,2.32,2.32,80647
