Date,Open,High,Low,Close,Volume
31-Dec-14,24.39,24.50,24.03,24.24,17961
30-Dec-14,24.12,24.32,24.12,24.32,4625
29-Dec-14,24.15,24.15,23.88,24.02,8867
26-Dec-14,24.29,24.29,24.25,24.25,712
24-Dec-14,24.25,24.25,24.16,24.16,1640
23-Dec-14,25.03,25.03,24.50,24.50,1703
22-Dec-14,25.79,25.79,24.63,24.82,7550
19-Dec-14,25.67,25.67,25.33,25.33,741
18-Dec-14,25.28,25.90,25.23,25.90,17961
17-Dec-14,25.09,25.25,24.19,24.38,6020
16-Dec-14,25.48,25.48,23.70,24.94,5515
15-Dec-14,24.46,26.09,23.14,24.97,136615
12-Dec-14,24.38,26.97,22.97,24.89,169578
11-Dec-14,29.57,30.51,29.57,30.46,2320
10-Dec-14,30.96,30.96,30.05,30.31,5244
9-Dec-14,31.00,31.54,31.00,31.54,3110
8-Dec-14,32.00,32.00,30.88,31.69,6999
5-Dec-14,32.20,32.20,32.04,32.06,4486
4-Dec-14,32.94,32.95,32.92,32.92,473
3-Dec-14,33.81,33.81,33.40,33.40,8100
2-Dec-14,32.47,33.40,32.35,33.33,7595
1-Dec-14,33.41,33.52,33.05,33.05,1205
28-Nov-14,33.83,33.83,33.83,33.83,1000
25-Nov-14,34.50,34.50,33.30,33.75,5196
24-Nov-14,34.33,34.35,33.91,34.07,4550
21-Nov-14,33.80,33.92,33.40,33.40,4846
20-Nov-14,32.63,32.63,32.63,32.63,683
19-Nov-14,33.22,33.22,32.89,32.89,3900
18-Nov-14,33.51,33.51,33.00,33.10,21841
17-Nov-14,32.00,34.04,32.00,33.26,4607
14-Nov-14,31.27,31.36,31.00,31.00,2926
13-Nov-14,30.98,31.33,30.93,30.93,38514
12-Nov-14,29.66,30.99,29.66,30.60,1568
11-Nov-14,28.73,29.13,28.65,28.65,2830
10-Nov-14,29.67,29.68,29.67,29.68,350
7-Nov-14,28.39,28.39,28.35,28.35,470
6-Nov-14,29.53,29.53,28.86,28.86,776
5-Nov-14,29.08,29.08,29.08,29.08,224
4-Nov-14,30.69,30.69,29.57,29.60,4892
3-Nov-14,30.47,31.07,30.47,30.70,6808
31-Oct-14,30.90,30.90,30.90,30.90,710
30-Oct-14,30.76,30.76,30.49,30.49,7289
28-Oct-14,28.42,29.21,28.28,29.21,6535
27-Oct-14,28.39,28.53,27.92,28.24,8600
24-Oct-14,29.85,30.00,29.61,29.65,2905
23-Oct-14,28.38,29.97,28.35,29.96,26275
22-Oct-14,27.48,27.70,27.48,27.70,12275
21-Oct-14,28.00,28.38,28.00,28.38,3085
20-Oct-14,26.00,26.45,26.00,26.00,4904
17-Oct-14,25.85,25.85,25.21,25.21,3914
16-Oct-14,23.22,24.95,23.22,24.95,15982
15-Oct-14,20.75,24.55,20.38,23.90,23096
14-Oct-14,24.25,24.25,22.05,22.37,24155
13-Oct-14,24.42,24.99,24.42,24.99,2201
10-Oct-14,26.05,26.05,24.66,24.66,37835
9-Oct-14,28.76,28.76,27.17,27.17,1250
8-Oct-14,27.65,28.02,27.50,27.71,2511
7-Oct-14,27.82,28.03,27.78,27.78,1115
6-Oct-14,28.08,28.08,27.60,27.63,8640
3-Oct-14,27.59,27.59,27.35,27.50,30734
2-Oct-14,26.37,27.01,25.97,25.97,3312
1-Oct-14,26.98,26.98,25.64,26.16,21198
