Date,Open,High,Low,Close,Volume
24-Dec-14,29.99,29.99,28.50,29.10,600
18-Dec-14,28.66,28.79,28.59,28.59,1001
17-Dec-14,28.45,28.45,28.45,28.45,200
16-Dec-14,28.73,28.73,27.78,28.38,13962
15-Dec-14,27.75,29.81,27.75,28.80,144540
12-Dec-14,28.60,28.60,28.01,28.27,2020
11-Dec-14,28.15,29.14,28.00,28.92,57067
10-Dec-14,28.59,28.59,28.03,28.15,300
9-Dec-14,28.99,29.18,27.98,28.41,78071
8-Dec-14,29.13,29.13,29.13,29.13,200
4-Dec-14,27.76,27.76,27.76,27.76,350
1-Dec-14,29.20,29.20,29.20,29.20,300
26-Nov-14,27.80,27.94,27.75,27.75,886
25-Nov-14,27.75,27.75,27.75,27.75,776
21-Nov-14,27.80,28.03,27.75,27.79,12400
19-Nov-14,27.97,27.97,27.75,27.75,865
18-Nov-14,28.01,28.01,27.98,27.98,365
12-Nov-14,28.02,28.02,27.91,27.91,475
7-Nov-14,27.87,28.07,27.75,27.75,2226
4-Nov-14,27.77,27.77,27.77,27.77,100
3-Nov-14,27.99,28.50,27.80,28.06,2101
30-Oct-14,27.76,27.76,27.76,27.76,300
29-Oct-14,28.75,28.75,27.77,27.77,350
28-Oct-14,27.76,27.76,27.75,27.75,3120
24-Oct-14,28.16,28.16,28.16,28.16,300
21-Oct-14,28.15,28.15,27.70,27.70,1293
16-Oct-14,27.50,27.62,27.50,27.62,903
15-Oct-14,27.50,27.50,27.50,27.50,734
14-Oct-14,27.21,27.70,27.21,27.38,1509
13-Oct-14,27.35,27.35,27.35,27.35,3650
10-Oct-14,27.31,27.31,27.30,27.30,200
9-Oct-14,27.34,27.55,27.26,27.26,4090
8-Oct-14,27.60,27.60,27.41,27.50,1518
7-Oct-14,27.35,27.73,27.26,27.53,6350
6-Oct-14,27.24,27.66,27.24,27.31,1510
3-Oct-14,27.32,27.79,27.32,27.50,3273
2-Oct-14,27.32,27.78,27.30,27.46,2720
1-Oct-14,27.40,27.78,27.28,27.33,2343
30-Sep-14,27.67,27.75,27.67,27.70,1649
29-Sep-14,28.00,28.03,27.52,27.52,19217
26-Sep-14,28.15,28.65,27.76,27.88,42866
25-Sep-14,28.32,28.60,28.04,28.20,12249
24-Sep-14,28.30,28.58,28.10,28.10,10866
23-Sep-14,28.66,28.66,28.13,28.45,3079
22-Sep-14,28.30,28.60,28.26,28.52,10505
18-Sep-14,28.29,28.41,28.29,28.41,3586
17-Sep-14,28.59,28.94,28.57,28.94,17885
16-Sep-14,28.00,29.36,28.00,28.75,19591
15-Sep-14,27.99,28.40,27.88,28.10,33524
12-Sep-14,28.05,28.27,27.66,27.66,6228
11-Sep-14,28.16,28.40,28.16,28.40,1400
10-Sep-14,28.16,28.16,28.16,28.16,100
9-Sep-14,28.20,28.35,27.80,28.11,6300
8-Sep-14,28.08,28.14,27.93,27.93,3138
5-Sep-14,28.30,28.68,27.60,27.80,32700
4-Sep-14,28.32,29.50,28.30,28.86,25704
3-Sep-14,29.50,29.56,28.02,28.28,35443
2-Sep-14,29.03,31.26,29.02,29.30,84202
29-Aug-14,29.20,29.87,28.73,28.98,56002
28-Aug-14,28.45,31.50,28.40,29.54,65562
27-Aug-14,28.15,28.99,28.01,28.60,44654
26-Aug-14,27.87,28.38,27.87,28.38,43420
25-Aug-14,28.08,28.30,27.99,27.99,42431
22-Aug-14,27.88,28.25,27.71,28.03,68814
21-Aug-14,28.00,28.08,27.80,27.95,26000
20-Aug-14,28.10,28.17,27.88,27.91,6604
19-Aug-14,27.88,28.07,27.76,28.05,21300
18-Aug-14,27.85,28.10,27.50,28.05,61500
15-Aug-14,27.84,28.50,27.81,28.03,37025
14-Aug-14,27.88,28.08,27.82,27.82,25825
13-Aug-14,27.85,28.15,27.83,28.08,22900
12-Aug-14,27.83,28.09,27.79,28.03,36183
11-Aug-14,27.70,28.10,27.55,28.04,33565
7-Aug-14,27.51,27.51,27.50,27.50,1000
28-Jul-14,27.50,27.50,27.50,27.50,699
25-Jul-14,27.01,27.01,27.01,27.01,375
24-Jul-14,27.00,27.01,27.00,27.00,1205
23-Jul-14,26.57,26.57,26.57,26.57,100
22-Jul-14,26.70,26.75,26.70,26.75,2100
18-Jul-14,26.63,26.70,26.25,26.70,3423
17-Jul-14,26.60,26.74,26.60,26.65,1700
