Date,Open,High,Low,Close,Volume
31-Dec-14,43.60,43.60,42.83,43.02,83140
30-Dec-14,43.38,43.93,43.26,43.47,48092
29-Dec-14,43.06,43.85,43.06,43.54,53023
26-Dec-14,42.96,43.49,42.79,42.91,39911
24-Dec-14,42.84,43.24,42.43,42.84,82242
23-Dec-14,42.93,43.32,42.49,42.87,103790
22-Dec-14,42.65,42.87,42.09,42.83,48705
19-Dec-14,42.66,42.80,42.15,42.50,217688
18-Dec-14,42.64,43.00,42.27,42.83,56376
17-Dec-14,41.11,42.27,40.65,42.01,82157
16-Dec-14,41.02,42.02,40.24,41.08,124134
15-Dec-14,41.92,42.19,41.01,41.34,112824
12-Dec-14,41.92,42.34,41.21,41.86,95338
11-Dec-14,42.18,42.97,42.05,42.38,86149
10-Dec-14,43.55,43.75,41.89,41.96,70555
9-Dec-14,42.16,43.93,42.02,43.70,93913
8-Dec-14,42.82,43.81,42.57,42.79,60834
5-Dec-14,42.17,43.56,42.17,43.06,67236
4-Dec-14,41.90,42.21,41.49,42.08,66750
3-Dec-14,41.25,42.08,41.25,41.91,62112
2-Dec-14,40.69,41.71,40.69,41.32,48299
1-Dec-14,41.24,41.24,40.47,40.50,73584
28-Nov-14,41.89,42.06,41.16,41.19,26859
26-Nov-14,41.63,42.17,41.54,42.06,54131
25-Nov-14,41.34,41.58,41.16,41.54,45532
24-Nov-14,40.84,41.26,40.84,41.20,134579
21-Nov-14,41.78,41.81,40.72,40.83,64713
20-Nov-14,40.97,41.46,40.83,41.32,84867
19-Nov-14,42.09,42.09,41.10,41.19,79026
18-Nov-14,42.61,42.76,42.21,42.24,39194
17-Nov-14,42.97,42.97,42.33,42.47,65566
14-Nov-14,43.47,43.87,43.13,43.16,60663
13-Nov-14,43.71,44.05,43.19,43.38,84847
12-Nov-14,42.79,43.83,42.79,43.63,83796
11-Nov-14,43.00,43.19,42.69,43.01,85182
10-Nov-14,43.05,43.33,42.87,43.00,90109
7-Nov-14,43.21,43.27,42.72,43.00,118589
6-Nov-14,43.55,43.80,42.81,43.00,156363
5-Nov-14,43.61,43.77,43.06,43.31,49581
4-Nov-14,42.63,43.38,42.41,43.20,46063
3-Nov-14,43.22,43.56,41.94,42.88,80797
31-Oct-14,43.14,43.86,43.06,43.22,130472
30-Oct-14,42.86,43.08,42.27,42.76,89173
29-Oct-14,42.69,43.33,41.57,43.12,106324
28-Oct-14,41.36,42.62,41.18,42.59,88985
27-Oct-14,40.81,41.47,40.69,41.30,65934
24-Oct-14,40.99,41.28,40.64,40.80,48936
23-Oct-14,39.57,41.19,39.24,40.93,97456
22-Oct-14,39.79,39.83,38.42,39.08,59448
21-Oct-14,39.22,39.92,39.08,39.61,53273
20-Oct-14,38.65,39.26,38.59,38.92,72479
17-Oct-14,39.69,39.69,38.56,38.75,97479
16-Oct-14,37.86,39.42,37.86,39.10,65370
15-Oct-14,38.91,39.62,37.52,38.40,153249
14-Oct-14,38.65,39.58,38.65,39.29,80135
13-Oct-14,37.68,38.88,37.68,38.31,68352
10-Oct-14,37.84,38.67,37.73,37.77,87624
9-Oct-14,38.97,38.97,38.02,38.10,126416
8-Oct-14,38.17,39.24,38.04,39.08,83156
7-Oct-14,38.00,38.46,37.97,38.30,98119
6-Oct-14,38.94,38.94,38.17,38.26,47432
3-Oct-14,38.87,39.20,38.78,38.90,86351
2-Oct-14,37.98,38.56,37.98,38.45,60770
1-Oct-14,38.39,38.96,38.13,38.15,130408
30-Sep-14,38.98,39.25,38.46,38.47,93676
29-Sep-14,38.36,39.22,38.36,38.91,69516
26-Sep-14,38.46,38.77,38.03,38.37,37549
25-Sep-14,39.17,39.33,38.30,38.41,55271
24-Sep-14,38.59,39.28,38.36,39.17,86230
23-Sep-14,38.47,38.81,38.15,38.58,120481
22-Sep-14,38.79,39.09,38.46,38.57,51166
19-Sep-14,39.65,40.32,38.87,38.93,479396
18-Sep-14,39.09,40.52,38.80,39.58,94711
17-Sep-14,38.82,39.46,38.55,38.88,76283
16-Sep-14,39.06,39.52,38.61,38.88,73399
15-Sep-14,39.89,39.89,38.88,39.13,65316
12-Sep-14,39.80,40.20,39.19,39.78,108184
11-Sep-14,39.28,40.20,39.28,40.00,125301
10-Sep-14,38.87,39.61,38.87,39.61,43181
9-Sep-14,39.58,39.97,38.74,38.95,83663
8-Sep-14,39.38,39.75,39.19,39.73,24754
5-Sep-14,39.40,39.53,39.15,39.40,64016
4-Sep-14,39.79,40.20,39.43,39.61,59048
3-Sep-14,39.51,39.89,39.39,39.77,67851
2-Sep-14,39.62,39.86,38.92,39.39,115260
29-Aug-14,39.48,39.49,39.11,39.38,30569
28-Aug-14,39.83,39.83,39.13,39.24,45939
27-Aug-14,40.18,40.27,39.91,40.04,38158
26-Aug-14,39.96,40.34,39.75,40.23,69717
25-Aug-14,40.32,40.61,39.71,39.84,97070
22-Aug-14,39.83,40.44,39.72,40.20,52496
21-Aug-14,38.82,40.10,38.54,39.93,83577
20-Aug-14,39.09,39.18,38.53,38.87,27096
19-Aug-14,39.02,39.40,39.02,39.23,27800
18-Aug-14,39.07,39.43,38.08,39.05,52613
15-Aug-14,39.65,39.65,38.23,38.68,122767
14-Aug-14,39.38,39.59,39.17,39.27,62483
13-Aug-14,39.31,39.75,39.07,39.50,75468
12-Aug-14,39.14,39.46,38.89,39.21,103849
11-Aug-14,39.29,39.73,39.20,39.30,82576
8-Aug-14,39.14,39.44,38.94,39.22,55860
7-Aug-14,39.64,39.86,38.82,39.14,36730
6-Aug-14,39.01,39.75,38.81,39.65,40834
5-Aug-14,39.12,39.85,39.01,39.31,32370
4-Aug-14,39.79,40.15,38.48,39.49,71916
1-Aug-14,40.33,40.33,39.33,39.65,70502
31-Jul-14,40.69,40.69,39.99,40.24,71466
30-Jul-14,40.17,40.78,40.05,40.69,50704
29-Jul-14,39.98,40.30,39.87,39.95,70541
28-Jul-14,40.20,40.42,39.39,40.03,70700
25-Jul-14,39.43,40.36,39.36,40.08,114417
24-Jul-14,38.60,40.11,38.60,39.64,105048
23-Jul-14,37.85,38.79,37.85,38.20,140587
22-Jul-14,37.89,38.28,37.50,37.83,96351
21-Jul-14,37.57,38.00,37.51,37.83,43927
18-Jul-14,37.78,38.36,37.59,37.77,162264
17-Jul-14,38.25,38.36,37.70,37.87,96180
16-Jul-14,38.94,38.94,38.18,38.31,53708
15-Jul-14,38.40,38.88,38.28,38.76,51370
14-Jul-14,38.65,39.01,38.30,38.32,46287
11-Jul-14,38.47,38.67,38.11,38.43,40915
10-Jul-14,38.48,38.92,38.40,38.62,91592
9-Jul-14,39.09,39.29,38.60,39.14,95802
8-Jul-14,39.36,39.76,38.74,38.89,51748
7-Jul-14,39.86,39.99,39.17,39.50,60937
3-Jul-14,39.25,40.06,39.25,40.06,32681
2-Jul-14,40.03,40.37,39.01,39.15,74164
1-Jul-14,39.67,40.73,39.67,40.20,103358
30-Jun-14,39.63,39.88,38.87,39.63,108663
27-Jun-14,39.32,39.93,39.28,39.84,167188
26-Jun-14,39.62,39.77,38.90,39.66,48358
25-Jun-14,38.90,39.62,38.64,39.55,44361
24-Jun-14,39.52,40.18,39.20,39.20,96319
23-Jun-14,40.36,40.36,39.44,39.70,51422
