Date,Open,High,Low,Close,Volume
31-Dec-14,24.55,24.82,23.77,23.90,58368
30-Dec-14,24.53,24.91,24.29,24.48,26991
29-Dec-14,24.31,24.80,23.79,24.72,36422
26-Dec-14,24.39,24.69,24.02,24.39,38376
24-Dec-14,23.99,24.60,23.65,24.21,41821
23-Dec-14,24.31,24.54,23.66,23.93,47882
22-Dec-14,23.25,24.44,23.20,24.10,77108
19-Dec-14,23.78,24.16,23.10,23.24,247271
18-Dec-14,23.66,24.21,22.90,23.87,69960
17-Dec-14,22.67,23.39,22.32,23.33,79324
16-Dec-14,22.67,23.23,22.37,22.77,60990
15-Dec-14,23.55,23.79,22.49,22.81,74323
12-Dec-14,23.77,23.90,23.14,23.46,54083
11-Dec-14,23.92,24.62,23.56,24.19,58926
10-Dec-14,24.24,24.80,23.72,23.72,42771
9-Dec-14,22.95,24.89,22.17,24.76,59439
8-Dec-14,23.97,24.01,23.08,23.31,34596
5-Dec-14,23.86,24.33,23.86,24.13,43888
4-Dec-14,24.08,24.37,23.78,23.89,82578
3-Dec-14,23.49,24.30,22.67,24.18,73715
2-Dec-14,22.88,23.49,21.69,23.40,48060
1-Dec-14,23.04,23.32,22.59,22.82,37374
28-Nov-14,23.52,23.90,23.08,23.18,30580
26-Nov-14,22.96,23.64,22.78,23.45,40860
25-Nov-14,22.97,23.32,22.76,23.12,32933
24-Nov-14,22.50,23.14,22.33,23.08,34312
21-Nov-14,23.29,23.29,22.40,22.54,35289
20-Nov-14,21.98,23.05,21.69,22.84,26422
19-Nov-14,22.42,22.42,21.49,22.00,37495
18-Nov-14,22.38,22.56,22.15,22.54,38152
17-Nov-14,22.78,23.17,22.26,22.34,32263
14-Nov-14,23.25,23.26,22.85,22.89,60399
13-Nov-14,23.92,24.24,23.21,23.31,40807
12-Nov-14,23.20,24.03,23.20,23.97,54277
11-Nov-14,23.18,23.47,22.79,23.42,64023
10-Nov-14,23.72,23.72,23.07,23.23,96507
7-Nov-14,22.83,23.89,22.82,23.84,78585
6-Nov-14,23.30,23.47,22.83,23.38,60327
5-Nov-14,22.99,23.51,22.89,23.39,76603
4-Nov-14,22.30,22.98,21.81,22.77,69827
3-Nov-14,22.12,22.92,21.34,22.49,96167
31-Oct-14,22.71,23.03,20.51,21.99,178657
30-Oct-14,21.27,22.16,20.61,22.10,96832
29-Oct-14,22.94,23.26,20.50,21.46,300715
28-Oct-14,23.35,24.50,23.35,24.41,63899
27-Oct-14,22.33,23.25,22.16,23.18,36985
24-Oct-14,22.84,22.84,22.36,22.56,40104
23-Oct-14,22.32,22.88,21.93,22.84,47095
22-Oct-14,22.13,22.47,21.91,21.97,44935
21-Oct-14,22.68,22.68,21.97,22.17,45508
20-Oct-14,21.60,22.56,21.60,22.56,101080
17-Oct-14,22.70,22.87,21.74,21.82,62022
16-Oct-14,22.12,22.95,22.10,22.33,97498
15-Oct-14,21.48,22.91,21.12,22.55,87409
14-Oct-14,21.75,22.48,21.69,21.86,54123
13-Oct-14,21.11,21.74,20.92,21.48,60516
10-Oct-14,21.60,22.02,21.17,21.19,79374
9-Oct-14,22.63,22.63,21.57,21.75,56265
8-Oct-14,21.98,22.84,21.52,22.73,63202
7-Oct-14,22.71,22.87,22.06,22.13,46944
6-Oct-14,23.81,23.81,22.90,22.97,50171
3-Oct-14,24.19,24.25,23.73,23.79,35107
2-Oct-14,23.47,24.04,23.32,23.91,59466
1-Oct-14,23.22,23.78,23.02,23.39,79593
30-Sep-14,23.35,23.67,23.17,23.32,88620
29-Sep-14,23.49,24.15,23.26,23.39,74846
26-Sep-14,23.31,23.99,23.21,23.91,49112
25-Sep-14,23.61,24.01,22.92,23.20,70954
24-Sep-14,23.40,23.94,23.30,23.67,91652
23-Sep-14,23.35,23.66,23.35,23.46,71045
22-Sep-14,23.28,23.57,23.13,23.34,69858
19-Sep-14,23.67,23.76,23.13,23.51,117104
18-Sep-14,23.54,23.83,23.40,23.54,41160
17-Sep-14,23.30,23.70,23.24,23.40,54134
16-Sep-14,23.26,23.40,22.96,23.37,68166
15-Sep-14,23.95,23.95,22.94,23.32,85419
12-Sep-14,24.43,24.43,23.86,24.05,64494
11-Sep-14,23.54,24.52,23.54,24.46,64397
10-Sep-14,23.60,23.80,23.35,23.73,31517
9-Sep-14,23.43,23.80,23.17,23.48,49208
8-Sep-14,23.33,23.71,22.75,23.42,43861
5-Sep-14,23.35,23.53,23.01,23.42,24560
4-Sep-14,23.60,24.15,23.26,23.45,50991
3-Sep-14,23.61,23.67,23.28,23.49,49254
2-Sep-14,23.80,23.99,23.39,23.49,56255
29-Aug-14,23.26,23.70,23.03,23.65,45089
28-Aug-14,22.92,23.45,22.87,23.20,42562
27-Aug-14,23.36,23.41,22.94,23.17,44319
26-Aug-14,22.38,23.46,22.38,23.24,84621
25-Aug-14,22.35,22.81,22.07,22.37,74692
