Date,Open,High,Low,Close,Volume
31-Dec-14,11.74,11.74,11.59,11.73,4883
30-Dec-14,11.73,11.80,11.73,11.79,2468
29-Dec-14,11.86,11.86,11.73,11.73,1008
26-Dec-14,11.72,11.87,11.72,11.73,2008
24-Dec-14,11.90,11.90,11.66,11.72,4294
23-Dec-14,11.69,11.90,11.61,11.89,9149
22-Dec-14,11.98,12.05,11.75,11.75,8360
19-Dec-14,11.97,12.00,11.96,12.00,2878
18-Dec-14,12.00,12.10,12.00,12.10,1313
17-Dec-14,12.06,12.13,11.96,11.97,3975
16-Dec-14,12.06,12.12,11.96,11.96,5941
15-Dec-14,12.05,12.17,12.01,12.04,4575
12-Dec-14,12.05,12.25,11.98,12.09,3717
11-Dec-14,12.17,12.20,11.96,11.99,6163
10-Dec-14,12.24,12.24,12.24,12.24,309
9-Dec-14,12.16,12.20,12.16,12.20,1895
8-Dec-14,12.17,12.19,12.07,12.14,1226
5-Dec-14,12.15,12.18,12.06,12.17,8570
4-Dec-14,12.10,12.17,12.04,12.16,1596
3-Dec-14,12.01,12.22,12.00,12.09,7984
2-Dec-14,11.99,12.20,11.99,12.02,4597
1-Dec-14,12.26,12.26,12.11,12.11,2910
28-Nov-14,12.36,12.36,12.26,12.26,1200
26-Nov-14,12.36,12.36,12.36,12.36,112
25-Nov-14,12.27,12.27,12.27,12.27,417
24-Nov-14,12.21,12.30,12.21,12.30,2554
21-Nov-14,12.26,12.35,12.21,12.30,2935
20-Nov-14,12.20,12.33,12.15,12.20,5054
19-Nov-14,12.39,12.39,12.39,12.39,377
18-Nov-14,12.14,12.47,12.14,12.39,5464
17-Nov-14,12.15,12.21,12.14,12.14,2728
14-Nov-14,12.38,12.38,12.00,12.24,14400
13-Nov-14,12.32,12.40,12.25,12.26,6960
12-Nov-14,12.50,12.50,12.30,12.30,2748
11-Nov-14,12.57,12.57,12.32,12.50,1526
10-Nov-14,12.31,12.54,12.31,12.32,3264
7-Nov-14,12.40,12.50,12.23,12.25,5330
6-Nov-14,12.50,12.50,12.45,12.45,1363
4-Nov-14,12.31,12.83,12.26,12.50,9645
3-Nov-14,12.88,12.88,12.50,12.60,15182
31-Oct-14,12.76,12.91,12.29,12.55,5928
30-Oct-14,12.72,12.82,12.37,12.76,9655
29-Oct-14,12.46,12.83,12.40,12.72,5471
28-Oct-14,12.22,12.25,12.22,12.25,422
27-Oct-14,12.59,12.59,12.19,12.19,4257
24-Oct-14,12.40,12.53,12.17,12.33,3097
23-Oct-14,12.94,12.94,12.40,12.40,2945
22-Oct-14,12.95,12.95,12.28,12.57,5729
21-Oct-14,12.70,12.90,12.30,12.45,3912
20-Oct-14,12.23,12.41,12.14,12.19,4388
17-Oct-14,12.82,12.82,12.13,12.39,11343
16-Oct-14,12.52,12.78,12.43,12.45,9709
15-Oct-14,12.31,12.97,12.13,12.97,9167
14-Oct-14,12.58,12.60,12.07,12.29,5107
13-Oct-14,12.88,12.88,12.56,12.56,11615
10-Oct-14,12.67,12.99,12.50,12.88,19362
9-Oct-14,12.71,13.00,12.51,12.60,3721
8-Oct-14,12.70,13.06,12.60,12.65,4549
7-Oct-14,13.00,13.10,12.51,12.73,6229
6-Oct-14,13.05,13.13,13.00,13.01,2376
3-Oct-14,13.10,13.20,13.05,13.17,3164
2-Oct-14,13.05,13.29,13.00,13.02,2480
1-Oct-14,13.29,13.30,13.19,13.30,1854
30-Sep-14,13.21,13.30,13.20,13.30,2331
29-Sep-14,13.10,13.30,13.10,13.30,2286
26-Sep-14,13.24,13.30,13.23,13.30,10922
25-Sep-14,13.05,13.20,13.04,13.16,5110
24-Sep-14,13.22,13.25,13.00,13.25,5094
23-Sep-14,12.91,13.23,12.91,13.23,4701
22-Sep-14,13.05,13.14,12.87,13.04,20060
19-Sep-14,12.90,13.04,12.76,13.04,5463
18-Sep-14,12.59,12.93,12.59,12.78,5955
17-Sep-14,12.59,12.72,12.59,12.60,1297
16-Sep-14,12.59,12.72,12.59,12.68,3879
15-Sep-14,12.62,12.77,12.60,12.61,4042
12-Sep-14,12.59,12.83,12.59,12.60,12725
11-Sep-14,12.57,12.67,12.57,12.67,5608
10-Sep-14,12.93,12.93,12.75,12.76,3403
9-Sep-14,12.77,12.99,12.75,12.94,3497
8-Sep-14,12.81,12.85,12.75,12.75,1210
5-Sep-14,13.05,13.05,12.86,12.90,8262
4-Sep-14,13.15,13.15,13.00,13.00,3487
3-Sep-14,12.95,13.00,12.95,13.00,3493
2-Sep-14,13.00,13.01,12.90,12.94,3039
29-Aug-14,13.00,13.03,13.00,13.00,1119
27-Aug-14,13.00,13.02,12.93,12.93,450
26-Aug-14,12.90,12.90,12.90,12.90,430
25-Aug-14,13.04,13.04,12.88,13.04,1567
22-Aug-14,12.98,13.13,12.96,13.02,3505
21-Aug-14,12.95,13.06,12.86,12.94,3625
20-Aug-14,12.88,13.12,12.88,13.03,6357
19-Aug-14,12.86,13.12,12.86,12.88,7312
18-Aug-14,13.13,13.15,12.86,12.86,11687
15-Aug-14,12.97,12.98,12.97,12.98,1217
14-Aug-14,13.02,13.02,12.97,12.97,2761
13-Aug-14,12.99,13.08,12.97,13.04,2553
12-Aug-14,12.90,13.00,12.88,12.96,3748
11-Aug-14,13.15,13.15,12.96,12.96,2140
8-Aug-14,13.01,13.07,13.00,13.04,1100
7-Aug-14,13.09,13.15,13.02,13.04,1781
6-Aug-14,13.05,13.05,13.02,13.02,3132
5-Aug-14,13.11,13.11,13.01,13.09,2812
4-Aug-14,13.01,13.12,13.01,13.12,3795
1-Aug-14,13.09,13.09,13.01,13.01,6031
31-Jul-14,13.12,13.15,13.05,13.05,1742
30-Jul-14,13.20,13.25,13.01,13.11,4558
29-Jul-14,13.06,13.12,13.03,13.10,2030
28-Jul-14,13.06,13.20,13.03,13.20,2306
25-Jul-14,13.10,13.16,13.03,13.16,4604
24-Jul-14,13.01,13.20,13.01,13.03,5441
23-Jul-14,13.01,13.11,13.01,13.03,10752
22-Jul-14,13.01,13.22,13.01,13.02,5709
21-Jul-14,13.01,13.21,13.01,13.21,2578
18-Jul-14,13.21,13.35,13.10,13.11,4925
17-Jul-14,13.05,13.14,13.05,13.10,2807
16-Jul-14,13.10,13.42,13.10,13.19,9995
15-Jul-14,13.25,13.38,13.25,13.25,5761
14-Jul-14,13.32,13.45,13.32,13.40,5722
11-Jul-14,13.35,13.36,13.30,13.36,500
10-Jul-14,13.35,13.40,13.35,13.36,1145
9-Jul-14,13.38,13.40,13.35,13.36,2219
8-Jul-14,13.41,13.42,13.36,13.36,2550
7-Jul-14,13.35,13.35,13.35,13.35,905
3-Jul-14,13.35,13.50,13.35,13.50,1200
2-Jul-14,13.44,13.45,13.44,13.45,941
1-Jul-14,13.46,13.50,13.46,13.48,955
30-Jun-14,13.56,13.75,13.52,13.52,1327
27-Jun-14,13.44,13.59,13.44,13.59,1263
26-Jun-14,13.50,13.51,13.49,13.51,3492
25-Jun-14,13.36,13.49,13.36,13.38,1348
24-Jun-14,13.39,13.75,13.39,13.63,3598
23-Jun-14,13.40,13.50,13.40,13.48,4576
20-Jun-14,13.48,13.56,13.35,13.50,7870
19-Jun-14,13.47,13.75,13.45,13.75,2050
18-Jun-14,13.50,13.59,13.45,13.45,2220
17-Jun-14,13.39,13.48,13.39,13.45,2227
16-Jun-14,13.35,13.39,13.35,13.38,1063
13-Jun-14,13.40,13.42,13.38,13.42,2776
12-Jun-14,13.38,13.40,13.38,13.40,2006
11-Jun-14,13.35,13.47,13.35,13.47,867
10-Jun-14,13.55,13.55,13.35,13.35,5030
9-Jun-14,13.39,13.40,13.25,13.35,5683
6-Jun-14,13.68,13.68,13.38,13.39,1500
5-Jun-14,13.39,13.75,13.39,13.43,2928
4-Jun-14,13.48,13.80,13.48,13.57,5041
3-Jun-14,13.52,13.52,13.24,13.35,2153
2-Jun-14,13.06,13.45,13.06,13.45,702
30-May-14,13.20,13.40,13.20,13.40,2061
28-May-14,13.55,13.55,13.40,13.40,700
27-May-14,13.40,13.57,13.40,13.41,3697
23-May-14,13.50,13.53,13.11,13.38,1863
22-May-14,13.50,13.50,13.23,13.43,2057
21-May-14,13.58,13.58,13.52,13.52,611
20-May-14,13.12,13.58,13.12,13.55,3507
19-May-14,13.39,13.59,13.34,13.43,6583
16-May-14,13.19,13.32,13.19,13.32,2936
15-May-14,13.26,13.26,13.25,13.25,1467
14-May-14,13.30,13.62,13.15,13.20,4008
13-May-14,13.38,13.38,13.05,13.26,1863
12-May-14,13.34,13.40,13.25,13.25,8383
9-May-14,13.25,13.38,13.02,13.38,1781
8-May-14,13.20,13.20,13.00,13.03,3706
7-May-14,13.23,13.23,13.20,13.20,822
6-May-14,13.25,13.25,13.10,13.15,1124
5-May-14,13.09,13.25,13.08,13.22,6238
2-May-14,13.37,13.40,13.11,13.12,14488
1-May-14,13.27,13.37,13.25,13.37,1651
30-Apr-14,13.40,13.40,13.30,13.30,1378
29-Apr-14,13.30,13.30,13.26,13.26,3050
28-Apr-14,13.29,13.69,13.21,13.31,17573
25-Apr-14,13.28,13.29,13.11,13.28,3000
24-Apr-14,13.16,13.16,13.13,13.14,1207
23-Apr-14,13.05,13.25,13.05,13.20,5310
22-Apr-14,13.15,13.17,12.98,13.09,3632
21-Apr-14,13.18,13.29,12.90,13.24,39795
17-Apr-14,13.11,13.27,13.07,13.27,1765
16-Apr-14,13.20,13.20,13.12,13.12,1140
15-Apr-14,13.03,13.27,13.00,13.12,33705
14-Apr-14,13.10,13.10,13.00,13.01,3829
11-Apr-14,13.00,13.27,13.00,13.23,16753
10-Apr-14,13.32,13.34,13.09,13.28,2310
9-Apr-14,13.10,13.44,13.04,13.32,10587
8-Apr-14,13.07,13.24,13.07,13.24,685
7-Apr-14,13.06,13.38,13.05,13.05,4114
4-Apr-14,13.16,13.24,13.10,13.24,8030
3-Apr-14,13.10,13.10,13.10,13.10,230
2-Apr-14,13.18,13.18,13.18,13.18,100
1-Apr-14,13.21,13.24,13.00,13.08,1762
31-Mar-14,13.31,13.32,13.07,13.08,7778
27-Mar-14,13.13,13.30,13.00,13.16,3635
26-Mar-14,13.25,13.40,13.18,13.20,5449
25-Mar-14,13.18,13.82,13.16,13.35,48128
24-Mar-14,13.26,13.90,13.10,13.26,53870
21-Mar-14,13.25,13.60,13.00,13.00,9409
20-Mar-14,13.20,13.43,13.03,13.38,4951
19-Mar-14,13.02,13.22,13.02,13.22,1436
18-Mar-14,13.22,13.28,13.11,13.11,2841
17-Mar-14,13.00,13.20,13.00,13.20,2967
14-Mar-14,13.05,13.19,13.00,13.05,2872
13-Mar-14,13.24,13.24,13.09,13.20,2149
12-Mar-14,13.16,13.16,13.16,13.16,153
11-Mar-14,13.15,13.46,13.15,13.22,3274
10-Mar-14,13.42,13.84,13.16,13.22,5788
7-Mar-14,13.30,13.39,13.30,13.32,4362
6-Mar-14,13.30,13.38,13.25,13.38,2857
5-Mar-14,13.35,13.45,13.35,13.35,2406
4-Mar-14,13.30,13.42,13.25,13.41,2778
3-Mar-14,13.14,13.46,13.14,13.17,2038
28-Feb-14,13.19,13.30,13.16,13.28,1522
27-Feb-14,13.40,13.40,13.22,13.34,1221
26-Feb-14,13.18,13.47,13.18,13.40,5581
25-Feb-14,13.50,13.50,13.07,13.07,11248
24-Feb-14,13.17,13.43,12.79,13.08,28131
21-Feb-14,13.20,13.29,13.07,13.07,5167
20-Feb-14,13.34,13.38,13.02,13.22,2266
19-Feb-14,13.14,13.35,13.14,13.21,5081
18-Feb-14,13.28,13.28,13.07,13.07,2915
14-Feb-14,13.00,13.54,13.00,13.14,15399
13-Feb-14,13.00,13.23,12.98,13.02,24258
12-Feb-14,12.90,13.03,12.90,13.03,5715
11-Feb-14,13.01,13.30,12.80,12.83,14923
10-Feb-14,13.03,13.03,12.80,13.01,1566
7-Feb-14,13.04,13.10,12.91,13.02,1507
6-Feb-14,12.96,12.96,12.78,12.78,2136
5-Feb-14,13.00,13.11,12.83,13.07,3057
4-Feb-14,13.45,13.45,12.64,12.94,6021
3-Feb-14,12.62,13.40,12.62,13.39,14139
31-Jan-14,12.85,12.85,12.70,12.77,7316
30-Jan-14,12.95,12.95,12.80,12.85,3034
29-Jan-14,12.90,12.99,12.89,12.99,2961
28-Jan-14,13.22,13.22,12.79,12.79,1102
27-Jan-14,12.99,13.20,12.75,13.15,6657
24-Jan-14,13.50,13.50,12.91,12.99,3109
23-Jan-14,13.31,13.59,13.26,13.26,3436
22-Jan-14,13.23,13.46,13.16,13.31,4054
21-Jan-14,13.59,13.59,13.18,13.25,2063
17-Jan-14,13.25,13.54,12.89,13.54,12233
16-Jan-14,13.57,13.57,13.57,13.57,229
15-Jan-14,13.20,13.55,13.19,13.55,4403
14-Jan-14,13.15,13.26,12.88,13.26,2892
13-Jan-14,13.26,13.39,12.88,13.16,5407
10-Jan-14,13.74,13.81,13.04,13.15,4742
9-Jan-14,13.55,13.74,13.25,13.30,4729
8-Jan-14,13.57,13.60,13.15,13.20,2399
7-Jan-14,13.47,13.90,13.16,13.54,7964
6-Jan-14,13.04,13.86,13.04,13.47,3296
3-Jan-14,13.09,13.23,13.09,13.10,1293
2-Jan-14,13.20,13.62,13.00,13.09,4521
31-Dec-13,13.10,13.45,13.10,13.45,908
30-Dec-13,13.50,13.54,13.10,13.10,4235
27-Dec-13,13.56,13.75,13.09,13.36,2286
26-Dec-13,12.62,13.69,12.62,13.34,4372
24-Dec-13,13.72,13.72,12.54,12.54,2747
23-Dec-13,14.04,14.30,13.50,13.65,13825
20-Dec-13,11.82,14.30,11.82,14.30,83241
19-Dec-13,12.35,13.24,11.75,13.20,36340
18-Dec-13,11.83,12.31,11.52,11.86,20869
17-Dec-13,12.36,12.64,11.38,11.80,15195
16-Dec-13,13.00,13.00,12.18,12.41,16609
13-Dec-13,12.54,13.03,12.49,13.03,14195
12-Dec-13,13.01,13.18,12.34,12.98,28421
11-Dec-13,13.20,13.43,12.58,13.28,23080
10-Dec-13,13.92,13.99,12.91,13.54,36703
9-Dec-13,14.25,14.36,13.75,13.83,32260
6-Dec-13,14.46,14.60,14.25,14.25,5484
5-Dec-13,14.32,14.70,14.32,14.48,16879
4-Dec-13,13.88,14.50,13.80,14.25,30275
3-Dec-13,13.50,13.90,13.50,13.70,8745
2-Dec-13,13.07,13.62,13.07,13.49,9653
27-Nov-13,12.95,12.98,12.95,12.98,1179
26-Nov-13,12.95,12.95,12.90,12.93,1137
25-Nov-13,12.81,12.96,12.81,12.90,1142
22-Nov-13,12.93,12.98,12.76,12.76,1657
21-Nov-13,12.76,12.98,12.76,12.82,3120
20-Nov-13,12.81,12.99,12.76,12.77,2266
19-Nov-13,12.75,13.11,12.75,12.99,6893
18-Nov-13,12.42,13.95,12.25,12.34,8142
15-Nov-13,12.40,12.43,12.12,12.31,13916
14-Nov-13,12.15,12.47,12.14,12.23,8062
13-Nov-13,11.95,12.06,11.95,12.06,700
12-Nov-13,12.09,12.09,11.71,11.87,7903
11-Nov-13,11.23,12.48,11.23,12.06,5100
8-Nov-13,12.45,12.45,12.01,12.31,3650
7-Nov-13,11.63,12.84,11.63,12.49,1311
6-Nov-13,11.30,11.69,11.18,11.60,13674
5-Nov-13,11.13,11.16,11.11,11.16,4574
4-Nov-13,10.98,11.05,10.97,11.05,3850
1-Nov-13,10.99,10.99,10.92,10.95,4400
31-Oct-13,10.90,11.15,10.90,11.05,30658
30-Oct-13,10.85,10.89,10.85,10.89,6507
29-Oct-13,10.86,10.90,10.84,10.86,9733
28-Oct-13,10.77,10.88,10.77,10.80,5719
25-Oct-13,10.78,10.78,10.74,10.78,4223
24-Oct-13,10.71,10.83,10.71,10.82,1100
23-Oct-13,10.70,10.70,10.70,10.70,1000
22-Oct-13,10.88,10.88,10.68,10.68,8579
21-Oct-13,10.88,10.88,10.80,10.84,7347
18-Oct-13,10.77,10.84,10.75,10.83,5827
17-Oct-13,10.79,10.85,10.77,10.80,8042
16-Oct-13,10.77,10.79,10.77,10.79,500
15-Oct-13,10.89,10.89,10.78,10.78,1400
14-Oct-13,10.82,10.90,10.76,10.90,2835
11-Oct-13,10.84,10.84,10.76,10.76,1856
10-Oct-13,10.79,10.79,10.76,10.79,1624
9-Oct-13,10.71,10.79,10.71,10.75,1050
8-Oct-13,10.74,10.84,10.74,10.84,300
7-Oct-13,10.71,10.80,10.71,10.80,300
4-Oct-13,10.71,10.83,10.71,10.83,3920
