Date,Open,High,Low,Close,Volume
31-Dec-14,4.02,4.94,4.02,4.76,3397798
30-Dec-14,3.78,3.93,3.68,3.88,125291
29-Dec-14,3.90,3.92,3.70,3.85,159654
26-Dec-14,3.99,4.18,3.79,3.85,264449
24-Dec-14,3.63,3.90,3.61,3.85,265105
23-Dec-14,3.29,3.65,3.29,3.63,379272
22-Dec-14,3.14,3.47,3.06,3.22,208233
19-Dec-14,3.49,3.49,3.07,3.15,170928
18-Dec-14,3.29,3.49,3.26,3.44,76981
17-Dec-14,3.26,3.35,3.10,3.28,63229
16-Dec-14,3.08,3.23,3.06,3.21,60314
15-Dec-14,2.81,3.04,2.81,3.04,107179
12-Dec-14,2.90,2.95,2.81,2.90,38235
11-Dec-14,2.92,3.04,2.88,2.96,42954
10-Dec-14,3.02,3.07,2.92,2.96,19371
9-Dec-14,3.04,3.07,2.90,3.00,52124
8-Dec-14,2.92,3.07,2.90,3.07,30742
5-Dec-14,3.06,3.06,2.90,2.99,36487
4-Dec-14,2.89,3.06,2.85,3.03,60321
3-Dec-14,2.88,3.00,2.88,2.95,33192
2-Dec-14,2.97,3.07,2.85,2.91,67046
1-Dec-14,3.05,3.05,2.85,2.85,122517
28-Nov-14,3.18,3.20,3.00,3.09,71484
26-Nov-14,3.29,3.29,3.15,3.17,31980
25-Nov-14,3.29,3.30,3.15,3.25,32421
24-Nov-14,3.16,3.29,3.14,3.29,29628
21-Nov-14,3.15,3.19,3.06,3.17,20916
20-Nov-14,3.23,3.23,3.11,3.15,51460
19-Nov-14,3.32,3.38,3.19,3.20,82912
18-Nov-14,3.35,3.51,3.35,3.37,26889
17-Nov-14,3.47,3.47,3.34,3.38,43596
14-Nov-14,3.51,3.64,3.46,3.47,32515
13-Nov-14,3.75,3.75,3.52,3.58,40877
12-Nov-14,3.46,3.62,3.37,3.58,165582
11-Nov-14,3.48,3.48,3.33,3.38,56330
10-Nov-14,3.65,3.65,3.43,3.52,385833
7-Nov-14,3.63,3.75,3.52,3.63,175375
6-Nov-14,3.43,3.64,3.33,3.60,67144
5-Nov-14,3.44,3.45,3.31,3.41,152672
4-Nov-14,3.41,3.47,3.35,3.44,101995
