Date,Open,High,Low,Close,Volume
31-Dec-14,14.20,15.00,14.20,15.00,600
29-Dec-14,14.20,14.20,14.20,14.20,400
26-Dec-14,13.40,13.50,13.35,13.35,1369
23-Dec-14,13.50,13.50,13.41,13.41,500
22-Dec-14,13.50,13.50,13.50,13.50,475
18-Dec-14,13.10,13.50,13.10,13.50,1603
17-Dec-14,13.19,13.19,13.19,13.19,102
16-Dec-14,13.19,13.20,13.19,13.19,1103
12-Dec-14,13.50,13.96,12.90,13.96,5369
11-Dec-14,12.35,12.86,12.28,12.86,2101
10-Dec-14,13.30,13.30,12.05,12.55,2326
9-Dec-14,13.05,13.30,13.00,13.00,1656
8-Dec-14,14.00,14.86,13.10,14.86,2072
3-Dec-14,14.50,15.31,14.50,15.31,1636
2-Dec-14,15.42,15.42,15.35,15.35,207
28-Nov-14,14.64,15.49,14.50,15.49,2963
26-Nov-14,15.35,15.60,14.80,15.00,9551
25-Nov-14,15.70,15.70,15.40,15.40,2530
24-Nov-14,16.20,16.20,15.40,15.40,6509
21-Nov-14,15.80,15.80,15.00,15.50,4509
14-Nov-14,15.10,15.10,15.05,15.05,1500
6-Nov-14,14.89,15.50,14.89,15.50,375
4-Nov-14,15.30,15.60,15.30,15.37,2327
3-Nov-14,15.51,15.51,15.50,15.50,2040
31-Oct-14,15.70,15.70,15.70,15.70,100
30-Oct-14,15.28,15.28,15.28,15.28,525
29-Oct-14,15.43,15.43,15.28,15.28,1082
28-Oct-14,15.54,15.75,15.48,15.49,2290
27-Oct-14,15.82,15.96,15.75,15.75,2679
24-Oct-14,15.85,16.08,15.75,15.75,3392
23-Oct-14,16.04,16.41,16.04,16.41,1000
22-Oct-14,16.05,16.29,16.01,16.08,3501
21-Oct-14,16.88,16.88,16.88,16.88,244
14-Oct-14,15.65,15.65,15.65,15.65,201
13-Oct-14,15.95,16.00,15.95,16.00,1150
10-Oct-14,16.00,16.00,16.00,16.00,359
7-Oct-14,16.52,16.52,16.48,16.50,1450
3-Oct-14,16.89,16.89,16.89,16.89,101
30-Sep-14,16.42,16.98,16.42,16.98,1614
26-Sep-14,16.10,16.10,16.10,16.10,631
25-Sep-14,16.49,16.49,16.11,16.21,3350
23-Sep-14,16.15,16.50,16.07,16.50,3453
22-Sep-14,16.17,16.17,16.15,16.16,2078
15-Sep-14,16.38,16.38,16.38,16.38,206
11-Sep-14,16.17,16.25,16.17,16.25,3400
8-Sep-14,16.04,16.04,16.04,16.04,241
5-Sep-14,16.10,16.35,16.10,16.35,4519
4-Sep-14,16.12,16.12,16.10,16.10,2000
3-Sep-14,16.13,16.80,16.13,16.15,837
2-Sep-14,16.07,16.40,16.07,16.19,3972
29-Aug-14,16.82,16.82,16.07,16.70,1012
28-Aug-14,16.10,16.10,16.10,16.10,169
27-Aug-14,16.05,16.05,16.03,16.03,986
26-Aug-14,16.25,16.25,16.25,16.25,329
25-Aug-14,15.85,16.96,15.55,16.25,12419
22-Aug-14,16.00,16.04,15.50,15.50,11797
21-Aug-14,16.51,17.37,16.01,17.19,2756
19-Aug-14,16.53,16.75,16.53,16.75,302
18-Aug-14,16.63,16.68,16.50,16.50,2710
15-Aug-14,16.60,16.60,16.60,16.60,530
14-Aug-14,16.75,16.92,16.71,16.71,5044
13-Aug-14,16.51,16.51,16.51,16.51,100
11-Aug-14,17.04,17.04,16.69,16.76,9811
8-Aug-14,17.12,17.12,17.08,17.08,225
7-Aug-14,17.00,17.14,17.00,17.14,449
5-Aug-14,16.80,17.13,16.54,17.05,1080
1-Aug-14,16.96,17.05,16.95,16.95,2064
31-Jul-14,17.00,17.40,16.96,17.00,11398
29-Jul-14,17.04,17.04,16.96,16.96,4372
28-Jul-14,17.08,17.08,17.00,17.00,1119
25-Jul-14,17.16,17.36,17.08,17.36,1297
24-Jul-14,17.12,17.40,17.12,17.16,1740
23-Jul-14,17.20,17.20,17.14,17.14,200
22-Jul-14,17.12,17.40,17.12,17.40,6000
21-Jul-14,17.12,17.23,17.12,17.16,2625
18-Jul-14,17.35,17.35,17.34,17.34,315
16-Jul-14,17.50,17.54,17.50,17.50,1200
15-Jul-14,17.50,17.50,17.50,17.50,872
14-Jul-14,17.70,17.70,17.36,17.36,634
11-Jul-14,17.72,17.72,17.72,17.72,204
10-Jul-14,17.50,17.52,17.50,17.50,2859
9-Jul-14,17.44,17.67,17.44,17.45,1803
8-Jul-14,17.75,17.92,17.75,17.92,394
2-Jul-14,17.50,17.80,17.50,17.75,1500
1-Jul-14,17.44,17.51,17.44,17.50,1548
30-Jun-14,17.89,17.89,17.89,17.89,184
27-Jun-14,17.20,17.60,17.20,17.50,1033
