Date,Open,High,Low,Close,Volume
31-Dec-14,12.48,12.50,11.97,12.02,1155055
30-Dec-14,12.08,12.48,11.99,12.42,843014
29-Dec-14,11.93,12.11,11.75,12.10,766351
26-Dec-14,12.65,12.71,11.86,11.97,1017901
24-Dec-14,12.10,13.04,12.10,12.65,617920
23-Dec-14,13.50,13.50,11.94,11.99,1395198
22-Dec-14,13.82,13.93,13.12,13.43,709700
19-Dec-14,13.33,14.06,13.22,13.82,2516363
18-Dec-14,14.14,14.58,13.00,13.06,1034608
17-Dec-14,12.73,13.97,12.61,13.96,838391
16-Dec-14,11.80,13.38,11.80,12.65,973590
15-Dec-14,13.95,14.09,11.48,12.30,3057934
12-Dec-14,14.41,14.66,13.13,13.82,1209192
11-Dec-14,14.58,15.00,14.40,14.68,566343
10-Dec-14,15.03,15.35,14.35,14.49,702542
9-Dec-14,14.35,15.15,14.01,15.05,899303
8-Dec-14,14.70,15.27,14.54,14.59,493831
5-Dec-14,14.71,14.87,14.51,14.70,481130
4-Dec-14,14.64,14.89,14.47,14.66,508231
3-Dec-14,14.94,14.94,14.45,14.64,519216
2-Dec-14,14.70,15.29,14.59,14.90,1179185
1-Dec-14,15.45,15.45,14.51,14.66,811500
28-Nov-14,15.75,15.84,15.11,15.35,403275
26-Nov-14,14.98,15.94,14.95,15.80,659593
25-Nov-14,14.83,15.28,14.67,14.95,798407
24-Nov-14,14.35,14.82,14.30,14.79,434754
21-Nov-14,14.73,15.00,14.24,14.29,595875
20-Nov-14,14.66,14.76,14.33,14.46,593402
19-Nov-14,14.82,14.97,14.55,14.71,357302
18-Nov-14,14.47,14.90,14.47,14.82,663901
17-Nov-14,14.48,15.08,14.43,14.44,601650
14-Nov-14,15.29,15.29,14.32,14.47,1421602
13-Nov-14,15.94,16.09,15.20,15.33,505266
12-Nov-14,16.29,16.51,15.77,15.95,565471
11-Nov-14,16.14,16.57,15.88,16.42,678292
10-Nov-14,15.43,16.41,15.25,16.20,831482
7-Nov-14,15.73,15.80,15.11,15.50,1033843
6-Nov-14,16.29,16.40,15.19,15.84,1191736
5-Nov-14,17.52,17.61,16.08,16.30,1018587
4-Nov-14,17.61,17.75,16.98,17.37,528584
3-Nov-14,17.36,17.99,17.32,17.65,595144
31-Oct-14,18.25,18.33,17.39,17.40,951646
30-Oct-14,17.33,18.09,17.26,17.79,707901
29-Oct-14,17.18,17.66,17.13,17.38,586709
28-Oct-14,16.98,17.24,16.75,17.17,642752
27-Oct-14,16.54,17.07,16.22,16.84,654757
24-Oct-14,16.36,16.62,16.30,16.62,433052
23-Oct-14,16.11,16.73,15.93,16.38,796089
22-Oct-14,16.41,16.52,15.60,15.90,916435
21-Oct-14,16.96,17.07,16.16,16.35,833037
20-Oct-14,15.92,16.90,15.92,16.74,614023
17-Oct-14,16.19,16.30,15.76,15.95,639532
16-Oct-14,14.83,16.09,14.65,15.72,849749
15-Oct-14,14.08,15.14,13.80,15.11,1061284
14-Oct-14,14.63,15.18,14.14,14.37,1092747
13-Oct-14,15.33,15.54,14.58,14.81,1132767
10-Oct-14,16.27,16.84,15.31,15.39,1682102
9-Oct-14,17.89,17.93,16.88,17.03,1085180
8-Oct-14,17.47,17.95,16.87,17.90,1069958
7-Oct-14,16.72,18.09,16.63,17.49,1195418
6-Oct-14,17.51,17.71,16.85,16.86,981490
3-Oct-14,16.91,17.48,16.66,17.13,936760
2-Oct-14,16.12,16.80,15.63,16.69,949330
1-Oct-14,17.04,17.09,16.06,16.26,878088
30-Sep-14,17.64,17.69,17.04,17.09,867154
29-Sep-14,17.23,17.94,17.02,17.60,757163
26-Sep-14,16.66,17.49,16.44,17.41,998210
25-Sep-14,17.07,17.22,16.37,16.51,524592
24-Sep-14,16.54,17.16,16.49,17.08,596387
23-Sep-14,16.60,16.87,16.37,16.51,600068
22-Sep-14,16.66,16.93,16.37,16.66,619922
19-Sep-14,17.49,17.50,16.68,17.02,3469548
18-Sep-14,17.34,17.48,16.96,17.35,688672
17-Sep-14,17.28,17.47,16.97,17.26,962703
16-Sep-14,16.69,17.25,16.34,17.23,1029387
15-Sep-14,18.15,18.28,16.66,16.83,1744955
12-Sep-14,17.80,18.48,17.67,18.15,1407078
11-Sep-14,17.39,17.87,17.09,17.86,2078619
10-Sep-14,17.11,17.79,17.00,17.55,1190773
9-Sep-14,18.19,18.22,16.88,17.14,1911599
8-Sep-14,16.75,18.10,16.59,17.98,3515476
5-Sep-14,15.35,16.38,15.30,16.33,2698365
4-Sep-14,16.06,16.10,14.76,14.99,2335121
3-Sep-14,16.65,16.82,15.73,16.07,4192898
2-Sep-14,16.64,16.71,16.25,16.65,2360642
29-Aug-14,15.77,16.07,15.45,16.00,757259
28-Aug-14,15.51,16.15,15.40,15.67,1506159
27-Aug-14,15.00,15.70,14.86,15.48,2205106
26-Aug-14,14.33,14.95,14.17,14.66,2018106
25-Aug-14,13.88,14.44,13.75,14.25,1380890
22-Aug-14,13.62,14.00,13.40,13.82,813629
21-Aug-14,13.93,14.05,13.14,13.46,608125
20-Aug-14,14.00,14.04,13.62,13.89,429087
19-Aug-14,13.45,14.17,13.45,14.01,1284759
18-Aug-14,13.37,13.44,13.09,13.39,502026
15-Aug-14,13.56,13.59,12.90,13.25,577816
14-Aug-14,13.24,13.50,13.15,13.43,480764
13-Aug-14,12.96,13.24,12.84,13.20,287780
12-Aug-14,13.26,13.54,12.83,12.93,517642
11-Aug-14,13.61,13.62,13.19,13.28,414724
8-Aug-14,12.34,13.65,12.29,13.48,1084842
7-Aug-14,13.06,13.22,12.42,12.53,464664
6-Aug-14,12.90,13.45,12.75,13.02,818516
5-Aug-14,12.49,12.79,12.44,12.63,350381
4-Aug-14,12.58,12.70,12.41,12.52,395654
1-Aug-14,12.45,12.92,12.28,12.54,703284
31-Jul-14,13.30,13.31,12.53,12.75,593498
30-Jul-14,13.14,13.54,13.00,13.42,781227
29-Jul-14,12.55,13.16,12.45,13.05,590386
28-Jul-14,12.79,12.93,12.42,12.55,427606
25-Jul-14,12.50,12.91,12.36,12.81,524923
24-Jul-14,12.50,12.73,12.35,12.61,470496
23-Jul-14,12.85,12.97,12.46,12.48,597621
22-Jul-14,12.68,12.95,12.65,12.75,435831
21-Jul-14,12.68,12.84,12.43,12.59,418830
18-Jul-14,12.33,13.00,12.33,12.82,800020
17-Jul-14,12.87,13.02,12.33,12.49,1001847
16-Jul-14,13.48,13.77,12.91,13.00,810109
15-Jul-14,14.22,14.44,13.20,13.43,1173658
14-Jul-14,14.20,14.36,13.84,14.24,1312022
11-Jul-14,13.75,14.10,13.42,14.02,1394300
10-Jul-14,13.27,13.74,13.15,13.44,1297952
9-Jul-14,12.90,14.18,12.66,13.94,2276129
8-Jul-14,13.00,13.28,12.47,12.85,1737966
7-Jul-14,14.09,14.38,12.76,13.06,6989670
3-Jul-14,11.87,12.13,11.76,11.99,303054
2-Jul-14,12.05,12.19,11.80,11.82,540392
1-Jul-14,12.16,12.23,11.94,12.05,702767
30-Jun-14,12.18,12.29,11.87,12.07,1019399
27-Jun-14,11.96,12.15,11.90,12.01,1141735
26-Jun-14,12.22,12.22,11.95,12.05,361665
25-Jun-14,11.68,12.25,11.66,12.05,663647
24-Jun-14,12.19,12.34,11.72,11.76,655645
23-Jun-14,12.49,12.58,12.04,12.15,564602
20-Jun-14,12.52,12.52,12.17,12.40,676348
19-Jun-14,12.50,12.63,12.11,12.45,445375
18-Jun-14,12.54,12.81,12.42,12.50,617631
17-Jun-14,12.21,12.66,12.04,12.48,662155
16-Jun-14,12.38,12.73,12.07,12.26,1207503
13-Jun-14,12.27,12.53,12.00,12.36,935153
12-Jun-14,11.99,12.56,11.49,12.29,4536509
11-Jun-14,9.86,11.48,9.75,11.41,3008511
10-Jun-14,9.82,10.08,9.51,10.00,1039189
9-Jun-14,10.29,10.35,9.57,9.85,3184297
6-Jun-14,9.98,10.04,9.53,10.00,1522415
5-Jun-14,9.55,9.94,9.34,9.67,759592
4-Jun-14,9.75,9.79,9.49,9.49,518993
3-Jun-14,9.89,9.97,9.63,9.78,489452
2-Jun-14,9.57,9.98,9.51,9.96,684926
30-May-14,9.95,10.00,9.52,9.57,681716
29-May-14,10.03,10.09,9.66,9.88,517301
28-May-14,9.70,10.08,9.65,9.93,1196199
27-May-14,9.46,9.80,9.40,9.66,945598
23-May-14,8.80,9.47,8.75,9.33,1026039
22-May-14,8.87,9.00,8.55,8.78,805298
21-May-14,9.00,9.05,8.70,8.77,423284
20-May-14,9.01,9.07,8.64,8.96,732900
19-May-14,8.65,9.21,8.57,9.08,690245
16-May-14,8.52,8.74,8.37,8.69,427320
15-May-14,8.67,8.78,8.21,8.47,517369
14-May-14,8.38,8.68,8.33,8.43,400918
13-May-14,8.57,8.73,8.38,8.40,403137
12-May-14,8.40,8.84,8.36,8.59,606854
9-May-14,8.22,8.47,7.94,8.36,577442
8-May-14,8.95,9.00,8.33,8.40,514922
7-May-14,9.25,9.52,8.78,8.96,509847
6-May-14,9.50,9.65,9.16,9.18,390541
5-May-14,9.08,9.64,9.02,9.41,376017
2-May-14,9.27,9.31,9.03,9.14,376242
1-May-14,8.89,9.42,8.77,9.20,641147
30-Apr-14,8.80,8.92,8.54,8.91,383290
29-Apr-14,8.55,8.95,8.45,8.85,454765
28-Apr-14,8.45,8.72,8.12,8.49,367285
25-Apr-14,8.62,8.73,8.20,8.41,355632
24-Apr-14,8.82,8.84,8.37,8.66,270596
23-Apr-14,8.43,8.71,8.35,8.66,484374
22-Apr-14,8.07,8.64,8.07,8.47,841254
21-Apr-14,7.47,7.74,7.40,7.74,361589
17-Apr-14,7.39,7.56,7.27,7.42,215219
16-Apr-14,7.21,7.43,7.08,7.40,249153
15-Apr-14,7.18,7.26,6.71,7.13,643274
14-Apr-14,7.38,7.45,6.94,7.18,543634
11-Apr-14,7.40,7.56,7.13,7.33,549227
10-Apr-14,7.94,7.94,7.28,7.43,666958
9-Apr-14,7.85,7.98,7.80,7.91,416262
8-Apr-14,7.98,8.06,7.65,7.78,491087
7-Apr-14,8.03,8.15,7.82,7.92,566429
4-Apr-14,8.16,8.24,7.82,8.06,1110233
3-Apr-14,8.55,8.66,8.04,8.14,480419
2-Apr-14,8.68,8.73,8.38,8.58,426436
1-Apr-14,8.32,8.87,8.32,8.63,423357
31-Mar-14,8.08,8.48,8.03,8.44,505863
28-Mar-14,8.00,8.38,7.85,8.02,582034
27-Mar-14,7.97,8.49,7.90,8.05,493495
26-Mar-14,8.14,8.24,7.90,7.95,666365
25-Mar-14,8.33,8.84,7.87,8.10,583520
24-Mar-14,8.59,8.63,8.03,8.15,526918
21-Mar-14,8.89,9.07,8.41,8.63,549381
20-Mar-14,9.05,9.19,8.74,8.88,358330
19-Mar-14,9.05,9.17,8.75,9.03,431256
18-Mar-14,8.97,9.21,8.91,9.04,363392
17-Mar-14,8.91,9.25,8.80,8.87,371101
14-Mar-14,8.85,9.02,8.71,8.88,477404
13-Mar-14,9.54,9.57,8.86,9.01,513016
12-Mar-14,9.45,9.61,8.92,9.51,426744
11-Mar-14,10.20,10.20,9.43,9.45,1414903
10-Mar-14,9.34,9.94,9.34,9.94,637145
7-Mar-14,9.51,9.51,9.21,9.32,490167
6-Mar-14,9.64,9.90,9.25,9.43,393737
5-Mar-14,9.51,9.78,9.25,9.60,452305
4-Mar-14,9.25,9.70,9.25,9.53,661079
3-Mar-14,9.06,9.37,8.95,9.12,310260
28-Feb-14,9.58,9.92,9.14,9.37,1755795
27-Feb-14,8.66,9.34,8.66,9.32,956833
26-Feb-14,8.87,8.98,8.64,8.69,413174
25-Feb-14,8.92,8.98,8.58,8.89,386415
24-Feb-14,8.90,9.04,8.80,8.90,450923
21-Feb-14,9.01,9.09,8.85,8.87,516212
20-Feb-14,8.87,9.11,8.73,9.02,572146
19-Feb-14,9.19,9.36,8.89,8.90,422054
18-Feb-14,8.84,9.36,8.80,9.17,881431
14-Feb-14,8.92,9.00,8.74,8.79,282930
13-Feb-14,9.02,9.03,8.89,8.92,589290
12-Feb-14,8.83,9.00,8.72,8.87,430058
11-Feb-14,8.98,9.06,8.76,8.86,471632
10-Feb-14,8.46,9.50,8.34,8.96,1515271
7-Feb-14,8.40,8.47,8.07,8.26,724757
6-Feb-14,7.93,8.47,7.79,8.37,780714
5-Feb-14,7.72,7.96,7.53,7.94,387801
4-Feb-14,7.82,7.91,7.69,7.73,371664
3-Feb-14,7.85,7.85,7.43,7.75,637918
31-Jan-14,7.93,7.96,7.75,7.85,394899
30-Jan-14,7.87,8.28,7.84,8.04,767085
29-Jan-14,7.92,8.00,7.50,7.82,1007509
28-Jan-14,8.18,8.65,8.00,8.06,810711
27-Jan-14,9.11,9.23,7.93,8.13,2362025
24-Jan-14,8.95,9.49,8.18,9.41,14989713
23-Jan-14,6.34,6.41,6.21,6.25,671850
22-Jan-14,6.45,6.64,6.29,6.39,660703
21-Jan-14,6.66,6.75,6.40,6.49,817978
17-Jan-14,5.99,6.50,5.99,6.47,773828
16-Jan-14,5.93,6.07,5.89,6.01,418798
15-Jan-14,5.97,6.03,5.75,5.97,378984
14-Jan-14,5.88,6.04,5.76,5.92,332838
13-Jan-14,6.13,6.15,5.80,5.87,448738
10-Jan-14,6.24,6.29,6.06,6.20,1102636
9-Jan-14,5.79,6.03,5.79,5.95,612719
8-Jan-14,5.73,5.89,5.65,5.80,823454
7-Jan-14,5.81,5.94,5.72,5.75,281034
6-Jan-14,5.84,5.89,5.69,5.78,353514
3-Jan-14,5.76,5.85,5.69,5.81,314495
2-Jan-14,5.82,5.93,5.70,5.78,224133
31-Dec-13,5.94,5.97,5.87,5.89,207506
30-Dec-13,5.97,6.05,5.87,5.93,213482
27-Dec-13,5.94,6.07,5.82,5.98,324371
26-Dec-13,5.98,6.07,5.83,5.90,214964
24-Dec-13,5.92,6.02,5.84,5.94,135301
23-Dec-13,5.73,6.09,5.51,5.91,606762
20-Dec-13,5.50,5.95,5.47,5.72,844167
19-Dec-13,5.27,5.49,5.21,5.47,431020
18-Dec-13,5.05,5.32,5.05,5.28,647811
17-Dec-13,4.95,5.34,4.95,5.08,549513
16-Dec-13,4.89,5.05,4.89,4.94,174213
13-Dec-13,4.85,4.92,4.80,4.85,240194
12-Dec-13,4.95,4.95,4.82,4.85,216239
11-Dec-13,5.01,5.08,4.89,4.92,205570
10-Dec-13,5.03,5.14,4.94,4.99,273198
9-Dec-13,5.19,5.22,5.00,5.05,145514
6-Dec-13,5.32,5.32,5.15,5.19,174040
5-Dec-13,5.32,5.41,5.16,5.24,335030
4-Dec-13,5.46,5.51,5.27,5.30,453416
3-Dec-13,4.96,5.50,4.92,5.49,762325
2-Dec-13,4.83,5.00,4.83,4.95,606081
29-Nov-13,4.83,4.83,4.77,4.80,149980
27-Nov-13,4.80,4.86,4.76,4.79,304946
26-Nov-13,4.69,4.85,4.64,4.81,344241
25-Nov-13,4.64,4.82,4.62,4.66,292580
22-Nov-13,4.48,4.68,4.46,4.63,519160
21-Nov-13,4.30,4.48,4.29,4.46,1286067
20-Nov-13,4.21,4.31,4.21,4.28,579437
19-Nov-13,4.29,4.34,4.21,4.24,400980
18-Nov-13,4.45,4.51,4.25,4.29,380099
15-Nov-13,4.46,4.68,4.40,4.44,129119
14-Nov-13,4.35,4.49,4.16,4.47,373564
13-Nov-13,4.53,4.66,4.33,4.40,362318
12-Nov-13,4.77,4.84,4.44,4.64,587303
11-Nov-13,4.90,4.96,4.77,4.80,99772
8-Nov-13,4.89,5.04,4.87,4.95,216695
7-Nov-13,4.93,4.99,4.80,4.91,284673
6-Nov-13,5.28,5.28,4.73,4.82,676325
5-Nov-13,5.18,5.34,5.15,5.22,118215
4-Nov-13,5.13,5.27,5.08,5.20,152615
1-Nov-13,5.22,5.26,5.06,5.11,304835
31-Oct-13,5.14,5.39,5.01,5.25,321654
30-Oct-13,5.16,5.27,5.10,5.14,158432
29-Oct-13,5.18,5.23,5.10,5.14,192886
28-Oct-13,5.20,5.28,5.10,5.17,149921
25-Oct-13,5.31,5.41,5.17,5.22,333102
24-Oct-13,5.26,5.33,5.24,5.25,109800
23-Oct-13,5.27,5.33,5.24,5.25,111309
22-Oct-13,5.40,5.62,5.19,5.29,142348
21-Oct-13,5.54,5.66,5.31,5.38,173584
18-Oct-13,5.70,5.70,5.44,5.62,180210
17-Oct-13,5.44,5.65,5.41,5.63,273691
16-Oct-13,5.36,5.49,5.27,5.46,213566
15-Oct-13,5.30,5.35,5.25,5.30,174192
14-Oct-13,5.10,5.28,5.08,5.28,173057
11-Oct-13,5.00,5.21,4.95,5.15,137262
10-Oct-13,4.97,5.08,4.96,5.00,136232
9-Oct-13,5.40,5.40,4.92,4.97,319227
8-Oct-13,5.53,5.55,5.10,5.16,328018
7-Oct-13,5.53,5.72,5.52,5.57,166540
4-Oct-13,5.67,5.70,5.50,5.60,147106
3-Oct-13,5.78,5.84,5.59,5.64,494543
2-Oct-13,5.75,5.92,5.70,5.83,140419
1-Oct-13,5.44,5.87,5.39,5.82,388134
30-Sep-13,5.32,5.43,5.27,5.43,176551
27-Sep-13,5.36,5.50,5.14,5.40,239842
26-Sep-13,5.41,5.44,5.34,5.41,108716
25-Sep-13,5.40,5.42,5.35,5.41,135991
24-Sep-13,5.47,5.49,5.38,5.41,160116
23-Sep-13,5.47,5.52,5.39,5.49,137611
20-Sep-13,5.41,5.54,5.35,5.48,176266
19-Sep-13,5.45,5.48,5.30,5.40,226404
18-Sep-13,5.41,5.52,5.30,5.45,101570
17-Sep-13,5.21,5.44,5.20,5.41,178514
16-Sep-13,5.25,5.30,5.16,5.24,131136
13-Sep-13,5.24,5.24,5.05,5.22,96567
12-Sep-13,5.25,5.30,5.12,5.22,136433
11-Sep-13,5.24,5.40,5.24,5.29,101446
10-Sep-13,5.25,5.33,5.14,5.27,324712
9-Sep-13,5.07,5.26,4.96,5.23,180852
6-Sep-13,5.32,5.32,5.03,5.08,267015
5-Sep-13,5.43,5.51,5.26,5.30,243469
4-Sep-13,5.24,5.55,5.15,5.41,742761
3-Sep-13,5.25,5.25,5.05,5.25,464210
30-Aug-13,5.01,5.25,4.95,5.24,388777
29-Aug-13,4.64,5.04,4.58,5.02,402654
28-Aug-13,4.61,4.66,4.51,4.66,127017
27-Aug-13,4.55,4.65,4.55,4.60,194255
26-Aug-13,4.56,4.68,4.51,4.63,102326
23-Aug-13,4.60,4.60,4.48,4.57,91602
22-Aug-13,4.54,4.60,4.54,4.58,44307
21-Aug-13,4.50,4.59,4.49,4.52,58304
20-Aug-13,4.44,4.55,4.44,4.53,118468
19-Aug-13,4.40,4.48,4.36,4.40,155276
16-Aug-13,4.39,4.44,4.37,4.41,125594
15-Aug-13,4.46,4.48,4.38,4.42,183657
14-Aug-13,4.41,4.52,4.41,4.49,100839
13-Aug-13,4.43,4.45,4.31,4.40,124059
12-Aug-13,4.59,4.59,4.40,4.43,151638
9-Aug-13,4.62,4.79,4.45,4.46,96346
8-Aug-13,4.51,4.60,4.45,4.56,218769
7-Aug-13,4.49,4.57,4.45,4.46,136476
6-Aug-13,4.59,4.60,4.48,4.50,87857
5-Aug-13,4.41,4.58,4.36,4.57,279614
2-Aug-13,4.25,4.39,4.25,4.37,237446
1-Aug-13,4.50,4.50,4.23,4.25,323659
31-Jul-13,4.17,4.49,4.15,4.32,277219
30-Jul-13,4.62,4.70,4.24,4.27,447298
29-Jul-13,4.67,4.73,4.62,4.63,100120
26-Jul-13,4.75,4.78,4.62,4.70,128235
25-Jul-13,4.65,4.75,4.57,4.71,88135
24-Jul-13,4.70,4.74,4.62,4.65,65318
23-Jul-13,4.77,4.79,4.66,4.68,133350
22-Jul-13,4.77,4.80,4.71,4.73,62041
19-Jul-13,4.70,4.83,4.67,4.78,68736
18-Jul-13,4.73,4.85,4.70,4.73,71907
17-Jul-13,4.76,4.84,4.66,4.74,66653
16-Jul-13,4.71,4.78,4.58,4.73,129028
15-Jul-13,4.76,4.78,4.64,4.69,149077
12-Jul-13,4.81,4.89,4.68,4.70,148179
11-Jul-13,4.73,4.81,4.64,4.81,185806
10-Jul-13,4.55,4.70,4.51,4.68,116389
9-Jul-13,4.72,4.74,4.50,4.54,117074
8-Jul-13,4.50,4.72,4.45,4.71,288709
5-Jul-13,4.42,4.48,4.31,4.41,313608
3-Jul-13,4.06,4.38,4.06,4.34,314140
2-Jul-13,4.13,4.19,4.08,4.11,107735
1-Jul-13,4.14,4.18,4.05,4.15,201752
28-Jun-13,4.00,4.18,3.96,4.06,756995
27-Jun-13,3.98,4.07,3.93,4.00,279293
26-Jun-13,4.04,4.04,3.96,3.99,169346
25-Jun-13,4.22,4.22,3.86,3.96,383541
24-Jun-13,4.16,4.20,4.03,4.14,220697
21-Jun-13,4.30,4.33,4.17,4.20,299044
20-Jun-13,4.41,4.53,4.24,4.27,244669
19-Jun-13,4.65,4.68,4.46,4.53,115398
18-Jun-13,4.47,4.68,4.38,4.66,140084
17-Jun-13,4.45,4.50,4.37,4.44,111535
14-Jun-13,4.42,4.46,4.36,4.37,63348
13-Jun-13,4.28,4.47,4.26,4.44,108101
12-Jun-13,4.38,4.45,4.25,4.29,157565
11-Jun-13,4.37,4.40,4.21,4.32,114157
10-Jun-13,4.44,4.55,4.30,4.38,137336
7-Jun-13,4.34,4.36,4.25,4.33,91015
6-Jun-13,4.32,4.43,4.22,4.31,186651
5-Jun-13,4.34,4.50,4.29,4.30,263808
4-Jun-13,4.42,4.48,4.31,4.37,163020
3-Jun-13,4.45,4.50,4.30,4.43,201648
31-May-13,4.47,4.56,4.34,4.40,230903
30-May-13,4.50,4.56,4.46,4.54,217128
29-May-13,4.60,4.60,4.41,4.51,206836
28-May-13,4.59,4.80,4.54,4.61,317895
24-May-13,4.54,4.56,4.36,4.47,255469
23-May-13,4.16,4.53,4.12,4.50,474655
22-May-13,4.29,4.45,4.16,4.20,332828
21-May-13,4.50,4.50,4.30,4.34,295239
20-May-13,4.69,4.72,4.50,4.53,473438
17-May-13,4.89,4.95,4.71,4.74,281806
16-May-13,5.00,5.00,4.85,4.90,129590
