Date,Open,High,Low,Close,Volume
31-Dec-14,27.11,27.65,27.11,27.34,19260
30-Dec-14,27.23,27.24,26.55,26.99,11851
29-Dec-14,27.33,27.64,26.93,27.15,12189
26-Dec-14,27.56,27.77,27.11,27.48,13740
24-Dec-14,26.87,27.44,26.70,27.31,13743
23-Dec-14,28.47,28.47,26.67,26.88,18052
22-Dec-14,26.58,27.99,26.38,27.64,30190
19-Dec-14,25.86,26.96,25.26,26.68,262920
18-Dec-14,26.10,26.17,25.11,25.92,42800
17-Dec-14,24.50,26.10,24.15,26.07,50929
16-Dec-14,25.12,25.34,24.18,24.26,41844
15-Dec-14,25.47,26.10,25.10,25.11,34866
12-Dec-14,26.37,26.83,25.03,25.27,29785
11-Dec-14,27.21,27.48,26.41,26.57,18379
10-Dec-14,27.02,27.27,26.80,27.00,30394
9-Dec-14,26.42,27.92,26.27,27.18,23787
8-Dec-14,27.02,27.60,26.51,26.61,30136
5-Dec-14,27.11,28.17,26.85,27.01,46492
4-Dec-14,27.54,27.68,27.12,27.15,27494
3-Dec-14,26.97,27.91,26.68,27.48,26125
2-Dec-14,26.26,26.99,26.26,26.94,45188
1-Dec-14,26.34,26.51,26.05,26.06,24049
28-Nov-14,26.85,27.52,26.44,26.48,14993
26-Nov-14,26.75,27.26,26.17,27.03,20038
25-Nov-14,26.20,27.07,26.08,26.79,11436
24-Nov-14,26.23,26.39,26.01,26.24,17201
21-Nov-14,26.93,26.93,25.81,26.24,26708
20-Nov-14,26.24,26.59,26.06,26.54,14544
19-Nov-14,27.40,27.40,25.90,26.43,21765
18-Nov-14,27.00,28.04,26.98,27.22,42937
17-Nov-14,26.83,27.00,26.41,26.78,16081
14-Nov-14,26.71,27.11,26.54,26.80,40875
13-Nov-14,27.24,27.43,26.70,26.72,17621
12-Nov-14,27.09,27.47,26.45,27.35,27928
11-Nov-14,28.00,28.00,27.15,27.29,34361
10-Nov-14,28.26,28.38,27.50,28.06,19370
7-Nov-14,28.87,28.87,27.08,28.24,26604
6-Nov-14,29.01,29.01,27.77,28.83,26406
5-Nov-14,28.75,29.26,28.14,29.11,48535
4-Nov-14,28.37,29.00,28.18,28.50,43012
3-Nov-14,28.24,28.50,27.78,28.37,51936
31-Oct-14,28.74,28.74,27.19,28.29,46226
30-Oct-14,27.05,28.04,26.64,28.04,44877
29-Oct-14,25.50,27.15,24.79,27.02,38484
28-Oct-14,25.24,26.75,24.52,26.75,41878
27-Oct-14,24.98,25.58,24.77,24.96,14616
24-Oct-14,25.56,25.56,24.75,25.15,20335
23-Oct-14,25.15,25.81,25.15,25.55,19143
22-Oct-14,25.28,25.98,24.59,24.70,31102
21-Oct-14,24.79,25.30,24.69,25.22,20516
20-Oct-14,24.77,25.14,24.42,24.74,16611
17-Oct-14,24.96,25.42,24.36,24.70,34453
16-Oct-14,23.83,25.24,23.83,24.56,35075
15-Oct-14,23.81,24.57,23.61,24.20,38687
14-Oct-14,23.64,24.21,23.46,24.17,35021
13-Oct-14,23.16,23.80,23.00,23.16,28103
10-Oct-14,22.55,23.31,22.18,23.00,36924
9-Oct-14,23.45,23.45,22.71,22.77,19852
8-Oct-14,22.40,23.74,22.33,23.52,27557
7-Oct-14,22.92,22.97,22.28,22.34,49265
6-Oct-14,23.58,23.72,22.93,23.12,21286
3-Oct-14,23.88,23.88,23.15,23.60,24164
2-Oct-14,23.42,24.22,23.16,23.64,15298
1-Oct-14,24.87,24.87,23.31,23.49,26346
30-Sep-14,25.43,25.57,24.70,24.74,50355
29-Sep-14,25.20,25.86,25.01,25.51,18937
26-Sep-14,25.37,25.53,25.28,25.48,11405
25-Sep-14,25.34,25.42,25.05,25.32,28823
24-Sep-14,25.44,25.50,25.21,25.46,23924
23-Sep-14,25.40,25.72,24.81,25.30,32789
22-Sep-14,25.15,25.86,24.94,25.35,24736
19-Sep-14,25.25,25.44,24.93,25.34,93718
18-Sep-14,25.36,25.67,24.75,25.15,41292
17-Sep-14,25.24,25.44,24.72,25.18,54445
16-Sep-14,25.04,25.62,24.72,25.20,15766
15-Sep-14,25.73,25.86,24.20,25.02,46082
12-Sep-14,26.31,26.45,25.67,25.70,15801
11-Sep-14,25.91,26.44,25.80,26.37,17963
10-Sep-14,26.04,26.34,25.83,25.93,18337
9-Sep-14,26.00,26.49,25.83,25.88,24386
8-Sep-14,25.72,26.48,25.72,26.20,20581
5-Sep-14,25.43,26.67,25.43,25.58,32289
4-Sep-14,24.95,25.73,24.64,25.48,25773
3-Sep-14,24.91,24.95,24.66,24.82,25015
2-Sep-14,23.93,25.01,23.53,24.69,54707
29-Aug-14,23.12,23.64,23.02,23.54,24901
28-Aug-14,23.54,23.54,22.65,22.98,53414
27-Aug-14,23.64,23.64,23.33,23.59,33939
26-Aug-14,23.09,23.60,22.95,23.51,57808
25-Aug-14,23.23,23.49,22.86,22.99,14163
22-Aug-14,23.43,23.56,22.82,23.26,16576
21-Aug-14,22.88,23.48,22.76,23.38,20268
20-Aug-14,22.62,22.85,22.46,22.80,35762
19-Aug-14,23.00,23.51,22.49,22.71,32228
18-Aug-14,23.27,23.73,22.89,23.10,46504
15-Aug-14,23.67,23.67,22.34,22.93,43200
14-Aug-14,23.30,23.78,22.84,23.35,29953
13-Aug-14,23.39,23.49,22.90,23.20,17545
12-Aug-14,23.15,23.49,22.87,23.24,30380
11-Aug-14,23.13,23.72,22.96,23.18,19495
8-Aug-14,23.06,23.26,22.81,23.19,18761
7-Aug-14,23.54,23.57,22.92,23.06,14705
6-Aug-14,23.13,23.76,23.13,23.58,16825
5-Aug-14,23.06,23.54,22.96,23.36,28289
4-Aug-14,23.90,23.90,22.71,23.26,37851
1-Aug-14,23.73,23.96,23.28,23.92,36505
31-Jul-14,23.70,23.82,23.51,23.64,44136
30-Jul-14,24.00,24.49,23.98,24.12,25842
29-Jul-14,23.70,25.00,23.43,23.57,27569
28-Jul-14,23.25,23.81,22.88,23.74,27191
25-Jul-14,23.00,23.23,22.80,23.11,32358
24-Jul-14,22.99,23.82,22.99,23.12,24631
23-Jul-14,23.09,23.09,22.57,22.84,16836
22-Jul-14,22.53,23.09,22.53,22.99,26003
21-Jul-14,22.82,22.83,22.16,22.37,19318
18-Jul-14,22.19,23.01,22.19,22.98,24224
17-Jul-14,22.47,22.67,22.22,22.24,24424
16-Jul-14,22.59,22.89,22.48,22.71,35583
15-Jul-14,23.16,23.21,22.23,22.60,38454
14-Jul-14,23.49,23.59,22.94,23.28,32361
11-Jul-14,23.53,23.79,23.13,23.31,28146
10-Jul-14,23.54,23.92,23.32,23.75,38879
9-Jul-14,24.12,24.16,23.88,24.12,26780
8-Jul-14,24.58,24.58,23.83,23.92,74641
7-Jul-14,25.52,25.52,24.46,24.51,60239
3-Jul-14,25.59,25.88,25.21,25.52,23547
2-Jul-14,25.70,25.99,25.30,25.34,30805
1-Jul-14,25.66,26.46,25.42,25.85,37348
30-Jun-14,24.98,25.69,24.84,25.67,33275
27-Jun-14,24.70,25.43,24.55,25.16,85467
26-Jun-14,25.78,25.78,24.75,24.88,25698
25-Jun-14,25.27,25.79,24.80,25.60,34549
24-Jun-14,25.75,25.92,25.24,25.48,86227
23-Jun-14,25.80,25.85,25.09,25.67,38760
20-Jun-14,25.62,25.88,25.26,25.71,56516
19-Jun-14,25.84,25.97,25.34,25.62,26964
18-Jun-14,26.14,26.14,25.15,25.70,36402
17-Jun-14,26.00,27.24,25.83,26.04,32615
16-Jun-14,26.64,26.89,25.86,25.91,21032
13-Jun-14,26.50,27.16,26.06,26.56,26443
12-Jun-14,26.46,26.64,25.74,26.46,24109
11-Jun-14,27.17,27.17,26.25,26.41,31611
10-Jun-14,27.26,27.30,26.65,27.17,21375
9-Jun-14,26.46,27.41,26.46,27.21,37134
6-Jun-14,25.76,26.97,25.41,26.58,34268
5-Jun-14,24.50,25.92,24.40,25.57,38498
4-Jun-14,25.81,25.81,24.11,24.49,90369
3-Jun-14,26.67,26.67,25.69,25.81,49478
2-Jun-14,27.47,27.50,26.60,26.67,120729
30-May-14,27.31,27.49,27.08,27.44,45255
29-May-14,26.35,27.23,26.30,27.18,62522
