Date,Open,High,Low,Close,Volume
31-Dec-14,14.97,14.97,14.54,14.63,102708
30-Dec-14,14.84,15.17,14.64,14.88,106026
29-Dec-14,14.32,14.94,14.32,14.85,86229
26-Dec-14,14.54,14.55,14.29,14.35,56713
24-Dec-14,14.59,14.59,14.34,14.46,37275
23-Dec-14,14.68,14.92,14.42,14.58,82717
22-Dec-14,14.45,14.72,14.40,14.57,134770
19-Dec-14,14.66,14.66,14.00,14.36,326810
18-Dec-14,14.50,14.90,13.92,14.68,262903
17-Dec-14,13.33,14.40,13.18,14.35,297237
16-Dec-14,13.51,13.66,13.25,13.26,116652
15-Dec-14,13.04,13.64,12.98,13.48,327378
12-Dec-14,12.95,13.29,12.94,13.01,127734
11-Dec-14,13.02,13.48,12.96,13.09,107115
10-Dec-14,12.99,13.20,12.84,12.95,156011
9-Dec-14,12.51,13.05,12.48,13.04,151877
8-Dec-14,13.07,13.07,12.62,12.65,93981
5-Dec-14,13.15,13.29,13.02,13.15,81285
4-Dec-14,13.37,13.37,12.79,13.14,98252
3-Dec-14,13.00,13.48,12.83,13.36,146667
2-Dec-14,12.81,13.09,12.70,12.95,121041
1-Dec-14,13.18,13.22,12.71,12.83,183837
28-Nov-14,13.39,13.58,13.10,13.12,87874
26-Nov-14,13.29,13.46,13.26,13.37,104119
25-Nov-14,13.70,13.70,13.14,13.36,176679
24-Nov-14,13.56,13.90,13.49,13.63,225365
21-Nov-14,13.55,13.59,13.38,13.47,133810
20-Nov-14,13.15,13.41,13.15,13.40,108086
19-Nov-14,13.16,13.35,12.96,13.19,98842
18-Nov-14,13.32,13.35,13.05,13.14,133104
17-Nov-14,13.42,13.60,13.22,13.35,136092
14-Nov-14,13.35,13.50,13.30,13.40,122561
13-Nov-14,13.41,13.49,13.03,13.32,130791
12-Nov-14,12.98,13.39,12.97,13.38,256751
11-Nov-14,12.95,12.99,12.91,12.99,187559
10-Nov-14,12.93,12.96,12.87,12.93,126871
7-Nov-14,12.72,12.98,12.64,12.95,299537
6-Nov-14,12.74,12.80,12.61,12.68,176850
5-Nov-14,12.78,12.87,12.61,12.69,210243
4-Nov-14,12.46,12.79,12.46,12.69,283589
3-Nov-14,12.39,12.67,12.37,12.50,268822
31-Oct-14,12.21,12.37,12.10,12.31,327790
30-Oct-14,12.00,12.25,11.92,12.02,345927
29-Oct-14,11.79,12.21,11.13,12.03,1082104
28-Oct-14,10.53,10.94,10.35,10.80,423085
27-Oct-14,9.88,10.54,9.79,10.53,274211
24-Oct-14,10.00,10.02,9.82,9.96,144183
23-Oct-14,10.05,10.10,9.92,9.95,218672
22-Oct-14,10.25,10.25,10.03,10.05,96871
21-Oct-14,10.30,10.45,10.05,10.18,105186
20-Oct-14,9.93,10.27,9.86,10.21,119448
17-Oct-14,10.24,10.24,9.79,9.90,173799
16-Oct-14,9.89,10.22,9.88,10.13,173130
15-Oct-14,9.94,10.05,9.77,9.95,152098
14-Oct-14,9.66,10.04,9.66,10.02,264038
13-Oct-14,9.52,9.74,9.45,9.63,150843
10-Oct-14,9.25,9.61,9.24,9.47,116700
9-Oct-14,9.51,9.51,9.19,9.27,154002
