Date,Open,High,Low,Close,Volume
31-Dec-14,6.65,7.00,6.61,6.99,997408
30-Dec-14,6.66,6.88,6.55,6.66,910779
29-Dec-14,6.52,6.70,6.46,6.59,626805
26-Dec-14,6.42,6.68,6.34,6.52,920499
24-Dec-14,6.41,6.41,6.32,6.37,174539
23-Dec-14,6.42,6.44,6.30,6.37,487239
22-Dec-14,6.10,6.45,6.10,6.37,990757
19-Dec-14,6.14,6.21,5.98,6.12,1639991
18-Dec-14,6.11,6.22,6.03,6.16,903725
17-Dec-14,5.90,6.25,5.78,6.17,1541281
16-Dec-14,5.75,6.04,5.73,5.91,939178
15-Dec-14,5.92,5.93,5.61,5.74,956483
12-Dec-14,5.93,6.14,5.91,5.91,503872
11-Dec-14,5.87,6.12,5.86,6.03,487493
10-Dec-14,6.07,6.18,5.83,5.86,760646
9-Dec-14,5.89,6.16,5.86,6.13,953444
8-Dec-14,6.34,6.39,5.95,5.98,1021089
5-Dec-14,6.26,6.41,6.23,6.38,831458
4-Dec-14,6.47,6.49,6.18,6.26,565127
3-Dec-14,6.56,6.67,6.39,6.45,606421
2-Dec-14,6.46,6.61,6.44,6.54,547309
1-Dec-14,6.43,6.56,6.36,6.46,634278
28-Nov-14,6.47,6.65,6.45,6.48,335086
26-Nov-14,6.37,6.54,6.37,6.46,460523
25-Nov-14,6.36,6.47,6.29,6.39,513919
24-Nov-14,6.19,6.39,6.19,6.37,698163
21-Nov-14,6.18,6.18,6.04,6.16,801756
20-Nov-14,5.92,6.17,5.82,6.06,1280171
19-Nov-14,5.85,5.95,5.74,5.80,963503
18-Nov-14,5.80,5.89,5.72,5.85,600050
17-Nov-14,5.87,5.88,5.70,5.78,805389
14-Nov-14,5.86,5.95,5.72,5.91,1562752
13-Nov-14,5.81,5.89,5.72,5.86,785342
12-Nov-14,5.67,5.80,5.67,5.77,690189
11-Nov-14,5.55,5.75,5.54,5.73,884805
10-Nov-14,5.72,5.83,5.58,5.59,1384238
7-Nov-14,5.54,5.78,5.54,5.69,1684956
6-Nov-14,5.83,6.11,5.44,5.52,4654786
5-Nov-14,6.54,6.60,6.18,6.24,1237697
4-Nov-14,6.73,6.77,6.46,6.48,611479
3-Nov-14,6.50,6.74,6.43,6.71,1208202
31-Oct-14,6.37,6.49,6.27,6.46,1101730
30-Oct-14,6.35,6.46,6.23,6.24,1215890
29-Oct-14,6.30,6.57,6.16,6.38,2175712
28-Oct-14,5.90,6.13,5.90,6.09,1205776
27-Oct-14,5.94,6.00,5.87,5.88,606405
24-Oct-14,5.86,6.03,5.81,5.99,676187
23-Oct-14,5.90,6.10,5.77,5.84,924448
22-Oct-14,6.06,6.17,5.82,5.82,831833
21-Oct-14,5.77,6.04,5.69,6.03,1231135
20-Oct-14,5.89,5.93,5.59,5.72,2163962
17-Oct-14,6.14,6.24,5.87,5.89,1410662
16-Oct-14,5.88,6.27,5.82,6.05,1889319
15-Oct-14,6.08,6.19,5.81,5.93,1464626
14-Oct-14,6.28,6.37,6.10,6.15,1026932
13-Oct-14,6.23,6.40,6.11,6.21,896728
10-Oct-14,6.46,6.61,6.17,6.20,1208699
9-Oct-14,6.64,6.66,6.46,6.50,940876
8-Oct-14,6.57,6.69,6.51,6.67,1350625
7-Oct-14,6.72,6.79,6.56,6.58,663180
6-Oct-14,6.88,6.95,6.72,6.76,845695
3-Oct-14,6.97,7.00,6.85,6.85,355271
2-Oct-14,6.79,6.91,6.69,6.88,598554
1-Oct-14,6.88,7.00,6.71,6.77,814826
30-Sep-14,6.90,7.00,6.87,6.91,1011301
29-Sep-14,6.80,7.00,6.75,6.91,1036404
26-Sep-14,6.96,6.99,6.78,6.85,981054
25-Sep-14,7.08,7.18,6.96,6.96,953136
24-Sep-14,7.19,7.22,7.02,7.11,1363953
23-Sep-14,7.32,7.32,7.07,7.20,1514242
22-Sep-14,7.67,7.77,7.40,7.41,977050
19-Sep-14,7.83,7.99,7.65,7.69,957384
18-Sep-14,7.79,7.89,7.74,7.82,541115
17-Sep-14,7.81,8.00,7.58,7.79,863851
16-Sep-14,7.90,7.94,7.74,7.84,523691
15-Sep-14,8.12,8.17,7.84,7.93,544039
12-Sep-14,8.26,8.26,8.04,8.11,427009
11-Sep-14,8.69,8.75,8.01,8.28,380359
10-Sep-14,8.25,8.29,8.03,8.06,843644
9-Sep-14,8.30,8.68,8.21,8.22,850838
8-Sep-14,8.43,8.44,8.29,8.33,626991
5-Sep-14,8.44,8.63,8.40,8.45,432476
4-Sep-14,8.43,8.73,8.41,8.49,1345103
3-Sep-14,8.39,8.66,8.38,8.42,733738
2-Sep-14,8.49,8.49,8.17,8.31,974165
29-Aug-14,8.47,8.56,8.44,8.46,395476
28-Aug-14,8.52,8.62,8.44,8.45,414134
27-Aug-14,8.47,8.69,8.43,8.55,721596
26-Aug-14,8.28,8.48,8.17,8.44,637773
25-Aug-14,8.32,8.38,8.13,8.26,655604
22-Aug-14,8.24,8.35,8.18,8.29,590342
21-Aug-14,8.10,8.32,8.07,8.26,743292
20-Aug-14,8.19,8.22,8.09,8.11,345000
19-Aug-14,8.18,8.28,8.10,8.23,481050
18-Aug-14,7.89,8.19,7.83,8.15,781092
