Date,Open,High,Low,Close,Volume
31-Dec-14,50.30,50.63,50.02,50.21,229491
30-Dec-14,50.00,50.62,49.72,50.30,150591
29-Dec-14,49.24,50.17,49.24,50.09,159003
26-Dec-14,49.30,49.63,49.15,49.37,79041
24-Dec-14,49.23,50.04,48.88,49.15,99581
23-Dec-14,48.05,48.99,48.05,48.93,202425
22-Dec-14,47.97,48.09,47.30,47.94,210090
19-Dec-14,48.27,48.55,47.37,47.66,962446
18-Dec-14,47.82,48.63,47.12,48.38,228050
17-Dec-14,47.09,47.51,46.28,47.31,379053
16-Dec-14,47.13,47.62,46.70,46.84,230612
15-Dec-14,48.26,49.08,46.78,47.07,241826
12-Dec-14,47.96,49.02,47.96,48.23,292941
11-Dec-14,48.07,48.88,47.97,48.29,255033
10-Dec-14,49.09,49.09,47.32,47.71,357978
9-Dec-14,47.86,48.50,46.69,48.19,476525
8-Dec-14,48.41,49.23,48.12,48.64,193410
5-Dec-14,48.21,49.42,48.14,48.71,188455
4-Dec-14,48.74,48.94,47.77,48.24,208335
3-Dec-14,48.70,49.01,48.01,48.64,254488
2-Dec-14,48.75,49.43,48.24,48.84,420294
1-Dec-14,49.20,49.81,47.39,48.59,489100
28-Nov-14,49.34,49.99,48.66,49.16,201796
26-Nov-14,49.00,49.64,48.58,49.26,485873
25-Nov-14,48.15,49.17,47.55,48.90,451367
24-Nov-14,46.91,48.00,46.50,47.99,307593
21-Nov-14,47.09,47.89,46.70,46.94,278754
20-Nov-14,45.60,46.70,45.60,46.61,226932
19-Nov-14,46.60,46.63,45.57,45.90,170554
18-Nov-14,46.12,46.76,46.02,46.50,167629
17-Nov-14,46.09,46.57,45.71,46.11,174283
14-Nov-14,46.49,47.05,45.92,46.03,491118
13-Nov-14,47.14,47.56,46.09,46.56,344235
12-Nov-14,46.61,47.64,45.76,47.35,367344
11-Nov-14,47.54,47.97,46.27,46.81,290060
10-Nov-14,47.08,48.06,46.37,47.53,449762
7-Nov-14,46.18,47.69,45.92,47.08,563247
