Date,Open,High,Low,Close,Volume
31-Dec-14,6.90,6.99,6.85,6.86,206958
30-Dec-14,6.82,6.93,6.82,6.86,73810
29-Dec-14,6.76,6.98,6.76,6.86,41679
26-Dec-14,6.75,6.81,6.66,6.80,45281
24-Dec-14,6.70,6.73,6.59,6.71,47934
23-Dec-14,6.77,6.90,6.59,6.72,91598
22-Dec-14,6.95,6.99,6.68,6.76,177839
19-Dec-14,6.59,7.00,6.45,6.99,685387
18-Dec-14,6.60,6.64,6.46,6.62,99461
17-Dec-14,6.35,6.60,6.28,6.58,141230
16-Dec-14,6.18,6.41,6.09,6.38,154068
15-Dec-14,6.31,6.34,6.17,6.17,60419
12-Dec-14,6.28,6.41,6.25,6.31,56350
11-Dec-14,6.30,6.40,6.27,6.37,48728
10-Dec-14,6.48,6.53,6.25,6.25,74873
9-Dec-14,6.33,6.52,6.33,6.52,87058
8-Dec-14,6.50,6.60,6.35,6.36,55083
5-Dec-14,6.47,6.58,6.47,6.53,56828
4-Dec-14,6.51,6.61,6.45,6.50,76358
3-Dec-14,6.50,6.62,6.45,6.54,57122
2-Dec-14,6.32,6.56,6.32,6.53,53463
1-Dec-14,6.48,6.50,6.31,6.32,99834
28-Nov-14,6.47,6.68,6.46,6.46,89522
26-Nov-14,6.43,6.46,6.38,6.43,70506
25-Nov-14,6.45,6.49,6.38,6.47,62659
24-Nov-14,6.38,6.43,6.33,6.43,43655
21-Nov-14,6.43,6.46,6.32,6.33,104178
20-Nov-14,6.23,6.36,6.16,6.34,53111
19-Nov-14,6.38,6.38,6.18,6.27,75955
18-Nov-14,6.40,6.43,6.31,6.41,72585
17-Nov-14,6.45,6.49,6.35,6.36,40812
14-Nov-14,6.51,6.55,6.47,6.48,46323
13-Nov-14,6.63,6.63,6.49,6.51,49531
12-Nov-14,6.56,6.65,6.52,6.65,41830
11-Nov-14,6.65,6.65,6.59,6.62,49222
10-Nov-14,6.54,6.64,6.53,6.64,73558
7-Nov-14,6.65,6.67,6.49,6.52,91421
6-Nov-14,6.58,6.68,6.56,6.64,77106
5-Nov-14,6.63,6.64,6.54,6.59,64025
4-Nov-14,6.53,6.65,6.22,6.57,84378
3-Nov-14,6.60,6.64,6.49,6.57,198295
31-Oct-14,6.60,6.61,6.46,6.59,314493
30-Oct-14,6.48,6.50,6.44,6.49,176652
29-Oct-14,6.49,6.49,6.40,6.45,144686
28-Oct-14,6.40,6.51,6.37,6.50,192083
27-Oct-14,6.26,6.45,6.22,6.40,62800
24-Oct-14,6.31,6.32,6.27,6.30,108342
23-Oct-14,6.30,6.33,6.28,6.30,243346
22-Oct-14,6.35,6.36,6.24,6.28,139789
21-Oct-14,6.35,6.37,6.31,6.33,157307
20-Oct-14,6.35,6.42,6.29,6.35,445254
17-Oct-14,6.44,6.44,6.30,6.36,245093
16-Oct-14,6.42,6.47,6.28,6.38,124202
15-Oct-14,6.40,6.60,6.29,6.47,108968
14-Oct-14,6.45,6.72,6.45,6.50,141244
13-Oct-14,6.32,6.55,6.30,6.45,98971
10-Oct-14,6.30,6.44,6.30,6.33,79597
9-Oct-14,6.42,6.42,6.28,6.32,110027
8-Oct-14,6.25,6.44,6.23,6.44,207991
7-Oct-14,6.35,6.35,6.25,6.25,244607
6-Oct-14,6.46,6.47,6.35,6.37,61603
3-Oct-14,6.38,6.48,6.35,6.47,276688
2-Oct-14,6.33,6.46,6.33,6.40,137364
1-Oct-14,6.44,6.54,6.25,6.30,304109
30-Sep-14,6.39,6.49,6.38,6.41,528859
29-Sep-14,6.40,6.44,6.33,6.36,112244
26-Sep-14,6.49,6.52,6.35,6.42,155951
25-Sep-14,6.54,6.54,6.45,6.49,127195
24-Sep-14,6.52,6.58,6.50,6.53,62025
23-Sep-14,6.50,6.59,6.44,6.50,94314
22-Sep-14,6.60,6.67,6.50,6.52,87150
19-Sep-14,6.60,6.70,6.50,6.62,291759
18-Sep-14,6.54,6.65,6.54,6.60,54036
17-Sep-14,6.50,6.56,6.48,6.52,72428
16-Sep-14,6.55,6.55,6.48,6.51,76072
15-Sep-14,6.50,6.58,6.42,6.52,62989
12-Sep-14,6.55,6.60,6.43,6.49,65665
11-Sep-14,6.45,6.58,6.45,6.57,50720
10-Sep-14,6.40,6.50,6.37,6.49,104904
9-Sep-14,6.50,6.50,6.38,6.38,59407
8-Sep-14,6.52,6.54,6.45,6.50,43075
5-Sep-14,6.44,6.55,6.40,6.51,59738
4-Sep-14,6.51,6.57,6.41,6.42,201477
3-Sep-14,6.53,6.58,6.42,6.51,117666
2-Sep-14,6.64,6.64,6.43,6.52,88577
29-Aug-14,6.54,6.66,6.50,6.59,171618
28-Aug-14,6.43,6.57,6.40,6.50,112257
27-Aug-14,6.40,6.48,6.39,6.46,143954
26-Aug-14,6.36,6.41,6.32,6.36,71990
25-Aug-14,6.35,6.37,6.25,6.32,162950
22-Aug-14,6.19,6.31,6.11,6.29,67609
21-Aug-14,6.05,6.17,6.05,6.17,81724
20-Aug-14,6.05,6.10,6.00,6.05,94814
19-Aug-14,6.10,6.11,6.05,6.07,51126
18-Aug-14,6.09,6.10,6.01,6.10,98164
15-Aug-14,6.13,6.13,5.97,6.02,89913
14-Aug-14,6.03,6.07,5.99,6.06,34617
13-Aug-14,6.02,6.05,5.96,6.05,66329
12-Aug-14,6.14,6.17,5.98,6.01,58974
11-Aug-14,6.17,6.24,6.12,6.16,73573
8-Aug-14,6.02,6.14,6.00,6.11,73098
7-Aug-14,6.10,6.10,5.98,6.00,26279
