Date,Open,High,Low,Close,Volume
31-Dec-14,2.05,2.07,1.96,1.98,855769
30-Dec-14,2.10,2.12,1.96,2.05,2601033
29-Dec-14,1.88,2.10,1.85,2.07,2551741
26-Dec-14,1.78,1.90,1.78,1.88,786398
24-Dec-14,1.75,1.78,1.75,1.77,249361
23-Dec-14,1.79,1.83,1.74,1.76,639386
22-Dec-14,1.85,1.86,1.77,1.81,659432
19-Dec-14,1.82,1.87,1.79,1.87,455357
18-Dec-14,1.87,1.92,1.80,1.80,874120
17-Dec-14,1.75,1.84,1.73,1.81,603255
16-Dec-14,1.72,1.75,1.57,1.73,1230081
15-Dec-14,1.88,1.92,1.72,1.72,1224966
12-Dec-14,1.90,1.90,1.80,1.86,1272969
11-Dec-14,1.96,2.01,1.88,1.89,1030535
10-Dec-14,2.08,2.13,1.95,1.96,948121
9-Dec-14,2.01,2.07,1.96,2.06,1320795
8-Dec-14,2.08,2.11,2.00,2.04,1305863
5-Dec-14,2.15,2.20,2.07,2.08,595542
4-Dec-14,2.24,2.30,2.15,2.16,1109358
3-Dec-14,2.16,2.20,2.10,2.12,855907
2-Dec-14,2.13,2.25,2.13,2.16,784351
1-Dec-14,2.20,2.26,2.12,2.13,920898
28-Nov-14,2.39,2.39,2.12,2.29,1152079
26-Nov-14,2.40,2.45,2.38,2.38,432833
25-Nov-14,2.38,2.45,2.38,2.40,345999
24-Nov-14,2.40,2.48,2.37,2.40,671038
21-Nov-14,2.47,2.50,2.39,2.42,603873
20-Nov-14,2.35,2.43,2.33,2.43,592965
19-Nov-14,2.43,2.47,2.36,2.39,785070
18-Nov-14,2.36,2.43,2.35,2.41,1043001
17-Nov-14,2.34,2.40,2.27,2.29,960431
14-Nov-14,2.50,2.52,2.30,2.33,2326625
13-Nov-14,2.60,2.64,2.50,2.50,1026870
12-Nov-14,2.73,2.75,2.52,2.55,2645547
11-Nov-14,2.81,2.85,2.77,2.79,568783
10-Nov-14,2.79,2.88,2.77,2.79,642900
7-Nov-14,2.78,2.87,2.75,2.82,692997
6-Nov-14,2.79,2.85,2.72,2.77,710511
5-Nov-14,2.90,2.91,2.72,2.76,1069240
4-Nov-14,3.08,3.12,2.82,2.85,1912684
3-Nov-14,2.78,3.05,2.78,2.95,3168096
31-Oct-14,2.74,2.80,2.71,2.80,1719286
30-Oct-14,2.71,2.87,2.69,2.74,1295240
29-Oct-14,2.77,2.85,2.70,2.78,1984576
28-Oct-14,2.79,3.00,2.79,2.99,1275642
27-Oct-14,2.83,2.89,2.75,2.79,595573
24-Oct-14,2.84,2.88,2.82,2.83,533885
23-Oct-14,2.84,2.93,2.79,2.87,810867
22-Oct-14,2.91,2.95,2.80,2.80,496189
21-Oct-14,2.93,2.93,2.85,2.87,649197
20-Oct-14,2.75,2.89,2.70,2.87,694540
17-Oct-14,2.94,2.98,2.74,2.78,803987
16-Oct-14,2.61,2.85,2.61,2.85,781868
15-Oct-14,2.64,2.75,2.61,2.71,1058266
14-Oct-14,2.55,2.83,2.50,2.74,1912173
13-Oct-14,2.65,2.73,2.50,2.50,935823
10-Oct-14,2.80,2.86,2.61,2.70,1591326
9-Oct-14,3.05,3.11,2.81,2.84,1915685
8-Oct-14,2.91,3.00,2.85,2.97,1411288
7-Oct-14,3.07,3.07,2.91,2.92,789455
6-Oct-14,3.15,3.15,3.01,3.10,602609
3-Oct-14,3.17,3.17,3.09,3.10,415641
2-Oct-14,3.05,3.14,2.99,3.14,861745
1-Oct-14,3.20,3.23,2.99,3.02,1336411
