Date,Open,High,Low,Close,Volume
31-Dec-14,6.86,6.98,6.75,6.87,161958
30-Dec-14,6.85,6.92,6.69,6.85,113119
29-Dec-14,6.82,6.95,6.81,6.85,105027
26-Dec-14,6.65,6.84,6.63,6.82,107885
24-Dec-14,6.69,6.73,6.60,6.64,64976
23-Dec-14,6.76,6.78,6.59,6.69,156648
22-Dec-14,6.65,6.79,6.59,6.73,103927
19-Dec-14,6.57,6.72,6.45,6.66,318505
18-Dec-14,6.62,6.62,6.44,6.59,171802
17-Dec-14,6.15,6.51,6.10,6.51,185261
16-Dec-14,6.10,6.28,6.04,6.15,238257
15-Dec-14,6.15,6.23,5.97,6.10,199507
12-Dec-14,6.15,6.19,6.02,6.11,212136
11-Dec-14,6.43,6.50,6.22,6.26,275411
10-Dec-14,6.69,6.72,6.33,6.38,231173
9-Dec-14,6.45,6.76,6.33,6.74,173723
8-Dec-14,6.65,6.72,6.49,6.55,165421
5-Dec-14,6.39,6.70,6.33,6.65,273736
4-Dec-14,6.56,6.61,6.41,6.52,223749
3-Dec-14,6.53,6.76,6.51,6.67,292427
2-Dec-14,6.16,6.52,6.16,6.51,307144
1-Dec-14,6.16,6.20,6.06,6.12,221781
28-Nov-14,6.28,6.30,6.14,6.16,127224
26-Nov-14,6.39,6.53,6.20,6.27,161522
25-Nov-14,6.44,6.57,6.36,6.41,239027
24-Nov-14,6.15,6.42,6.15,6.40,265881
21-Nov-14,6.27,6.31,6.08,6.16,164373
20-Nov-14,5.73,6.16,5.73,6.15,196766
19-Nov-14,5.92,5.92,5.74,5.78,148617
18-Nov-14,5.78,5.95,5.78,5.92,126804
17-Nov-14,5.97,6.00,5.76,5.77,206981
14-Nov-14,5.86,5.98,5.80,5.95,186852
13-Nov-14,5.99,6.04,5.83,5.84,155070
12-Nov-14,5.87,6.04,5.87,6.00,249948
11-Nov-14,5.90,5.96,5.84,5.92,192850
10-Nov-14,5.90,6.03,5.83,5.90,180463
7-Nov-14,5.83,5.88,5.76,5.87,190399
6-Nov-14,5.92,5.98,5.84,5.88,209231
5-Nov-14,5.83,5.99,5.73,5.92,284186
4-Nov-14,5.87,5.90,5.73,5.76,161631
3-Nov-14,5.92,5.96,5.82,5.88,309320
31-Oct-14,6.01,6.04,5.82,5.93,391575
30-Oct-14,5.70,5.88,5.60,5.87,264773
29-Oct-14,5.68,5.75,5.55,5.73,355689
28-Oct-14,5.50,5.70,5.39,5.69,944670
27-Oct-14,5.80,5.80,5.44,5.45,365825
24-Oct-14,5.36,5.95,5.18,5.74,568230
23-Oct-14,5.55,5.75,5.46,5.63,223363
22-Oct-14,5.59,5.69,5.46,5.49,212370
21-Oct-14,5.59,5.63,5.52,5.56,221421
20-Oct-14,5.33,5.59,5.33,5.53,380666
17-Oct-14,5.29,5.39,5.15,5.37,488417
16-Oct-14,5.00,5.27,5.00,5.20,307546
15-Oct-14,4.88,5.18,4.85,5.12,487450
14-Oct-14,5.07,5.11,4.92,5.00,332935
13-Oct-14,4.95,5.06,4.94,4.97,406579
10-Oct-14,5.03,5.13,4.85,4.92,367822
9-Oct-14,5.29,5.34,5.02,5.07,632307
8-Oct-14,5.20,5.37,5.09,5.35,328078
7-Oct-14,5.34,5.40,5.20,5.21,181121
6-Oct-14,5.50,5.61,5.35,5.37,202225
3-Oct-14,5.61,5.70,5.43,5.46,206502
2-Oct-14,5.38,5.55,5.30,5.51,477693
1-Oct-14,5.46,5.54,5.31,5.36,423278
30-Sep-14,5.66,5.70,5.44,5.45,383385
29-Sep-14,5.63,5.68,5.10,5.67,534502
26-Sep-14,5.73,5.75,5.60,5.73,374218
25-Sep-14,5.80,5.84,5.71,5.73,358161
24-Sep-14,5.89,5.89,5.69,5.80,857035
23-Sep-14,5.85,5.95,5.84,5.88,253665
22-Sep-14,6.12,6.15,5.84,5.88,273890
19-Sep-14,6.46,6.46,6.07,6.15,354556
18-Sep-14,6.41,6.44,6.35,6.41,285345
17-Sep-14,6.29,6.46,6.21,6.40,442302
16-Sep-14,6.23,6.33,6.21,6.25,225533
15-Sep-14,6.44,6.47,6.26,6.27,259092
12-Sep-14,6.61,6.61,6.46,6.46,328967
11-Sep-14,6.47,6.71,6.47,6.63,256083
10-Sep-14,6.68,6.74,6.45,6.56,482916
9-Sep-14,6.87,6.89,6.66,6.67,212760
8-Sep-14,6.78,6.92,6.75,6.86,139133
5-Sep-14,6.72,6.84,6.67,6.81,193269
4-Sep-14,6.73,6.94,6.67,6.74,275328
3-Sep-14,7.08,7.09,6.72,6.74,250578
2-Sep-14,6.91,7.12,6.87,7.01,232661
29-Aug-14,6.89,6.96,6.82,6.90,171153
28-Aug-14,6.81,6.93,6.78,6.85,152851
27-Aug-14,6.90,6.94,6.82,6.88,108352
26-Aug-14,6.96,6.97,6.80,6.87,184655
25-Aug-14,6.80,6.95,6.75,6.94,279696
22-Aug-14,6.81,6.83,6.73,6.76,143896
21-Aug-14,6.77,6.83,6.68,6.82,232124
20-Aug-14,6.83,6.85,6.62,6.81,323840
19-Aug-14,6.52,6.85,6.52,6.83,523644
18-Aug-14,6.37,6.48,6.31,6.48,258888
15-Aug-14,6.34,6.38,6.14,6.31,275023
14-Aug-14,6.15,6.26,6.10,6.25,114078
13-Aug-14,6.13,6.21,6.08,6.14,115665
12-Aug-14,6.26,6.26,6.08,6.12,180763
