Date,Open,High,Low,Close,Volume
31-Dec-14,1.63,1.71,1.59,1.64,53098
30-Dec-14,1.66,1.73,1.65,1.70,58845
29-Dec-14,1.73,1.73,1.58,1.73,36385
26-Dec-14,1.76,1.78,1.73,1.74,12296
24-Dec-14,1.80,1.80,1.78,1.79,31254
23-Dec-14,1.85,1.92,1.81,1.81,30235
22-Dec-14,1.85,1.85,1.81,1.84,27589
19-Dec-14,1.88,1.88,1.82,1.82,34870
18-Dec-14,1.86,1.87,1.85,1.85,10505
17-Dec-14,1.82,1.89,1.82,1.87,23102
16-Dec-14,1.85,1.85,1.80,1.81,24033
15-Dec-14,1.80,1.85,1.80,1.82,36662
12-Dec-14,1.82,1.84,1.80,1.81,47245
11-Dec-14,1.80,1.84,1.80,1.82,29705
10-Dec-14,1.80,1.84,1.80,1.80,30241
9-Dec-14,1.82,1.82,1.80,1.80,20214
8-Dec-14,1.76,1.84,1.74,1.82,31904
5-Dec-14,1.82,1.86,1.70,1.71,43236
4-Dec-14,1.81,1.89,1.80,1.80,85553
3-Dec-14,2.13,2.13,1.75,1.84,138216
2-Dec-14,2.12,2.15,2.12,2.15,12179
1-Dec-14,2.17,2.23,2.10,2.10,12041
28-Nov-14,2.22,2.22,2.20,2.20,6037
26-Nov-14,2.21,2.24,2.21,2.23,6439
25-Nov-14,2.29,2.30,2.21,2.24,36102
24-Nov-14,2.24,2.30,2.22,2.30,39565
21-Nov-14,2.22,2.25,2.19,2.19,27242
20-Nov-14,2.23,2.24,2.19,2.21,32113
19-Nov-14,2.21,2.24,2.21,2.23,5582
18-Nov-14,2.24,2.25,2.11,2.25,12710
17-Nov-14,2.21,2.24,2.21,2.24,16462
14-Nov-14,2.26,2.29,2.17,2.20,12410
13-Nov-14,2.17,2.47,2.17,2.28,22180
12-Nov-14,2.20,2.20,2.15,2.18,8147
11-Nov-14,2.20,2.20,2.17,2.20,4880
10-Nov-14,2.15,2.20,2.15,2.20,10796
7-Nov-14,2.01,2.20,2.01,2.15,24084
6-Nov-14,2.20,2.20,2.15,2.20,5796
5-Nov-14,2.21,2.30,2.20,2.20,6574
4-Nov-14,2.24,2.24,2.16,2.21,18185
3-Nov-14,2.23,2.24,2.21,2.22,13771
31-Oct-14,2.20,2.22,2.19,2.20,5939
30-Oct-14,2.20,2.21,2.18,2.20,10911
29-Oct-14,2.20,2.20,2.16,2.18,3002
28-Oct-14,2.20,2.20,2.11,2.19,8549
27-Oct-14,2.09,2.21,2.09,2.15,18978
24-Oct-14,2.18,2.20,2.11,2.11,11614
23-Oct-14,2.15,2.19,2.11,2.16,15684
22-Oct-14,2.13,2.16,2.11,2.15,8316
21-Oct-14,2.10,2.19,2.10,2.16,9544
20-Oct-14,2.05,2.11,2.05,2.08,5171
17-Oct-14,2.10,2.15,2.05,2.08,13985
16-Oct-14,2.07,2.18,2.04,2.07,27902
15-Oct-14,2.10,2.14,2.04,2.06,5238
14-Oct-14,2.13,2.13,2.03,2.08,25701
13-Oct-14,2.05,2.24,2.05,2.16,4024
10-Oct-14,2.11,2.12,2.07,2.07,16704
9-Oct-14,2.15,2.19,2.12,2.13,18417
8-Oct-14,2.19,2.20,2.11,2.19,19415
7-Oct-14,2.25,2.25,2.18,2.19,46361
6-Oct-14,2.22,2.25,2.17,2.21,28122
3-Oct-14,2.20,2.25,2.16,2.20,35565
2-Oct-14,2.15,2.19,2.11,2.19,15896
1-Oct-14,2.13,2.17,2.08,2.12,6387
30-Sep-14,2.10,2.18,2.09,2.10,34137
29-Sep-14,2.15,2.18,2.07,2.08,14687
26-Sep-14,2.20,2.20,2.15,2.16,7889
