Date,Open,High,Low,Close,Volume
31-Dec-14,43.41,43.86,42.98,43.26,244609
30-Dec-14,44.01,44.38,43.07,43.21,92361
29-Dec-14,44.92,45.01,43.84,44.13,135267
26-Dec-14,44.86,45.00,44.43,44.94,84654
24-Dec-14,44.70,45.00,44.63,44.81,50937
23-Dec-14,44.02,44.97,43.74,44.57,136775
22-Dec-14,43.47,43.97,43.36,43.84,148681
19-Dec-14,43.59,43.92,43.36,43.45,420336
18-Dec-14,44.10,44.85,43.46,43.69,286835
17-Dec-14,42.65,43.52,42.33,43.50,177510
16-Dec-14,42.78,43.06,42.50,42.65,179284
15-Dec-14,43.17,43.39,42.73,42.81,140972
12-Dec-14,43.35,44.11,43.01,43.10,160457
11-Dec-14,44.21,44.68,43.86,43.93,130600
10-Dec-14,44.62,44.72,43.87,44.00,208887
9-Dec-14,43.27,44.94,43.10,44.85,238235
8-Dec-14,43.74,44.12,43.52,43.75,298554
5-Dec-14,43.64,44.09,43.45,43.90,131161
4-Dec-14,42.54,44.05,42.53,43.66,515485
3-Dec-14,42.67,42.71,42.21,42.54,311159
2-Dec-14,42.60,43.03,42.34,42.59,287439
1-Dec-14,42.53,42.82,42.37,42.55,211126
28-Nov-14,42.81,43.03,42.41,42.44,228489
26-Nov-14,42.16,42.89,42.16,42.88,213494
25-Nov-14,42.27,42.75,42.18,42.24,150947
24-Nov-14,41.94,42.43,41.61,42.39,271872
21-Nov-14,42.06,42.21,41.35,41.78,179244
20-Nov-14,41.38,41.60,41.29,41.45,180554
19-Nov-14,41.94,41.94,41.16,41.43,313293
18-Nov-14,42.46,42.90,41.90,41.98,249114
17-Nov-14,43.40,43.62,42.44,42.45,309385
14-Nov-14,43.15,43.66,43.04,43.58,362829
13-Nov-14,43.71,44.04,43.18,43.21,170143
12-Nov-14,43.74,44.07,43.52,43.82,196564
11-Nov-14,44.42,44.55,43.77,44.13,291852
10-Nov-14,44.50,44.75,44.10,44.75,148569
7-Nov-14,45.00,45.18,44.32,44.82,163487
6-Nov-14,44.92,45.51,44.74,44.97,219619
5-Nov-14,45.06,45.24,44.80,45.02,172698
4-Nov-14,45.17,45.53,44.74,44.96,240124
3-Nov-14,44.35,45.86,44.05,45.33,397330
31-Oct-14,43.01,44.68,42.78,44.50,667235
30-Oct-14,41.74,43.15,41.63,42.11,513130
29-Oct-14,41.60,41.79,40.80,41.18,200253
28-Oct-14,40.73,41.56,40.61,41.50,407241
27-Oct-14,40.30,40.72,40.04,40.54,89133
24-Oct-14,40.62,41.06,40.42,40.59,128393
23-Oct-14,40.18,40.79,40.14,40.48,118009
22-Oct-14,40.56,40.57,39.70,39.79,90858
21-Oct-14,39.79,40.54,39.42,40.43,103992
20-Oct-14,39.47,40.07,39.18,39.70,137443
17-Oct-14,40.17,40.17,39.28,39.66,157075
16-Oct-14,38.73,39.99,38.37,39.59,242102
15-Oct-14,38.72,39.61,38.70,39.28,308774
14-Oct-14,39.03,39.80,38.70,39.33,248505
13-Oct-14,37.51,38.74,37.39,38.62,155495
10-Oct-14,37.62,38.26,37.38,37.48,216201
9-Oct-14,38.32,38.77,37.73,37.86,159484
8-Oct-14,38.10,38.45,37.78,38.41,190004
7-Oct-14,39.09,39.09,38.14,38.19,173447
6-Oct-14,39.37,39.56,38.78,39.34,181959
3-Oct-14,39.75,40.06,39.28,39.33,252618
2-Oct-14,39.19,39.61,39.14,39.36,177886
1-Oct-14,39.30,39.44,38.93,39.14,326214
30-Sep-14,39.23,39.45,38.92,39.29,366680
29-Sep-14,38.01,39.31,37.67,39.28,118542
26-Sep-14,38.30,38.59,38.00,38.43,70656
25-Sep-14,38.90,39.06,38.03,38.27,132931
24-Sep-14,38.45,39.22,38.06,39.00,104738
23-Sep-14,38.91,39.13,38.31,38.34,171118
22-Sep-14,39.27,39.55,39.04,39.11,191425
19-Sep-14,39.85,40.33,39.26,39.45,307456
18-Sep-14,39.42,39.79,39.12,39.65,118560
17-Sep-14,38.91,39.57,38.72,39.33,168612
16-Sep-14,39.19,39.36,38.64,38.95,90676
15-Sep-14,39.88,40.13,38.86,39.18,194210
12-Sep-14,40.83,40.83,39.53,39.72,231424
11-Sep-14,40.02,40.99,40.02,40.71,88501
10-Sep-14,40.21,40.34,39.99,40.25,62932
9-Sep-14,40.33,40.47,39.99,40.15,101491
8-Sep-14,40.20,40.57,40.05,40.40,159019
5-Sep-14,40.03,40.31,39.87,40.15,94152
4-Sep-14,40.25,40.64,40.13,40.24,225793
3-Sep-14,39.49,40.39,39.30,40.12,239192
2-Sep-14,39.11,39.55,38.56,39.32,167206
29-Aug-14,38.59,39.27,38.42,38.89,205738
28-Aug-14,38.55,38.76,38.30,38.59,127338
27-Aug-14,37.20,38.80,37.20,38.61,204816
26-Aug-14,37.15,37.46,36.90,37.13,261056
25-Aug-14,37.44,37.64,36.92,37.34,107436
22-Aug-14,37.10,37.47,36.96,37.30,155601
21-Aug-14,36.88,37.16,36.54,37.09,98773
20-Aug-14,37.37,37.40,36.81,36.89,124721
19-Aug-14,37.20,37.58,37.12,37.55,194334
18-Aug-14,36.84,37.21,36.59,37.08,115620
15-Aug-14,37.01,37.01,36.15,36.46,208472
14-Aug-14,36.62,36.83,36.38,36.66,84392
13-Aug-14,36.53,36.94,36.25,36.58,72013
12-Aug-14,36.52,36.85,36.19,36.36,103719
11-Aug-14,36.89,37.30,36.41,36.77,121788
8-Aug-14,36.53,37.21,36.52,36.68,225469
7-Aug-14,36.73,36.99,36.05,36.53,134391
6-Aug-14,36.41,36.98,36.41,36.63,238467
5-Aug-14,36.35,36.93,36.17,36.59,110298
4-Aug-14,36.82,36.82,36.10,36.54,250107
1-Aug-14,36.86,37.13,36.37,36.70,274466
31-Jul-14,35.35,37.90,35.35,36.71,374748
30-Jul-14,35.32,35.85,34.97,35.63,233773
29-Jul-14,34.52,35.14,34.44,34.98,270654
28-Jul-14,34.05,34.85,33.64,34.42,137999
25-Jul-14,34.22,34.23,33.89,34.03,192385
24-Jul-14,34.34,34.81,34.08,34.55,154435
23-Jul-14,34.61,34.74,34.17,34.27,81544
22-Jul-14,34.66,34.99,34.24,34.57,221682
21-Jul-14,34.43,34.59,33.97,34.46,137498
18-Jul-14,33.87,34.72,33.62,34.66,140297
17-Jul-14,34.36,34.55,33.91,33.97,154959
16-Jul-14,35.20,35.20,34.50,34.52,79523
15-Jul-14,35.13,35.33,34.67,34.98,203163
14-Jul-14,35.55,35.70,35.17,35.42,63309
11-Jul-14,35.04,35.29,34.83,35.17,79341
10-Jul-14,34.69,35.35,34.50,35.17,159978
9-Jul-14,35.24,35.64,34.91,35.25,256398
8-Jul-14,35.88,36.20,34.97,35.15,270818
7-Jul-14,36.29,36.63,35.98,36.00,151974
3-Jul-14,36.52,36.58,36.22,36.44,95700
2-Jul-14,36.62,36.82,36.34,36.43,86991
1-Jul-14,35.80,37.09,35.52,36.70,155082
30-Jun-14,36.00,36.00,35.62,35.74,126224
27-Jun-14,35.31,36.22,35.31,36.16,171095
26-Jun-14,35.51,35.68,35.12,35.56,85505
25-Jun-14,35.35,35.71,35.32,35.54,90982
24-Jun-14,35.37,35.82,35.15,35.45,249427
23-Jun-14,35.35,35.69,35.28,35.39,124407
20-Jun-14,35.49,35.49,35.18,35.30,298592
19-Jun-14,35.84,36.07,35.18,35.47,159858
18-Jun-14,36.16,36.33,35.52,35.66,154212
17-Jun-14,35.39,36.20,35.32,36.18,132419
16-Jun-14,35.07,35.46,34.83,35.45,73069
13-Jun-14,34.95,35.05,34.74,34.99,91819
12-Jun-14,35.33,35.38,34.53,34.76,141313
11-Jun-14,35.31,35.77,35.00,35.40,72694
10-Jun-14,33.77,35.89,33.77,35.60,75104
9-Jun-14,35.69,36.20,35.19,36.04,78271
6-Jun-14,35.19,35.74,34.53,35.73,126582
5-Jun-14,34.29,35.00,34.09,34.96,226588
4-Jun-14,34.03,34.37,33.80,34.27,123671
3-Jun-14,34.02,34.32,33.83,34.21,250157
2-Jun-14,34.25,34.34,33.76,34.15,147745
30-May-14,35.36,35.36,34.20,34.25,157231
29-May-14,34.97,35.30,34.63,35.24,138686
28-May-14,34.58,35.22,34.27,34.87,201696
27-May-14,34.43,35.09,34.21,34.79,99603
23-May-14,33.74,34.29,33.60,34.19,106290
22-May-14,33.61,33.86,33.38,33.79,116610
21-May-14,33.65,33.79,33.24,33.62,142115
20-May-14,33.90,33.97,33.06,33.37,266312
19-May-14,33.18,34.10,32.95,33.98,133176
16-May-14,32.96,33.31,32.42,33.29,160572
15-May-14,32.20,33.19,31.63,33.02,264330
14-May-14,33.00,33.00,32.27,32.40,170637
13-May-14,33.46,33.46,33.05,33.07,206768
12-May-14,32.50,33.64,32.50,33.45,128412
9-May-14,31.77,32.58,31.67,32.41,106064
8-May-14,32.64,32.84,31.81,31.92,259312
7-May-14,32.51,32.81,32.25,32.75,295712
6-May-14,32.51,32.75,32.19,32.50,283050
5-May-14,32.46,32.76,32.10,32.65,162433
2-May-14,32.46,33.10,32.31,32.78,421105
1-May-14,30.73,32.37,30.28,32.31,354826
30-Apr-14,29.75,30.54,29.42,30.45,248168
29-Apr-14,30.02,30.25,29.78,29.95,211158
28-Apr-14,30.26,30.48,29.62,29.87,268787
25-Apr-14,30.46,30.80,30.06,30.11,284223
24-Apr-14,30.85,30.85,30.37,30.64,238419
23-Apr-14,30.95,30.95,30.50,30.66,314152
22-Apr-14,31.41,31.44,30.81,31.01,331790
21-Apr-14,31.65,31.93,31.27,31.46,71260
17-Apr-14,31.12,31.84,30.93,31.60,149774
16-Apr-14,31.39,31.51,30.91,31.23,233536
15-Apr-14,30.96,31.31,30.39,31.19,297250
14-Apr-14,30.82,30.99,30.50,30.86,164865
11-Apr-14,30.70,31.76,30.22,30.45,231841
10-Apr-14,31.87,32.02,30.97,31.01,303334
9-Apr-14,31.84,32.04,31.56,31.89,126315
8-Apr-14,31.74,31.92,31.41,31.74,259054
7-Apr-14,31.68,32.15,31.55,31.76,235158
4-Apr-14,32.64,32.66,31.72,31.79,427803
3-Apr-14,32.80,33.00,32.28,32.36,259473
2-Apr-14,32.57,32.89,32.57,32.85,221489
1-Apr-14,31.42,32.56,31.42,32.52,260356
31-Mar-14,30.76,31.38,30.40,31.30,264395
28-Mar-14,30.92,31.24,30.49,30.64,130323
27-Mar-14,31.29,31.52,30.73,30.95,117743
26-Mar-14,31.91,31.99,31.35,31.35,195658
25-Mar-14,31.47,31.89,31.20,31.62,141897
24-Mar-14,31.73,31.95,30.95,31.33,198493
21-Mar-14,31.69,32.19,31.40,31.59,499417
20-Mar-14,31.19,31.51,31.02,31.49,88021
19-Mar-14,31.98,32.25,30.97,31.21,153339
18-Mar-14,30.95,31.70,30.95,31.65,152162
17-Mar-14,30.62,31.09,30.41,30.95,135958
14-Mar-14,30.26,30.74,30.16,30.49,155480
13-Mar-14,31.12,31.12,29.99,30.29,155726
12-Mar-14,30.70,31.05,30.38,31.01,123352
11-Mar-14,31.16,31.41,30.68,30.81,108788
10-Mar-14,31.39,31.57,30.81,31.14,117238
7-Mar-14,31.63,31.63,30.99,31.41,86168
6-Mar-14,31.98,32.07,31.31,31.39,99988
5-Mar-14,31.87,32.02,31.54,31.82,93672
4-Mar-14,31.29,32.30,31.06,31.96,412551
3-Mar-14,31.03,31.23,30.46,30.88,201966
28-Feb-14,31.93,32.04,31.10,31.32,219447
27-Feb-14,32.13,32.16,31.74,31.85,142265
26-Feb-14,32.11,32.54,31.94,32.15,149253
25-Feb-14,32.57,32.60,32.14,32.25,165320
24-Feb-14,32.84,33.06,32.56,32.67,174231
21-Feb-14,33.14,33.14,32.67,32.75,130281
20-Feb-14,32.62,32.99,32.36,32.92,168401
19-Feb-14,32.32,33.10,32.32,32.51,237762
18-Feb-14,32.44,32.77,32.21,32.46,221358
14-Feb-14,33.29,33.29,32.04,32.46,244321
13-Feb-14,32.00,34.43,31.09,33.28,455428
12-Feb-14,32.05,32.67,31.74,32.56,218865
11-Feb-14,32.81,33.48,32.07,32.12,360793
10-Feb-14,32.81,33.11,32.33,32.87,254497
7-Feb-14,32.92,33.28,32.55,32.93,177800
6-Feb-14,33.90,33.90,32.75,32.83,129421
5-Feb-14,33.15,33.41,32.54,33.06,160969
4-Feb-14,33.46,33.72,33.09,33.27,280699
3-Feb-14,34.42,34.69,32.54,33.21,196220
31-Jan-14,34.61,35.21,34.28,34.46,165637
30-Jan-14,34.02,35.70,33.71,35.28,225402
29-Jan-14,35.46,36.11,35.13,35.44,153393
28-Jan-14,35.87,36.19,35.41,35.84,233075
27-Jan-14,36.61,36.93,35.60,35.75,144630
24-Jan-14,36.98,36.98,36.05,36.51,177397
23-Jan-14,37.41,37.41,36.78,37.28,173227
