Date,Open,High,Low,Close,Volume
31-Dec-14,31.45,31.60,31.23,31.30,27820
30-Dec-14,31.35,31.40,31.12,31.33,11259
29-Dec-14,31.40,31.76,31.16,31.37,12376
26-Dec-14,30.99,31.73,30.98,31.41,12083
24-Dec-14,30.86,30.99,30.61,30.97,6741
23-Dec-14,30.73,30.96,30.71,30.83,28537
22-Dec-14,30.06,30.89,30.06,30.84,22539
19-Dec-14,30.50,30.75,30.11,30.18,96996
18-Dec-14,30.72,30.72,30.26,30.58,23017
17-Dec-14,29.20,30.59,29.20,30.46,88854
16-Dec-14,28.86,29.75,28.86,29.40,36836
15-Dec-14,29.57,29.57,28.97,28.98,20073
12-Dec-14,29.16,29.66,29.05,29.21,40021
11-Dec-14,29.70,30.13,29.55,29.56,18700
10-Dec-14,30.71,30.90,29.61,29.69,21450
9-Dec-14,29.63,30.90,29.51,30.88,21709
8-Dec-14,29.89,30.73,29.89,29.89,27517
5-Dec-14,29.34,29.98,29.34,29.96,51651
4-Dec-14,29.43,29.68,29.06,29.38,33306
3-Dec-14,29.18,29.77,29.18,29.54,16231
2-Dec-14,29.02,29.30,28.82,29.16,22249
1-Dec-14,29.54,29.54,28.81,28.81,36401
28-Nov-14,29.88,29.98,29.42,29.43,22776
26-Nov-14,29.79,29.94,29.51,29.88,31723
25-Nov-14,29.71,29.92,29.62,29.74,26914
24-Nov-14,29.16,29.85,29.16,29.80,12412
21-Nov-14,29.80,30.04,29.16,29.21,29165
20-Nov-14,29.23,29.48,28.97,29.46,36324
19-Nov-14,29.73,29.84,29.26,29.39,27195
18-Nov-14,30.00,30.10,29.72,29.90,27565
17-Nov-14,30.55,30.90,29.85,29.91,42923
14-Nov-14,30.54,30.91,30.48,30.60,25800
13-Nov-14,30.99,30.99,30.65,30.67,14345
12-Nov-14,30.55,31.00,30.54,30.99,17255
11-Nov-14,30.76,30.95,30.71,30.74,26119
10-Nov-14,30.52,30.96,30.49,30.93,19887
7-Nov-14,30.71,30.95,30.61,30.64,44333
6-Nov-14,30.75,30.95,30.66,30.80,28821
5-Nov-14,30.99,31.00,30.83,30.85,29667
4-Nov-14,30.91,31.05,30.81,30.90,19229
3-Nov-14,30.93,31.16,30.82,31.02,33396
31-Oct-14,30.95,30.96,28.28,30.83,44441
30-Oct-14,30.02,30.66,29.99,30.64,29340
29-Oct-14,29.91,30.28,29.72,30.09,26528
28-Oct-14,28.94,29.98,28.83,29.98,31366
27-Oct-14,28.00,28.84,28.00,28.70,33525
24-Oct-14,28.85,29.12,27.44,28.35,104474
23-Oct-14,29.17,29.51,29.11,29.21,32484
22-Oct-14,29.39,29.42,29.03,29.04,33033
21-Oct-14,29.48,29.55,29.26,29.43,29992
20-Oct-14,29.17,29.60,29.14,29.42,20921
17-Oct-14,30.13,30.13,29.30,29.32,18246
16-Oct-14,29.00,29.99,28.51,29.68,30280
15-Oct-14,29.17,29.96,28.64,29.53,31498
14-Oct-14,29.21,29.86,28.60,29.63,32532
13-Oct-14,28.56,29.41,28.30,29.11,41535
10-Oct-14,28.07,28.97,28.07,28.43,33257
9-Oct-14,29.30,29.50,28.21,28.27,34207
8-Oct-14,28.60,29.59,28.34,29.38,29169
7-Oct-14,28.89,29.18,28.56,28.57,26285
6-Oct-14,28.86,29.53,28.63,28.99,30356
3-Oct-14,28.90,29.00,28.64,28.83,20742
2-Oct-14,28.10,28.93,28.10,28.57,18642
1-Oct-14,28.32,28.96,28.01,28.13,32696
30-Sep-14,28.61,28.85,28.33,28.33,51059
29-Sep-14,28.50,28.83,28.50,28.72,15564
26-Sep-14,28.67,29.54,28.51,28.90,27787
25-Sep-14,29.41,29.60,28.66,28.69,22544
24-Sep-14,29.37,29.60,29.30,29.35,18019
23-Sep-14,29.28,29.60,29.13,29.30,32293
22-Sep-14,29.30,29.69,29.21,29.32,24213
19-Sep-14,29.87,29.99,29.25,29.41,49800
18-Sep-14,29.52,29.98,29.41,29.81,22081
17-Sep-14,29.36,29.86,29.23,29.30,15763
16-Sep-14,29.40,29.84,29.28,29.29,21669
15-Sep-14,29.75,29.96,29.21,29.34,28971
12-Sep-14,30.01,30.09,29.67,29.76,21770
11-Sep-14,29.47,29.99,29.40,29.98,85194
10-Sep-14,29.62,29.88,29.31,29.70,18662
9-Sep-14,29.62,29.97,29.11,29.32,26274
8-Sep-14,29.54,29.96,29.31,29.81,29284
5-Sep-14,29.54,29.91,29.54,29.73,11005
4-Sep-14,30.11,30.15,29.70,29.70,7939
