Date,Open,High,Low,Close,Volume
31-Dec-14,51.76,51.96,51.13,51.18,208177
30-Dec-14,51.54,51.95,50.89,51.73,146604
29-Dec-14,50.94,51.67,50.94,51.62,203568
26-Dec-14,50.83,51.38,50.53,50.96,141802
24-Dec-14,50.87,50.99,50.00,50.58,195130
23-Dec-14,51.27,51.81,50.59,50.62,246013
22-Dec-14,50.25,51.30,50.09,51.28,155071
19-Dec-14,50.77,50.86,50.10,50.35,353754
18-Dec-14,51.31,51.31,50.37,50.82,195381
17-Dec-14,49.66,51.03,48.91,50.93,351813
16-Dec-14,50.74,50.74,49.55,49.77,374627
15-Dec-14,51.52,54.00,50.39,50.67,727425
12-Dec-14,49.81,50.88,49.81,50.51,218815
11-Dec-14,50.04,51.23,50.00,50.30,255703
10-Dec-14,50.63,50.90,49.46,49.68,374598
9-Dec-14,50.51,50.92,48.65,50.60,471685
8-Dec-14,50.78,51.20,50.45,50.78,341766
5-Dec-14,50.02,51.20,49.87,50.77,431298
4-Dec-14,47.63,50.21,47.63,50.21,865051
3-Dec-14,52.25,52.53,47.50,47.91,2341943
2-Dec-14,54.67,55.99,54.67,55.79,689247
1-Dec-14,54.71,54.94,54.20,54.25,477646
28-Nov-14,54.07,55.59,54.07,54.36,164658
26-Nov-14,54.14,54.20,53.72,54.08,130383
25-Nov-14,54.29,54.47,53.53,54.37,229930
24-Nov-14,53.25,54.19,53.00,54.04,253548
21-Nov-14,53.65,53.96,52.75,52.99,218076
20-Nov-14,51.79,53.20,51.79,53.07,288799
19-Nov-14,52.09,52.11,51.32,51.57,219411
18-Nov-14,52.54,53.27,52.06,52.09,236895
17-Nov-14,52.96,52.96,52.22,52.34,187860
14-Nov-14,52.89,53.44,52.45,52.98,162692
13-Nov-14,53.00,53.18,52.51,53.01,189742
12-Nov-14,52.41,53.02,52.17,52.94,220430
11-Nov-14,52.72,52.94,52.23,52.50,140162
10-Nov-14,52.90,52.93,52.05,52.70,238988
7-Nov-14,51.95,52.85,51.53,52.82,293575
6-Nov-14,51.61,52.33,51.10,52.11,311058
5-Nov-14,52.28,52.49,51.07,51.43,265128
4-Nov-14,49.51,52.31,49.33,52.11,696916
3-Nov-14,48.93,49.56,48.73,49.49,301305
31-Oct-14,49.25,49.43,48.59,48.85,288396
30-Oct-14,48.68,49.16,48.43,48.96,263763
29-Oct-14,49.13,49.56,48.51,48.75,251224
28-Oct-14,48.80,49.25,48.63,49.21,351571
27-Oct-14,48.31,48.71,48.10,48.48,331188
24-Oct-14,48.27,48.39,47.71,48.33,290876
23-Oct-14,48.63,48.80,47.98,48.12,254690
22-Oct-14,48.71,49.13,47.79,48.46,330795
21-Oct-14,48.74,49.19,47.91,48.60,354382
20-Oct-14,47.85,48.97,47.77,48.78,422583
17-Oct-14,49.08,49.10,48.08,48.12,613305
16-Oct-14,46.94,48.82,46.84,48.72,708693
15-Oct-14,47.00,47.74,46.60,47.51,541054
14-Oct-14,46.94,47.69,46.78,47.41,533106
