Date,Open,High,Low,Close,Volume
31-Dec-14,16.39,16.45,16.02,16.02,39168
30-Dec-14,16.18,16.47,16.13,16.33,29953
29-Dec-14,15.68,16.32,15.68,16.30,36975
26-Dec-14,15.99,16.10,15.77,15.84,41625
24-Dec-14,16.07,16.78,15.88,15.99,35660
23-Dec-14,15.84,16.28,15.62,16.04,43951
22-Dec-14,15.89,15.90,15.71,15.84,37694
19-Dec-14,15.69,16.08,15.36,15.89,104262
18-Dec-14,16.13,16.94,15.63,15.73,71401
17-Dec-14,15.72,16.39,15.64,15.91,122020
16-Dec-14,15.86,16.65,15.80,15.84,70910
15-Dec-14,16.24,16.29,15.81,15.99,83478
12-Dec-14,16.63,16.82,15.95,16.08,109498
11-Dec-14,16.36,17.31,16.36,16.88,111099
10-Dec-14,16.73,16.89,16.14,16.32,116708
9-Dec-14,15.00,16.90,14.84,16.85,238206
8-Dec-14,15.68,15.68,15.18,15.21,60147
5-Dec-14,15.55,16.00,15.55,15.84,45561
4-Dec-14,15.81,15.88,15.53,15.58,39734
3-Dec-14,15.16,16.00,15.16,15.80,46943
2-Dec-14,15.54,15.61,15.16,15.33,70645
1-Dec-14,16.27,16.27,15.45,15.46,68833
28-Nov-14,17.03,17.03,16.02,16.04,32418
26-Nov-14,17.36,17.45,16.94,17.13,40945
25-Nov-14,17.12,17.67,17.12,17.36,36438
24-Nov-14,16.92,17.18,16.75,17.18,24550
21-Nov-14,17.07,17.20,16.69,16.91,54880
20-Nov-14,16.65,17.00,16.50,16.78,85068
19-Nov-14,16.71,16.82,16.01,16.76,85940
18-Nov-14,17.01,17.15,16.61,16.84,35157
17-Nov-14,17.32,17.32,16.81,16.90,33989
14-Nov-14,16.75,17.50,16.58,17.42,53045
13-Nov-14,17.24,17.45,16.07,16.84,150909
12-Nov-14,17.08,17.36,16.98,17.28,70806
11-Nov-14,17.56,17.70,17.17,17.22,58332
10-Nov-14,17.55,17.70,17.42,17.54,40977
7-Nov-14,17.48,17.65,17.31,17.50,60513
6-Nov-14,17.75,17.89,17.20,17.54,73672
5-Nov-14,18.03,18.03,17.68,17.84,35265
4-Nov-14,18.28,18.28,17.60,17.84,51557
3-Nov-14,18.29,18.72,18.14,18.41,74860
31-Oct-14,17.99,18.29,17.48,18.21,92621
30-Oct-14,17.19,17.71,17.03,17.61,106318
29-Oct-14,17.92,18.49,16.57,17.36,112011
28-Oct-14,16.97,18.20,16.86,18.09,105984
27-Oct-14,16.75,17.04,16.55,16.94,68526
24-Oct-14,17.19,17.19,16.75,16.83,41947
23-Oct-14,17.02,17.41,16.95,17.16,39651
22-Oct-14,17.18,17.20,16.73,16.80,18899
21-Oct-14,17.07,17.50,16.83,17.18,38182
20-Oct-14,16.90,17.03,16.77,16.90,33361
17-Oct-14,17.60,17.61,16.97,17.05,33807
16-Oct-14,16.75,17.49,16.75,17.31,60295
15-Oct-14,16.60,17.20,16.60,16.96,83336
