Date,Open,High,Low,Close,Volume
31-Dec-14,13.65,13.69,13.46,13.47,315565
30-Dec-14,13.70,13.76,13.59,13.65,228901
29-Dec-14,13.59,13.82,13.58,13.73,211733
26-Dec-14,13.57,13.64,13.49,13.56,109919
24-Dec-14,13.52,13.60,13.36,13.53,191072
23-Dec-14,13.38,13.56,13.21,13.48,223374
22-Dec-14,13.31,13.38,13.15,13.35,342924
19-Dec-14,13.36,13.40,13.23,13.26,1028275
18-Dec-14,13.35,13.40,13.18,13.39,368427
17-Dec-14,12.73,13.14,12.64,13.14,504203
16-Dec-14,12.60,12.88,12.59,12.73,442939
15-Dec-14,12.97,13.07,12.52,12.65,675469
12-Dec-14,12.93,13.12,12.89,12.95,448804
11-Dec-14,13.11,13.21,13.03,13.10,415067
10-Dec-14,13.45,13.50,13.03,13.04,601894
9-Dec-14,12.95,13.50,12.95,13.50,387321
8-Dec-14,13.11,13.37,13.04,13.13,326649
5-Dec-14,12.83,13.24,12.83,13.14,311986
4-Dec-14,12.82,12.90,12.76,12.83,379413
3-Dec-14,12.69,12.93,12.67,12.85,301765
2-Dec-14,12.48,12.85,12.47,12.71,221879
1-Dec-14,12.75,12.84,12.47,12.48,291573
28-Nov-14,13.06,13.16,12.75,12.76,256145
26-Nov-14,13.09,13.14,13.01,13.05,197516
25-Nov-14,13.04,13.15,12.95,13.08,213161
24-Nov-14,12.91,13.08,12.80,13.03,353373
21-Nov-14,13.29,13.29,12.85,12.86,728383
20-Nov-14,12.91,13.14,12.91,13.11,222160
19-Nov-14,13.13,13.13,12.90,13.00,202421
18-Nov-14,13.11,13.27,13.07,13.14,170722
17-Nov-14,13.19,13.24,13.05,13.07,163598
14-Nov-14,13.20,13.35,13.12,13.25,248080
13-Nov-14,13.40,13.40,13.19,13.19,168012
12-Nov-14,13.17,13.40,13.06,13.38,264259
11-Nov-14,13.31,13.33,13.21,13.22,156158
10-Nov-14,13.19,13.37,13.19,13.30,217610
7-Nov-14,13.16,13.24,13.13,13.17,389093
6-Nov-14,13.12,13.26,13.09,13.20,352911
5-Nov-14,13.19,13.36,13.02,13.11,335233
