Date,Open,High,Low,Close,Volume
31-Dec-14,182.10,184.10,180.23,180.38,228123
30-Dec-14,183.15,183.76,180.50,181.66,247032
29-Dec-14,182.53,183.98,181.93,183.92,219607
26-Dec-14,182.06,183.29,181.00,183.08,188911
24-Dec-14,182.15,183.73,181.26,182.07,264594
23-Dec-14,179.79,181.36,178.11,181.13,240774
22-Dec-14,179.43,179.83,176.99,179.19,357620
19-Dec-14,174.72,179.98,173.45,178.41,599958
18-Dec-14,174.00,174.00,171.21,173.39,266860
17-Dec-14,168.71,172.68,167.50,172.55,272606
16-Dec-14,168.18,169.90,167.18,167.72,297204
15-Dec-14,170.22,171.64,167.01,168.98,350179
12-Dec-14,167.29,171.89,167.00,169.89,334146
11-Dec-14,169.29,171.37,167.76,168.39,273332
10-Dec-14,169.41,172.22,167.81,167.94,393780
9-Dec-14,165.89,170.56,165.31,170.10,371844
8-Dec-14,168.53,170.39,167.43,168.51,235591
5-Dec-14,170.55,170.73,168.08,169.59,283817
4-Dec-14,171.00,171.00,168.08,169.77,321662
3-Dec-14,169.19,170.23,168.24,169.55,344263
2-Dec-14,166.32,170.38,165.01,169.87,380098
1-Dec-14,170.28,170.75,166.25,166.32,332469
28-Nov-14,167.56,171.09,166.63,170.21,316498
26-Nov-14,167.27,167.52,165.46,166.61,324635
25-Nov-14,167.89,169.74,167.14,167.46,483787
24-Nov-14,164.74,168.00,164.29,167.29,380620
21-Nov-14,164.76,164.76,162.58,163.83,275147
20-Nov-14,161.15,164.41,161.15,163.08,303968
19-Nov-14,161.99,164.20,161.14,161.39,442157
18-Nov-14,159.30,163.10,158.65,160.86,552012
17-Nov-14,162.18,162.60,159.44,159.79,375179
14-Nov-14,162.00,164.00,161.86,162.67,263484
13-Nov-14,163.50,164.48,161.89,162.95,433496
12-Nov-14,162.17,163.33,159.80,163.00,564703
11-Nov-14,160.00,162.73,159.65,162.57,841378
10-Nov-14,157.83,159.48,156.98,159.23,456675
7-Nov-14,156.36,157.61,155.11,157.51,438722
6-Nov-14,154.59,156.87,154.33,156.08,513947
5-Nov-14,153.19,154.23,151.76,153.87,490786
4-Nov-14,148.52,153.70,148.41,152.78,590614
3-Nov-14,149.00,149.99,148.23,149.12,436330
31-Oct-14,151.84,151.86,148.50,149.28,558951
30-Oct-14,149.24,150.63,148.50,150.04,638144
29-Oct-14,150.98,152.50,148.34,149.35,921882
28-Oct-14,145.00,153.26,143.86,151.68,2690231
27-Oct-14,136.38,136.60,132.73,133.82,1546894
24-Oct-14,129.84,135.50,129.00,135.40,1046055
23-Oct-14,130.28,131.52,128.42,129.00,643342
22-Oct-14,131.98,132.31,128.80,129.44,700408
21-Oct-14,132.86,133.53,130.43,131.59,549619
20-Oct-14,130.20,132.85,130.11,132.56,436853
17-Oct-14,132.55,133.00,129.34,130.32,558093
16-Oct-14,125.96,131.02,125.08,130.98,694295
15-Oct-14,124.82,128.47,123.92,127.52,731313
14-Oct-14,122.86,127.02,122.67,126.34,735555
13-Oct-14,123.78,125.21,122.15,122.96,521498
10-Oct-14,123.90,127.24,122.77,123.74,694378
9-Oct-14,126.31,126.89,124.00,124.13,656783
8-Oct-14,125.21,127.41,125.21,127.27,799917
7-Oct-14,130.69,131.00,125.03,125.27,1094638
6-Oct-14,133.85,134.65,128.80,131.62,1112849
3-Oct-14,137.01,139.00,135.82,137.11,525532
2-Oct-14,132.00,135.66,131.99,135.50,547046
1-Oct-14,134.31,134.55,131.76,131.93,468847
30-Sep-14,135.55,136.49,134.14,134.27,403098
29-Sep-14,134.42,136.12,134.05,135.38,343311
26-Sep-14,134.12,136.15,134.12,135.37,295942
25-Sep-14,136.18,137.68,133.46,133.93,480486
24-Sep-14,134.00,136.74,133.51,136.06,677577
23-Sep-14,135.43,135.98,132.90,132.95,546857
22-Sep-14,139.80,139.80,135.51,135.52,490238
